번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자,Unnamed: 44,record_key
2489,의원,01_01_02_P,4880000,PHMA120264880017041100001,2026-02-13,,1,영업/정상,13,영업중,,,,,061-832-2875,,,전라남도 고흥군 고흥읍 남계리 1067,"전라남도 고흥군 고흥읍 고흥로 1689, 2층",59543.0,서울하루치과의원,2026-02-13 17:10:39,I,2026-02-15 00:20:02,치과의원,225644.009570395,122969.121864631,치과의원,1,0,0,334.87,412 411 410 409 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",,,,0,0,,,0,,,서울하루치과의원_전라남도고흥군고흥읍남계리1067
2486,의원,01_01_02_P,3400000,PHMA120263400013041100003,2026-02-13,,1,영업/정상,13,영업중,,,,,0517113001,,,부산광역시 기장군 기장읍 대라리 57 가원빌딩,"부산광역시 기장군 기장읍 차성동로 63, 가원빌딩 402호",46066.0,삼성탑비뇨의학과의원,2026-02-13 15:30:29,I,2026-02-15 00:20:02,의원,401671.555424286,196027.510818284,의원,2,0,0,225.93,115,비뇨의학과,,,,0,0,,,0,,,삼성탑비뇨의학과의원_부산광역시기장군기장읍대라리57가원빌딩
2484,의원,01_01_02_P,3050000,PHMA120263050034041100008,2026-02-13,,1,영업/정상,13,영업중,,,,,02-963-5575,,,서울특별시 동대문구 이문동 149-8,"서울특별시 동대문구 이문로 120, 아이파크자이상가 3층 B301,302,303,304,305호 (이문동)",2418.0,셀로디피부과의원 동대문점,2026-02-13 09:52:40,I,2026-02-15 00:20:02,의원,205541.211931615,455132.605075423,의원,1,0,0,243.95,114,피부과,,,,0,0,,,0,,,셀로디피부과의원동대문점_서울특별시동대문구이문동149-8
2482,의원,01_01_02_P,4810000,PHMA120264810029041100001,2026-02-13,,1,영업/정상,13,영업중,,,,,061-920-7599,,,전라남도 여수시 돌산읍 우두리 1067-1,"전라남도 여수시 돌산읍 강남9길 10, 2층",59769.0,강남연합의원,2026-02-13 17:07:11,I,2026-02-15 00:20:02,의원,268761.720276161,135917.032740379,의원,3,0,0,156.0,122 114 109 101,"내과, 마취통증의학과, 피부과, 가정의학과",,,,0,0,,,0,,,강남연합의원_전라남도여수시돌산읍우두리1067-1
2480,의원,01_01_02_P,3460000,PHMA120263460023041100006,2026-02-13,,1,영업/정상,13,영업중,,,,,053-710-2829,,,대구광역시 수성구 만촌동 1036-16,"대구광역시 수성구 달구벌대로 2565, 5층 (만촌동)",42062.0,바라던치과의원,2026-02-13 17:13:32,I,2026-02-15 00:20:02,치과의원,348363.5481795,263384.399112037,치과의원,1,0,0,254.3,412 411 410 409 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",,,,0,0,,,0,,,바라던치과의원_대구광역시수성구만촌동1036-16
2492,의원,01_01_02_P,3740000,PHMA120263740032041100003,2026-02-13,,1,영업/정상,13,영업중,,,,,031-408-7550,,,경기도 수원시 권선구 당수동 388-19,"경기도 수원시 권선구 당수로130번길 13, 성산타워 401,402호 (당수동)",16373.0,연세귀한이비인후과의원,2026-02-13 10:45:58,I,2026-02-15 00:20:02,의원,195044.776543289,420254.723699829,의원,1,0,0,235.0,113,이비인후과,,,,0,0,,,0,,,연세귀한이비인후과의원_경기도수원시권선구당수동388-19
2015,의원,01_01_02_P,3220000,PHMA120263220033041100024,2026-02-12,,1,영업/정상,13,영업중,,,,,02-6337-7575,,,서울특별시 강남구 논현동 118-6 9층,"서울특별시 강남구 학동로53길 3-2, 청담스타빌딩 9층 (논현동)",6060.0,솔린의원,2026-02-12 15:43:40,I,2026-02-14 00:20:02,의원,203478.44934791,446122.702025921,의원,3,0,0,193.87,114,피부과,,,,0,0,,,0,,,솔린의원_서울특별시강남구논현동118-69층
2020,의원,01_01_02_P,3200000,PHMA120263200033041100003,2026-02-12,,1,영업/정상,13,영업중,,,,,02-882-7582,,,서울특별시 관악구 봉천동 1659-2,"서울특별시 관악구 남부순환로 1922, 8층 (봉천동)",8793.0,365열한의원,2026-02-12 17:32:34,I,2026-02-14 00:20:02,한의원,196631.023343907,441655.970495238,한의원,2,0,0,405.93,308 307 306 305 304 303 302 301,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,,365열한의원_서울특별시관악구봉천동1659-2
2021,의원,01_01_02_P,3280000,PHMA120263280023041100001,2026-02-12,,1,영업/정상,13,영업중,,,,,051-412-5566,,,부산광역시 영도구 영선동1가 21-1 영도오션트라움,"부산광역시 영도구 태종로 107, 영도오션트라움 3층 (영선동1가)",49036.0,영도탑마취통증의학과의원,2026-02-12 20:43:13,I,2026-02-14 00:20:02,의원,386208.241461828,178822.91667553,의원,1,0,0,446.0,120 109 106 105,"정형외과, 신경외과, 마취통증의학과, 재활의학과",,,,0,0,,,0,,,영도탑마취통증의학과의원_부산광역시영도구영선동1가21-1영도오션트라움
2496,의원,01_01_02_P,3940000,PHMA120263940138041100002,2026-02-11,,1,영업/정상,13,영업중,,,,,031-962-4758,,,경기도 고양시 덕양구 성사동 877,"경기도 고양시 덕양구 고양대로 1415, 4층 C405~406, C411~412호 (성사동)",10464.0,365원당튼튼척의원,2026-02-13 09:47:06,I,2026-02-15 00:20:02,의원,,,의원,1,0,0,489.26,105,정형외과,,,,0,0,,,0,,,365원당튼튼척의원_경기도고양시덕양구성사동877
2013,의원,01_01_02_P,3100000,PHMA120263100034041100001,2026-02-11,,1,영업/정상,13,영업중,,,,,02-6408-2882,,,서울특별시 노원구 중계동 366-5 세일학원,"서울특별시 노원구 중계로 206, 세일학원 4층 401호 (중계동)",1720.0,서울미소앤치과의원,2026-02-12 15:14:50,I,2026-02-14 00:20:02,치과의원,206772.480290066,460946.703229565,치과의원,1,0,0,159.7,412 411 410 409 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",,,,0,0,,,0,,,서울미소앤치과의원_서울특별시노원구중계동366-5세일학원
2481,의원,01_01_02_P,3010000,PHMA120263010033041100012,2026-02-11,,1,영업/정상,13,영업중,,,,,02-2038-6706,,,서울특별시 중구 충무로5가 73-1 민국저축은행 1층,"서울특별시 중구 퇴계로 234, 민국저축은행 1층 (충무로5가)",4624.0,글로리의원,2026-02-13 03:43:15,I,2026-02-15 00:20:02,의원,199746.275794865,451062.245617121,의원,2,0,0,207.18,114,피부과,,,,0,0,,,0,,,글로리의원_서울특별시중구충무로5가73-1민국저축은행1층
1983,의원,01_01_02_P,4020000,PHMA120264020028041100001,2026-02-11,,1,영업/정상,13,영업중,,,,,031-391-6616,,,경기도 군포시 산본동 1133-2 국민은행,"경기도 군포시 산본로323번길 16-26, 국민은행 3층 일부호 (산본동)",15865.0,사암산본한의원,2026-02-11 14:50:33,I,2026-02-13 00:20:38,한의원,193885.990006361,428661.315141694,한의원,1,0,0,419.8,308 307 306 305 304 303 302 301,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,,사암산본한의원_경기도군포시산본동1133-2국민은행
1981,의원,01_01_02_P,3620000,PHMA120263620020041100003,2026-02-11,,1,영업/정상,13,영업중,,,,,062-716-1175,,,광주광역시 북구 신용동 860 첨단2지구 대성베르힐,"광주광역시 북구 첨단연신로 100, 첨단2지구 대성베르힐 A동 2층 211호 (신용동)",61085.0,첨단숲정신건강의학과의원,2026-02-11 10:49:00,I,2026-02-13 00:20:38,의원,187648.302840683,189734.61218906,의원,3,0,0,185.42,103,정신건강의학과,,,,0,0,,,0,,,첨단숲정신건강의학과의원_광주광역시북구신용동860첨단2지구대성베르힐
1980,의원,01_01_02_P,4490000,PHMA120264490261041100005,2026-02-11,,1,영업/정상,13,영업중,,,,,041-414-9275,,,충청남도 천안시 서북구 불당동 727,"충청남도 천안시 서북구 번영로 100, 6층 (불당동)",31163.0,귀엔서울이비인후과의원,2026-02-11 17:18:50,I,2026-02-13 00:20:38,의원,209613.172421654,367649.092728018,의원,0,2,2,432.79,113,이비인후과,,,,0,0,,,0,,,귀엔서울이비인후과의원_충청남도천안시서북구불당동727
1979,의원,01_01_02_P,3200000,PHMA120263200033041100002,2026-02-11,,1,영업/정상,13,영업중,,,,,02-6952-4898,,,서울특별시 관악구 신림동 1428-1,"서울특별시 관악구 신림로 386, 3층 (신림동)",8753.0,신림연세정형외과의원,2026-02-11 13:14:15,I,2026-02-13 00:20:38,의원,193607.335635555,442956.177570046,의원,2,0,0,476.77,120 109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과, 재활의학과",,,,0,0,,,0,,,신림연세정형외과의원_서울특별시관악구신림동1428-1
