"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물용의료용구판매업","02_03_03_P","3990000","399000001320260002","2026-02-02","","01","영업/정상","0000","정상","","","","","070-7106-0575","59.98","","경기도 남양주시 다산동 **** 다산 이편한세상자이","경기도 남양주시 다산중앙로**번길 **, ****동 ***호 (다산동, 다산 이편한세상자이)","12248","두리인터내셔널","2026-02-02 00:28:04","I","2026-02-04 00:20:02","","213380.754999447","457460.27366737","동물용의료용구판매업","","000","0",
"2","동물용의료용구판매업","02_03_03_P","5680000","568000001320260001","2026-02-02","","01","영업/정상","0000","정상","","","","","","","","충청남도 당진시 읍내동 *** 자미온","충청남도 당진시 무수동로 ***, ***호 (읍내동)","31772","벨로라 솔루션","2026-02-02 23:13:37","I","2026-02-04 00:20:02","","167605.528329581","377326.959598459","동물용의료용구판매업","","000","0",
"3","동물용의료용구판매업","02_03_03_P","5680000","568000001320260002","2026-02-02","","01","영업/정상","0000","정상","","","","","","","","충청남도 당진시 읍내동 *** 자미온","충청남도 당진시 무수동로 ***, ***호 (읍내동)","31772","바른한결","2026-02-02 23:22:10","I","2026-02-04 00:20:02","","167605.528329581","377326.959598459","동물용의료용구판매업","","000","0",
"4","동물용의료용구판매업","02_03_03_P","5680000","568000001320260003","2026-02-02","","01","영업/정상","0000","정상","","","","","","","","충청남도 당진시 읍내동 *** 자미온","충청남도 당진시 무수동로 ***, ***호 (읍내동)","31772","루신트","2026-02-02 23:27:42","I","2026-02-04 00:20:02","","167605.528329581","377326.959598459","동물용의료용구판매업","","000","0",
"5","동물용의료용구판매업","02_03_03_P","3630000","363000001320230004","2023-08-23","","03","폐업","0002","폐업","2025-09-01","","","","","32","","광주광역시 광산구 선암동 *** 광주 선운지구 EG the* *단지","광주광역시 광산구 선운중앙로 **, ***동 B***호 (선암동, 광주 선운지구 EG the* *단지)","62401","견생냥품 광주선운점","2026-01-30 13:31:54","U","2026-02-04 11:04:37","","179537.663948415","183367.548036053","동물용의료용구판매업","","000","0",
"6","동물용의료용구판매업","02_03_03_P","3830000","383000001320210002","2024-04-01","","01","영업/정상","0000","정상","","","","","02-548-1977","","","경기도 안양시 동안구 비산동 ****-* 샤크존","경기도 안양시 동안구 평촌대로***번길 **, 샤크존 지*층 B***호 (비산동)","14047","(주)큐더스커뮤니케이션","2026-01-30 14:37:47","U","2026-02-04 11:04:37","","195769.966943865","432304.250823794","동물용의료용구판매업","","L00","0",
"7","동물용의료용구판매업","02_03_03_P","4681000","468100001320250001","2025-02-27","","03","폐업","0002","폐업","2026-01-15","","","","","3.3","","전북특별자치도 익산시 신동 ***-*","전북특별자치도 익산시 인북로 ***, *층 (신동)","54647","제이비 바이오랩","2026-01-30 14:43:34","U","2026-02-04 11:04:37","","196439.365930234","273229.993597437","동물용의료용구판매업","","000","0",
"8","동물용의료용구판매업","02_03_03_P","3780000","378000001320220005","2022-02-21","","03","폐업","0002","폐업","2026-01-30","","","","","0","","경기도 성남시 분당구 구미동 ** 웰파크 빌딩 ***호","경기도 성남시 분당구 미금일로**번길 **, 웰파크 빌딩 ***호 (구미동)","13627","주식회사 비에네스소프트","2026-02-02 10:34:58","U","2026-02-05 09:52:04","","209717.597753564","427437.271199733","동물용의료용구판매업","","L00","0",
"9","동물용의료용구판매업","02_03_03_P","4170000","417000001320260001","2026-02-04","","01","영업/정상","0000","정상","","","","","","128","","경기도 양평군 용문면 조현리 **-*","경기도 양평군 용문면 적현*길 **-*","12511","이에스 스토어(ES Store)","2026-02-04 15:16:59","I","2026-02-06 00:20:02","","254675.177690574","447216.450020744","동물용의료용구판매업","","000","0",
"10","동물용의료용구판매업","02_03_03_P","4080000","408000001320230002","2023-08-23","","03","폐업","0002","폐업","2026-02-04","","","","","40.28","","경기도 안성시 공도읍 용두리 ***-* ***호","경기도 안성시 공도읍 공도로 **-**, ***호","17561","견생냥품 무인24시 안성 공도점","2026-02-04 15:05:54","U","2026-02-06 02:40:00","","214722.026548868","388746.196588171","동물용의료용구판매업","","000","0",
