"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물판매업","02_03_07_P","3560000","356000004520260001","2026-02-02","","01","영업/정상","0000","정상","","","","","","0","","인천광역시 서구 석남동 ***-*","인천광역시 서구 서달로***번길 **, *층 (석남동)","22801","미니펫스쿨 인천점","2026-02-02 13:26:56","I","2026-02-04 00:20:02","","171605.67598739","445267.475403311","동물판매업","동물판매업(일반)","000","0",
"2","동물판매업","02_03_07_P","4490000","566000004520240006","2024-10-21","","03","폐업","0002","폐업","2026-02-02","","","","","0","","충청남도 천안시 서북구 쌍용동 **** 연탄석쇠한판","충청남도 천안시 서북구 쌍용**길 **-*, *층 (쌍용동)","31172","티랩스","2026-02-02 17:58:54","U","2026-02-04 02:40:00","","210587.206841358","366569.313415431","동물판매업","동물판매업(일반)","000","0",
"3","동물판매업","02_03_07_P","4090000","409000004520220044","2022-09-19","","03","폐업","0002","폐업","2026-02-02","","","","","0","","경기도 김포시 장기동 ****-*","경기도 김포시 김포한강*로***번길 **(장기동)","10064","하이펍 강아지고양이 김포본점","2026-02-02 13:26:15","U","2026-02-04 02:40:00","","170025.887852891","461032.780548009","동물판매업","동물판매업(일반)","000","0",
"4","동물판매업","02_03_07_P","4520000","452000004520190001","2019-01-09","","03","폐업","0002","폐업","2026-02-02","","","","","0","","충청남도 아산시 읍내동 ***-* 도현산업","충청남도 아산시 온주길**번길 *-**, 도현산업 *층 (읍내동)","31562","푸코펫","2026-02-02 18:02:22","U","2026-02-04 02:40:00","","201700.251473821","362231.656019865","동물판매업","동물판매업(일반)","000","0",
"5","동물판매업","02_03_07_P","3600000","360000004520220002","2022-02-11","","03","폐업","0002","폐업","2026-01-30","","","","","0","","광주광역시 서구 금호동 ****","광주광역시 서구 화개중앙로**번길 **, 와이엘스퀘어 ***호 (금호동)","62011","퍼피움","2026-02-02 09:29:38","U","2026-02-04 02:40:00","","186319.443501469","180934.205996305","동물판매업","동물판매업(일반)","000","0",
"6","동물판매업","02_03_07_P","3100000","310000004520130002","2013-12-30","","03","폐업","0002","폐업","2026-02-02","","","","986-2080","0","","서울특별시 노원구 중계동 ***-*","서울특별시 노원구 동일로***가길 ** (중계동)","01783","홈플러스 중계점","2026-02-02 15:37:53","U","2026-02-04 02:40:00","","205985.953324881","459730.43776924","동물판매업","동물판매업(일반)","L00","0",
"7","동물판매업","02_03_07_P","4040000","404000004520120002","2012-08-23","","03","폐업","0002","폐업","2026-01-28","","","","777-7000","0","","경기도 하남시 신장동 *** 하남두산위브파크 지하*층","경기도 하남시 하남대로 *** 지하*층 (신장동, 하남두산위브파크)","","아쿠아플러스(주)하남점","2026-02-02 15:14:58","U","2026-02-04 02:40:00","","218722.326285059","448437.965903226","동물판매업","동물판매업(일반)","L00","0",
"8","동물판매업","02_03_07_P","3560000","356000004520180034","2018-08-02","","01","영업/정상","0000","정상","","","","2026-01-06","0325660075","0","","인천광역시 서구 연희동 ***-*","인천광역시 서구 서곶로 ***, *층 (연희동)","22722","우리동물병원","2026-02-02 14:37:50","U","2026-02-04 02:40:00","","171358.991632985","449672.946321869","동물판매업","동물판매업(일반)","000","0",
"9","동물판매업","02_03_07_P","3700000","370000004520160006","2016-05-30","","03","폐업","0002","폐업","2026-02-02","","","","","0","","울산광역시 남구 야음동 ***-**","울산광역시 남구 수암로 *** (야음동)","44736","멍멍&amp;DOG","2026-02-02 15:17:00","U","2026-02-04 02:40:00","","410785.171329693","227739.018085544","동물판매업","동물판매업(일반)","000","0",
"10","동물판매업","02_03_07_P","4390000","439000004520150002","2015-07-13","","03","폐업","0002","폐업","2026-02-02","","","","043+843-0630","0","","충청북도 충주시 성내동 ***","충청북도 충주시 형설로 *** (성내동)","27388","바둑아 놀자","2026-02-02 13:47:36","U","2026-02-04 02:40:00","","283448.100499227","385733.628419537","동물판매업","동물판매업(일반)","000","0",
