"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","복합유통게임제공업","03_05_04_P","3860000","CDFF2241032019000004","2019-12-05","","01","영업/정상","13","영업중","","","","","","","","경기도 부천시 소사구 괴안동 187-2","경기도 부천시 소사구 안곡로 209, 지층 (괴안동)","14678","3POP PC방","2026-02-02 14:43:20","U","2026-02-04 02:40:00","","183881.967180219","442751.670739773","복합유통게임제공업","유통관련업","0","","식품접객업(휴게음식점)","297","0","0","","0","0","0","0","","","","","","","","","","","","120","","","","","","",
"2","복합유통게임제공업","03_05_04_P","3670000","CDFF2241032019000001","2019-05-16","","01","영업/정상","13","영업중","","","","","","","","대전광역시 유성구 자운동 20-16 2층","대전광역시 유성구 신성남로 140, 2층 (자운동)","34108","SS PC","2026-01-30 09:50:04","U","2026-02-04 11:04:37","","231404.14978518","321399.978107216","복합유통게임제공업","유통관련업","0","","휴게음식점","118.8","2","0","","0","0","0","0","","","","","","","","","","","","43","","","","","","",
"3","복합유통게임제공업","03_05_04_P","4000000","CDFF2241032017000001","2017-04-04","","01","영업/정상","13","영업중","","","","","","","","경기도 오산시 금암동 501-4","경기도 오산시 수목원로468번길 6-11, 1층 (금암동)","18108","THE PLAY(더플레이)","2026-01-30 10:03:50","U","2026-02-04 11:04:37","","204441.73965679","408123.493886605","복합유통게임제공업","유통관련업","2","기타","","76.05","2","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","노래연습장업","전체이용가 및 청소년이용불가","","","","근린상업지역",
"4","복합유통게임제공업","03_05_04_P","5710000","CDFF2241032023000005","2023-10-25","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 상당구 용암동 3084","충청북도 청주시 상당구 중고개로141번길 13-21, 305~309호 (용암동)","28808","스틸시리즈PC 청주점","2026-01-30 11:00:22","U","2026-02-04 11:04:37","","246165.543033322","346256.743091426","복합유통게임제공업","유통관련업","0","","식품접객업","426.84","0","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","전체이용가","","","","",
"5","복합유통게임제공업","03_05_04_P","4050000","CDFF2241032026000002","2026-02-03","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 기흥구 영덕동 985-1 이씨티","경기도 용인시 기흥구 흥덕2로87번길 18, 이씨티 B동 306~307호 (영덕동)","16954","히포 HIPPO PC","2026-02-03 13:58:05","I","2026-02-06 00:20:02","","206306.301931615","419313.955217649","복합유통게임제공업","유통관련업","0","","식품접객업(휴게음식점)","174.65","0","0","","0","0","0","0","","","","","","","","","","","","0","","전체이용가","","","","",
"6","복합유통게임제공업","03_05_04_P","3940000","CDFF2241032026000001","2026-02-04","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산서구 덕이동 373-21","경기도 고양시 일산서구 하이파크2로 65, 2층 (덕이동)","10231","욜로PC방 일산덕이점","2026-02-04 14:54:10","I","2026-02-06 00:20:02","","178440.320567802","466401.449064464","복합유통게임제공업","유통관련업","0","","휴게음식업","469.29","0","0","","0","587","0","0","","","","","","","","","","","","0","","전체이용가","","","","",
"7","복합유통게임제공업","03_05_04_P","3820000","CDFF2241032019000003","2019-04-30","","03","폐업","03","폐업","2022-07-12","","","","","","","경기도 의정부시 호원동 427-4","경기도 의정부시 평화로 365, 지하1층 (호원동)","11705","아이비pc방","2026-02-03 11:31:57","U","2026-02-06 02:40:00","","204158.407663875","469121.340182865","복합유통게임제공업","유통관련업","0","","식품접객업","266.12","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","복합유통게임제공업","03_05_04_P","3820000","CDFF2241032017000002","2017-03-31","","03","폐업","03","폐업","2019-05-16","","","","","","","경기도 의정부시 호원동 312-5","경기도 의정부시 외미로 92-20, 2층 (호원동)","11638","피에스 pc방 회룡역점","2026-02-03 11:31:57","U","2026-02-06 02:40:00","","204015.245299635","469021.79661304","복합유통게임제공업","유통관련업","3","","식품접객업","190.35","3","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","복합유통게임제공업","03_05_04_P","3820000","CDFF2241032017000004","2017-07-05","","04","취소/말소/만료/정지/중지","35","직권말소","2020-09-16","","","","","","","경기도 의정부시 의정부동 494","경기도 의정부시 시민로 80, 14층 1425호 (의정부동, 센트럴타워)","11651","레드브이알 의정부점","2026-02-03 11:31:57","U","2026-02-06 02:40:00","","203772.831832169","470619.109108938","복합유통게임제공업","유통관련업","17","","","55.48","14","0","","0","0","0","0","","","","","","","","","","","","0","","전체이용가","","","","",
"10","복합유통게임제공업","03_05_04_P","3820000","CDFF2241032019000005","2019-11-28","","03","폐업","03","폐업","2022-04-01","","","","","","","경기도 의정부시 호원동 320-1 2층","경기도 의정부시 호동로 78, 2층 (호원동)","11631","더엑스PC호원점","2026-02-03 11:31:57","U","2026-02-06 02:40:00","","203736.189992435","469375.756485508","복합유통게임제공업","유통관련업","6","","식품접객업(휴게음식점)","157.3","5","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
