"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","공연장","03_06_01_P","5670000","CDFE1230002014000003","2014-07-09","","03","폐업","03","폐업","2026-02-13","","","","","","641-815","경상남도 창원시 의창구 명서동 199-2 대호상가지하1호","경상남도 창원시 의창구 창이대로113번길 20 (명서동, 대호상가지하1호)","641-815","도파니아트홀","2026-02-13 17:35:37","U","2026-02-15 02:40:00","","349982.697738559","194984.205231786","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"2","공연장","03_06_01_P","5350000","CDFE1230002021000002","2021-07-13","","03","폐업","03","폐업","2026-02-05","","","","055-338-5569","","","경상남도 김해시 동상동 497-13","경상남도 김해시 가야로515번길 4 (동상동)","50843","예술공간 예닮","2026-02-05 13:32:44","U","2026-02-07 02:40:00","","371956.038000792","194662.672801754","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","공연장","03_06_01_P","4641000","CDFE1230002022000001","2022-03-23","","03","폐업","03","폐업","2026-02-02","","","","","","","전북특별자치도 전주시 덕진구 송천동1가 98","전북특별자치도 전주시 덕진구 오송1길 37-5, 302호 (송천동1가)","54823","J Art Hall","2026-02-02 13:18:45","U","2026-02-04 02:40:00","","211722.337934345","262572.143186315","공연장","공연장","","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","공연장","03_06_01_P","3010000","CDFE1230002023000001","2023-10-06","","03","폐업","03","폐업","2026-01-23","","","","","","","서울특별시 중구 을지로4가 77","서울특별시 중구 창경궁로5길 5, 4층 (을지로4가)","04545","을지공간","2026-02-13 14:43:50","U","2026-02-15 02:40:00","","199726.04316668","451646.493769377","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","공연장","03_06_01_P","3590000","CDFE1230002014000004","2014-12-02","","01","영업/정상","13","영업중","","","","","062-416-1006","","501-180","광주광역시 동구 광산동 77-6","광주광역시 동구 문화전당로 43 (광산동)","501-180","보헤미안","2026-02-13 11:06:51","U","2026-02-15 02:40:00","","192503.705289454","183022.684106085","공연장","공연장","","0","유흥업소밀집지역","","","근린생활시설","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","공연장","03_06_01_P","3140000","CDFE1230002002000002","2002-12-30","","01","영업/정상","13","영업중","","","","","02-2620-4404","","158-070","서울특별시 양천구 신정동 322","서울특별시 양천구 목동서로 367 (신정동)","158-885","양천문화회관","2026-02-03 09:58:57","U","2026-02-06 02:40:00","","187841.832937812","446044.946931541","공연장","공연장","일반상업지역","6","아파트지역","","","문화시설","4","2","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"7","공연장","03_06_01_P","3170000","CDFE1230002023000001","2023-07-07","","01","영업/정상","13","영업중","","","","","070-8812-2020","","","서울특별시 금천구 시흥동 911-7","서울특별시 금천구 금하로24길 7, 지하1층 (시흥동)","08644","수상한창고","2026-02-04 09:56:42","U","2026-02-07 02:40:00","","191853.267992546","438727.034928282","공연장","공연장","근린상업지역","3","기타","","","근린생활시설","1","2","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"8","공연장","03_06_01_P","3600000","CDFE1230002017000001","2017-10-11","","01","영업/정상","13","영업중","","","","","062-374-3304","","","광주광역시 서구 치평동 1216 우리은행상무지점","광주광역시 서구 상무중앙로 90, 7층 (치평동)","61949","기분좋은극장","2026-02-02 17:34:57","U","2026-02-04 02:40:00","","186158.945498138","183980.064166866","공연장","공연장","","8","기타","","","","7","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"9","공연장","03_06_01_P","6520000","CDFE1230002012000001","2012-06-20","","01","영업/정상","13","영업중","","","","","064-780-0900","","699-901","제주특별자치도 서귀포시 성산읍 고성리 127-1","제주특별자치도 서귀포시 성산읍 섭지코지로 95","699-901","오션 아레나","2026-02-02 13:07:31","U","2026-02-04 02:40:00","","193124.872550337","-6980.11333313438","공연장","공연장","자연녹지지역","4","기타","","","문화시설","2","2","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"10","공연장","03_06_01_P","4341000","CDFE1230002003000001","2003-05-14","","01","영업/정상","13","영업중","","","","","681-4146","","219-801","강원특별자치도 고성군 간성읍 하리 27-1","강원특별자치도 고성군 간성읍 간성로 71-7","24729","고성군문화의집","2026-02-13 10:11:06","U","2026-02-15 02:40:00","","328115.668960035","542759.329132853","공연장","공연장","준주거지역","4","학교정화(상대)","","","문화시설","3","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"11","공연장","03_06_01_P","5680000","CDFE1230002023000002","2023-06-05","","01","영업/정상","13","영업중","","","","","041-352-3705","","","충청남도 당진시 읍내동 234-33 당진문화예술학교","충청남도 당진시 남산공원길 151-13, 당진시 평생학습관 (읍내동)","31776","당진시 평생학습관 블랙박스홀","2026-01-30 09:01:34","U","2026-02-04 11:04:37","","167472.95749191","377017.995178508","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"12","공연장","03_06_01_P","4721000","CDFE1230002026000001","2026-01-29","","01","영업/정상","13","영업중","","","","","063-291-3780","","","전북특별자치도 완주군 이서면 갈산리 663-1","전북특별자치도 완주군 이서면 기지로 36, 스타타워빌딩 509호","55365","더블유(W)복합문화공간","2026-02-03 17:58:42","U","2026-02-06 02:40:00","","204991.01543846","259763.203689917","공연장","공연장","","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"13","공연장","03_06_01_P","3130000","CDFE1230002021000010","2021-11-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 377-3 슬로우 로켓(SLOW ROCKET)","서울특별시 마포구 잔다리로 59, 지하1층 (서교동)","04034","가온스테이지","2026-02-03 11:47:31","U","2026-02-06 02:40:00","","192638.934814421","450094.333626199","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"14","공연장","03_06_01_P","5080000","CDFE1230002026000001","2026-02-04","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 형곡동 132-12","경상북도 구미시 형곡로12길 6-22, 중부교회 2층(소극장 중부) 2층 (형곡동)","39292","소극장 중부","2026-02-04 08:57:50","I","2026-02-06 00:20:02","","319768.620835709","291376.008687092","공연장","공연장","","3","","","","","3","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"15","공연장","03_06_01_P","4160000","CDFE1230002003000001","2003-02-07","","01","영업/정상","13","영업중","","","","","031-8078-8076","","477-804","경기도 가평군 가평읍 대곡리 337","경기도 가평군 가평읍 문화로 131","477-701","가평문화예술회관","2026-02-04 15:54:07","U","2026-02-06 02:40:00","","244591.699295119","480385.483370692","공연장","공연장","준주거지역","3","기타","","","문화시설","2","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"16","공연장","03_06_01_P","4020000","CDFE1230002003000001","2003-01-21","","01","영업/정상","13","영업중","","","","","031-390-3500","","435-802","경기도 군포시 산본동 1101","경기도 군포시 고산로 599 (산본동)","435-045","군포문화예술회관 수리홀","2026-02-11 10:57:01","U","2026-02-13 02:40:00","","193490.055724808","429360.440501578","공연장","공연장","일반주거지역","6","주택가주변","","","문화시설","4","2","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
