"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","테마파크업(기타)","03_07_08_P","3310000","CDFI5272002024000004","2024-10-11","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 56-18","부산광역시 남구 용소로7번길 6-1 (대연동)","48512","게임디 경성대점","2026-02-02 09:21:40","U","2026-02-04 02:40:00","","391407.661986056","183966.539524631","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"2","테마파크업(기타)","03_07_08_P","4701000","CDFI5272002020000001","2020-12-03","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 남원시 도통동 290-4","전북특별자치도 남원시 동도1길 24 (도통동)","55736","리틀엔젤","2026-02-02 13:46:46","U","2026-02-04 02:40:00","","235871.445740942","213473.735989496","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","테마파크업(기타)","03_07_08_P","5020000","CDFI5272002024000002","2024-05-03","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 오천읍 문덕리 854-2","경상북도 포항시 남구 오천읍 문덕서로 116","37891","어메이징캠프닉","2026-02-02 11:24:25","U","2026-02-04 02:40:00","","","","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","미니에어바운스(비행기형바운스 1~6, 미로바운스 1~16], 붕붕뜀틀[트램펄린]","0","","","","","","","0","","","","0",
"4","테마파크업(기타)","03_07_08_P","5020000","CDFI5272002014000001","2014-07-11","","01","영업/정상","13","영업중","","","","","054-276-8800","","790-804","경상북도 포항시 남구 구룡포읍 병포리 431-8","경상북도 포항시 남구 구룡포읍 동해안로 4923","37937","호미곶온천랜드","2026-02-02 16:15:51","U","2026-02-04 02:40:00","","427187.225295734","278698.105795395","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","테마파크업(기타)","03_07_08_P","3090000","CDFI5272002025000003","2025-12-24","","03","폐업","03","폐업","2026-02-02","","","","","","","서울특별시 도봉구 도봉동 628 성균관대학교종합운동장","서울특별시 도봉구 도봉로168길 30, 성균관대학교종합운동장 (도봉동)","01321","해누리(도봉구 눈썰매장)","2026-02-02 19:00:11","U","2026-02-04 02:40:00","","204154.244756969","464025.980159844","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","Y","","Y","Y","","","0","","","","0",
"6","테마파크업(기타)","03_07_08_P","5190000","CDFI5272002023000001","2023-03-22","","01","영업/정상","13","영업중","","","","","","","","경상북도 청도군 각북면 삼평리 1141-1","경상북도 청도군 각북면 삼평1길 90-11","38303","빗소리야영장","2026-02-02 11:20:08","U","2026-02-04 02:40:00","","344254.877952556","242070.242337838","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"7","테마파크업(기타)","03_07_08_P","3150000","CDFI5272002014000001","2014-02-18","","01","영업/정상","13","영업중","","","","","02-6116-5727","","157-220","서울특별시 강서구 방화동 886","서울특별시 강서구 하늘길 38 (방화동)","07505","(주)플레이스케이프","2026-02-02 11:21:44","U","2026-02-04 02:40:00","","182524.823835629","451438.25089679","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"8","테마파크업(기타)","03_07_08_P","5020000","CDFI5272002021000001","2021-04-09","","01","영업/정상","13","영업중","","","","","054-291-9577","","","경상북도 포항시 남구 오천읍 원리 1085","경상북도 포항시 남구 오천읍 원동로 109, 4층","37881","(주)빅랜드","2026-02-02 11:20:09","U","2026-02-04 02:40:00","","416600.564414252","277397.828329013","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","Y","","","","","","0","","","","0",
"9","테마파크업(기타)","03_07_08_P","5020000","CDFI5272002023000001","2023-10-31","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 장기면 계원리 674","경상북도 포항시 남구 장기면 동해안로3072번길 23-17","37947","농업회사법인 주식회사 이티아이티에프","2026-02-02 11:17:32","U","2026-02-04 02:40:00","","428643.222910575","266075.46164798","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"10","테마파크업(기타)","03_07_08_P","3940000","CDFI5272002023000008","2023-11-27","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 덕양구 지축동 1007-7 로로프라자Ⅱ","경기도 고양시 덕양구 지축1로 45, 로로프라자Ⅱ 410-411호 (지축동)","10585","점핑몬스터 지축점","2026-02-02 09:04:47","U","2026-02-04 02:40:00","","","","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","붕붕뜀틀1, 회전형라이더1","0","","","","","","","0","","","","0",
