번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,Unnamed: 59,record_key
335,노래연습장업,03_09_01_P,4530000,CDFF3242052026000003,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,충청남도 서산시 동문동 659-4 삼미빌딩,"충청남도 서산시 서령로 74, 삼미빌딩 1층 (동문동)",31968,프라임 코인 노래연습장,2026-02-13 10:37:12,I,2026-02-15 00:20:02,,151470.741611692,365401.212284073,노래연습장업,유통관련업,0.0,,,60.0,1.0,0.0,,0.0,0.0,10.0,0.0,,,,Y,,,,,,,,0.0,,,,,,,,프라임코인노래연습장_충청남도서산시동문동659-4삼미빌딩
316,노래연습장업,03_09_01_P,3060000,CDFF3242052026000002,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중랑구 묵동 175-7,"서울특별시 중랑구 동일로 918, 지하층 (묵동)",02033,틴틴코인노래연습장 먹골역점,2026-02-12 11:42:57,I,2026-02-14 00:20:02,,206788.864647983,456673.982652025,노래연습장업,유통관련업,0.0,,,199.74,0.0,0.0,,0.0,0.0,20.0,0.0,,,,Y,,,,,,,,0.0,,,,,,,,틴틴코인노래연습장먹골역점_서울특별시중랑구묵동175-7
295,노래연습장업,03_09_01_P,5530000,CDFF3242052026000002,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,경기도 화성시 병점구 진안동  914-2 미래프라자,"경기도 화성시 병점구 효행로 1059, 미래프라자 2층 204호 (진안동)",18398,코인홀릭코인노래연습장 병점1호점,2026-02-11 08:46:29,I,2026-02-13 00:20:38,,203702.688715894,412531.607840638,노래연습장업,유통관련업,0.0,,,112.71,0.0,0.0,,0.0,610.0,15.0,15.0,Y,Y,,Y,Y,Y,,,,,,0.0,,,,,,,,코인홀릭코인노래연습장병점1호점_경기도화성시병점구진안동914-2미래프라자
294,노래연습장업,03_09_01_P,3670000,CDFF3242052026000001,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,대전광역시 유성구 봉명동 666-1,"대전광역시 유성구 문화원로 141, 2층 201호 (봉명동)",34184,톡톡 노래연습장,2026-02-11 10:56:42,I,2026-02-13 00:20:38,,231463.465684987,317571.830070157,노래연습장업,유통관련업,0.0,,,149.74,0.0,0.0,,0.0,0.0,6.0,0.0,,,,,,,,,,,,0.0,,,,,,,,톡톡노래연습장_대전광역시유성구봉명동666-1
232,노래연습장업,03_09_01_P,3110000,CDFF3242052026000001,2026-02-06,,1,영업/정상,13,영업중,,,,,,,,서울특별시 은평구 역촌동 51-79 은평성심의원,"서울특별시 은평구 갈현로 88, 은평성심의원 2층 (역촌동)",03415,엣지코인노래연습장,2026-02-06 15:56:23,I,2026-02-08 00:20:01,,192049.677456734,455941.134729462,노래연습장업,유통관련업,0.0,,,132.0,0.0,0.0,근린생활시설,0.0,0.0,14.0,14.0,Y,Y,,Y,,,,,,,,0.0,,,,,,,,엣지코인노래연습장_서울특별시은평구역촌동51-79은평성심의원
213,노래연습장업,03_09_01_P,3020000,CDFF3242052026000001,2026-02-05,,1,영업/정상,13,영업중,,,,,,,,서울특별시 용산구 한강로2가 115-1,"서울특별시 용산구 한강대로 132, 2층 (한강로2가)",04382,렉스코인노래연습장 용산점,2026-02-05 09:06:38,I,2026-02-07 00:20:02,,197285.380806162,447648.148742781,노래연습장업,유통관련업,0.0,,,147.42,2.0,0.0,,0.0,0.0,19.0,19.0,,,,Y,,,,,,,,0.0,,,,,,,,렉스코인노래연습장용산점_서울특별시용산구한강로2가115-1
214,노래연습장업,03_09_01_P,3740000,CDFF3242052026000001,2026-02-04,,1,영업/정상,13,영업중,,,,,,,,경기도 수원시 팔달구 고등동 86-3,"경기도 수원시 팔달구 고매로 4, 지하 1층 (고등동)",16445,천궁노래연습장,2026-02-04 17:25:27,I,2026-02-07 00:20:02,,200344.743262267,418666.598823407,노래연습장업,유통관련업,0.0,,,149.01,0.0,0.0,,0.0,0.0,6.0,1.0,,,,Y,,Y,,,,,,0.0,,,,,,,,천궁노래연습장_경기도수원시팔달구고등동86-3
50,노래연습장업,03_09_01_P,3180000,CDFF3242052026000001,2026-02-04,,1,영업/정상,13,영업중,,,,,,,,서울특별시 영등포구 신길동 428-7,"서울특별시 영등포구 신풍로 16, 2층 (신길동)",07426,조쿠먼노래연습장,2026-02-04 13:07:56,I,2026-02-06 00:20:02,,191760.675340516,444200.496869594,노래연습장업,유통관련업,0.0,,,109.09,0.0,0.0,,0.0,0.0,4.0,0.0,,,,,,,,,,,,0.0,,,,,,,,조쿠먼노래연습장_서울특별시영등포구신길동428-7
52,노래연습장업,03_09_01_P,3730000,CDFF3242052026000001,2026-02-04,,1,영업/정상,13,영업중,,,,,,,,울산광역시 울주군 범서읍 천상리 606-16,"울산광역시 울주군 범서읍 천상중앙길 104, 3층",44928,세븐스타코인노래연습장 울산천상점,2026-02-04 18:04:02,I,2026-02-06 00:20:02,,401669.475319948,231473.914988378,노래연습장업,유통관련업,0.0,기타,,186.2,0.0,0.0,근린생활시설,0.0,60.0,20.0,20.0,,,,Y,,Y,,,,,,0.0,,,,,,일반주거지역,,세븐스타코인노래연습장울산천상점_울산광역시울주군범서읍천상리606-16
51,노래연습장업,03_09_01_P,4530000,CDFF3242052026000002,2026-02-03,,1,영업/정상,13,영업중,,,,,,,,충청남도 서산시 성연면 오사리 1790,"충청남도 서산시 성연면 성연3로 97, 403,404호",31931,잇츠 코인 노래연습장 서산성연점,2026-02-03 15:47:08,I,2026-02-06 00:20:02,,150592.815966542,369663.94891882,노래연습장업,유통관련업,0.0,,,107.85,4.0,0.0,,0.0,0.0,9.0,0.0,,,,Y,,,,,,,,0.0,,,,,,,,잇츠코인노래연습장서산성연점_충청남도서산시성연면오사리1790
1,노래연습장업,03_09_01_P,5080000,CDFF3242052026000003,2026-02-02,,1,영업/정상,13,영업중,,,,,,,,경상북도 구미시 고아읍 문성리 1850,"경상북도 구미시 고아읍 당산로1길 8, 2층",39147,인생네쏭 코인노래연습장,2026-02-02 09:21:41,I,2026-02-04 00:20:02,,321299.904361449,296368.027343235,노래연습장업,유통관련업,0.0,,,149.14,0.0,0.0,,0.0,0.0,11.0,11.0,,,,Y,,,,,,,,0.0,,,,,,,,인생네쏭코인노래연습장_경상북도구미시고아읍문성리1850
273,노래연습장업,03_09_01_P,3210000,CDFF3242052025000002,2025-07-10,,1,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 서초동 1304-4,"서울특별시 서초구 서초대로77길 48, 공간더하기강남타워 3층 (서초동)",06611,젤리몬스터코인노래연습장,2026-02-09 10:52:25,U,2026-02-11 02:40:00,,202147.044961788,444414.530564039,노래연습장업,유통관련업,16.0,,,159.52,13.0,3.0,,0.0,0.0,10.0,10.0,,,,Y,,,,,,,,0.0,,,,,,,,젤리몬스터코인노래연습장_서울특별시서초구서초동1304-4
23,노래연습장업,03_09_01_P,4050000,CDFF3242052025000003,2025-04-18,,1,영업/정상,13,영업중,,,,,,,,경기도 용인시 처인구 역북동 802 5층 롯데시네마 상영관,"경기도 용인시 처인구 중부대로 1294, 5층 (역북동)",17054,미디어스코프(주) 싱잇박스,2026-02-02 14:23:16,U,2026-02-04 02:40:00,,216638.196171374,414851.808049304,노래연습장업,유통관련업,0.0,,,9.0,5.0,0.0,,0.0,74.0,2.0,2.0,,,Y,Y,,Y,,,,,,0.0,,,,,,,,미디어스코프(주)싱잇박스_경기도용인시처인구역북동8025층롯데시네마상영관
253,노래연습장업,03_09_01_P,4641000,CDFF3242052024000006,2024-12-26,,1,영업/정상,13,영업중,,,,,,,,전북특별자치도 전주시 덕진구 송천동2가 1330-9,"전북특별자치도 전주시 덕진구 세병2길 30, 4층 402호 (송천동2가)",55149,판타스틱코인노래연습장 전주에코시티점,2026-02-06 10:22:36,U,2026-02-08 02:40:00,,211391.961982061,263600.517899116,노래연습장업,유통관련업,0.0,,,162.88,0.0,0.0,,0.0,0.0,17.0,17.0,,Y,Y,Y,,,,,,,,0.0,,,,,,,,판타스틱코인노래연습장전주에코시티점_전북특별자치도전주시덕진구송천동2가1330-9
252,노래연습장업,03_09_01_P,3130000,CDFF3242052024000004,2024-11-28,,3,폐업,3,폐업,2026-02-06,,,,,,,서울특별시 마포구 서교동 401-17,"서울특별시 마포구 양화로6길 91, 지하1층 (서교동)",04048,레드 코인 노래연습장,2026-02-06 09:45:03,U,2026-02-08 02:40:00,,192793.602814538,449585.730384148,노래연습장업,유통관련업,0.0,,,128.62,0.0,0.0,,0.0,0.0,19.0,19.0,,,,Y,,,,,,,,0.0,,,,,,,,레드코인노래연습장_서울특별시마포구서교동401-17
342,노래연습장업,03_09_01_P,3230000,CDFF3242052024000004,2024-05-20,,1,영업/정상,13,영업중,,,,,,,,서울특별시 송파구 가락동 81-1,"서울특별시 송파구 송파대로30길 23, 지하층 (가락동)",05712,벅스노래연습장,2026-02-13 16:19:40,U,2026-02-15 02:40:00,,210519.610976691,443699.494391661,노래연습장업,유통관련업,0.0,,,158.7,0.0,1.0,,0.0,0.0,5.0,0.0,Y,Y,Y,,Y,Y,,,,,,0.0,,,,,,,,벅스노래연습장_서울특별시송파구가락동81-1
58,노래연습장업,03_09_01_P,4201000,CDFF3242052023000001,2023-07-11,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 강릉시 안현동 89-87 라카이샌드파인 1층,"강원특별자치도 강릉시 해안로 536, 라카이샌드파인 1층 (안현동)",25460,라카이샌드파인노래연습장,2026-02-03 15:39:56,U,2026-02-06 02:40:00,,367621.813148505,479943.433565044,노래연습장업,유통관련업,0.0,,,180.19,0.0,0.0,,0.0,0.0,5.0,0.0,,,,,,,,,,,,0.0,,,,,,,,라카이샌드파인노래연습장_강원특별자치도강릉시안현동89-87라카이샌드파인1층
11,노래연습장업,03_09_01_P,4840000,CDFF3242052023000001,2023-06-07,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 광양읍 용강리 899-7,"전라남도 광양시 광양읍 와룡2길 5, 2층",57747,텐코인 노래연습장 광양용강점,2026-02-02 10:04:36,U,2026-02-04 02:40:00,,255696.701642268,163701.630021725,노래연습장업,유통관련업,0.0,,,112.2,0.0,0.0,,0.0,0.0,16.0,16.0,,,,Y,,,,,,,,0.0,,,,,,,,텐코인노래연습장광양용강점_전라남도광양시광양읍용강리899-7
