"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"1","관광숙박업","03_11_01_P","3000000","CDFI2260032026000009","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 충신동 148","서울특별시 종로구 율곡로22길 12-14, 7층 (충신동)","03123","스테이 봄","2026-02-02 18:16:22","I","2026-02-04 00:20:02","","200349.182282318","452499.369331122","관광숙박업","","일반상업지역","9","","","","","8","1","0","0","STAY, spring","Tourist accommodation business (hostel business)","0","0","","0","0","","0","78.24","","0","","","","","","","0","","","","78","호스텔업",
"2","관광숙박업","03_11_01_P","3290000","CDFI2260032026000004","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 396-11","부산광역시 부산진구 새싹로 26-1, 2층 (부전동)","47253","해월가","2026-02-02 17:30:40","I","2026-02-04 00:20:02","","387391.27958454","186492.56430288","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","20000000","","","","0","호스텔업",
"3","관광숙박업","03_11_01_P","3290000","CDFI2260032026000005","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 466-15","부산광역시 부산진구 부전로 89, 3층 (부전동)","47258","시재료칸 부산서면점","2026-02-02 21:36:35","I","2026-02-04 00:20:02","","387136.793044667","186263.633261374","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","20000000","","","","0","호스텔업",
"4","관광숙박업","03_11_01_P","3130000","CDFI2260032026000001","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 노고산동 57-39 신촌병우빌딩","서울특별시 마포구 서강로 133, 신촌병우빌딩 5,7층 (노고산동)","04058","스테이플랜비","2026-02-02 17:02:16","I","2026-02-04 00:20:02","","194209.190531122","450239.854658343","관광숙박업","","일반상업지역","0","","","","","0","0","14","0","","","0","0","","0","0","","0","501.9","","0","","","","","","","380000000","","","","502","호스텔업",
"5","관광숙박업","03_11_01_P","3380000","CDFI2260032026000006","2026-01-30","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 110-43 마린리치2","부산광역시 수영구 광안해변로344번길 17-9, 마린리치2 5층 (민락동)","48280","다해","2026-02-02 18:50:10","U","2026-02-04 02:40:00","","394127.73472762","186085.559437142","관광숙박업","","준주거지역","0","","","","","5","0","3","0","","","0","0","","0","0","","0","226.23","","0","","","","","","","110000000","","","","226","호스텔업",
"6","관광숙박업","03_11_01_P","4800000","CDFI2260032025000006","2025-09-17","","01","영업/정상","13","영업중","","","","","","","","전라남도 목포시 영해동2가 8-3","전라남도 목포시 번화로 54 (영해동2가)","58753","나무나루","2026-02-02 18:06:53","U","2026-02-04 02:40:00","","143644.569825376","143299.641813953","관광숙박업","","일반상업지역","2","","","","","2","0","0","0","","","0","0","","0","0","","0","75.25","","0","","","","","","","0","","","","75","호스텔업",
"7","관광숙박업","03_11_01_P","3200000","CDFI2260032017000004","2017-09-07","","01","영업/정상","13","영업중","","","","","02-2660-7300","","","서울특별시 관악구 신림동 1474-11 CS프리미어호텔 서울","서울특별시 관악구 남부순환로 1458 (신림동)","08771","아늑 시그니처 호텔 서울 구로","2026-02-02 15:57:56","U","2026-02-04 02:40:00","","192221.284006412","442115.233810003","관광숙박업","","일반상업지역","18","기타","","KB손보(특수건물)","숙박시설","18","2","104","5084","CSprimierHotelSeoul Co., Ltd","The Tourist Accmmodation Business(Tourist Hotels)","0","0","","0","0","","0","5083.74","","0","","","","","","","1100000000","","","","5084","관광호텔업",
"8","관광숙박업","03_11_01_P","4641000","CDFI2260032018000003","2018-09-18","","01","영업/정상","13","영업중","","","","","063-251-8000","","","전북특별자치도 전주시 완산구 효자동3가 1404-3 그랜드힐스턴컨벤션","전북특별자치도 전주시 완산구 온고을로 211, 그랜드힐스턴컨벤션 (효자동3가)","54956","그랜드힐스턴호텔","2026-02-02 14:58:47","U","2026-02-04 02:40:00","","209051.957109115","259825.312099469","관광숙박업","","준주거지역","12","결혼예식장주변","","","숙박시설","11","1","100","12161","","","0","0","","0","0","","0","12161.37","","0","","","","","","","500000000","","","","12161","관광호텔업",
"9","관광숙박업","03_11_01_P","4281000","CDFI2260032010000001","2010-03-11","","01","영업/정상","13","영업중","","","","","","","232-952","강원특별자치도 평창군 대관령면 용산리 226-73 외 2필지","","","더 에스테이트","2026-01-30 11:23:49","U","2026-02-04 11:04:37","","346679.224254164","463134.310640446","관광숙박업","","","0","","","","","2","1","189","71384208","","","0","0","","0","0","","0","71384.2","","0","","","","","","","0","","","","71384","휴양콘도미니엄업",
"10","관광숙박업","03_11_01_P","3380000","CDFI2260032015000006","2015-07-09","","01","영업/정상","13","영업중","","","","","051-761-2228","","","부산광역시 수영구 광안동 197-16","부산광역시 수영구 광안해변로 191, 4~5층 (광안동)","48303","Playa","2026-01-30 07:35:09","U","2026-02-04 11:04:37","","392811.786140954","185651.968530719","관광숙박업","","일반상업지역","5","기타","","","숙박시설","5","0","4","119","","","0","0","","0","0","","0","227.14","","0","","","","","","","70000000","","","","227","호스텔업",
