번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총직원수,Unnamed: 33,record_key
2687,축산판매업,07_22_04_P,5020000,502000000920260004,2026-02-13,,1,영업/정상,0,정상,,,,,,0.0,,경상북도 포항시 남구 오천읍 원리 1092,경상북도 포항시 남구 오천읍 원동로 95,37881,이동간받이,2026-02-13 15:56:41,I,2026-02-15 00:20:02,식육판매업,416613.467535915,277244.099033912,축산물판매업,식육판매업,0,000,0,,이동간받이_경상북도포항시남구오천읍원리1092
2681,축산판매업,07_22_04_P,3910000,391000000920260007,2026-02-13,,1,영업/정상,0,정상,,,,,,10.3,,경기도 평택시 청북읍 후사리 457,경기도 평택시 청북읍 원후사길 73-5,17799,연세우유 안중,2026-02-13 10:26:06,I,2026-02-15 00:20:02,우유류판매업,194165.478098421,391336.134544867,축산물판매업,우유류판매업,0,000,0,,연세우유안중_경기도평택시청북읍후사리457
2695,축산판매업,07_22_04_P,5530000,574000000920260011,2026-02-13,,1,영업/정상,0,정상,,,,,,15.4,,경기도 화성시 만세구 향남읍 하길리 109-4,경기도 화성시 만세구 향남읍 은행나무로 819,18604,살살녹소,2026-02-13 10:00:10,I,2026-02-15 00:20:02,식육판매업,192542.889584245,402250.47728305,축산물판매업,식육판매업,0,L00,0,,살살녹소_경기도화성시만세구향남읍하길리109-4
2690,축산판매업,07_22_04_P,4641000,464100000920260003,2026-02-13,,1,영업/정상,0,정상,,,,,,0.0,,전북특별자치도 전주시 완산구 평화동2가 867-1,"전북특별자치도 전주시 완산구 평화로 158, 2층 (평화동2가)",55124,주식회사 한누리,2026-02-13 09:44:42,I,2026-02-15 00:20:02,축산물유통전문판매업,212225.814568005,254514.625323042,축산물판매업,축산물유통전문판매업,0,L00,0,,주식회사한누리_전북특별자치도전주시완산구평화동2가867-1
2689,축산판매업,07_22_04_P,4050000,562000000920260008,2026-02-13,,1,영업/정상,0,정상,,,,,,12.0,,경기도 용인시 처인구 이동읍 덕성리 952-1,경기도 용인시 처인구 이동읍 덕성로43번길 9-9,17130,(주)현강,2026-02-13 09:09:19,I,2026-02-15 00:20:02,식육판매업,,,축산물판매업,식육판매업,0,L00,0,,(주)현강_경기도용인시처인구이동읍덕성리952-1
2688,축산판매업,07_22_04_P,6510000,651000000920260007,2026-02-13,,1,영업/정상,0,정상,,,,,,144.79,,제주특별자치도 제주시 용담일동 264-2,제주특별자치도 제주시 남성로 53 (용담일동),63174,유성푸드,2026-02-13 13:16:01,I,2026-02-15 00:20:02,식육판매업,154691.844692102,1064.31442315783,축산물판매업,식육판매업,0,000,0,,유성푸드_제주특별자치도제주시용담일동264-2
2686,축산판매업,07_22_04_P,3000000,300000000920260003,2026-02-13,,1,영업/정상,0,정상,,,,,,0.0,,서울특별시 종로구 명륜1가 16-21 청암빌딩,"서울특별시 종로구 성균관로 58, 청암빌딩 1층 (명륜1가)",03069,(주)에치와이 혜화점,2026-02-13 09:19:41,I,2026-02-15 00:20:02,우유류판매업,199655.685854533,453951.931931301,축산물판매업,우유류판매업,0,L00,0,,(주)에치와이혜화점_서울특별시종로구명륜1가16-21청암빌딩
2685,축산판매업,07_22_04_P,5310000,531000000920260005,2026-02-13,,1,영업/정상,0,정상,,,,,,10.0,,경상남도 진주시 충무공동 287-3,"경상남도 진주시 에나로128번길 7, 2층 204호 (충무공동)",52856,올타축산,2026-02-13 09:20:12,I,2026-02-15 00:20:02,식육판매업,304087.502859251,187010.747828339,축산물판매업,식육판매업,0,000,0,,올타축산_경상남도진주시충무공동287-3
2684,축산판매업,07_22_04_P,3220000,322000000920260012,2026-02-13,,1,영업/정상,0,정상,,,,,,2.0,,서울특별시 강남구 역삼동 832-3 강남역 쉐르빌,"서울특별시 강남구 강남대로 328, 강남역 쉐르빌 2층 201~203 중 일부호 (역삼동)",06252,육목원,2026-02-13 15:24:52,I,2026-02-15 00:20:02,축산물유통전문판매업,202645.88,443351.145,축산물판매업,축산물유통전문판매업,0,000,0,,육목원_서울특별시강남구역삼동832-3강남역쉐르빌
2683,축산판매업,07_22_04_P,3220000,322000000920260011,2026-02-13,,1,영업/정상,0,정상,,,,,,19.22,,서울특별시 강남구 역삼동 788-32,"서울특별시 강남구 도곡로 209, 8층 일부호 (역삼동)",06231,(주)멕시카나,2026-02-13 10:00:22,I,2026-02-15 00:20:02,식육판매업,203626.467936615,443422.868425421,축산물판매업,식육판매업,0,L00,0,,(주)멕시카나_서울특별시강남구역삼동788-32
2682,축산판매업,07_22_04_P,3780000,378000000920260015,2026-02-13,,1,영업/정상,0,정상,,,,,031-8039-7494,177.6,,경기도 성남시 수정구 시흥동 339,"경기도 성남시 수정구 창업로 17, 2층 207-1호 (시흥동)",13449,(주)카츄마마 파미어스몰 점,2026-02-13 17:38:21,I,2026-02-15 00:20:02,축산물유통전문판매업,208613.865984257,434443.112052722,축산물판매업,축산물유통전문판매업,0,L00,0,,(주)카츄마마파미어스몰점_경기도성남시수정구시흥동339
2694,축산판매업,07_22_04_P,4671000,467100000920260004,2026-02-13,,1,영업/정상,0,정상,,,,,063-453-0090,100.4,,전북특별자치도 군산시 서수면 마룡리 861-4,전북특별자치도 군산시 서수면 동군산로 969,54051,새결푸드주식회사,2026-02-13 14:11:55,I,2026-02-15 00:20:02,축산물유통전문판매업,188039.191829388,278053.496379198,축산물판매업,축산물유통전문판매업,0,L00,0,,새결푸드주식회사_전북특별자치도군산시서수면마룡리861-4
2692,축산판매업,07_22_04_P,3540000,354000000920260003,2026-02-12,,1,영업/정상,0,정상,,,,,,0.0,,인천광역시 부평구 십정동 228-3 1층,"인천광역시 부평구 백범로604번길 20, 1층 (십정동)",21448,미트엔터테인먼트,2026-02-13 09:22:27,I,2026-02-15 00:20:02,식육판매업,172446.190062162,441749.317673417,축산물판매업,식육판매업,0,000,0,,미트엔터테인먼트_인천광역시부평구십정동228-31층
2639,축산판매업,07_22_04_P,3210000,321000000920260012,2026-02-12,,1,영업/정상,0,정상,,,,,02-786-1705,80.0,,서울특별시 서초구 잠원동 39-13,"서울특별시 서초구 신반포로45길 18, 5층 502호 (잠원동)",06531,쉬핑뱅크 주식회사,2026-02-12 14:39:17,I,2026-02-14 00:20:02,축산물유통전문판매업,201606.652554407,445457.36515617,축산물판매업,축산물유통전문판매업,0,L00,0,,쉬핑뱅크주식회사_서울특별시서초구잠원동39-13
2636,축산판매업,07_22_04_P,3680000,368000000920260001,2026-02-12,,1,영업/정상,0,정상,,,,,,67.0,,대전광역시 대덕구 오정동 81-18,"대전광역시 대덕구 오정로100번길 41, 1층 103호 (오정동)",34438,강미트 프라임,2026-02-12 18:31:18,I,2026-02-14 00:20:02,식육판매업,236683.314845282,317332.609064005,축산물판매업,식육판매업,0,000,0,,강미트프라임_대전광역시대덕구오정동81-18
2635,축산판매업,07_22_04_P,3780000,378000000920260014,2026-02-12,,1,영업/정상,0,정상,,,,,070-8057-6893,4.3,,경기도 성남시 수정구 고등동 597,"경기도 성남시 수정구 청계산로 695, 5층 비-18호 (고등동)",13105,(주)제이바이오팜,2026-02-12 19:47:25,I,2026-02-14 00:20:02,축산물유통전문판매업,208369.372816094,436121.509207673,축산물판매업,축산물유통전문판매업,0,L00,0,,(주)제이바이오팜_경기도성남시수정구고등동597
2633,축산판매업,07_22_04_P,6510000,651000000920260006,2026-02-12,,1,영업/정상,0,정상,,,,,,335.64,,제주특별자치도 제주시 아라일동 2905,제주특별자치도 제주시 대원북길 18 (아라일동),63236,(주)고진유통,2026-02-12 09:39:02,I,2026-02-14 00:20:02,축산물유통전문판매업,156453.818497739,-2113.32779030065,축산물판매업,축산물유통전문판매업,0,L00,0,,(주)고진유통_제주특별자치도제주시아라일동2905
2632,축산판매업,07_22_04_P,3290000,329000000920260001,2026-02-12,,1,영업/정상,0,정상,,,,,,0.0,,부산광역시 부산진구 부암동 343-112,부산광역시 부산진구 백양순환로 157 (부암동),47138,주식회사 건우푸드,2026-02-12 13:37:52,I,2026-02-14 00:20:02,식육판매업,385945.039530338,187197.456103971,축산물판매업,식육판매업,0,L00,0,,주식회사건우푸드_부산광역시부산진구부암동343-112
2631,축산판매업,07_22_04_P,4080000,408000000920260004,2026-02-12,,1,영업/정상,0,정상,,,,,031-654-3342,6.6,,경기도 안성시 원곡면 지문리 795-3,경기도 안성시 원곡면 지문로 203-67,17553,(주)에스엠지홀딩스,2026-02-12 08:58:44,I,2026-02-14 00:20:02,축산물유통전문판매업,,,축산물판매업,축산물유통전문판매업,0,L00,0,,(주)에스엠지홀딩스_경기도안성시원곡면지문리795-3
2630,축산판매업,07_22_04_P,3730000,373000000920260003,2026-02-12,,1,영업/정상,0,정상,,,,,,0.0,,울산광역시 울주군 서생면 신암리 709-2,"울산광역시 울주군 서생면 해맞이로 821-42, 101호",45014,정안미트,2026-02-12 16:59:43,I,2026-02-14 00:20:02,축산물유통전문판매업,410515.267854086,207962.246434945,축산물판매업,축산물유통전문판매업,0,000,0,,정안미트_울산광역시울주군서생면신암리709-2
2628,축산판매업,07_22_04_P,5530000,575000000920260011,2026-02-12,,1,영업/정상,0,정상,,,,,,23.7,,경기도 화성시 효행구 비봉면 양노리 720-2,경기도 화성시 효행구 비봉면 현대기아로830번길 23,18284,주식회사 드림에너지,2026-02-12 15:57:18,I,2026-02-14 00:20:02,식육판매업,187559.766267942,413339.011424936,축산물판매업,식육판매업,0,L00,0,,주식회사드림에너지_경기도화성시효행구비봉면양노리720-2
2680,축산판매업,07_22_04_P,4191000,419100000920260003,2026-02-12,,1,영업/정상,0,정상,,,,,,48.1,,강원특별자치도 원주시 단계동 919-7,"강원특별자치도 원주시 이화1길 51-12, 지하 1층 (단계동)",26474,주식회사 미트업푸드,2026-02-13 10:34:13,I,2026-02-15 00:20:02,축산물유통전문판매업,282586.334760069,426866.180182156,축산물판매업,축산물유통전문판매업,0,L00,0,,주식회사미트업푸드_강원특별자치도원주시단계동919-7
2627,축산판매업,07_22_04_P,3050000,305000000920260006,2026-02-12,,1,영업/정상,0,정상,,,,,,32.29,,서울특별시 동대문구 이문동 149-8 상가동 D107호,"서울특별시 동대문구 이문로 120, 상가동 D107호 (이문동)",02418,365 한결식품관,2026-02-12 16:09:05,I,2026-02-14 00:20:02,식육판매업,205541.211931615,455132.605075423,축산물판매업,식육판매업,0,000,0,,365한결식품관_서울특별시동대문구이문동149-8상가동D107호
2526,축산판매업,07_22_04_P,5350000,535000000920260007,2026-02-11,,1,영업/정상,0,정상,,,,,,0.0,,경상남도 김해시 대동면 초정리 13-186,경상남도 김해시 대동면 동남로49번길 15,50808,해성유통,2026-02-11 17:31:15,I,2026-02-13 00:20:38,식육판매업,381364.070428855,194943.384498999,축산물판매업,식육판매업,0,000,0,,해성유통_경상남도김해시대동면초정리13-186
2519,축산판매업,07_22_04_P,3360000,336000000920260014,2026-02-11,,1,영업/정상,0,정상,,,,,,45.87,,부산광역시 강서구 화전동 568-7,부산광역시 강서구 화전산단5로132번길 14-1 (화전동),46735,프리미엄우유 강서사하가정,2026-02-11 18:58:27,I,2026-02-13 00:20:38,우유류판매업,371306.368752765,180619.926744222,축산물판매업,우유류판매업,0,000,0,,프리미엄우유강서사하가정_부산광역시강서구화전동568-7
2525,축산판매업,07_22_04_P,5020000,502000000920260003,2026-02-11,,1,영업/정상,0,정상,,,,,,415.1,,경상북도 포항시 북구 흥해읍 이인리 0,"경상북도 포항시 북구 흥해읍 이인로 100, 203동 1층 103호",37566,(주)농협하나로유통 하나로마트 포항이인점,2026-02-11 17:38:31,I,2026-02-13 00:20:38,식육판매업,,,축산물판매업,식육판매업,0,000,0,,(주)농협하나로유통하나로마트포항이인점_경상북도포항시북구흥해읍이인리0
2529,축산판매업,07_22_04_P,3480000,348000000920260008,2026-02-11,,1,영업/정상,0,정상,,,,,,0.0,,대구광역시 달성군 화원읍 천내리 671-15,대구광역시 달성군 화원읍 명천로19길 78,42961,목원축산,2026-02-11 10:14:13,I,2026-02-13 00:20:38,축산물유통전문판매업,336264.338149947,256465.875193694,축산물판매업,축산물유통전문판매업,0,000,0,,목원축산_대구광역시달성군화원읍천내리671-15
2528,축산판매업,07_22_04_P,4490000,566000000920260008,2026-02-11,,1,영업/정상,0,정상,,,,,,21.39,,충청남도 천안시 서북구 직산읍 판정리 363-3 지하 1층,"충청남도 천안시 서북구 직산읍 성진로 386, 지하 1층",31033,원포크 주식회사,2026-02-11 10:29:50,I,2026-02-13 00:20:38,축산물유통전문판매업,215479.552216431,378748.763285014,축산물판매업,축산물유통전문판매업,0,L00,0,,원포크주식회사_충청남도천안시서북구직산읍판정리363-3지하1층
2527,축산판매업,07_22_04_P,3990000,399000000920260012,2026-02-11,,1,영업/정상,0,정상,,,,,,0.0,,경기도 남양주시 별내동 1006,"경기도 남양주시 별내중앙로 34, 5층 502-E26호 (별내동)",12113,보리안트,2026-02-11 17:15:56,I,2026-02-13 00:20:38,축산물유통전문판매업,210999.538008747,460428.597006358,축산물판매업,축산물유통전문판매업,0,000,0,,보리안트_경기도남양주시별내동1006
2517,축산판매업,07_22_04_P,3050000,305000000920260005,2026-02-11,,1,영업/정상,0,정상,,,,,,6.6,,서울특별시 동대문구 답십리동 488-46 계림빌딩,"서울특별시 동대문구 전농로 24, 계림빌딩 4층 비2호 (답십리동)",02621,(주)코어미트,2026-02-11 15:50:41,I,2026-02-13 00:20:38,식육판매업,204960.697866881,451636.873332084,축산물판매업,식육판매업,0,L00,0,,(주)코어미트_서울특별시동대문구답십리동488-46계림빌딩
2518,축산판매업,07_22_04_P,3820000,382000000920260002,2026-02-11,,1,영업/정상,0,정상,,,,,,40.3,,경기도 의정부시 금오동 121-32 토크쇼 102호,"경기도 의정부시 상금로 27-2, 토크쇼 102호 (금오동)",11764,천보산유통,2026-02-11 15:29:56,I,2026-02-13 00:20:38,식육판매업,206494.742753223,472749.447632997,축산물판매업,식육판매업,0,000,0,,천보산유통_경기도의정부시금오동121-32토크쇼102호
2520,축산판매업,07_22_04_P,4711000,471100000920260002,2026-02-11,,1,영업/정상,0,정상,,,,,,64.89,,전북특별자치도 김제시 연정동 501-3,전북특별자치도 김제시 복죽로 507 (연정동),54370,신한유통,2026-02-11 17:37:37,I,2026-02-13 00:20:38,식육판매업,187325.806468457,255657.755177577,축산물판매업,식육판매업,0,000,0,,신한유통_전북특별자치도김제시연정동501-3
2522,축산판매업,07_22_04_P,5070000,507000000920260008,2026-02-11,,1,영업/정상,0,정상,,,,,,0.0,,경상북도 안동시 수상동 592-2,"경상북도 안동시 앙실로 29-16, 2층 (수상동)",36743,제로원리테일,2026-02-11 16:16:33,I,2026-02-13 00:20:38,우유류판매업,352096.899044051,339625.968439631,축산물판매업,우유류판매업,0,000,0,,제로원리테일_경상북도안동시수상동592-2
2523,축산판매업,07_22_04_P,3180000,318000000920260006,2026-02-11,,1,영업/정상,0,정상,,,,,,3.0,,서울특별시 영등포구 당산동1가 455-1,"서울특별시 영등포구 당산로 92, 3층 301-D6호 (당산동1가)",07265,승리푸드,2026-02-11 14:36:26,I,2026-02-13 00:20:38,축산물유통전문판매업,190759.681590606,446740.251259516,축산물판매업,축산물유통전문판매업,0,000,0,,승리푸드_서울특별시영등포구당산동1가455-1
2524,축산판매업,07_22_04_P,3470000,347000000920260003,2026-02-11,,1,영업/정상,0,정상,,,,,053-719-2538,41.9,,대구광역시 달서구 죽전동 200-9,"대구광역시 달서구 와룡로 260-1, 2층 203호 (죽전동)",42638,주식회사 씨디에프,2026-02-11 17:38:14,I,2026-02-13 00:20:38,축산물유통전문판매업,338828.7065492,262851.065146919,축산물판매업,축산물유통전문판매업,0,L00,0,,주식회사씨디에프_대구광역시달서구죽전동200-9
2521,축산판매업,07_22_04_P,3330000,333000000920260004,2026-02-11,,1,영업/정상,0,정상,,,,,,44.88,,부산광역시 해운대구 반송동 275-131 현우재활용센타,"부산광역시 해운대구 아랫반송로21번길 140, 1층 A호 (반송동)",48014,나루식품,2026-02-11 10:16:31,I,2026-02-13 00:20:38,식육판매업,395555.799676308,194315.869424991,축산물판매업,식육판매업,0,000,0,,나루식품_부산광역시해운대구반송동275-131현우재활용센타
2472,축산판매업,07_22_04_P,3480000,348000000920260007,2026-02-10,,1,영업/정상,0,정상,,,,,,0.0,,대구광역시 달성군 유가읍 상리 924-1 제2동 제조업소 구역,"대구광역시 달성군 유가읍 테크노남로 138, 제2동 제조업소 구역",43023,원해유통,2026-02-10 09:19:36,I,2026-02-12 00:20:02,식육판매업,332070.21040558,243594.264270304,축산물판매업,식육판매업,0,000,0,,원해유통_대구광역시달성군유가읍상리924-1제2동제조업소구역
2474,축산판매업,07_22_04_P,5670000,567000000920260009,2026-02-10,,1,영업/정상,0,정상,,,,,,0.0,,경상남도 창원시 마산합포구 진동면 진동리 406,"경상남도 창원시 마산합포구 진동면 서촌길 3-40, 1층",51792,새벽축산,2026-02-10 16:33:01,I,2026-02-12 00:20:02,축산물유통전문판매업,335387.203314611,180307.87609018,축산물판매업,축산물유통전문판매업,0,000,0,,새벽축산_경상남도창원시마산합포구진동면진동리406
