"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품운반업","07_22_09_P","3180000","3180000-117-2025-00003","2025-11-25","","01","영업/정상","01","영업","","","","","","435.51","150-876","서울특별시 영등포구 여의도동 **-* 오투타워","서울특별시 영등포구 의사당대로 **, 오투타워 **층 (여의도동)","07325","(주)대우로지스틱스","2026-01-30 15:37:00","U","2026-02-04 11:04:37","식품운반업","193165.490137352","446797.341447363","식품운반업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"2","식품운반업","07_22_09_P","3040000","3040000-117-2026-00001","2026-02-04","","01","영업/정상","01","영업","","","","","","22.11","143-761","서울특별시 광진구 구의동 ***-* 현대프라임아파트","서울특별시 광진구 광나루로**길 **, 지하층 ***호 (구의동, 현대프라임아파트)","05119","(주)진보지엘에스","2026-02-04 17:38:19","I","2026-02-06 00:20:02","식품운반업","208558.286631653","448353.905156369","식품운반업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"3","식품운반업","07_22_09_P","4050000","4050000-117-2014-00005","2014-12-30","","01","영업/정상","01","영업","","","","","02  511 2402","10.00","449-929","경기도 용인시 처인구 마평동 *** 우량빌딩","경기도 용인시 처인구 경안천로**번길 *, 우량빌딩 *층 ***호 (마평동)","17153","디에스케이글로넷(주)","2026-02-04 16:34:21","I","2026-02-06 00:20:02","식품운반업","218648.327666803","414971.604721294","식품운반업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"4","식품운반업","07_22_09_P","4050000","4050000-117-2026-00001","2026-02-03","","01","영업/정상","01","영업","","","","","031 284 7692","34.98","446-517","경기도 용인시 기흥구 상하동 ***-*","경기도 용인시 기흥구 언동로 ***-*, *층 일부호 (상하동)","16986","(주)지앤원","2026-02-03 14:07:32","I","2026-02-06 00:20:02","식품운반업","212638.232071677","419369.162137045","식품운반업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"5","식품운반업","07_22_09_P","4000000","4000000-117-2026-00001","2026-02-04","","01","영업/정상","01","영업","","","","","031 377 5784","53.18","447-220","경기도 오산시 내삼미동 ***-* *층 일부","경기도 오산시 북삼미로 ***, *층 일부 (내삼미동)","18112","(주)디앤아이","2026-02-04 17:09:19","I","2026-02-06 00:20:02","식품운반업","205503.948971254","409318.895122271","식품운반업","0","0","","","","0","0","0","0","0","자가","0","0","N","53.18","","","",
"6","식품운반업","07_22_09_P","3780000","3810000-117-2018-00002","2018-10-31","","01","영업/정상","01","영업","","","","","031 7476966","52.40","463-828","경기도 성남시 분당구 야탑동 ***-* 르네상스분당오피스텔 ***호","경기도 성남시 분당구 장미로**번길 **, 르네상스분당오피스텔 ***호 (야탑동)","13496","에이제이로지스(주)","2026-02-03 14:02:59","I","2026-02-06 00:20:02","식품운반업","211040.8075069","434557.450504631","식품운반업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"7","식품운반업","07_22_09_P","5540000","5540000-117-2018-00002","2018-10-31","","03","폐업","02","폐업","2026-02-03","","","","031 7476966","52.40","464-040","경기도 광주시 삼동 ***-**","경기도 광주시 삼지곡길 **, *층 (삼동)","12767","로미오에이제이로지스(주)","2026-02-03 13:50:21","U","2026-02-06 02:40:00","식품운반업","217963.076234049","434493.011097241","식품운반업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"8","식품운반업","07_22_09_P","5530000","5530000-117-2014-00007","2014-12-30","","03","폐업","02","폐업","2026-02-04","","","","02  511 2402","22.00","","경기도 화성시 병점구 병점동  ***-* 리더스프라자 *층 ***-*호(일부호)","경기도 화성시 병점구 효행로 ****, 리더스프라자 *층 ***-*호(일부호) (병점동)","18405","디에스케이글로넷(주)","2026-02-04 16:11:27","U","2026-02-06 02:40:00","식품운반업","203811.08404256","412529.901991526","식품운반업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"9","식품운반업","07_22_09_P","5540000","5540000-117-2011-00003","2011-05-20","","01","영업/정상","01","영업","","","","","031 748 3500","225.00","464-090","경기도 광주시 직동 **-*","경기도 광주시 직동로 **, *층 (직동)","12769","미소협동조합","2026-02-05 16:46:57","I","2026-02-07 00:20:02","식품운반업","217004.860084996","433255.425974665","식품운반업","0","0","","","","0","0","0","0","0","자가","0","0","N","200","","","",
"10","식품운반업","07_22_09_P","4010000","4010000-117-2026-00001","2026-02-05","","01","영업/정상","01","영업","","","","","","33.00","429-450","경기도 시흥시 정왕동 ****","경기도 시흥시 시화호수전원*길 **-*, ***호 (정왕동)","15118","박성곤","2026-02-05 13:46:39","I","2026-02-07 00:20:02","식품운반업","173329.314512677","424140.158898948","식품운반업","0","0","","","","0","0","0","0","0","자가","0","0","N","33","","","",
