"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품제조가공업","07_22_11_P","5700000","5700000-106-2004-00003","2004-07-09","","03","폐업","02","폐업","2009-12-11","","","","8828972","1263.00","469-812","경기도 여주시 능서면 구양리 28-4번지","","","향미식품(주)","2008-12-12 15:22:09","I","2026-02-03 01:35:10","식품제조가공업","252197.876035494","423950.854284924","식품제조가공업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"2","식품제조가공업","07_22_11_P","5700000","5700000-106-1999-00005","1999-11-24","","03","폐업","02","폐업","2003-07-30","","","","031 8847557","108.90","469-811","경기도 여주시 능서면 신지리 771-1번지","","","(주)미력","2002-03-19 00:00:00","I","2026-02-03 01:35:10","식품제조가공업","250716.55223947","421787.364664539","식품제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","식품제조가공업","07_22_11_P","5700000","5700000-106-1999-00002","1999-10-14","","03","폐업","02","폐업","2010-02-17","","","","03108816858","1341.46","469-811","경기도 여주시 능서면 마래리 238번지","","","(주)태공식품","2009-10-21 10:22:52","I","2026-02-03 01:35:10","식품제조가공업","249373.111581342","418627.303291826","식품제조가공업","0","0","","","지하수전용","0","0","0","0","0","","0","0","N","0","","","",
"4","식품제조가공업","07_22_11_P","5700000","5700000-106-2001-00002","2001-06-14","","03","폐업","02","폐업","2011-07-12","","","","031 8840484","0.00","469-811","경기도 여주시 능서면 마래리 532-1번지","","","대양농산","2010-01-25 11:34:41","I","2026-02-03 01:35:10","식품제조가공업","249406.286597047","416979.631576394","식품제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"5","식품제조가공업","07_22_11_P","5700000","5700000-106-2006-00001","2006-01-23","","03","폐업","02","폐업","2012-07-05","","","","031 8816291","160.00","469-811","경기도 여주시 능서면 마래리 238번지","","","(주)모아","2012-07-05 16:12:52","I","2026-02-03 01:35:10","식품제조가공업","249373.111581342","418627.303291826","식품제조가공업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"6","식품제조가공업","07_22_11_P","5700000","5700000-106-2002-00006","2002-04-10","","03","폐업","02","폐업","2007-11-30","","","","8839593","96.00","469-811","경기도 여주시 능서면 신지리 271-3번지","","","참맑은물된장","2007-07-04 00:00:00","I","2026-02-03 01:35:10","식품제조가공업","251538.831300103","421775.677977603","식품제조가공업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"7","식품제조가공업","07_22_11_P","4840000","4840000-106-2001-00012","2001-12-10","","03","폐업","02","폐업","2006-03-28","","","","7914221","41.20","545-020","전라남도 광양시 도이동 73-1번지","","","생활식품","2001-12-10 00:00:00","I","2026-02-03 01:35:10","식품제조가공업","262588.0020821","159458.14278932","식품제조가공업","0","0","","","상수도전용","0","0","0","0","1","자가","0","0","N","0","","","",
"8","식품제조가공업","07_22_11_P","3640000","3640000-106-2025-00004","2025-06-09","","01","영업/정상","01","영업","","","","","","53.46","300-824","대전광역시 동구 용전동 78-10","대전광역시 동구 한밭대로1314번길 9, 1층 (용전동)","34550","(주)향미푸드","2025-06-07 08:31:17","I","2026-02-03 01:35:10","기타 식품제조가공업","239394.648609784","316829.050620138","기타 식품제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"9","식품제조가공업","07_22_11_P","3640000","3640000-106-2025-00007","2025-10-13","","01","영업/정상","01","영업","","","","","","303.91","300-260","대전광역시 동구 대별동 48-1","대전광역시 동구 산서로 1557, 가동 (대별동)","34711","바른푸드주식회사","2025-10-10 16:50:04","I","2026-02-03 01:35:10","기타 식품제조가공업","240999.727393598","309127.269935619","기타 식품제조가공업","0","0","","","상수도전용","0","0","0","0","0","임대","20000000","1000000","N","0","","","",
"10","식품제조가공업","07_22_11_P","5141000","5141000-106-2025-00001","2025-08-18","","01","영업/정상","01","영업","","","","","","189.32","","대구광역시 군위군 의흥면 원산리 519","대구광역시 군위군 의흥면 원산금양길 219-9","43151","리팜","2025-08-12 19:05:57","I","2026-02-03 01:35:10","기타 식품제조가공업","356163.452498965","297031.196668602","기타 식품제조가공업","0","0","","","","0","0","0","0","0","임대","0","0","N","4.5","","","",
"11","식품제조가공업","07_22_11_P","6520000","6520000-106-2025-00004","2025-04-28","","01","영업/정상","01","영업","","","","","","86.49","697-843","제주특별자치도 서귀포시 서귀동 285-4 지하1층","제주특별자치도 서귀포시 동문로 13, 지하1층 (서귀동)","63590","한국올리브","2025-04-25 18:18:12","I","2026-02-03 01:35:10","기타 식품제조가공업","159174.811256126","-27022.3125529269","기타 식품제조가공업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
