"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","축산물보관업","07_22_24_P","4840000","484000000720060001","2006-11-27","","03","폐업","0002","폐업","2013-01-23","","","","061)797-6000","597.5","","전라남도 광양시 도이동 778","","","동부복합물류 주식회사","2013-01-23 17:48:09","I","2026-02-03 01:35:10","","262634.341706455","158774.513802277","축산물보관업","","0","L00","0",
"2","축산물보관업","07_22_24_P","3630000","363000000720230001","2023-08-30","","01","영업/정상","0000","정상","","","","","","3636","","광주광역시 광산구 안청동 733-4","광주광역시 광산구 하남산단10번로 60 (안청동)","62210","(주)케이미트광주물류","2026-02-02 15:36:15","U","2026-02-04 02:40:00","","182086.384579172","190625.683982278","축산물보관업","","0","L00","0",
"3","축산물보관업","07_22_24_P","5380000","538000000719980001","1998-08-03","","01","영업/정상","0000","정상","","","","","055-380-7326","709.5","","경상남도 양산시 다방동 98-1","경상남도 양산시 칠산길 11 (다방동)","50643","(주)지에스네트웍스 양산물류센터","2026-02-02 17:23:40","U","2026-02-04 02:40:00","","385827.51111451","205529.766640654","축산물보관업","","0","L00","0",
"4","축산물보관업","07_22_24_P","3030000","303000000720180003","2018-04-26","","01","영업/정상","0000","정상","","","","","02-2295-1109","0","","서울특별시 성동구 마장동 520-9","서울특별시 성동구 고산자로 330, 지하1층 (마장동)","04749","(주)풍미축산유통","2026-02-02 16:30:30","U","2026-02-04 02:40:00","","203244.913097053","451811.299239332","축산물보관업","","0","L00","0",
"5","축산물보관업","07_22_24_P","5590000","559000000720250002","2025-07-14","","01","영업/정상","0000","정상","","","","","031-836-7766","2724.79","","경기도 양주시 은현면 선암리 128-3 B1층","경기도 양주시 은현면 화합로1002번길 12, B1층","11430","홍일특수(주) 양주지점","2026-02-02 10:10:19","U","2026-02-04 02:40:00","","","","축산물보관업","","0","L00","0",
"6","축산물보관업","07_22_24_P","4080000","408000000720190006","2019-08-02","","01","영업/정상","0000","정상","","","","","070-4146-3300","65637.2","","경기도 안성시 양성면 도곡리 40-4 안성축산센터(서안성로지플러스)","경기도 안성시 양성면 양성로 376-106, 안성축산센터(서안성로지플러스)","17501","(주)농협물류","2026-01-30 13:02:35","U","2026-02-04 11:04:37","","219255.360601026","398340.667073472","축산물보관업","","0","L00","0",
"7","축산물보관업","07_22_24_P","3910000","391000000720250002","2025-03-17","","03","폐업","0002","폐업","2026-01-30","","","2026-01-30","","23987.44","","경기도 평택시 청북읍 삼계리 487-3 에스제이물류센터","경기도 평택시 청북읍 청북양감로 136, 에스제이물류센터","17800","(주)로지스퀘어","2026-01-30 15:33:13","U","2026-02-04 11:04:37","","191422.4142417","393845.170085662","축산물보관업","","0","L00","0",
"8","축산물보관업","07_22_24_P","4080000","408000000720220003","2022-04-15","","01","영업/정상","0000","정상","","","","","031-677-8757","2351","","경기도 안성시 일죽면 방초리 886-1 (주)지디벨로프홀딩스","경기도 안성시 일죽면 초막길 100-2, (주)지디벨로프홀딩스","17525","에스피씨 지에프에스","2026-02-04 11:36:38","U","2026-02-06 02:40:00","","237665.020498778","402758.126054085","축산물보관업","","0","L00","0",
"9","축산물보관업","07_22_24_P","4050000","405000000720230004","2023-05-17","","01","영업/정상","0000","정상","","","","","070-8838-7000","6099.61","","경기도 용인시 처인구 마평동 538","경기도 용인시 처인구 중부대로1576번길 16, B동 지하1층 (마평동)","17144","주식회사 이지로지스","2026-02-03 08:46:18","U","2026-02-06 02:40:00","","219534.98496721","414490.832880746","축산물보관업","","0","L00","0",
"10","축산물보관업","07_22_24_P","5070000","507000000720130002","2013-11-28","","03","폐업","0002","폐업","2026-02-04","","","2026-02-04","054-854-1847","0","","경상북도 안동시 풍산읍 소산리 546","경상북도 안동시 풍산읍 지풍로 1846-8","36760","영농조합법인 나눔과섬김","2026-02-04 17:49:39","U","2026-02-06 02:40:00","","337666.383344642","342148.923828231","축산물보관업","","0","L00","0",
