"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","전화권유판매업","08_26_03_P","4681000","2026468110524200001","2026-02-01","","01","영업/정상","01","정상영업","","","","","063-862-0600","","","전북특별자치도 익산시 함열읍 다송리 ***","전북특별자치도 익산시 함열읍 익산대로**길 ***, *층","54526","주식회사 하림산업","2026-02-01 17:22:48","I","2026-02-03 00:20:01","","196119.787390052","281036.467954037","1045748970000","725692970000","119901004000","",
"2","전화권유판매업","08_26_03_P","3210000","2026321015324200001","2026-02-02","","01","영업/정상","01","정상영업","","","","","1670-1730","","","서울특별시 서초구 서초동 ****-**","서울특별시 서초구 효령로**길 **, *층 (서초동)","06721","(주)공동체원격","2026-02-02 13:28:34","I","2026-02-04 00:20:02","","201724.535048387","442597.760014524","2510211070","424091456","400000000","",
"3","전화권유판매업","08_26_03_P","3100000","2026310030024200002","2026-02-02","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 노원구 상계동 ****-*","서울특별시 노원구 동일로***길 **, ***호 (상계동)","01609","에스앤제이 마케팅","2026-02-02 17:20:32","I","2026-02-04 00:20:02","","204623.958422498","463648.004787513","0","0","0","",
"4","전화권유판매업","08_26_03_P","3230000","2026323029124200004","2026-01-29","","01","영업/정상","01","정상영업","","","","","02-6954-1317","","","서울특별시 송파구 문정동 *** 에이치비지니스파크","서울특별시 송파구 법원로**길 **, 에이치비지니스파크 비동 **층 ****호 (문정동)","05836","주식회사 케이에스레저산업","2026-02-02 11:32:11","I","2026-02-04 00:20:02","","","","146641264","44117368","20000000","",
"5","전화권유판매업","08_26_03_P","3940000","2026395005224200001","2023-06-20","","01","영업/정상","01","정상영업","","","","","1600-4470","","","경기도 고양시 덕양구 동산동 ***","경기도 고양시 덕양구 동축로 **, 현대프리미어캠퍼스지축역지식산업센터 *층 비-에이-**-**, **, **, **, **, **호 (동산동)","10594","주식회사 지에이티글로벌","2026-02-02 11:04:00","I","2026-02-04 00:20:02","","192051.385343101","460456.083031534","2373809660","1401588740","110000000","",
"6","전화권유판매업","08_26_03_P","4181000","2021418034924200001","2021-02-01","","01","영업/정상","01","정상영업","","","","","242-4413","","","강원특별자치도 춘천시 우두동 ***-*","강원특별자치도 춘천시 충열로 *, *층 ***호 (우두동)","24226","당근통신","2026-02-02 14:38:32","U","2026-02-04 02:40:00","","264088.531796944","488970.145377082","0","0","100000000","",
"7","전화권유판매업","08_26_03_P","3930000","2024393048224200005","2024-07-05","","03","폐업","03","폐업처리","2026-02-01","","","","070-8211-2229","","","경기도 안산시 단원구 초지동 ***-**","경기도 안산시 단원구 신촌*길 **, ***호호 (초지동)","15441","믿음","2026-02-02 10:25:11","U","2026-02-04 02:40:00","","183919.12","423670.55","0","0","0","",
"8","전화권유판매업","08_26_03_P","3010000","2020301016524200006","2020-06-02","","01","영업/정상","01","정상영업","","","","","02-3449-6705","","","서울특별시 중구 남창동 **-*","서울특별시 중구 소월로 *, **층 (남창동)","04528","주식회사 에티버스이피에이","2026-02-02 19:24:18","U","2026-02-04 02:40:00","","197831.002724157","450794.31483169","16814134300","12044882900","1400000000","",
"9","전화권유판매업","08_26_03_P","3290000","2025329018624200010","2025-05-26","","03","폐업","03","폐업처리","2026-01-30","","","","","","","부산광역시 부산진구 부전동 **-* 동아생명보험(주)부산사옥","부산광역시 부산진구 중앙대로 ***, 동아빌딩 *층 ***호 (부전동)","47244","오케이 파트너스 대부","2026-02-02 11:12:11","U","2026-02-04 02:40:00","","387791.375009916","186534.872341298","0","0","0","",
"10","전화권유판매업","08_26_03_P","3140000","2022314016724200001","2022-05-19","","03","폐업","03","폐업처리","2026-02-02","","","","02-784-7793","","","서울특별시 양천구 목동 ***-* 현대**타워 ****호","서울특별시 양천구 목동동로 ***, 현대**타워 **층 ****호 (목동)","07997","주식회사 월드펍탑스","2026-02-02 12:50:48","U","2026-02-04 02:40:00","","188953.066831076","447333.569187997","562763520","324241344","200000000","",
"11","전화권유판매업","08_26_03_P","3220000","2026322024924200003","2026-01-24","","01","영업/정상","01","정상영업","","","","","02-595-1972","","","서울특별시 강남구 논현동 ***-* 에스케이 허브블루","서울특별시 강남구 학동로 ***, *층 ***호 에스케이 허브블루 (논현동)","06099","에버리치월드(주)","2026-01-30 12:35:41","U","2026-02-04 11:04:37","","203518.763332969","446051.579831786","4976209400","1781820540","100000000","",
"12","전화권유판매업","08_26_03_P","3470000","2024347020124200002","2024-05-21","","03","폐업","03","폐업처리","2026-01-30","","","","053-631-4283","","","대구광역시 달서구 상인동 ***-*","대구광역시 달서구 월배로**길 ** (상인동)","42788","위즈 엔터프라이즈","2026-01-30 10:52:31","U","2026-02-04 11:04:37","","338455.144690177","258395.721260161","0","0","0","",
"13","전화권유판매업","08_26_03_P","3170000","2025317025724200015","2025-06-10","","03","폐업","03","폐업처리","2026-01-29","","","","070 - 8677 - 7981","","","서울특별시 금천구 가산동 ***-* 대성디폴리스지식산업센터","서울특별시 금천구 서부샛길 ***, 대성디폴리스지식산업센터 B동 ***호 (가산동)","08504","주식회사 파크엘즈","2026-01-30 11:06:33","U","2026-02-04 11:04:37","","189055.138252216","441958.334400683","3843538940","1593927680","200000000","",
"14","전화권유판매업","08_26_03_P","3220000","2014322016224200024","2014-05-20","","01","영업/정상","01","정상영업","","","","","02-550-6000","","135-932","서울특별시 강남구 역삼동 ***번지 *호","서울특별시 강남구 강남대로 *** (역삼동, 글라스타워**층)","135-932","듀오정보주식회사","2026-01-30 13:52:59","U","2026-02-04 11:04:37","","202376.625766472","444091.889904297","145608983000","90029277000","55579714000","",
"15","전화권유판매업","08_26_03_P","3170000","2026317025724200004","2026-02-03","","01","영업/정상","01","정상영업","","","","","02-6925-2459","","","서울특별시 금천구 가산동 **-** SJ테크노빌","서울특별시 금천구 벚꽃로 ***, SJ테크노빌 ****호, ****호 (가산동)","08511","㈜솔라플레이(서울지점)","2026-02-03 10:04:54","I","2026-02-06 00:20:02","","189722.178532426","441920.972770099","20319825900","10718400500","650000000","",
"16","전화권유판매업","08_26_03_P","3930000","2026393048224200001","2026-02-04","","01","영업/정상","01","정상영업","","","","","","","","경기도 안산시 단원구 고잔동 ***-* 장은타워","경기도 안산시 단원구 광덕대로 ***, 장은타워 *층 ***호 (고잔동)","15461","올바른달임","2026-02-04 14:12:25","I","2026-02-06 00:20:02","","184799.156746134","423500.780771631","0","0","0","",
"17","전화권유판매업","08_26_03_P","4390000","2026439025924200001","2026-02-03","","01","영업/정상","01","정상영업","","","","","0438504500","","","충청북도 충주시 노은면 수룡리 ***","충청북도 충주시 노은면 감노로 ****","27453","건설공제조합건설경영연수원","2026-02-03 14:25:04","I","2026-02-06 00:20:02","","272088.005604891","393892.730757922","7858581100000","128894919000","6569632200000","",
"18","전화권유판매업","08_26_03_P","3220000","2024322024924200021","2024-09-10","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 강남구 청담동 * 경원오피스텔","서울특별시 강남구 도산대로 ***, 경원오피스텔 *층 제**-비**호 (청담동)","06062","오픈마케팅","2026-02-03 15:07:36","U","2026-02-06 02:40:00","","203919.495860998","446817.141574693","0","0","0","",
"19","전화권유판매업","08_26_03_P","3170000","2024317025724200014","2024-08-08","","03","폐업","03","폐업처리","2026-02-06","","","","","","","서울특별시 금천구 가산동 ***-*","서울특별시 금천구 남부순환로***길 **-**, ***호 (가산동)","08528","가든유","2026-02-04 09:16:57","U","2026-02-06 02:40:00","","190472.130504673","441721.293828981","0","0","0","",
"20","전화권유판매업","08_26_03_P","3830000","2024384003324200001","2024-05-03","","03","폐업","03","폐업처리","2025-01-13","","","","031-464-7778","","","경기도 안양시 만안구 안양동 ***-**","경기도 안양시 만안구 안양로***번길 *, ***호 (안양동)","14001","비전","2026-02-03 13:23:51","U","2026-02-06 02:40:00","","","","0","0","0","",
"21","전화권유판매업","08_26_03_P","3210000","2023321015324200006","2023-03-09","","03","폐업","03","폐업처리","2025-03-26","","","","","","","서울특별시 서초구 서초동 ****-** 서초빌딩","서울특별시 서초구 서운로*길 **, 서초빌딩 *층 (서초동)","06734","(주)위닝빅코퍼레이션","2026-02-04 15:13:25","U","2026-02-06 02:40:00","","202675.03246143","442593.133090382","109201656","86656128","30000000","",
"22","전화권유판매업","08_26_03_P","3170000","2025317025724200020","2025-09-23","","03","폐업","03","폐업처리","2026-02-03","","","","","","","서울특별시 금천구 독산동 ***-*","서울특별시 금천구 두산로 *-*, ***동 ***호 (독산동)","08526","이음티켓","2026-02-03 11:13:08","U","2026-02-06 02:40:00","","190090.715521567","440980.408069531","10000000","0","10000000","",
"23","전화권유판매업","08_26_03_P","4181000","2025418108124200001","2025-04-17","","03","폐업","03","폐업처리","2026-02-03","","","","033-261-4808","","","강원특별자치도 춘천시 후평동 **-**","강원특별자치도 춘천시 후석로***번길 ** (후평동)","24298","하늘태양광발전소","2026-02-03 17:53:07","U","2026-02-06 02:40:00","","266013.475887332","486915.220283435","0","0","0","",
"24","전화권유판매업","08_26_03_P","3830000","2022385003724200005","2022-08-18","","03","폐업","03","폐업처리","2025-05-13","","","","","","","경기도 안양시 동안구 비산동 ****","경기도 안양시 동안구 비산로 **, 평촌자이아이파크 *상가 kt매장 *층 ***-B호 (비산동)","13924","새로이","2026-02-03 17:38:00","U","2026-02-06 02:40:00","","194025.825318297","433354.214371547","0","0","0","",
"25","전화권유판매업","08_26_03_P","5220000","2022522011824200001","2022-06-14","","03","폐업","03","폐업처리","2026-02-04","","","","","","","경상북도 칠곡군 석적읍 중리 ***-*","경상북도 칠곡군 석적읍 서중리*길 **-*, *층","39840","세나정보통신","2026-02-04 11:40:19","U","2026-02-06 02:40:00","","326542.841425232","286992.19638772","0","0","0","",
"26","전화권유판매업","08_26_03_P","3540000","2026354016124200003","2026-02-05","","01","영업/정상","01","정상영업","","","","","","","","인천광역시 부평구 청천동 *** 부평우림라이온스밸리","인천광역시 부평구 부평대로 ***, 부평우림라이온스밸리 A동 *층 **호 ***-A(일부)호 (청천동)","21315","모두다컴퍼니","2026-02-05 11:22:45","I","2026-02-07 00:20:02","","175126.717022995","446169.201205367","0","0","0","",
"27","전화권유판매업","08_26_03_P","3940000","2026395005224200002","2026-02-05","","01","영업/정상","01","정상영업","","","","","","","","경기도 고양시 덕양구 행신동 ***-*","경기도 고양시 덕양구 무원로*번길 **, *층 ***호 (행신동)","10523","(주)건강한인생","2026-02-05 13:16:04","I","2026-02-07 00:20:02","","185204.410685109","456761.50660961","447803","1798000","1000000","",
"28","전화권유판매업","08_26_03_P","4191000","2026419100624200001","2026-02-05","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 원주시 단계동 ****-* 성우프라자","강원특별자치도 원주시 천사로 **, 성우프라자 *층 ***-B호 (단계동)","26437","주식회사 휴먼생활건강","2026-02-05 10:50:37","I","2026-02-07 00:20:02","","282056.56954552","427706.667298414","10000000","0","10000000","",
"29","전화권유판매업","08_26_03_P","4641000","2024465100624200003","2024-07-17","","03","폐업","03","폐업처리","2026-02-05","","","","063-236-8278","","","전북특별자치도 전주시 완산구 중노송동 ***-* *층 일부층","전북특별자치도 전주시 완산구 권삼득로 **-*, *층 일부층 (중노송동)","55006","건강드림","2026-02-05 16:36:58","U","2026-02-07 02:40:00","","213396.437988091","258409.369266136","0","0","0","",
"30","전화권유판매업","08_26_03_P","3660000","2021366019024200018","2016-05-30","","01","영업/정상","01","정상영업","","","","","042-346-9800","","","대전광역시 서구 둔산동 ****-* 아너스빌오피스텔","대전광역시 서구 둔산북로 ***, 아너스빌오피스텔 B동 ***호 (둔산동)","35236","주식회사 다은소프트","2026-02-05 17:48:43","U","2026-02-07 02:40:00","","234742.00500025","317345.045000125","365651808","476464992","-110813200","",
"31","전화권유판매업","08_26_03_P","3860000","2024387100724200001","2024-01-18","","03","폐업","03","폐업처리","2026-02-08","","","","","","","경기도 부천시 원미구 원미동 **-* 부천테크노밸리 U* center","경기도 부천시 원미구 조마루로***번길 **, 부천테크노밸리 U* center **층 ****호, ****호 (원미동)","14558","폰싸다구","2026-02-05 17:14:49","U","2026-02-07 02:40:00","","181376.331910043","444312.585092819","0","0","0","",
"32","전화권유판매업","08_26_03_P","5710000","2022571023624200004","2020-08-14","","01","영업/정상","01","정상영업","","","","","","","","충청북도 청주시 청원구 우암동 ***-** 송화빌","충청북도 청주시 청원구 사북로***번길 **, ***호 (우암동)","28538","제이씨 월드","2026-02-05 09:21:17","U","2026-02-07 02:40:00","","243459.13763708","349627.881914098","0","0","0","",
"33","전화권유판매업","08_26_03_P","3200000","2025320022524200002","2025-03-27","","03","폐업","03","폐업처리","2026-02-05","","","","02 - 873 - 0047","","","서울특별시 관악구 봉천동 ***-**","서울특별시 관악구 남부순환로 ****, *층 (봉천동)","08756","기아서울대대리점","2026-02-05 10:03:25","U","2026-02-07 02:40:00","","194355.561055459","442515.047409001","0","0","0","",
"34","전화권유판매업","08_26_03_P","3660000","2026366021524200002","2022-12-27","","01","영업/정상","01","정상영업","","","","","042-369-6700","","","대전광역시 서구 둔산동 ***","대전광역시 서구 둔지로 **, *층 ***호 (둔산동)","35229","주식회사 엔에이엠","2026-02-06 17:31:07","I","2026-02-08 00:20:01","","233759.218783461","317183.474784058","20000000","0","10000000","",
"35","전화권유판매업","08_26_03_P","3170000","2020317023524200007","2020-03-23","","03","폐업","03","폐업처리","2026-02-05","","","","","","","서울특별시 금천구 가산동 ***번지 **호 대륭테크노타운*차","서울특별시 금천구 가산디지털*로 **-**, 대륭테크노타운*차 ***호 (가산동)","08594","㈜지오레이넷","2026-02-06 09:19:32","U","2026-02-08 02:40:00","","189720.13564195","440711.695061423","15000000500","7000000000","5000000000","",
"36","전화권유판매업","08_26_03_P","3000000","2026300024524200001","2026-02-07","","01","영업/정상","01","정상영업","","","","","02-2254-0915","","","서울특별시 종로구 숭인동 ***-** 유림빌딩","서울특별시 종로구 종로**가길 **, 유림빌딩 *층 ***호 (숭인동)","03115","글방입니다 우리훈장님","2026-02-07 09:42:47","I","2026-02-09 00:20:02","","201819.244702711","452378.580257447","0","0","0","",
"37","전화권유판매업","08_26_03_P","3560000","2026356028524200002","2026-02-09","","01","영업/정상","01","정상영업","","","","","","","","인천광역시 서구 청라동 ***-** 미라클프라자","인천광역시 서구 청라에메랄드로***번길 *-**, 미라클프라자 ***-비**호 (청라동)","22739","더함 코퍼레이션","2026-02-09 17:17:29","I","2026-02-11 00:20:41","","169782.03","447961.31","0","0","0","",
"38","전화권유판매업","08_26_03_P","5020000","2026502048424200001","2026-02-09","","01","영업/정상","01","정상영업","","","","","","","","경상북도 포항시 남구 상도동 **-*","경상북도 포항시 남구 중흥로***번길 **, *층 (상도동)","37764","에스엠","2026-02-09 17:14:31","I","2026-02-11 00:20:41","","412500.403093442","282311.698340415","0","0","0","",
"39","전화권유판매업","08_26_03_P","3170000","2025317025724200021","2025-10-29","","03","폐업","03","폐업처리","2026-02-08","","","","02 - 6354 - 1008","","","서울특별시 금천구 가산동 **-* 대륭포스트타워*차","서울특별시 금천구 벚꽃로 ***, 대륭포스트타워*차 **층 ****-**호 (가산동)","08510","규네이션","2026-02-09 09:45:33","U","2026-02-11 02:40:00","","189662.959175776","442139.514492212","0","0","0","",
"40","전화권유판매업","08_26_03_P","4090000","2026409051624200003","2023-11-23","","01","영업/정상","01","정상영업","","","","","","","","경기도 김포시 구래동 ****-**","경기도 김포시 김포한강*로**번길 **, *층 ***-**호(서경프라자) (구래동)","10071","메디 플랜","2026-02-10 18:06:52","I","2026-02-12 00:20:02","","166841.167900611","460220.059447846","0","0","0","",
"41","전화권유판매업","08_26_03_P","3210000","2026321015324200002","2025-04-08","","01","영업/정상","01","정상영업","","","","","1644-2955","","","서울특별시 서초구 서초동 ****-** 토스 신논현 오피스","서울특별시 서초구 강남대로 ***, 토스 신논현 오피스 *층, *층 (서초동)","06611","토스플레이스 주식회사","2026-02-10 14:38:06","I","2026-02-12 00:20:02","","202089.792524288","444543.400936249","53993153000","58817028000","3573759490","",
"42","전화권유판매업","08_26_03_P","3290000","2026329018624200001","2026-02-10","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 부산진구 전포동 ***-** 서면동원오피스텔","부산광역시 부산진구 동성로 ***, 서면동원오피스텔 B*층 ***호 (전포동)","47243","디에스컨설팅","2026-02-10 17:55:18","I","2026-02-12 00:20:02","","387986.435139283","186565.130567942","0","0","0","",
"43","전화권유판매업","08_26_03_P","3440000","2026344014924200001","2026-02-09","","01","영업/정상","01","정상영업","","","","","070-7465-5018","","","대구광역시 남구 대명동 ****-*","대구광역시 남구 성당로 **-*, *층 (대명동)","42471","(주)프렌즈텔레콤","2026-02-10 09:57:07","I","2026-02-12 00:20:02","","341070.693381899","261485.787403627","2937671420","2630309380","300000000","",
"44","전화권유판매업","08_26_03_P","3940000","2026410012524200002","2021-07-17","","03","폐업","03","폐업처리","2026-02-10","","","","1600-0500","","","경기도 고양시 일산서구 대화동 **** 킨텍스 꿈에그린","경기도 고양시 일산서구 킨텍스로 ***, ****호 *호 (대화동)","10391","에이치앤에이치 주식회사","2026-02-10 16:54:36","I","2026-02-12 00:20:02","","177925.172169511","462673.381313058","50000000","0","50000000","",
