번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),목재생산업구분코드명,목재생산업종류명,취급목재제품,인력보유현황,년간생산량,자본금,상태구분명,Unnamed: 35,record_key
341,원목생산업,09_27_02_P,5690000,569000090202600003,2026-02-13,,1,영업/정상,1,정상,,,,,,,,세종특별자치시 연서면 청라리 121,세종특별자치시 연서면 양대길 9,30041,세종임업,2026-02-13 09:26:57,I,2026-02-15 00:20:02,,218726.382498323,343730.904604739,원목생산업,2종,원목,1명,0,50,영업,,세종임업_세종특별자치시연서면청라리121
260,원목생산업,09_27_02_P,5190000,519000090202600002,2026-02-11,,1,영업/정상,1,정상,,,,,,,,,경상북도 청도군 화양읍 노산길 71,38326,***,2026-02-11 07:58:09,I,2026-02-13 00:20:38,,354176.259721559,242557.637607158,원목생산업,2종,참나무 등 잡목,산림경영기술자 기능1급,0,10,영업,,***_
204,원목생산업,09_27_02_P,4580000,458000090202600001,2026-02-10,,1,영업/정상,1,정상,,,,,,,,충청남도 서천군 장항읍 창선1리 160-4,충청남도 서천군 장항읍 장서로30번길 11,33673,서천산림,2026-02-10 19:40:28,I,2026-02-12 00:20:02,,172793.267003052,278949.102763997,원목생산업,2종,,,0,20,영업,,서천산림_충청남도서천군장항읍창선1리160-4
339,원목생산업,09_27_02_P,5090000,509000090202600001,2026-02-10,,3,폐업,3,폐업,,,,,,,,경상북도 영주시 장수면 반구리 838-10,경상북도 영주시 장수면 반구로 55,36145,영주국유림영림단사회적협동조합,2026-02-12 13:15:09,U,2026-02-14 02:40:00,,341324.15737045,364676.676965023,원목생산업,2종,원목,,0,0,폐업,,영주국유림영림단사회적협동조합_경상북도영주시장수면반구리838-10
155,원목생산업,09_27_02_P,5250000,525000090202600001,2026-02-09,,1,영업/정상,1,정상,,,,,054-782-7335,,,경상북도 울진군 매화면 매화리 165-1 동네방네식당,"경상북도 울진군 매화면 매화1길 68, 동네방네식당",36339,***,2026-02-09 12:55:25,I,2026-02-11 00:20:41,,412248.745946774,381556.07226965,원목생산업,2종,,1명,0,10,영업,,***_경상북도울진군매화면매화리165-1동네방네식당
154,원목생산업,09_27_02_P,5250000,525000090202600002,2026-02-09,,1,영업/정상,1,정상,,,,,,,,경상북도 울진군 기성면 봉산리 388-1 봉산산업,"경상북도 울진군 기성면 구산봉산로 445-12, 봉산산업",36353,㈜에스엠디,2026-02-09 17:46:32,I,2026-02-11 00:20:41,,419805.260959316,367592.421012019,원목생산업,1종,,,0,0,영업,,㈜에스엠디_경상북도울진군기성면봉산리388-1봉산산업
99,원목생산업,09_27_02_P,4820000,482000090202600004,2026-02-05,,1,영업/정상,1,정상,,,,,,,,,전라남도 순천시 송광면 쌍향수길 1571,540-933,늘푸른조경,2026-02-05 10:13:23,I,2026-02-07 00:20:02,,222402.023346062,165089.795213953,원목생산업,2종,,,0,0,영업,,늘푸른조경_
103,원목생산업,09_27_02_P,4820000,482000090202600007,2026-02-05,,1,영업/정상,1,정상,,,,,,,,,"전라남도 순천시 대석길 35 (연향동, 순천시 산림조합)",57986,순천시산림조합,2026-02-05 10:37:12,I,2026-02-07 00:20:02,,247974.324937798,160927.332140907,원목생산업,1종,원목,7,9000,13849,영업,,순천시산림조합_
102,원목생산업,09_27_02_P,4820000,482000090202600009,2026-02-05,,1,영업/정상,1,정상,,,,,,,,전라남도 순천시 승주읍 서평리 390-5,전라남도 순천시 승주읍 승주로 717,57908,수림임업,2026-02-05 10:53:37,I,2026-02-07 00:20:02,,235363.19682577,168421.447481836,원목생산업,2종,침엽수,2,0,10,영업,,수림임업_전라남도순천시승주읍서평리390-5
101,원목생산업,09_27_02_P,4820000,482000090202600005,2026-02-05,,1,영업/정상,1,정상,,,,,,,,,전라남도 순천시 황전면 미초길 10,540-822,미초원목,2026-02-05 10:15:37,I,2026-02-07 00:20:02,,245591.458021668,178656.354946692,원목생산업,2종,,,0,0,영업,,미초원목_
100,원목생산업,09_27_02_P,4820000,482000090202600008,2026-02-05,,1,영업/정상,1,정상,,,,,,,,전라남도 순천시 서면 동산리 870-2 상가,"전라남도 순천시 서면 임촌동길 88, 상가 2층",57906,순천향림국유림영림단 사회적협동조합,2026-02-05 10:44:38,I,2026-02-07 00:20:02,,244472.854742579,166388.313299374,원목생산업,2종,,3,0,10,영업,,순천향림국유림영림단사회적협동조합_전라남도순천시서면동산리870-2상가
98,원목생산업,09_27_02_P,4820000,482000090202600006,2026-02-05,,1,영업/정상,BBBB,,,,,,,,,전라남도 순천시 인제동 370-2,"전라남도 순천시 장평6길 17, 101호 (인제동)",57959,상록수국유림영림단사회적협동조합,2026-02-05 10:19:37,I,2026-02-07 00:20:02,,244933.392415098,160883.311173027,원목생산업,2종,,,0,0,,,상록수국유림영림단사회적협동조합_전라남도순천시인제동370-2
145,원목생산업,09_27_02_P,4641000,464100090202600002,2026-02-04,,1,영업/정상,1,정상,,,,,,,,전북특별자치도 전주시 완산구 효자동2가 1383 전주효천 대방노블랜드 에코파크,"전북특별자치도 전주시 완산구 효천중앙로 20, 106동 2층 202호 (효자동2가, 전주효천 대방노블랜드 에코파크)",55152,(유)금일임업,2026-02-06 13:36:25,U,2026-02-08 02:40:00,,209365.128227484,255274.910171811,원목생산업,1종,,,0,0,영업,,(유)금일임업_전북특별자치도전주시완산구효자동2가1383전주효천대방노블랜드에코파크
28,원목생산업,09_27_02_P,4820000,482000090202600003,2026-02-03,,1,영업/정상,1,정상,,,,,,,,전라남도 순천시 가곡동 1037-3,"전라남도 순천시 고지5길 11, 102호 (가곡동)",57924,유한회사 금강임업,2026-02-04 10:27:45,I,2026-02-06 00:20:02,,244152.476648589,165105.991814553,원목생산업,1종,,2,0,50,영업,,유한회사금강임업_전라남도순천시가곡동1037-3
104,원목생산업,09_27_02_P,4600000,460000090202600001,2026-02-03,,1,영업/정상,1,정상,,,,,,,,충청남도 홍성군 홍북읍 신경리 897 국제아르페온2차,"충청남도 홍성군 홍북읍 충남대로 50, 국제아르페온2차 -동 -층 208-22호",32263,운산임업,2026-02-05 15:51:11,I,2026-02-07 00:20:02,,170996.859123806,350567.652985686,원목생산업,2종,원목,산림경영기술자기능1급,5000,31,영업,,운산임업_충청남도홍성군홍북읍신경리897국제아르페온2차
4,원목생산업,09_27_02_P,5180000,518000090202600001,2026-02-02,,1,영업/정상,1,정상,,,,,054-232-8207,,,경상북도 영덕군 영덕읍 덕곡리 156-2,경상북도 영덕군 영덕읍 중앙길 96-16,36432,삼정에코림(주),2026-02-02 13:44:08,I,2026-02-04 00:20:02,,412517.977475997,326024.020683907,원목생산업,1종,벌채(벌채량 제한없음),,0,500,영업,,삼정에코림(주)_경상북도영덕군영덕읍덕곡리156-2
1,원목생산업,09_27_02_P,4890000,489000090202600001,2026-02-02,,1,영업/정상,1,정상,,,,,061-853-3285,,,전라남도 보성군 미력면 도개리 959-4,전라남도 보성군 미력면 농공길 41,59443,(주)우리이엔씨,2026-02-02 13:42:36,I,2026-02-04 00:20:02,,208115.300132176,144083.120656657,원목생산업,1종,,,0,0,영업,,(주)우리이엔씨_전라남도보성군미력면도개리959-4
26,원목생산업,09_27_02_P,4460000,446000090202600001,2026-01-26,,1,영업/정상,1,정상,,,,,,,,충청북도 괴산군 사리면 노송리 170-1,충청북도 괴산군 사리면 사리로송오길 22,28045,정호철,2026-02-04 09:20:17,I,2026-02-06 00:20:02,,258222.725561986,372228.186905957,원목생산업,2종,,,0,0,영업,,정호철_충청북도괴산군사리면노송리170-1
27,원목생산업,09_27_02_P,4820000,482000090202600002,2025-12-22,,1,영업/정상,1,정상,,,,,,,,전라남도 순천시 연향동 1459-3 생오리숯불구이,"전라남도 순천시 하대석길 78, 생오리숯불구이 2층층 (연향동)",57982,주식회사 수성원,2026-02-04 10:00:32,I,2026-02-06 00:20:02,,247883.193658675,161245.803121631,원목생산업,1종,,7,0,50,영업,,주식회사수성원_전라남도순천시연향동1459-3생오리숯불구이
21,원목생산업,09_27_02_P,5440000,544000090202500002,2025-11-25,,1,영업/정상,1,정상,,,,,,,,경상남도 하동군 진교면 진교리 302-69,경상남도 하동군 진교면 진교중앙길 13-8,52344,주식회사 에덴,2026-02-02 10:33:32,U,2026-02-04 02:40:00,,282361.840345674,170328.340524815,원목생산업,2종,원목(국산재),산림경영 기술사 1명 이상,5000,170,영업,,주식회사에덴_경상남도하동군진교면진교리302-69
92,원목생산업,09_27_02_P,4460000,446000090202500003,2025-10-02,,1,영업/정상,1,정상,,,,,,,,충청북도 괴산군 불정면 목도리 536,충청북도 괴산군 불정면 목도로 58,28002,***,2026-02-04 11:01:19,U,2026-02-06 02:40:00,,275883.109657584,375104.029455754,원목생산업,2종,원목,,0,0,영업,,***_충청북도괴산군불정면목도리536
258,원목생산업,09_27_02_P,5080000,508000090202500003,2025-09-11,,1,영업/정상,1,정상,,,,,,,,경상북도 구미시 부곡동 47,경상북도 구미시 야은로7길 47 (부곡동),39203,태봉임업,2026-02-10 14:25:14,U,2026-02-12 02:40:00,,317275.890117861,294764.092536327,원목생산업,2종,,,0,0,영업,,태봉임업_경상북도구미시부곡동47
312,원목생산업,09_27_02_P,5470000,547000090202500002,2025-07-23,,1,영업/정상,1,정상,,,,,,,,경상남도 거창군 거창읍 대동리 980-15,경상남도 거창군 거창읍 소만1길 55-16,50135,주남목재,2026-02-11 17:10:40,U,2026-02-13 02:40:00,,283217.77445963,244216.16359857,원목생산업,2종,원목,,0,0,영업,,주남목재_경상남도거창군거창읍대동리980-15
