"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무소전화번호","사업장전화번호",
"1","계량기제조업","09_28_03_P","4040000","2026404032106500001","2026-02-09","","01","영업/정상","01","영업중","","","","","07040355262","","","경기도 하남시 광암동 400-3 미사섬유 하남공장","경기도 하남시 초광산단로 78, 미사섬유 하남공장 3층 (광암동)","12989","하이코어테크 주식회사","2026-02-09 13:34:17","I","2026-02-11 00:20:41","","215114.86409516","447365.084112119","07040355262","",
"2","계량기제조업","09_28_03_P","3420000","2015342013506500003","2015-09-15","","01","영업/정상","01","영업중","","","","","053 383 7181","","","경상북도 포항시 남구 지곡동 601 포항테크노파크","경상북도 포항시 남구 지곡로 394, 제4벤처동 204~205호 (지곡동, 포항테크노파크)","37668","(주)우리기술","2026-02-10 10:13:43","U","2026-02-12 02:40:00","","408758.713087487","284255.288661696","053 383 7181","",
"3","계량기제조업","09_28_03_P","5530000","2023553047906500006","2023-07-24","","01","영업/정상","01","영업중","","","","","031 881 9800","","","경기도 화성시 동탄구 금곡동 515-1","경기도 화성시 동탄구 금곡로163번길 63-100 (금곡동)","18511","주식회사 이지트로닉스","2026-02-09 09:39:48","U","2026-02-11 02:40:00","","206610.285113244","407501.442352859","031 881 9800","",
"4","계량기제조업","09_28_03_P","5130000","2020513018006500002","2020-05-25","","01","영업/정상","01","영업중","","","","","053 897 2231","","","경기도 광명시 소하동 1344 광명G타워","경기도 광명시 소하로 190, 광명G타워 A동 807호 (소하동)","14322","(주)제이에스테크","2026-02-06 17:54:55","U","2026-02-08 02:40:00","","190562.261122576","438191.360659881","053 897 2231","",
"5","계량기제조업","09_28_03_P","4090000","2025409051606500003","2004-06-19","","01","영업/정상","01","영업중","","","","","031 313 7077","","","","경기도 김포시 통진읍 귀전로56번길 67-9","10009","주식회사 하나산업계기","2026-02-02 17:19:35","U","2026-02-04 02:40:00","","165122.152646451","468375.760314404","031 313 7077","",
"6","계량기제조업","09_28_03_P","5020000","2026502048406500002","2026-01-26","","01","영업/정상","01","영업중","","","","","054 274 1306","","","경상북도 포항시 남구 대송면 제내리 955","경상북도 포항시 남구 대송면 대송로 39-6, A호","37868","주식회사 경기메트릭","2026-02-05 10:18:37","I","2026-02-07 00:20:02","","412974.996085759","278803.507323131","054 274 1306","",
"7","계량기제조업","09_28_03_P","3630000","2026363034406500002","2026-02-03","","01","영업/정상","01","영업중","","","","","062 951 6604","","","광주광역시 광산구 안청동 739-32","광주광역시 광산구 하남산단천변좌로 51 (안청동)","62213","광진","2026-02-03 16:40:05","I","2026-02-06 00:20:02","","182855.910382654","190195.390252902","062 951 6604","",
"8","계량기제조업","09_28_03_P","4020000","2022402022706500003","2022-11-01","","01","영업/정상","01","영업중","","","","","07089497052","","","경기도 군포시 당정동 181-37","경기도 군포시 공단로140번길 35, 3~5층 (당정동)","15845","(주)클린일렉스","2026-02-11 09:57:35","U","2026-02-13 02:40:00","","195815.946762264","428430.399840152","07089497052","",
"9","계량기제조업","09_28_03_P","6510000","2020651021606500006","2020-11-27","","01","영업/정상","01","영업중","","","","","0226247800","","","서울특별시 강서구 가양동 1498 강서한강자이타워","서울특별시 강서구 양천로 401, 강서한강자이타워 B동 3층 305호 (가양동)","07528","엠쓰리이 주식회사","2026-02-09 15:14:33","U","2026-02-11 02:40:00","","186501.233192961","451485.251875922","0226247800","",
"10","계량기제조업","09_28_03_P","3930000","2014556002906500001","2014-07-10","","03","폐업","03","폐업","2026-02-02","","","","031 491 8488","","425-090","경기도 안산시 단원구 원시동 779번지 10호","경기도 안산시 단원구 범지기로 151 (원시동)","425-090","이엠티 주식회사","2026-02-02 17:38:08","I","2026-02-04 00:20:02","","181547.914024687","422880.978707571","031 491 8488","",
