"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"1","전력기술설계업체","09_28_13_P","6260000","202662600008500001","2026-02-02","","01","영업/정상","1","인허가","","","","","0513112353","","46066","부산광역시 기장군 기장읍 동부리 169-2 나무샘부동산","부산광역시 기장군 기장읍 차성로 302, 나무샘부동산 2층","46066","경성엔지니어링","2026-02-02 09:30:45","I","2026-02-04 00:20:02","","401433.640312826","196150.072344444","설계업","전문설계업2종","","60000000",
"2","전력기술설계업체","09_28_13_P","6300000","202663000008500001","2026-02-02","","01","영업/정상","1","인허가","","","","","07087701311","","35200","대전광역시 서구 만년동 266번지 만년코아 2층17호","대전광역시 서구 만년남로 9, 만년코아 2층 17호 (만년동)","35200","주식회사 비전테크기술단","2026-02-02 21:35:21","U","2026-02-04 02:40:00","","233708.139265641","318422.666121973","설계업","전문설계업2종","대한민국","50000000",
"3","전력기술설계업체","09_28_13_P","6470000","200367400008500001","2007-07-24","","01","영업/정상","1","인허가","","","","","0267176340","","38653","경상북도 경산시 정평동 186-1","경상북도 경산시 성동로 15-1(정평동)","38653","(주)이가에이씨엠건축사사무소","2026-02-03 19:55:05","U","2026-02-06 02:40:00","","355804.913999237","260893.777150172","설계업","전문설계업1종","","0",
"4","전력기술설계업체","09_28_13_P","6430000","200164300008500001","2001-01-11","","01","영업/정상","1","인허가","","","","","0432736016","","28576","충청북도 청주시 흥덕구 송정동 279-5 세중테크노밸리 306호","충청북도 청주시 흥덕구 공단로 134, 세중테크노밸리 306호 (송정동)","28576","㈜태창전기설계사무소","2026-02-05 18:03:49","U","2026-02-07 02:40:00","","239010.6234622","349120.175075603","설계업","전문설계업1종","대한민국","0",
"5","전력기술설계업체","09_28_13_P","6430000","199864300008500001","1998-03-16","","01","영업/정상","1","인허가","","","","","0432969774","","28310","충청북도 청주시 청원구 율량동 56-4 1층","충청북도 청주시 청원구 상리로45번길 22, 1층 (율량동)","28310","(주)한양이엔지","2026-02-06 15:32:32","U","2026-02-08 02:40:00","","","","설계업","전문설계업1종","대한민국","0",
"6","전력기술설계업체","09_28_13_P","6260000","202662600008500002","2026-02-09","","01","영업/정상","1","인허가","","","","","07087061104","","47540","부산광역시 연제구 연산동 1143-18 연희빌딩","부산광역시 연제구 월드컵대로 153, 연희빌딩 (연산동)","47540","(주)한국사이언스","2026-02-09 09:36:06","I","2026-02-11 00:20:41","","389332.885669837","189467.70525523","설계업","전문설계업2종","대한민국","0",
"7","전력기술설계업체","09_28_13_P","6480000","202564800008500002","2025-06-26","","01","영업/정상","1","인허가","","","","","0558830641","","50146","경상남도 거창군 거창읍 대평리 565-4","경상남도 거창군 거창읍 강남로 254-11","50146","(주)단후","2026-02-09 15:48:20","U","2026-02-11 02:40:00","","283624.623235156","243398.935522513","설계업","전문설계업2종","대한민국","10000000",
"8","전력기술설계업체","09_28_13_P","6440000","200964400008500003","2009-03-17","","01","영업/정상","1","인허가","","","","","0428280956","","32580","충청남도 공주시 신관동 276-5","충청남도 공주시 번영1로 156, 3층 (신관동)","32580","주식회사 드림이앤디","2026-02-09 14:04:24","U","2026-02-11 02:40:00","","212899.567886731","330366.215359683","설계업","전문설계업1종","","0",
"9","전력기술설계업체","09_28_13_P","6430000","199964300008500001","1999-10-11","","01","영업/정상","1","인허가","","","","","0432233333","","28541","충청북도 청주시 상당구 영동 12번지 원앙빌리지","충청북도 청주시 상당구 교서로 86-6, 원앙빌리지 (영동)","28541","(주)우신전기기술사사무소","2026-02-09 18:12:32","U","2026-02-11 02:40:00","","243269.065777933","349314.839926423","설계업","전문설계업1종","","0",
"10","전력기술설계업체","09_28_13_P","6460000","201564600008500008","2015-10-15","","01","영업/정상","1","인허가","","","","2017-11-15","0260526100","","58762","전라남도 목포시 달동 1330-63 해상풍력플랫폼센터 304호","전라남도 목포시 허사로33번길 48-4, 해상풍력플랫폼센터 304호 (달동)","58762","주식회사 케이베츠","2026-02-11 16:10:20","U","2026-02-13 02:40:00","","141161.16418389","139854.841612287","설계업","전문설계업2종","","0",
"11","전력기술설계업체","09_28_13_P","6270000","202662700008500001","2026-01-14","","01","영업/정상","1","인허가","","","","","07059835882","","42126","대구광역시 수성구 수성동1가 271-1","대구광역시 수성구 명덕로 389, 3층 (수성동1가)","42126","주식회사 엘다","2026-02-12 13:08:47","U","2026-02-14 02:40:00","","345601.880083945","262825.717472902","설계업","전문설계업2종","","0",
"12","전력기술설계업체","09_28_13_P","6530000","202665300008500002","2026-02-13","","01","영업/정상","1","인허가","","","","","0335320976","","25771","강원특별자치도 동해시 천곡동 1038-15","강원특별자치도 동해시 동굴3길 19-6 (천곡동)","25771","한일이엔지 주식회사","2026-02-13 10:48:25","I","2026-02-15 00:20:02","","386681.803358242","448432.021861377","설계업","전문설계업1종","","0",
"13","전력기술설계업체","09_28_13_P","6530000","202064200008500002","2020-04-01","","03","폐업","3","폐업","2026-02-11","","","","0337642850","","26460","강원특별자치도 원주시 반곡동 1809-11 엔터비즈타워 C동 807,808호","강원특별자치도 원주시 입춘로 45, 엔터비즈타워 C동 8층 807,808호 (반곡동)","26460","차인호 공간조명연구소","2026-02-13 10:53:28","U","2026-02-15 02:40:00","","286650.196160256","425529.258545694","설계업","전문설계업2종","","10000000",
"14","전력기술설계업체","09_28_13_P","6540000","202565400008500001","2025-02-21","","01","영업/정상","1","인허가","","","","","0635484865","","55056","전북특별자치도 전주시 완산구 효자동1가 416번지 효자롯데2차아파트 201동동 101호","전북특별자치도 전주시 완산구 용머리로 27, 201동동 101호 (효자동1가, 효자롯데2차아파트)","55056","유한회사 지평선일렉파워","2026-02-13 18:15:33","U","2026-02-15 02:40:00","","210121.663405921","256246.656797069","설계업","전문설계업2종","","0",
