"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","전문인력총수","자본금","시설장비","타기관이전여부",
"1","지하수시공업체","09_29_01_P","3740000","C001341110404545L00","2015-03-19","","01","영업/정상","1","영업","","","","","","","","","경기도 수원시 권선구 산업로156번길 201, 401호 (고색동)","","에스피이엔에스","2026-02-02 09:47:06","U","2026-02-04 02:40:00","","","","0","0","","0",
"2","지하수시공업체","09_29_01_P","4201000","C001411110068912L00","2021-03-22","2026-02-02","03","폐업","2","취소정지업체","","","","","","","","","강원특별자치도 강릉시 박월길94번길 36 (박월동)","","주식회사 강토기술단","2026-02-02 13:20:12","U","2026-02-04 02:40:00","","","","2","100000000","한진 데스코 204kg 384.1L/min","0",
"3","지하수시공업체","09_29_01_P","4970000","C002001110499107L00","2025-05-22","","01","영업/정상","1","영업","","","","","","","","전라남도 영광군 대마면 송죽리 1030-3 지식산업센터 309호","전라남도 영광군 대마면 전기차1로 154, 지식산업센터 3층 309호","57055","엔에이치솔라(주)","2026-02-02 16:01:35","U","2026-02-04 02:40:00","","161132.257408408","198742.240533628","2","200000000","천공기 1대(광주22다5239)
공기압축기 1대(광주021가6166)","0",
"4","지하수시공업체","09_29_01_P","5070000","C001701110078528L00","2020-11-02","","01","영업/정상","1","영업","","","","","","","","","경상북도 안동시 거북골길 16 (정상동)","36753","송하건설 주식회사","2026-01-30 16:57:21","U","2026-02-04 11:04:37","","","","2","1200000000","","0",
"5","지하수시공업체","09_29_01_P","5170000","C001348110332833L00","2015-07-20","","01","영업/정상","1","영업","","","","","","","","","경상북도 영양군 영양읍 영양창수로 71","36542","(주)경동나비엔신재생","2026-02-04 10:27:38","I","2026-02-06 00:20:02","","389594.954635462","353385.430103601","2","450000000","SP6000SD / DL06","0",
"6","지하수시공업체","09_29_01_P","4930000","C002050110021121L00","2025-02-28","","01","영업/정상","1","영업","","","","","","","","전라남도 해남군 해남읍 구교리 805","전라남도 해남군 해남읍 명량로 2993, 현대중고차매매상사","59023","(주)정선이엔씨","2026-02-03 09:22:05","I","2026-02-06 00:20:02","","161363.180927608","120431.337699394","2","150000000","","0",
"7","지하수시공업체","09_29_01_P","5060000","C001713110055258L00","2026-02-04","","01","영업/정상","1","영업","","","","","","","","경상북도 김천시 감호동 18-5","경상북도 김천시 아랫장터2길 52 (감호동)","39576","율곡건설 주식회사","2026-02-04 15:53:15","I","2026-02-06 00:20:02","","301630.754400644","291844.52109494","2","260000000","천공기(경북22고1310)","0",
"8","지하수시공업체","09_29_01_P","4430000","C001542110008531L00","2026-02-04","","01","영업/정상","1","영업","","","","","","","","충청북도 옥천군 옥천읍 양수리 101-1","충청북도 옥천군 옥천읍 양수로3길 2","29035","함박건설 주식회사","2026-02-04 09:19:43","I","2026-02-06 00:20:02","","250107.857732255","311027.3448681","2","800000000","천공기(JCK-0078)","0",
"9","지하수시공업체","09_29_01_P","4691000","C002112140025456L00","2024-09-27","","01","영업/정상","1","영업","","","","","","","","전북특별자치도 정읍시 수성동 1015-6","전북특별자치도 정읍시 샘골로 175, 2층 (수성동)","","(유)정우엔지니어링","2026-02-03 15:53:16","U","2026-02-06 02:40:00","","187340.778138141","231606.218566066","2","200000000","천공기,(충남22고 5111)
원동기(H07C)","0",
"10","지하수시공업체","09_29_01_P","5310000","C003683200703000000","2020-03-26","2026-02-04","03","폐업","2","취소정지업체","","","","","","","","경상남도 진주시 이현동 8-1 주공아파트","경상남도 진주시 진주성로 194, 2층 (상봉동)","52729","천지지하수","2026-02-04 11:00:42","U","2026-02-06 02:40:00","","296309.721576709","188602.881447298","2","94650000","","0",
