"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","건물위생관리업","09_30_04_P","3040000","3040000-206-2010-00014","2010-04-13","","01","영업/정상","01","영업","","","","","0269438235","293.70","143-909","서울특별시 광진구 중곡동 587-2 케이티앤지성동지점","서울특별시 광진구 동일로 462, 케이티앤지성동지점 2층 (중곡동)","04901","(주)윌앤비전","2026-02-02 13:09:36","I","2026-02-04 00:20:02","건물위생관리업","207028.163502694","452117.471356011","건물위생관리업","0","0","0","0","1","1","","","","임대","0","0","N",
"2","건물위생관리업","09_30_04_P","5680000","5680000-206-2026-00001","2026-02-02","","01","영업/정상","01","영업","","","","","","0.00","343-928","충청남도 당진시 채운동 1103","충청남도 당진시 시장중앙길 21, 1층 2호 (채운동)","31777","당진클린","2026-02-02 14:45:25","I","2026-02-04 00:20:02","건물위생관리업","167094.977924243","376106.396391242","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"3","건물위생관리업","09_30_04_P","3910000","3910029-206-2026-00002","2026-02-02","","01","영업/정상","01","영업","","","","","","32.40","","경기도 평택시 고덕동 2048-3","경기도 평택시 고덕중앙로 294, 1동 1층 133호 (고덕동)","18014","주식회사 총무닷컴","2026-02-02 17:11:13","I","2026-02-04 00:20:02","건물위생관리업","204698.350972436","393779.091693112","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"4","건물위생관리업","09_30_04_P","3510500","3510500-206-2026-00001","2026-02-02","","01","영업/정상","01","영업","","","","","032876 8766","44.40","","인천광역시 미추홀구 학익동 4-15","인천광역시 미추홀구 학익소로 5, 1층 3호 (학익동)","22218","제이에스 컴퍼니","2026-02-02 14:56:00","I","2026-02-04 00:20:02","건물위생관리업","170528.007804831","438290.333579063","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"5","건물위생관리업","09_30_04_P","5020000","5030000-206-2026-00002","2026-02-02","","01","영업/정상","01","영업","","","","","","64.80","790-911","경상북도 포항시 남구 오천읍 원리 934-5 1층","경상북도 포항시 남구 오천읍 냉천로302번길 49, 1층","37885","숨솔공조위생","2026-02-02 15:27:14","I","2026-02-04 00:20:02","건물위생관리업","416810.280467105","276787.400541977","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"6","건물위생관리업","09_30_04_P","3740000","3750000-206-2026-00001","2026-02-02","","01","영업/정상","01","영업","","","","","","14.73","440-825","경기도 수원시 장안구 율전동 285-2 SK HUB BLUE","경기도 수원시 장안구 서부로 2139, SK HUB BLUE 4층 4048호 (율전동)","16360","㈜공존","2026-02-02 17:09:26","I","2026-02-04 00:20:02","건물위생관리업","197415.841321941","421942.320630788","건물위생관리업","18","5","4","4","0","0","","","","","0","2","N",
"7","건물위생관리업","09_30_04_P","5530000","5760000-206-2016-00009","2016-04-20","","03","폐업","02","폐업","2017-06-07","","","","070 89116900","31.14","","경기도 화성시 병점구 병점동  871 효성해링턴플레이스 106동 306호","경기도 화성시 병점구 떡전골로 60, 106동 306호 (병점동, 효성해링턴플레이스 )","","(주)한울타리관리","2017-06-07 11:01:58","I","2026-02-04 01:35:23","건물위생관리업","203145.912336272","411425.206730216","건물위생관리업","0","0","3","0","0","0","","","","","0","0","N",
"8","건물위생관리업","09_30_04_P","5530000","5750000-206-2016-00010","2016-04-25","","01","영업/정상","01","영업","","","","","","12.37","","경기도 화성시 효행구 기안동  19-45 2층일부호","경기도 화성시 효행구 기배로109번길 37, 2층 일부호 (기안동)","","푸르지오","2021-12-29 14:24:30","I","2026-02-04 01:35:23","건물위생관리업","198985.29480465","413862.557060707","건물위생관리업","0","0","1","0","0","0","","","","","0","0","N",
"9","건물위생관리업","09_30_04_P","5530000","5740000-206-2016-00011","2016-05-03","","03","폐업","02","폐업","2018-06-11","","","","","33.00","","경기도 화성시 만세구 남양읍 남양리 2050-8 103호","경기도 화성시 만세구 남양읍 역골동로 51, 103호","","이엔클린(EN-CLEAN)","2018-06-11 13:09:11","I","2026-02-04 01:35:23","건물위생관리업","184996.677055671","411435.997227586","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"10","건물위생관리업","09_30_04_P","5530000","5750000-206-2017-00023","2017-09-22","","01","영업/정상","01","영업","","","","","031 221 5489","65.28","","경기도 화성시 효행구 봉담읍 동화리 139-1 화성공구유통밸리","경기도 화성시 효행구 봉담읍 와우안길 109, 판매시설,창고 지하1층 S-13호","","벧엘티에스","2018-10-17 14:10:50","I","2026-02-04 01:35:23","건물위생관리업","197607.132367783","413349.198055201","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"11","건물위생관리업","09_30_04_P","5530000","5760000-206-2017-00024","2017-09-25","","01","영업/정상","01","영업","","","","","","26.80","","경기도 화성시 병점구 안녕동  176-310 2층일부호","경기도 화성시 병점구 안녕남로 55, 2층 일부호 (안녕동)","","(주)행복나눔","2021-02-15 11:08:39","I","2026-02-04 01:35:23","건물위생관리업","199014.517259838","410582.998861904","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"12","건물위생관리업","09_30_04_P","5530000","5750000-206-2025-00009","2025-03-07","","01","영업/정상","01","영업","","","","","","36.54","","경기도 화성시 효행구 봉담읍 왕림리 254-1","경기도 화성시 효행구 봉담읍 독정길 25, 1층 일부호","","오케이클린(okclean)","2025-03-07 16:32:21","I","2026-02-04 01:35:23","건물위생관리업","194308.125372816","410316.780747386","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
