번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),환경업무구분명,폐기물처리업구분명,폐기물처리업별처리구분명,폐기물구분명,허용보관량,허용보관량내용,Unnamed: 34,record_key
225,건설폐기물처리업,09_30_05_P,4641000,464100092202500005,2026-02-13,,1,영업/정상,BBBB,영업,,,,,,,,전북특별자치도 전주시 덕진구 덕진동1가 1342-12,전북특별자치도 전주시 덕진구 기린대로 530 (덕진동1가),54897,주식회사 지안에코,2026-02-13 10:23:15,I,2026-02-15 00:20:02,,210893.907563722,260637.022899101,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,주식회사지안에코_전북특별자치도전주시덕진구덕진동1가1342-12
226,건설폐기물처리업,09_30_05_P,3320000,332000092202600001,2026-02-13,,1,영업/정상,BBBB,영업,,,,,051-337-0506,,,부산광역시 북구 구포동 1118-9,"부산광역시 북구 사상로 610, 2층 (구포동)",46503,(주)정리시스템,2026-02-13 13:37:19,I,2026-02-15 00:20:02,,381278.671376797,190623.093391023,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)정리시스템_부산광역시북구구포동1118-9
227,건설폐기물처리업,09_30_05_P,3170000,317000092202600002,2026-02-13,,1,영업/정상,BBBB,영업,,,,,,,,서울특별시 금천구 가산동 691 대륭테크노타운 20차,"서울특별시 금천구 가산디지털1로 5, 대륭테크노타운 20차 (가산동)",08594,주식회사 도윤산업,2026-02-13 10:30:40,I,2026-02-15 00:20:02,,189920.528610917,440521.85524888,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,주식회사도윤산업_서울특별시금천구가산동691대륭테크노타운20차
228,건설폐기물처리업,09_30_05_P,3570000,357000092202500001,2026-02-13,,1,영업/정상,BBBB,영업,,,,,,,,인천광역시 강화군 길상면 초지리 1251-421,"인천광역시 강화군 길상면 해안남로 39, 2층",23052,주식회사 강화개발환경,2026-02-13 13:15:41,I,2026-02-15 00:20:02,,158707.339595351,458162.876322886,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,주식회사강화개발환경_인천광역시강화군길상면초지리1251-421
197,건설폐기물처리업,09_30_05_P,3670000,367000092202600003,2026-02-12,,1,영업/정상,BBBB,영업,,,,,042-582-2335,,,대전광역시 중구 안영동 508-8,대전광역시 중구 유등천동로 50 (안영동),35084,금강환경개발(합),2026-02-12 15:38:18,I,2026-02-14 00:20:02,,233756.494774917,310039.366010777,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,금강환경개발(합)_대전광역시중구안영동508-8
217,건설폐기물처리업,09_30_05_P,4711000,471100092201600001,2026-02-12,,1,영업/정상,BBBB,영업,,,,,063-545-0653,,,전북특별자치도 전주시 덕진구 금암동 1558-4,전북특별자치도 전주시 덕진구 조경단로 45 (금암동),54930,(유)천만금,2026-02-12 11:54:05,U,2026-02-14 02:40:00,,212370.493792095,259820.210724548,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,0.0,,,(유)천만금_전북특별자치도전주시덕진구금암동1558-4
196,건설폐기물처리업,09_30_05_P,3680000,368000092202500004,2026-02-12,,1,영업/정상,BBBB,영업,,,,,,,,대전광역시 대덕구 목상동 151-20,"대전광역시 대덕구 대덕대로1454번길 25, 102동 310호 (목상동)",34323,미소철거환경,2026-02-12 18:02:35,I,2026-02-14 00:20:02,,236737.554041676,327429.739759042,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,미소철거환경_대전광역시대덕구목상동151-20
223,건설폐기물처리업,09_30_05_P,4140000,414000092199700003,2026-02-11,,1,영업/정상,BBBB,영업,,,,,0318320011,,486-901,경기도 연천군 전곡읍 늘목리 61-4,경기도 연천군 전곡읍 양연로527번길 4,11041,신잔토개발(주),2026-02-12 14:28:10,U,2026-02-14 02:40:00,,200258.422902469,494658.752507648,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,28000.0,,,신잔토개발(주)_경기도연천군전곡읍늘목리61-4
211,건설폐기물처리업,09_30_05_P,5120000,512000092202400001,2026-02-11,,1,영업/정상,BBBB,영업,,,,,054-552-3931,,,경상북도 문경시 마성면 하내리 95-4,,,주식회사 대지,2026-02-12 15:56:30,U,2026-02-14 02:40:00,,,,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,12000.0,,,주식회사대지_경상북도문경시마성면하내리95-4
167,건설폐기물처리업,09_30_05_P,4191000,419100092201000001,2026-02-10,,1,영업/정상,BBBB,영업,,,,,766-0809,,220-843,강원특별자치도 원주시 흥업면 사제리 954-6,강원특별자치도 원주시 흥업면 사제로 299-17,26356,(주)반석산업,2026-02-10 13:29:48,U,2026-02-12 02:40:00,,279226.399473859,424340.864325889,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,0.0,,,(주)반석산업_강원특별자치도원주시흥업면사제리954-6
