"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","단독정화조/오수처리시설설계시공업","09_30_07_P","3990000","399000054200600001","2006-09-08","","01","영업/정상","11","영업","","","","","031-559-6220","","","경기도 남양주시 다산동 6250","경기도 남양주시 다산지금로 202, 현대테라타워디아이엠씨 BF동 7층 77호 (다산동)","12284","주식회사 케이테크윈","2026-02-02 15:11:45","U","2026-02-04 02:40:00","","215139.954217956","454827.048367444","분뇨등설계시공업관리","","","","","0","","0",
"2","단독정화조/오수처리시설설계시공업","09_30_07_P","3000000","300000054202100002","2021-11-17","","01","영업/정상","11","영업","","","","","02-3700-8509","","","서울특별시 종로구 중학동 14 트윈 트리 빌딩","서울특별시 종로구 율곡로 6, 트윈 트리 빌딩 (중학동)","03142","에스케이에코엔지니어링 주식회사","2026-01-30 09:56:20","U","2026-02-04 11:04:37","하수 처리업","198176.159239663","452574.67151361","분뇨등설계시공업관리","하수 처리업","","","","0","","0",
"3","단독정화조/오수처리시설설계시공업","09_30_07_P","4080000","408000054200200004","2002-12-27","","01","영업/정상","11","영업","","","","","031-671-3374","","456-851","경기도 안성시 서운면 현매리 473-1","경기도 안성시 서운면 서미로 109-19","456-851","(주)가야환경","2026-01-30 15:58:21","U","2026-02-04 11:04:37","폐기물 수집운반업","219710.994810471","381444.304335438","분뇨등설계시공업관리","폐기물 수집운반업","","","","0","","0",
"4","단독정화조/오수처리시설설계시공업","09_30_07_P","4520000","452000054200800001","2009-01-02","","01","영업/정상","11","영업","","","","","5347548","","","충청남도 아산시 온천동 1852","충청남도 아산시 번영로115번길 1 (온천동)","31511","(주)예덕엔지니어링","2026-02-03 10:29:13","U","2026-02-06 02:40:00","환경상담 및 관련 엔지니어링 서비스업","200273.59655942","365025.777333594","분뇨등설계시공업관리","환경상담 및 관련 엔지니어링 서비스업","","","","0","","0",
"5","단독정화조/오수처리시설설계시공업","09_30_07_P","5670000","567020654202300001","2023-05-08","","03","폐업","2","폐업","2026-02-02","","","","","","","경상남도 창원시 진해구 원포동 100 (주)케이조선","경상남도 창원시 진해구 명제로 60 (주)케이조선 (원포동)","51624","정수엔텍","2026-02-04 14:54:30","U","2026-02-06 02:40:00","","356384.281778708","180292.023069971","분뇨등설계시공업관리","","","","","0","","0",
"6","단독정화조/오수처리시설설계시공업","09_30_07_P","4090000","409000054201500002","2016-01-05","","01","영업/정상","11","영업","","","","","031-984-2273","","","경기도 김포시 고촌읍 태리 582-6","경기도 김포시 고촌읍 이화남로 141-1, 1층","10127","가나환경","2026-02-04 13:42:31","U","2026-02-06 02:40:00","","176666.232627143","454460.556841133","분뇨등설계시공업관리","","","","","0","","0",
"7","단독정화조/오수처리시설설계시공업","09_30_07_P","4520000","452000054199800011","1998-10-08","","01","영업/정상","11","영업","","","","","041-541-0111","","","충청남도 아산시 용화동 1583","충청남도 아산시 용화고길79번길 25, 3층 (용화동)","31578","(주)청해이그린","2026-02-04 14:01:11","U","2026-02-06 02:40:00","","200994.659731653","363676.362878205","분뇨등설계시공업관리","","","","","0","","0",
"8","단독정화조/오수처리시설설계시공업","09_30_07_P","4170000","417000054199900012","1999-03-18","","01","영업/정상","11","영업","","","","","0317714500","","","경기도 양평군 양평읍 오빈리 359-2","경기도 양평군 양평읍 경강로 1677-1","12545","한강종합환경","2026-02-03 20:00:18","U","2026-02-06 02:40:00","","241291.499286844","444726.41580402","분뇨등설계시공업관리","","","","","0","","0",
"9","단독정화조/오수처리시설설계시공업","09_30_07_P","4040000","404000054202600002","2026-02-05","","01","영업/정상","11","영업","","","","","031-759-5944","","","경기도 하남시 감북동 277-19","경기도 하남시 서하남로47번길 156 (감북동)","12991","성진환경","2026-02-05 14:29:55","I","2026-02-07 00:20:02","환경설비 건설업","213643.651345649","446540.725256412","분뇨등설계시공업관리","환경설비 건설업","","","","0","","0",
"10","단독정화조/오수처리시설설계시공업","09_30_07_P","5700000","570000054201300001","2013-02-01","","02","휴업","1","휴업","","2026-02-05","2027-02-04","","","","469-801","경기도 여주시 교동 454-5","","","호마엔텍(주)","2026-02-05 09:08:33","U","2026-02-07 02:40:00","","256251.80558221","418859.140271986","분뇨등설계시공업관리","","","","","0","","0",
"11","단독정화조/오수처리시설설계시공업","09_30_07_P","3780000","378000054200000002","2007-07-04","","01","영업/정상","11","영업","","","","","031-737-4884","","","경기도 성남시 중원구 상대원동 307-2 선택시티 2","경기도 성남시 중원구 사기막골로 52, 선택시티 2 203호 (상대원동)","13210","(주)평화개발","2026-02-05 20:10:18","U","2026-02-07 02:40:00","하수, 폐수 및 분뇨 처리업","215054.510505133","436973.415038163","분뇨등설계시공업관리","하수, 폐수 및 분뇨 처리업","","","","0","","0",
"12","단독정화조/오수처리시설설계시공업","09_30_07_P","4681000","468100054201500001","2015-10-19","","01","영업/정상","11","영업","","","","","063-836-2218","","","전북특별자치도 익산시 삼기면 서두리 948-1","전북특별자치도 익산시 삼기면 하나로 1193","54527","(유)익산환경건설","2026-02-05 09:02:05","U","2026-02-07 02:40:00","","197615.722910825","280724.33470103","분뇨등설계시공업관리","","","","","0","","0",
"13","단독정화조/오수처리시설설계시공업","09_30_07_P","4940000","494000054202600001","2026-02-06","","01","영업/정상","11","영업","","","","","061-471-5522","","","전라남도 영암군 학산면 용산리 1015-34","전라남도 영암군 학산면 왕인로 202-7","58441","주식회사 청정환경","2026-02-06 11:44:49","I","2026-02-08 00:20:01","종합 건설업","164752.605878887","138020.493333447","분뇨등설계시공업관리","종합 건설업","","","","0","","0",
"14","단독정화조/오수처리시설설계시공업","09_30_07_P","4390000","439000054200600001","2006-09-11","","01","영업/정상","11","영업","","","","","043-845-9004","","","충청북도 충주시 금릉동 154-9","충청북도 충주시 응골1길 37-6 (금릉동)","27336","(주)좋은이엔지","2026-02-06 19:34:53","U","2026-02-08 02:40:00","","282360.288222387","388615.927770523","분뇨등설계시공업관리","","","","","0","","0",
"15","단독정화조/오수처리시설설계시공업","09_30_07_P","4620000","462000054201200001","2012-05-16","","01","영업/정상","11","영업","","","","","0416745910","","357-907","충청남도 태안군 태안읍 장산리 614-4","충청남도 태안군 태안읍 근흥로 16","357-907","지구환경","2026-02-09 16:16:49","U","2026-02-11 02:40:00","","135168.507975694","361965.978993353","분뇨등설계시공업관리","","","","","0","","0",
"16","단독정화조/오수처리시설설계시공업","09_30_07_P","5410000","541000054202400001","2024-07-23","","01","영업/정상","11","영업","","","","","055-532-8075","","","경상남도 창녕군 계성면 신당리 192-1","경상남도 창녕군 계성면 물고개길 1","50338","(주)와이제이건설","2026-02-09 09:37:32","U","2026-02-11 02:40:00","","337050.297362759","222459.093832346","분뇨등설계시공업관리","","","","","0","","0",
"17","단독정화조/오수처리시설설계시공업","09_30_07_P","3780000","378000054201300002","2013-12-20","","03","폐업","2","폐업","2026-02-06","","","","031-759-5944","","","경기도 성남시 수정구 시흥동 49","경기도 성남시 수정구 설개로22번길 15 (시흥동)","13445","성진환경","2026-02-09 09:02:06","U","2026-02-11 02:40:00","하수, 폐수 및 분뇨 처리업","209279.405917824","435305.763245006","분뇨등설계시공업관리","하수, 폐수 및 분뇨 처리업","","","","0","","0",
"18","단독정화조/오수처리시설설계시공업","09_30_07_P","4910000","491000054200700001","2007-11-14","","03","폐업","2","폐업","2026-02-04","","","","0625154666","","529-851","","전라남도 장흥군 장흥읍 산단1로 32-33","59315","(주)코엔텍","2026-02-10 21:29:14","U","2026-02-12 02:40:00","","","","분뇨등설계시공업관리","","","","","0","","0",
"19","단독정화조/오수처리시설설계시공업","09_30_07_P","5230000","523000054201700001","2017-01-23","","01","영업/정상","11","영업","","","","","0546544917","","","경상북도 예천군 예천읍 청복리 843-1 (주)신도ENG","경상북도 예천군 예천읍 양궁로 69 (주)신도ENG","36829","한국환경건설(주)","2026-02-12 14:10:20","U","2026-02-14 02:40:00","하수 처리업","330730.730903377","350514.277473212","분뇨등설계시공업관리","하수 처리업","","","","0","","0",
