번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),실험실면적,사업장구분명,영업소면적,위탁업체명,실험실지역코드,실험실우편번호,실험실산,실험실번지,실험실호,실험실통,실험실반,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실도로명주소시군구코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소코드,실험실도로명특수주소,실험실도로명주소건물층구분,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소우편번호,Unnamed: 51,record_key
43,환경전문공사업,09_30_16_P,6270000,627000009202000001,2026-02-13,,1,영업/정상,N,신규,,,,,,,42971,대구광역시 달성군 옥포읍 본리리 2662번지,대구광역시 달성군 옥포읍 비슬로447길 10,42971,(주)서일플랜트,2026-02-13 10:32:10,U,2026-02-15 02:40:00,,,,0.0,환경전문공사업,0,,2771026229.0,42971.0,0.0,2662.0,0.0,,,,,,27710.0,2771026229.0,0.0,4244300.0,,0.0,10.0,0.0,42971.0,,(주)서일플랜트_대구광역시달성군옥포읍본리리2662번지
42,환경전문공사업,09_30_16_P,6460000,646000009201700003,2026-02-13,,1,영업/정상,N,신규,,,,,,,58025,전라남도 순천시 해룡면 해창리 306-2,전라남도 순천시 해룡면 해룡로 759-6,58025,(주)순천만환경연구소,2026-02-13 13:10:18,U,2026-02-15 02:40:00,,248282.233471105,154643.075867208,0.0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,(주)순천만환경연구소_전라남도순천시해룡면해창리306-2
46,환경전문공사업,09_30_16_P,6410000,641000009202400072,2026-02-12,,1,영업/정상,N,신규,,,,,,,15455,경기도 안산시 단원구 초지동 743-1 비전타운,"경기도 안산시 단원구 원포공원1로 67, 비전타운 3층 301호(초지동)",15455,케이비엔텍㈜,2026-02-12 09:21:42,U,2026-02-16 02:40:00,,183118.787318973,422300.007248888,0.0,환경전문공사업,0,,4127310700.0,15455.0,0.0,742.0,2.0,,,키즈타워2,,,41273.0,4127310700.0,1.0,3191064.0,키즈타워2,0.0,64.0,0.0,15455.0,,케이비엔텍㈜_경기도안산시단원구초지동743-1비전타운
45,환경전문공사업,09_30_16_P,6410000,641000009202600027,2026-02-12,,1,영업/정상,N,신규,,,,,,,,경기도 시흥시 대야동 541-17 견우프라자 301호,"경기도 시흥시 비둘기공원6길 25, 견우프라자 3층 301호 (대야동)",,㈜레인퓨어텍,2026-02-12 19:31:55,I,2026-02-16 00:20:01,,,,0.0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,㈜레인퓨어텍_경기도시흥시대야동541-17견우프라자301호
44,환경전문공사업,09_30_16_P,6410000,641000009202600026,2026-02-12,,1,영업/정상,N,신규,,,,,,,14057,경기도 안양시 동안구 관양동 883번지 에이스평촌타워 705호,"경기도 안양시 동안구 시민대로 361, 에이스평촌타워 705호 (관양동)",14057,(주)제로켐워터,2026-02-12 19:30:14,I,2026-02-16 00:20:01,,197266.864787155,432738.809250786,0.0,환경전문공사업,0,,4117310200.0,14057.0,0.0,883.0,0.0,,,에이스평촌타워,,705.0,41173.0,4117310200.0,1.0,2182002.0,에이스평촌타워,0.0,361.0,0.0,14057.0,,(주)제로켐워터_경기도안양시동안구관양동883번지에이스평촌타워705호
41,환경전문공사업,09_30_16_P,6270000,627000009202500001,2026-02-12,,1,영업/정상,N,신규,,,,,,,42709,"대구광역시 달서구 신당동 1320-2 이앤씨이노비즈타워 1003,1208호","대구광역시 달서구 달서대로 559, 이앤씨이노비즈타워 1003,1208호 (신당동)",42709,경일워터이엔지(주),2026-02-12 08:17:31,U,2026-02-14 02:40:00,,334621.225167521,262044.332357665,0.0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,"경일워터이엔지(주)_대구광역시달서구신당동1320-2이앤씨이노비즈타워1003,1208호"
40,환경전문공사업,09_30_16_P,6530000,653000009202300015,2026-02-12,,1,영업/정상,N,신규,,,,,,,26308,강원특별자치도 원주시 소초면 수암리 1258번지,강원특별자치도 원주시 소초면 장수2로 268,26308,(주)청림,2026-02-12 15:27:51,U,2026-02-14 02:40:00,,286840.443856983,433492.418472201,0.0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,(주)청림_강원특별자치도원주시소초면수암리1258번지
39,환경전문공사업,09_30_16_P,6540000,645000009201900008,2026-02-12,,1,영업/정상,N,신규,,,,,,,55440,전북특별자치도 진안군 진안읍 연장리 1781번지,전북특별자치도 진안군 진안읍 거북바위로3길 15-25,55440,바다정수산업(주),2026-02-12 17:28:03,U,2026-02-14 02:40:00,,234249.971900349,252648.099926132,0.0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,바다정수산업(주)_전북특별자치도진안군진안읍연장리1781번지
38,환경전문공사업,09_30_16_P,6310000,631000009202600006,2026-02-12,,1,영업/정상,N,신규,,,,,,,44997,울산광역시 울주군 온산읍 대정리 505번지,울산광역시 울주군 온산읍 이진로 139,44997,고려아연(주) 온산제련소,2026-02-12 10:22:03,I,2026-02-14 00:20:02,,412999.248857741,217065.691926948,0.0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,고려아연(주)온산제련소_울산광역시울주군온산읍대정리505번지
37,환경전문공사업,09_30_16_P,6460000,646000009202600001,2026-02-12,,1,영업/정상,N,신규,,,,,,,58703,전라남도 목포시 용해동 140-4,전라남도 목포시 안장산로 37(용해동),58703,신진유지건설(주),2026-02-12 09:03:39,I,2026-02-14 00:20:02,,145479.101560637,144795.164276081,0.0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,신진유지건설(주)_전라남도목포시용해동140-4
34,환경전문공사업,09_30_16_P,3170000,317000067202600002,2026-02-11,,1,영업/정상,BBBB,영업,,,,,02-2624-1300,,,서울특별시 금천구 가산동 371-50 에이스하이엔드타워3차,"서울특별시 금천구 가산디지털1로 145, 에이스하이엔드타워3차 1205,1206호 (가산동)",08506,(주)파일란트,2026-02-11 14:44:27,I,2026-02-13 00:20:38,환경상담 및 관련 엔지니어링 서비스업,189467.124186925,441780.0053985,0.0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,(주)파일란트_서울특별시금천구가산동371-50에이스하이엔드타워3차
33,환경전문공사업,09_30_16_P,6470000,647000009202600003,2026-02-11,,1,영업/정상,N,신규,,,,,,,38536,경상북도 경산시 압량읍 신대리 444-2,"경상북도 경산시 압량읍 압독2로2길 15-1, 나동",38536,(주)지이테크,2026-02-11 17:19:20,I,2026-02-13 00:20:38,,,,0.0,환경전문공사업,0,,,,,,,,,,,,,,,,,,,,,,(주)지이테크_경상북도경산시압량읍신대리444-2
