번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),실험실면적,사업장구분명,영업소면적,위탁업체명,실험실지역코드,실험실우편번호,실험실산,실험실번지,실험실호,실험실통,실험실반,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실도로명주소시군구코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소코드,실험실도로명특수주소,실험실도로명주소건물층구분,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소우편번호,사업자등록번호,Unnamed: 52,record_key
19,환경컨설팅회사,09_30_18_P,6270000,627000020202600002,2026-02-11,,1,영업/정상,N,신규,,,,,,,41519.0,대구광역시 북구 산격동 505-7,"대구광역시 북구 동북로 117, 15층 25호 (산격동)",41519.0,(주)새영엔텍,2026-02-11 15:50:30,I,2026-02-13 00:20:38,,345000.80458905,268051.856327351,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,6868803696.0,,(주)새영엔텍_대구광역시북구산격동505-7
18,환경컨설팅회사,09_30_18_P,6410000,641000020202400015,2026-02-10,,1,영업/정상,N,신규,,,,,,,15455.0,경기도 안산시 단원구 초지동 742-2 키즈타워2,"경기도 안산시 단원구 원포공원1로 64, 키즈타워2 2층 (초지동)",15455.0,케이비엔텍(주),2026-02-10 08:45:00,U,2026-02-12 02:40:00,,183165.555491372,422378.87289029,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,케이비엔텍(주)_경기도안산시단원구초지동742-2키즈타워2
17,환경컨설팅회사,09_30_18_P,6110000,611000020202600002,2026-02-10,,1,영업/정상,N,신규,,,,,,,6156.0,서울특별시 강남구 삼성동 127-9 삼화빌딩 205호,"서울특별시 강남구 삼성로 535, 삼화빌딩 2층 205호 (삼성동)",6156.0,주식회사 지앤에스솔루션,2026-02-10 17:07:21,I,2026-02-12 00:20:02,,204766.113362433,445274.910029421,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,3918802784.0,,주식회사지앤에스솔루션_서울특별시강남구삼성동127-9삼화빌딩205호
16,환경컨설팅회사,09_30_18_P,6440000,644000020202100003,2026-02-09,,1,영업/정상,N,신규,,,,,,,,충청남도 천안시 동남구 청당동 518번지 505호,"충청남도 천안시 동남구 청수11로 26, 505호 (청당동)",,블루이엔텍(주),2026-02-09 18:06:56,U,2026-02-11 02:40:00,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,1568601724.0,,블루이엔텍(주)_충청남도천안시동남구청당동518번지505호
15,환경컨설팅회사,09_30_18_P,6410000,641000020202000010,2026-02-09,,1,영업/정상,N,신규,,,,,,,14556.0,경기도 부천시 춘의동 195번지 삼보테크노타워 1709호,"경기도 부천시 조마루로385번길 122, 삼보테크노타워 1709호(춘의동)",14556.0,주식회사 켐프로,2026-02-09 08:54:01,U,2026-02-11 02:40:00,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,1198709271.0,,주식회사켐프로_경기도부천시춘의동195번지삼보테크노타워1709호
14,환경컨설팅회사,09_30_18_P,6110000,611000020202600001,2026-02-06,,1,영업/정상,N,신규,,,,,,,8506.0,서울특별시 금천구 가산동 371-50 에이스하이엔드타워3차 806호,"서울특별시 금천구 가산디지털1로 145, 에이스하이엔드타워3차 806호 (가산동)",8506.0,주식회사 솔루티스,2026-02-06 10:33:56,I,2026-02-08 00:20:01,,189467.124186925,441780.0053985,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,1138626765.0,,주식회사솔루티스_서울특별시금천구가산동371-50에이스하이엔드타워3차806호
11,환경컨설팅회사,09_30_18_P,6410000,641000020202400008,2026-02-05,,1,영업/정상,N,신규,,,,,,,16641.0,경기도 수원시 권선구 고색동 914-17 영진환경산업(주),"경기도 수원시 권선구 매송고색로 634-21, 영진환경산업(주) (고색동)",16641.0,영진환경산업(주),2026-02-05 13:58:40,U,2026-02-07 02:40:00,,197589.651629195,416005.090501005,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,영진환경산업(주)_경기도수원시권선구고색동914-17영진환경산업(주)
3,환경컨설팅회사,09_30_18_P,6530000,653000020202600001,2026-02-04,,1,영업/정상,N,신규,,,,,,,26483.0,강원특별자치도 원주시 단구동 1550-2,"강원특별자치도 원주시 천매봉길 32-19, 2층 (단구동)",26483.0,㈜씨케이엔지니어링,2026-02-04 14:49:41,I,2026-02-06 00:20:02,,283550.654612678,425047.568008439,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,6958802973.0,,㈜씨케이엔지니어링_강원특별자치도원주시단구동1550-2
4,환경컨설팅회사,09_30_18_P,6270000,627000020202600001,2026-02-04,,1,영업/정상,N,신규,,,,,,,42115.0,대구광역시 수성구 수성동3가 130-1 수성3가화성파크드림1단지 104동 1402호,"대구광역시 수성구 들안로60길 17, 104동 1402호 (수성동3가, 수성3가 화성파크드림 1단지)",42115.0,(주)신화엔바텍,2026-02-04 15:16:03,I,2026-02-06 00:20:02,,346243.114096546,263194.869698036,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,5038117519.0,,(주)신화엔바텍_대구광역시수성구수성동3가130-1수성3가화성파크드림1단지104동1402호
5,환경컨설팅회사,09_30_18_P,6470000,647000020202600001,2026-02-03,,1,영업/정상,N,신규,,,,,533222227.0,,38412.0,경상북도 경산시 와촌면 소월리 1310-16,경상북도 경산시 와촌면 팔공로132길 94,38412.0,(주)예장,2026-02-03 11:13:41,I,2026-02-06 00:20:02,,362988.269845551,273738.675629023,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,3758802123.0,,(주)예장_경상북도경산시와촌면소월리1310-16
