"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","수영장업","10_35_01_P","5530000","CDFH3301012006000001","2006-05-02","","01","영업/정상","13","영업중","","","","","031-359-4331","","","경기도 화성시 만세구 우정읍 매향리 966","경기도 화성시 만세구 우정읍 기아자동차로 95","18571","기아스포츠센타","2026-01-30 13:23:19","I","2026-02-04 01:35:23","","178347.843007691","392918.701206768","수영장업","사립","","0","0","0","0","","",
"2","수영장업","10_35_01_P","4000000","CDFH3301012024000002","2024-11-07","","01","영업/정상","13","영업중","","","","","","","","경기도 오산시 고현동 57","경기도 오산시 남부대로 445-2, 1층 (고현동)","18150","블루오션수영장","2026-02-02 16:59:22","U","2026-02-04 02:40:00","","207408.654983525","403554.865846845","수영장업","사립","Y","1","0","852.63","0","","",
"3","수영장업","10_35_01_P","4050000","CDFH3301011997000001","1997-06-28","","02","휴업","02","휴업","","2020-07-01","2027-06-30","","031-336-0504","","449-833","경기도 용인시 처인구 이동읍 묵리 427-1","경기도 용인시 처인구 이동읍 이원로 495","17132","용인레저(실외)","2026-02-02 11:03:59","U","2026-02-04 02:40:00","","221263.81160375","407295.018213484","수영장업","사립","Y","1","0","0","0","","",
"4","수영장업","10_35_01_P","4490000","CDFH3301012026000001","2026-02-04","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 백석동 148-14","충청남도 천안시 서북구 백석로 85 (백석동)","31097","온앤온 수영장","2026-02-04 14:10:54","I","2026-02-06 00:20:02","","210760.814067022","369193.652332995","수영장업","사립","","1","0","0","0","","",
"5","수영장업","10_35_01_P","3330000","CDFH3301012026000001","2026-02-04","","01","영업/정상","13","영업중","","","","","0519920916","","","부산광역시 해운대구 반여동 882-5","부산광역시 해운대구 선수촌로 172-1, 1층 (반여동)","48034","라임수영장 센텀점","2026-02-04 15:19:28","I","2026-02-06 00:20:02","","393332.840484974","191947.321378789","수영장업","사립","Y","1","0","0","0","","",
"6","수영장업","10_35_01_P","6510000","CDFH3301012011000001","2011-12-19","","01","영업/정상","13","영업중","","","","","064-795-3235","","695-934","제주특별자치도 제주시 한림읍 협재리 2842","제주특별자치도 제주시 한림읍 금능남로 127","63015","라온 아쿠아풀","2026-02-04 11:07:05","U","2026-02-06 02:40:00","","129292.556928497","-12932.3664050412","수영장업","사립","Y","1","1","1767.03","0","","",
"7","수영장업","10_35_01_P","3460000","CDFH3301012023000001","2023-03-09","","01","영업/정상","13","영업중","","","","","","","","대구광역시 수성구 만촌동 1037-5","대구광역시 수성구 달구벌대로 2579, 지하1층 (만촌동)","42062","Starfish swim school","2026-02-03 10:10:29","U","2026-02-06 02:40:00","","348512.672992717","263397.70747852","수영장업","사립","","1","0","0","0","","",
"8","수영장업","10_35_01_P","3650000","CDFH3301011990000001","1990-07-05","","03","폐업","03","폐업","2006-09-13","","","","533-6237","","301-829","대전광역시 중구 오류동 175-3","대전광역시 중구 계룡로 832 (오류동)","","미성 스포츠","2026-02-04 17:45:42","U","2026-02-06 02:40:00","","236543.049230101","313979.571405238","수영장업","사립","","0","0","391.3","0","","",
"9","수영장업","10_35_01_P","3560000","CDFH3301012016000002","2016-08-02","","01","영업/정상","13","영업중","","","","","032-566-9985","","","인천광역시 서구 당하동 895-1 상가동 지101호","인천광역시 서구 서곶로 818, 상가동 지하1층 지하101호 (당하동, 영남탑스빌아파트)","22677","주식회사 퐁당풀","2026-02-05 14:44:16","U","2026-02-07 02:40:00","","171265.701355649","454289.25380031","수영장업","사립","","0","0","0","0","","",
"10","수영장업","10_35_01_P","4070000","CDFH3301012025000001","2025-09-29","","01","영업/정상","13","영업중","","","","","","","","경기도 이천시 부발읍 마암리 104-6 이천시노동자복지관","경기도 이천시 부발읍 무촌로18번길 60-26, 이천시노동자복지관","17325","해랑수영장","2026-02-05 09:29:16","U","2026-02-07 02:40:00","","242324.05157166","419709.294480097","수영장업","사립","","2","0","0","0","","",
"11","수영장업","10_35_01_P","5330000","CDFH3301012026000001","2026-02-06","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 광도면 죽림리 496-6 지하 1층","경상남도 통영시 광도면 남해안대로 885-12, 지하 1층","53021","이로운웰니스수영장","2026-02-06 17:46:56","I","2026-02-08 00:20:01","","329312.089042742","153579.470945598","수영장업","사립","","0","0","0","0","","",
"12","수영장업","10_35_01_P","5710000","CDFH3301012025000002","2025-11-25","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 흥덕구 오송읍 정중리 765","충청북도 청주시 흥덕구 오송읍 정중3길 10, 101호","28220","스윔와이 어린이수영장","2026-02-06 13:28:26","U","2026-02-08 02:40:00","","227524.58","346692.665","수영장업","사립","","1","0","0","0","","",
"13","수영장업","10_35_01_P","3940000","CDFH3301012013000001","2013-05-22","","01","영업/정상","13","영업중","","","","","031-923-2999","","","경기도 고양시 일산서구 주엽동 49 B101호","경기도 고양시 일산서구 강선로 96, 지하1층 B101호 (주엽동, 강선마을5단지아파트)","10361","주식회사 더키즈스위밍","2026-02-10 10:17:15","U","2026-02-12 02:40:00","","179437.96451714","463268.068782259","수영장업","사립","","1","","","","","",
"14","수영장업","10_35_01_P","3210000","CDFH3301012012000002","2012-09-24","","01","영업/정상","13","영업중","","","","","02-3487-2811","","137-879","서울특별시 서초구 서초동 1627-1 1층(102호,103호)","서울특별시 서초구 사임당로 64 (서초동)","137-879","아이콕스 스포테인먼트","2026-02-10 16:50:29","U","2026-02-12 02:40:00","","201430.47661735","442950.471520545","수영장업","사립","Y","1","0","6164.02","0","","",
"15","수영장업","10_35_01_P","5670000","CDFH3301012020000002","2020-12-08","","01","영업/정상","13","영업중","","","","","055-263-6005","","","경상남도 창원시 성산구 용호동 73-54 동남빌딩","경상남도 창원시 성산구 원이대로589번길 14, 지하1층 (용호동)","51436","(주)풀런키즈스윔","2026-02-10 17:52:10","U","2026-02-12 02:40:00","","352854.306331328","193470.51611899","수영장업","사립","Y","0","0","0","0","","",
