"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"1","승강기유지관리업체","11_48_01_P","5530000","2013553023233500004","2007-09-05","","01","영업/정상","01","영업중","","","","","031-459-3702","","","경기도 수원시 권선구 고색동 1110번지","경기도 수원시 권선구 산업로156번길 171-34 (고색동)","","(주)신우프론티어","2026-02-01 11:00:57","I","2026-02-03 00:20:01","","198575.720740677","415448.17726322","","","","","","","","","","","","","","","","","",
"2","승강기유지관리업체","11_48_01_P","5530000","2013553023233500006","2013-10-22","","01","영업/정상","01","영업중","","","","","02-6670-0333","","","","경기도 화성시 효행구 정남면 신리길 11-15, 나동","445-967","미주이앤씨(주)","2026-02-01 11:00:57","I","2026-02-03 00:20:01","","","","","","","","","","","","","","","","","","","","",
"3","승강기유지관리업체","11_48_01_P","5530000","2014553023233500006","2013-01-14","","01","영업/정상","01","영업중","","","","","031-227-3128","","","경기도 화성시 효행구 봉담읍 분천리 3-26","경기도 화성시 효행구 봉담읍 최루백로 115, 2층","18329","도담이엘(주)","2026-02-01 11:00:57","I","2026-02-03 00:20:01","","","","","","","","","","","","","","","","","","","","",
"4","승강기유지관리업체","11_48_01_P","5530000","2021553043033500001","2021-11-30","","01","영업/정상","01","영업중","","","","","031-455-1908","","","경기도 의왕시 오전동 196-5 벽산선영테크노피아 1308호","경기도 의왕시 오전공업길 13, 벽산선영테크노피아 (오전동)","16072","(주)엘코승강기(화성지점)","2026-02-01 11:00:57","I","2026-02-03 00:20:01","","196999.47246053","428172.288837557","","","","","","","","","","","","","","","","","",
"5","승강기유지관리업체","11_48_01_P","5530000","2013553023233500001","2007-08-10","","01","영업/정상","01","영업중","","","","","031-366-1537","","","경기도 화성시 만세구 향남읍 구문천리 929번지 19호","경기도 화성시 만세구 향남읍 발안공단로 167","","(주)신일승강기","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","191100.120128847","398203.22820388","","","","","","","","","","","","","","","","","",
"6","승강기유지관리업체","11_48_01_P","5530000","2013553023233500002","2009-10-06","","03","폐업","02","폐지","2013-07-31","","","","031-366-6368","","","경기도 화성시 만세구 향남읍 구문천리 935번지 5호 발안산업단지 12B동 5L호","","","(주)스타리프트","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","191759.468170656","397970.657799503","","","","","","","","","","","","","","","","","",
"7","승강기유지관리업체","11_48_01_P","5530000","2013553023233500003","2012-04-12","","03","폐업","02","폐지","2015-11-30","","","","031 8059 9980","","","경기도 화성시 만세구 팔탄면 구장리 415번지 15호 201호","경기도 화성시 만세구 팔탄면 푸른들판로 555-3, 201호","445-915","두산엔지니어링(주)","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","190889.482540836","406267.014243995","","","","","","","","","","","","","","","","","",
"8","승강기유지관리업체","11_48_01_P","5530000","2013553023233500005","2003-06-12","","03","폐업","02","폐지","2016-04-11","","","","031-358-4871","","","경기도 화성시 만세구 장안면 석포리 761번지 35호","경기도 화성시 만세구 장안면 석포로 300-4","445-941","(주)서울승강기","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","184928.89046009","404647.166602492","","","","","","","","","","","","","","","","","",
"9","승강기유지관리업체","11_48_01_P","5530000","2013553023233500007","2013-01-14","","03","폐업","02","폐지","","","","","0312273128","","","","경기도 화성시 효행구 봉담읍 오래4길 8","445-893","도담이엘(주)","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","195896.835161475","413179.553361055","","","","","","","","","","","","","","","","","",
"10","승강기유지관리업체","11_48_01_P","5530000","2014553023233500001","2014-01-03","","01","영업/정상","01","영업중","","","","","031-358-4871","","","","경기도 화성시 만세구 장안면 석포로 300-4","","서울승강기주식회사","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","184928.89046009","404647.166602492","","","","","","","","","","","","","","","","","",
"11","승강기유지관리업체","11_48_01_P","5530000","2014553023233500002","2007-10-31","","03","폐업","02","폐지","2019-08-31","","","","0312235271","","","경기도 화성시 병점구 병점동 844번지 3호","경기도 화성시 병점구 효행로 1060 (병점동)","","에이에스승강기(주)","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","203760.122353984","412497.212229325","","","","","","","","","","","","","","","","","",
"12","승강기유지관리업체","11_48_01_P","5530000","2014553023233500003","2010-07-19","","01","영업/정상","01","영업중","","","","","031-221-7561","","","","경기도 화성시 효행구 봉담읍 와우안길 109, 105동 221호","","(주)하나엘리베이터","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","197607.132367783","413349.198055201","","","","","","","","","","","","","","","","","",
"13","승강기유지관리업체","11_48_01_P","5530000","2014553023233500004","2011-01-28","","01","영업/정상","01","영업중","","","","","031-378-3144","","","","경기도 화성시 동탄구 동탄기흥로277번길 12, 205, 206호 (오산동, 엘에이치상가)","18487","화성엘리베이터(주)","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","208045.828231386","409338.433397731","","","","","","","","","","","","","","","","","",
