"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","법인구분명","구분명",
"1","무료직업소개소","11_50_01_P","3170000","2014317014314500001","2014-02-06","","01","영업/정상","20","영업중","","","","","070 70905414","","","서울특별시 금천구 시흥동 558-1 금천노인종합복지관","서울특별시 금천구 시흥대로51길 93-32, 금천노인종합복지관 (시흥동)","08634","사회복지법인 서울 가톨릭 사회복지회 금천노인종합복지관","2026-02-02 14:53:44","U","2026-02-04 02:40:00","","190884.869796972","438677.996368949","법인","무료",
"2","무료직업소개소","11_50_01_P","3010000","2015301013114500020","2015-12-03","","01","영업/정상","20","영업중","","","","","02  22682732","","","서울특별시 중구 장충동2가 162-1 태광산업","서울특별시 중구 동호로 310, 태광산업 1층 (장충동2가)","04616","대한간호협회 간호인력 지원센터","2026-02-02 09:28:19","U","2026-02-04 02:40:00","","200229.445040175","451067.548779357","법인","무료",
"3","무료직업소개소","11_50_01_P","3610000","2021361023514500001","2021-10-15","","03","폐업","40","폐업","2026-02-02","","","","0626546080","","","","광주광역시 남구 중앙로95번길 20(서동)","61636","광주남구시니어클럽","2026-02-02 14:33:14","U","2026-02-04 02:40:00","","191561.087713317","182984.499249156","법인","무료",
"4","무료직업소개소","11_50_01_P","3930000","2025556000214500034","2016-03-16","","01","영업/정상","20","영업중","","","","","031 401 8181","","","경기도 안산시 상록구 팔곡일동 264번지 6호 반월햇빛작은도서관","경기도 안산시 상록구 남산평1길 10, 반월햇빛작은도서관 2층 (팔곡일동)","15521","단원시니어클럽","2026-02-02 11:05:58","U","2026-02-04 02:40:00","","191061.75444621","422457.919899788","법인","무료",
"5","무료직업소개소","11_50_01_P","4641000","2023464055414500002","2023-11-07","","01","영업/정상","20","영업중","","","","","0632825060","","","전북특별자치도 전주시 완산구 효자동1가 145-6","전북특별자치도 전주시 완산구 용머리로 178 (효자동1가)","55094","전주일하는실버클럽","2026-01-30 11:30:53","U","2026-02-04 11:04:37","","211652.126114049","256292.204822318","법인","무료",
"6","무료직업소개소","11_50_01_P","5710000","2012441013314500003","2012-12-06","","01","영업/정상","20","영업중","","","","","043 235 2884","","","충청북도 청주시 청원구 오창읍 양청리 803-1번지 충북지방중소기업청 내","충청북도 청주시 청원구 오창읍 중심상업2로 48","363-883","사단법인 중소기업기술혁신협회 충북지회","2026-01-30 11:49:15","U","2026-02-04 11:04:37","","238610.11948105","357101.882138125","법인","무료",
"7","무료직업소개소","11_50_01_P","3920000","2026392011814500001","2026-02-03","","01","영업/정상","20","영업중","","","","","0318651181","","","","경기도 동두천시 중앙로 392-2, 동두천시 노인회관 1층 (보산동)","11313","동두천시니어클럽","2026-02-03 09:15:15","I","2026-02-06 00:20:02","","","","법인","무료",
"8","무료직업소개소","11_50_01_P","4781000","2026478106214500002","2026-02-03","","01","영업/정상","20","영업중","","","","","","","","","전북특별자치도 고창군 고창읍 전봉준로 88-9, 고창군장애인복지관","56442","사단법인 한두레장애인자립생활협회 고창군장애인복지관","2026-02-03 19:40:32","I","2026-02-06 00:20:02","","171084.872823302","216113.143397465","법인","무료",
"9","무료직업소개소","11_50_01_P","5710000","2026572502714500001","2026-02-04","","01","영업/정상","20","영업중","","","","","043 285 6080","","","","충청북도 청주시 서원구 원흥로 11-25, 청주서원시니어클럽 (산남동)","28629","청주서원시니어클럽","2026-02-04 18:05:38","I","2026-02-06 00:20:02","","241997.0647046","345177.971982347","법인","무료",
"10","무료직업소개소","11_50_01_P","4950000","2004495006411200001","2004-04-08","","01","영업/정상","20","영업중","","","","","061 454 4560","","","전라남도 무안군 무안읍 교촌리 463번지 4통 2반","전라남도 무안군 무안읍 공항로 148-18","","무안장애인무료직업소개소","2026-02-04 09:32:15","U","2026-02-06 02:40:00","","151160.488013888","166607.956775882","법인","무료",
"11","무료직업소개소","11_50_01_P","3210000","2013321011414500004","2013-01-14","","01","영업/정상","20","영업중","","","","","02  584 4220","","","서울특별시 서초구 서초동 1603-12 대덕빌딩","서울특별시 서초구 효령로57길 3, 대덕빌딩 3층 (서초동)","06643","(사)한국직업상담협회","2026-02-04 10:14:35","U","2026-02-06 02:40:00","","201394.06955588","442597.402514833","법인","무료",
"12","무료직업소개소","11_50_01_P","4771000","2024477101314500001","2024-05-27","","03","폐업","40","폐업","2026-02-03","","","","0636537266","","","","전북특별자치도 순창군 금과면 방호로 29","56059","순창군조합공동사업법인 원예사업소","2026-02-03 17:22:00","U","2026-02-06 02:40:00","","206711.131734307","204321.333149643","법인","무료",
"13","무료직업소개소","11_50_01_P","3000000","2007300010711200001","2007-03-22","","01","영업/정상","20","영업중","","","","","0002 7411326","","","서울특별시 종로구 명륜4가 113번지 1호","서울특별시 종로구 대학로11길 23 (명륜4가)","","(사)여성중앙회 종로여성인력개발센터","2026-02-04 13:03:01","U","2026-02-06 02:40:00","","199972.881431778","453308.674806807","법인","무료",
"14","무료직업소개소","11_50_01_P","5080000","2016508011014500001","2016-01-21","","01","영업/정상","20","영업중","","","","","054 470 8581","","","","경상북도 구미시 이계북로 7 (임수동)","39393","(재)경상북도경제진흥원","2026-02-03 16:08:40","U","2026-02-06 02:40:00","","326255.531275897","290448.354891173","법인","무료",
"15","무료직업소개소","11_50_01_P","5190000","2017519005814500002","2017-05-19","","01","영업/정상","20","영업중","","","","","054 373 9688","","","경상북도 청도군 청도읍 고수리 3 청도군 온누리복지관","경상북도 청도군 청도읍 한내길 68, 청도군 온누리복지관","38339","(사)대한노인회 청도군지회(취업지원센터)","2026-02-03 13:47:26","U","2026-02-06 02:40:00","","357771.147349545","240435.175780334","법인","무료",
"16","무료직업소개소","11_50_01_P","3100000","2006310007911200001","2006-01-26","","01","영업/정상","20","영업중","","","","","02  974 0065","","","서울특별시 노원구 하계동 256호","서울특별시 노원구 노원로16길 2 (하계동)","","시립노원노인종합복지관","2026-02-04 09:37:32","U","2026-02-06 02:40:00","","206492.515807939","460050.389885119","법인","무료",
"17","무료직업소개소","11_50_01_P","3000000","2012300016314500004","2012-12-07","","01","영업/정상","20","영업중","","","","","0222302122","","","서울특별시 종로구 숭인2동 1371번지 (5층)","서울특별시 종로구 종로 408 (숭인동, (5층))","110-828","사단법인 한국경영혁신중소기업협회","2026-02-05 14:18:28","U","2026-02-07 02:40:00","","201907.246775887","452514.653732367","법인","무료",
"18","무료직업소개소","11_50_01_P","4711000","2026471107614500002","2026-02-06","","01","영업/정상","20","영업중","","","","","0637706070","","","","전북특별자치도 김제시 백구면 신모길 19","54330","사단법인 지역활력센터","2026-02-06 13:14:22","I","2026-02-08 00:20:01","","198620.299867345","263936.992723457","법인","무료",
"19","무료직업소개소","11_50_01_P","3050000","2020305018614500006","2020-08-05","","01","영업/정상","20","영업중","","","","","","","","서울특별시 동대문구 용두동 253-1 동대문구 공유커뮤니티센터 3층","서울특별시 동대문구 무학로 89, 동대문구 공유커뮤니티센터 3층 (용두동)","02587","동대문시니어클럽","2026-02-06 17:27:46","U","2026-02-08 02:40:00","","202557.766413515","452206.2713086","법인","무료",
"20","무료직업소개소","11_50_01_P","6510000","2026651024514500002","2026-02-05","","01","영업/정상","20","영업중","","","","","","","","","제주특별자치도 제주시 고마로 133, 주택은행일도지점 3층 (일도이동)","63258","토닥토닥 사회적협동조합","2026-02-09 13:01:57","U","2026-02-11 02:40:00","","157440.899311107","798.264117247712","법인","무료",
"21","무료직업소개소","11_50_01_P","3860000","2004386012611200001","2004-08-04","","01","영업/정상","20","영업중","","","","","032 323 9946","","","경기도 부천시 소사구 심곡본동 662-4 두레광장","경기도 부천시 소사구 경인로224번길 36, 두레광장 3층 (심곡본동)","14713","사회적협동조합플러스부천","2026-02-10 13:23:29","U","2026-02-12 02:40:00","","180461.956330939","442187.263480714","법인","무료",
"22","무료직업소개소","11_50_01_P","3060000","2015306014514500006","2015-11-17","","01","영업/정상","20","영업중","","","","","070 43415814","","","","서울특별시 중랑구 겸재로9길 45 (면목동, 중랑구노인종합복지회관)","02134","시립중랑노인종합복지관","2026-02-11 17:32:39","U","2026-02-13 02:40:00","","206811.223048196","454017.627041799","법인","무료",
"23","무료직업소개소","11_50_01_P","4311000","2026431101114500001","2026-02-12","","01","영업/정상","20","영업중","","","","","0334425888","","","","강원특별자치도 화천군 화천읍 상승로7길 11, 화천농협 농자재마트","24117","화천군농단협","2026-02-12 11:20:12","I","2026-02-14 00:20:02","","261760.915010264","512156.591914272","법인","무료",
"24","무료직업소개소","11_50_01_P","3100000","2021310018414500001","2021-01-29","","01","영업/정상","20","영업중","","","","","029511297","","","서울특별시 노원구 상계동 963-5","서울특별시 노원구 수락산로 214, 4층 (상계동)","01616","노원시니어클럽","2026-02-12 10:04:31","U","2026-02-14 02:40:00","","204780.238752855","463188.718025291","법인","무료",
"25","무료직업소개소","11_50_01_P","3130000","2021313022314500008","2021-04-14","","01","영업/정상","20","영업중","","","","","02  32767621","","","","서울특별시 마포구 큰우물로 75, 성지빌딩 17층 (도화동)","04158","사단법인 한국에프피에스비","2026-02-12 15:38:56","U","2026-02-15 02:40:00","","195184.335899857","448780.26877488","법인","무료",
