번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명,상세업무구분명,권리주체일련번호,총직원수,Unnamed: 32,record_key
458,동물미용업,02_03_11_P,5310000,531000004920260002,2026-02-26,,1,영업/정상,0,정상,,,,,,0,,경상남도 진주시 충무공동 *** 혁신도시중흥에스-클래스센트럴시티*단지,"경상남도 진주시 에나로***번길 **, ****호 (충무공동, 혁신도시중흥에스-클래스센트럴시티*단지)",52855,도그리아,2026-02-26 18:01:29,I,2026-02-28 00:20:02,,304308.398428194,186743.591469102,동물미용업,동물미용업(일반),000,0,,도그리아_경상남도진주시충무공동***혁신도시중흥에스-클래스센트럴시티*단지
460,동물미용업,02_03_11_P,3330000,333000004920260002,2026-02-26,,1,영업/정상,0,정상,,,,,,0,,부산광역시 해운대구 중동 ***-* 해운대신시가지경동메르빌아파트,"부산광역시 해운대구 해운대로***번길 **, 상가동 ***호 (중동, 해운대신시가지경동메르빌아파트)",48104,안녕꼬순내,2026-02-26 10:32:03,I,2026-02-28 00:20:02,,398204.776400898,187458.731376725,동물미용업,동물미용업(일반),000,0,,안녕꼬순내_부산광역시해운대구중동***-*해운대신시가지경동메르빌아파트
454,동물미용업,02_03_11_P,3560000,356000004920260006,2026-02-26,,1,영업/정상,0,정상,,,,,,0,,인천광역시 서구 검암동 ***-* 경서프라자 ***호,"인천광역시 서구 승학로 ***, 경서프라자 ***호 (검암동)",22704,모모네,2026-02-26 13:30:20,I,2026-02-28 00:20:02,,171643.896578657,451631.928561004,동물미용업,동물미용업(일반),000,0,,모모네_인천광역시서구검암동***-*경서프라자***호
455,동물미용업,02_03_11_P,3540000,354000004920260002,2026-02-26,,1,영업/정상,0,정상,,,,,,0,,인천광역시 부평구 부평동 *** 상가동,"인천광역시 부평구 주부토로**번길 **, 상가동 ***호 (부평동)",21357,we 몽,2026-02-26 16:24:41,I,2026-02-28 00:20:02,,175403.356224742,444542.032865035,동물미용업,동물미용업(일반),000,0,,we몽_인천광역시부평구부평동***상가동
456,동물미용업,02_03_11_P,4040000,404000004920260003,2026-02-26,,1,영업/정상,0,정상,,,,,,0,,경기도 하남시 망월동 **** 미사역 파라곤 스퀘어,"경기도 하남시 미사강변동로 ***-*, 미사역 파라곤 스퀘어 ****호 (망월동)",12912,그로밋(미사점),2026-02-26 10:48:33,I,2026-02-28 00:20:02,,217057.174856799,451355.879802577,동물미용업,동물미용업(일반),000,0,,그로밋(미사점)_경기도하남시망월동****미사역파라곤스퀘어
457,동물미용업,02_03_11_P,5350000,535000004920260005,2026-02-26,,1,영업/정상,0,정상,,,,,,0,,경상남도 김해시 주촌면 선지리 **** 김해주촌 두산위브더제니스 상가동 ***동 ***호,"경상남도 김해시 주촌면 주선로 **, 김해주촌 두산위브더제니스 상가동 ***동 지하*층 ***호",50887,멈머살롱,2026-02-26 21:59:24,I,2026-02-28 00:20:02,,367865.8592182,194550.844269128,동물미용업,동물미용업(일반),000,0,,멈머살롱_경상남도김해시주촌면선지리****김해주촌두산위브더제니스상가동***동***호
459,동물미용업,02_03_11_P,5020000,502000004920260002,2026-02-26,,1,영업/정상,0,정상,,,,,054-292-2997,0,,경상북도 포항시 남구 오천읍 원리 **** *동 ***호,"경상북도 포항시 남구 오천읍 원동로 **, *동 ***호",37882,팍스펫,2026-02-26 10:41:33,I,2026-02-28 00:20:02,,416673.277667326,277255.539650367,동물미용업,동물미용업(일반),000,0,,팍스펫_경상북도포항시남구오천읍원리*****동***호
461,동물미용업,02_03_11_P,3160000,316000004920260003,2026-02-26,,1,영업/정상,0,정상,,,,,,0,,서울특별시 구로구 구로동 **-**,"서울특별시 구로구 가마산로**길 *-*, *층 (구로동)",8302,거리공원 애견유치원,2026-02-26 14:08:08,I,2026-02-28 00:20:02,,190321.123788262,443747.814014983,동물미용업,동물미용업(일반),000,0,,거리공원애견유치원_서울특별시구로구구로동**-**
449,동물미용업,02_03_11_P,4820000,482000004920260001,2026-02-25,,1,영업/정상,0,정상,,,,,061-752-5231,0,,전라남도 순천시 매곡동 **,전라남도 순천시 북문길 *** (매곡동),57939,둘리애견,2026-02-25 17:44:15,I,2026-02-27 00:20:02,,244207.574861452,162646.745945131,동물미용업,동물미용업(일반),000,0,,둘리애견_전라남도순천시매곡동**
448,동물미용업,02_03_11_P,3160000,316000004920260002,2026-02-25,,1,영업/정상,0,정상,,,,,,0,,서울특별시 구로구 고척동 ***-**,서울특별시 구로구 고척로**길 ** (고척동),8246,루이독,2026-02-25 09:28:50,I,2026-02-27 00:20:02,,186572.310818791,444595.758280253,동물미용업,동물미용업(일반),000,0,,루이독_서울특별시구로구고척동***-**
436,동물미용업,02_03_11_P,3400000,340000004920260004,2026-02-24,,1,영업/정상,0,정상,,,,,,0,,부산광역시 기장군 정관읍 매학리 ** 형진강변아파트,"부산광역시 기장군 정관읍 정관중앙로 **-**, 상가동 ***호 (형진강변아파트)",46015,산책,2026-02-24 09:59:41,I,2026-02-26 00:20:08,,398105.830085508,204860.64439361,동물미용업,동물미용업(일반),000,0,,산책_부산광역시기장군정관읍매학리**형진강변아파트
433,동물미용업,02_03_11_P,3530000,353000004920260003,2026-02-24,,1,영업/정상,0,정상,,,,,,0,,인천광역시 남동구 논현동 ***-* *층,"인천광역시 남동구 소래역동로 *, *층 (논현동)",21669,인천애견미용 엘르펫살롱,2026-02-24 11:47:13,I,2026-02-26 00:20:08,,176274.035334058,433432.097791711,동물미용업,동물미용업(일반),000,0,,인천애견미용엘르펫살롱_인천광역시남동구논현동***-**층
435,동물미용업,02_03_11_P,3820000,382000004920260003,2026-02-24,,1,영업/정상,0,정상,,,,,,0,,경기도 의정부시 호원동 *** *층,"경기도 의정부시 평화로***번길 *, *층 (호원동)",11703,우프라운지,2026-02-24 11:28:17,I,2026-02-26 00:20:08,,204203.617443136,469441.271154957,동물미용업,동물미용업(일반),L00,0,,우프라운지_경기도의정부시호원동****층
434,동물미용업,02_03_11_P,4170000,417000004920260001,2026-02-24,,1,영업/정상,0,정상,,,,,,0,,경기도 양평군 양평읍 공흥리 ***-*,경기도 양평군 양평읍 백운길 **,12550,솜사탕애견미용,2026-02-24 14:24:10,I,2026-02-26 00:20:08,,244687.126948986,443590.328079969,동물미용업,동물미용업(일반),000,0,,솜사탕애견미용_경기도양평군양평읍공흥리***-*
430,동물미용업,02_03_11_P,3240000,324000004920260002,2026-02-23,,1,영업/정상,0,정상,,,,,,0,,서울특별시 강동구 성내동 ***-** 석영빌딩,"서울특별시 강동구 양재대로**길 **, 석영빌딩 (성내동)",5403,소담,2026-02-23 14:39:41,I,2026-02-25 00:20:01,,211583.956740628,447395.344536037,동물미용업,동물미용업(일반),000,0,,소담_서울특별시강동구성내동***-**석영빌딩
429,동물미용업,02_03_11_P,4191000,419100004920260002,2026-02-23,,1,영업/정상,0,정상,,,,,,0,,강원특별자치도 원주시 관설동 ****-* 청솔*차아파트,"강원특별자치도 원주시 단관초교길 *, 청솔*차아파트 상가동 ***호 (관설동)",26473,말끔하개,2026-02-23 17:32:04,I,2026-02-25 00:20:01,,285516.185574864,424374.586469565,동물미용업,동물미용업(일반),000,0,,말끔하개_강원특별자치도원주시관설동****-*청솔*차아파트
428,동물미용업,02_03_11_P,4191000,419100004920260001,2026-02-23,,1,영업/정상,0,정상,,,,,,0,,강원특별자치도 원주시 단구동 *** 현대아카데미프라자,"강원특별자치도 원주시 늘품로 ***-**, 현대아카데미프라자 *층 ***호 (단구동)",26457,사랑아지,2026-02-23 17:29:37,I,2026-02-25 00:20:01,,285374.856489138,426587.24417121,동물미용업,동물미용업(일반),000,0,,사랑아지_강원특별자치도원주시단구동***현대아카데미프라자
427,동물미용업,02_03_11_P,3270000,327000004920260001,2026-02-23,,1,영업/정상,0,정상,,,,,,0,,부산광역시 동구 수정동 ****-*,부산광역시 동구 홍곡로**번길 * (수정동),48784,몽글몽글,2026-02-23 09:31:53,I,2026-02-25 00:20:01,,386251.855694527,182692.98899117,동물미용업,동물미용업(일반),000,0,,몽글몽글_부산광역시동구수정동****-*
426,동물미용업,02_03_11_P,3600000,360000004920260002,2026-02-23,,1,영업/정상,0,정상,,,,,,0,,광주광역시 서구 금호동 ***-* 호반빌,"광주광역시 서구 화개중앙로 **, 호반빌 *층 (금호동)",62011,꼬담,2026-02-23 08:08:03,I,2026-02-25 00:20:01,,186614.410334127,180744.070237761,동물미용업,동물미용업(일반),000,0,,꼬담_광주광역시서구금호동***-*호반빌
