번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총직원수,Unnamed: 33,record_key
16,종축업,02_04_06_P,4880000,488000000220250001,2025-06-24,,1,영업/정상,0,정상,,,,,,,59545,전라남도 고흥군 도덕면 용동리 *** 온실,"전라남도 고흥군 도덕면 금호길 **-**, 온실",59545,해룡축산,2026-02-19 17:42:26,U,2026-02-21 02:40:00,종오리업,217336.966472961,125245.029376617,종축업,종오리업,3159,000,0,,해룡축산_전라남도고흥군도덕면용동리***온실
7,종축업,02_04_06_P,4520000,452000000220240001,2024-11-01,,3,폐업,2,폐업,2026-02-10,,,,,,31441,충청남도 아산시 염치읍 중방리 **-**,충청남도 아산시 염치읍 현대로 ***-**,31441,남용농장,2026-02-11 08:50:16,U,2026-02-13 02:40:00,종계업,195604.037681673,368206.899243825,종축업,종계업,1528,000,0,,남용농장_충청남도아산시염치읍중방리**-**
10,종축업,02_04_06_P,4830000,483000000220240001,2024-04-01,,1,영업/정상,0,정상,,,,,,,,"전라남도 나주시 동강면 장동리 ****-* 외 *필지(****-*, ****-*)",,,경주농장 제3농장,2026-02-12 14:40:02,U,2026-02-14 02:40:00,종오리업,160759.079294265,155542.886041067,종축업,종오리업,3751,000,0,,"경주농장제3농장_전라남도나주시동강면장동리****-*외*필지(****-*,****-*)"
11,종축업,02_04_06_P,4830000,483000000220220001,2022-10-05,,1,영업/정상,0,정상,,,,,,,58295,"전라남도 나주시 동강면 장동리 ****-* 외 *필지(-*,-*,-*,-*,-**)",전라남도 나주시 동강면 장동길 **,58295,경주농장 제2농장,2026-02-12 14:40:46,U,2026-02-14 02:40:00,종오리업,158387.943666666,155625.254666667,종축업,종오리업,3713,000,0,,"경주농장제2농장_전라남도나주시동강면장동리****-*외*필지(-*,-*,-*,-*,-**)"
3,종축업,02_04_06_P,6510000,651000000220210001,2021-05-17,,1,영업/정상,0,정상,,,,,064-754-5704,,63242,제주특별자치도 제주시 오등동 산 ***,제주특별자치도 제주시 산록북로 ***-** (오등동),63242,국립축산과학원 축산자원개발부 난지축산연구센터,2026-02-02 13:49:46,U,2026-02-04 02:40:00,종돈업,157954.005649184,-7066.41409498105,종축업,종돈업,918,000,0,,국립축산과학원축산자원개발부난지축산연구센터_제주특별자치도제주시오등동산***
15,종축업,02_04_06_P,4261000,426000000220210001,2021-05-17,,1,영업/정상,0,정상,,,,,,,25272,강원특별자치도 횡성군 강림면 강림리 ****-*,강원특별자치도 횡성군 강림면 주천강로 ****,25272,농업회사법인 팜스텍(주) 횡성농장,2026-02-19 17:15:29,U,2026-02-21 02:40:00,종돈업,300222.256058039,430933.328737777,종축업,종돈업,2331,L00,0,,농업회사법인팜스텍(주)횡성농장_강원특별자치도횡성군강림면강림리****-*
14,종축업,02_04_06_P,4731000,473100000220190003,2019-12-04,,3,폐업,2,폐업,2026-02-12,,,,,,55438,전북특별자치도 진안군 진안읍 단양리 ***-*,전북특별자치도 진안군 진안읍 내사양길 **,55438,마이산종계장,2026-02-13 09:12:15,U,2026-02-15 02:40:00,종계업,237904.956438989,252183.454083411,종축업,종계업,742,000,0,,마이산종계장_전북특별자치도진안군진안읍단양리***-*
21,종축업,02_04_06_P,5100000,510000000220190001,2019-12-02,,1,영업/정상,0,정상,,,,,054-336-7401,,38817,"경상북도 영천시 임고면 매호리 ***-* 외*필(***-*,-**,-**,****-*)",경상북도 영천시 임고면 포은로 ***-**,38817,대영농원4농장,2026-02-23 15:11:08,U,2026-02-25 02:40:00,종계업,378100.700099557,279114.334598635,종축업,종계업,1714,L00,0,,"대영농원4농장_경상북도영천시임고면매호리***-*외*필(***-*,-**,-**,****-*)"
13,종축업,02_04_06_P,4830000,483000000220190001,2019-08-08,,1,영업/정상,0,정상,,,,,,,,"전라남도 나주시 남평읍 상곡리 *-* 외 **필지(*-*,*-*,*-*,*-*~**,산**-*)",,,해담농장,2026-02-13 17:43:36,U,2026-02-15 02:40:00,종오리업,187368.503940426,164786.808800878,종축업,종오리업,3498,000,0,,"해담농장_전라남도나주시남평읍상곡리*-*외**필지(*-*,*-*,*-*,*-*~**,산**-*)"
22,종축업,02_04_06_P,4610000,461000000220180001,2018-07-13,,3,폐업,2,폐업,2026-02-24,,,,,,32410,충청남도 예산군 덕산면 낙상리 ***-*,충청남도 예산군 덕산면 홍덕서로 ***,32410,금덕농장,2026-02-24 14:16:09,U,2026-02-26 02:40:00,종계업,165628.656823198,347500.364924157,종축업,종계업,2490,000,0,,금덕농장_충청남도예산군덕산면낙상리***-*
18,종축업,02_04_06_P,4480000,448000000220160001,2016-05-13,,1,영업/정상,0,정상,,,,,,,27000,,충청북도 단양군 적성면 금수산로 ***-** (단양유기농원),27000,단양유기농원,2026-02-21 07:02:34,U,2026-02-23 02:40:00,종돈업,314498.050639693,389999.618261336,종축업,종돈업,248,L00,0,,단양유기농원_
17,종축업,02_04_06_P,4520000,452000000220150001,2015-02-17,,3,폐업,2,폐업,2026-02-20,,,,,,31401,충청남도 아산시 영인면 창용리 ***-**,충청남도 아산시 영인면 아산호로 ***-**,31401,아산농장,2026-02-20 09:22:49,U,2026-02-22 02:40:00,종계업,,,종축업,종계업,1342,L00,0,,아산농장_충청남도아산시영인면창용리***-**
6,종축업,02_04_06_P,4890000,489000000220140001,2014-01-17,,1,영업/정상,0,정상,,,,,,,546-801,전라남도 보성군 보성읍 옥암리 *** 외 **필지,전라남도 보성군 보성읍 일림로 ****-**,59446,주식회사 다향팜 농업회사법인,2026-02-09 14:17:20,U,2026-02-11 02:40:00,종오리업,203841.831000641,138348.911216433,종축업,종오리업,1005,L00,0,,주식회사다향팜농업회사법인_전라남도보성군보성읍옥암리***외**필지
8,종축업,02_04_06_P,4761000,476100000220130009,2013-12-30,,1,영업/정상,0,정상,,,,,,,566-812,전북특별자치도 임실군 관촌면 복흥리,전북특별자치도 임실군 관촌면 복흥*길 **-**,55915,나래농장,2026-02-12 17:15:00,U,2026-02-14 02:40:00,종계업,227983.28607436,241357.591586008,종축업,종계업,1180,000,0,,나래농장_전북특별자치도임실군관촌면복흥리
20,종축업,02_04_06_P,5100000,510000000220080002,2008-07-25,,1,영업/정상,0,정상,,,,,054-336-7401,0.0,38806,"경상북도 영천시 화산면 대안리 *** 외 *필(***,***,***,***)",경상북도 영천시 화산면 장수로 ****-**,38806,대영농원3농장,2026-02-23 15:08:13,U,2026-02-25 02:40:00,종계업,364139.325445343,282692.977674143,종축업,종계업,1019,L00,0,,"대영농원3농장_경상북도영천시화산면대안리***외*필(***,***,***,***)"
19,종축업,02_04_06_P,5100000,510000000220070002,2007-07-26,,1,영업/정상,0,정상,,,,,054-336-7401,0.0,38810,"경상북도 영천시 화남면 안천리 ***-* 외*필(***,***,***,***,***,***,***)",경상북도 영천시 화남면 구전로 **-**,38810,대영농원1농장,2026-02-23 15:01:48,U,2026-02-25 02:40:00,종계업,371009.367597116,287865.318472249,종축업,종계업,528,L00,0,,"대영농원1농장_경상북도영천시화남면안천리***-*외*필(***,***,***,***,***,***,***)"
23,종축업,02_04_06_P,4681000,468100000220070003,2007-06-19,,3,폐업,2,폐업,2026-02-24,,,,,0.0,570-842,전북특별자치도 익산시 함라면 신목리 ****,전북특별자치도 익산시 함라면 소룡길 **-**,,소룡농장,2026-02-24 16:59:21,U,2026-02-26 02:40:00,종계업,188978.278659915,281221.397393581,종축업,종계업,1036,000,0,,소룡농장_전북특별자치도익산시함라면신목리****
25,종축업,02_04_06_P,5120000,512000000220070001,2007-05-21,,1,영업/정상,0,정상,,,,,,0.0,36919,경상북도 문경시 문경읍 각서리 **-*,경상북도 문경시 문경읍 이화령로 **-**,36919,농업회사법인 주식회사 안성 문경지점,2026-02-26 11:06:36,U,2026-02-28 02:40:00,종계업,296005.535841281,360593.020594823,종축업,종계업,361,L00,0,,농업회사법인주식회사안성문경지점_경상북도문경시문경읍각서리**-*
