번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,Unnamed: 59,record_key
138,대중문화예술기획업,03_08_02_P,3940000,CDFF3241092026000016,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경기도 고양시 덕양구 향동동 ***,"경기도 고양시 덕양구 향동로 ***, 지엘메트로시티 ****호 (향동동)",10545.0,(주)하라인컴퍼니,2026-02-26 12:12:23,I,2026-02-28 00:20:02,,190364.019154699,456134.059069323,대중문화예술기획업,유통관련업,0,,방송인 등 매니지먼트,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,(주)하라인컴퍼니_경기도고양시덕양구향동동***
137,대중문화예술기획업,03_08_02_P,3180000,CDFF3241092026000007,2026-02-26,,1,영업/정상,13,영업중,,,,,02-2679-7774,,,서울특별시 영등포구 문래동*가 * 벽산디지털밸리,"서울특별시 영등포구 경인로**길 **, 벽산디지털밸리 ****호 (문래동*가)",7286.0,픽메이커스 프로덕션,2026-02-26 09:28:57,I,2026-02-28 00:20:02,,189859.071768836,445875.89672273,대중문화예술기획업,유통관련업,0,,"방송,영상 등",0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,픽메이커스프로덕션_서울특별시영등포구문래동*가*벽산디지털밸리
125,대중문화예술기획업,03_08_02_P,3550000,CDFF3241092026000001,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,인천광역시 계양구 선주지동 ***-*,"인천광역시 계양구 선주로 **-**, *층 (선주지동)",21005.0,엘컴퍼니,2026-02-25 17:15:00,I,2026-02-27 00:20:02,,177451.99092443,453073.918596883,대중문화예술기획업,유통관련업,0,,"공연기획, 광고영화 및 비디오물 제작업",6.6,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,엘컴퍼니_인천광역시계양구선주지동***-*
127,대중문화예술기획업,03_08_02_P,3540000,CDFF3241092026000001,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,인천광역시 부평구 청천동 ***-* 승진빌딩,"인천광역시 부평구 원길로 **, 승진빌딩 *층 ***-*호 (청천동)",21363.0,프로젝트 H,2026-02-25 13:42:40,I,2026-02-27 00:20:02,,174670.937402324,444822.756418584,대중문화예술기획업,유통관련업,0,,"기획사, 매니저업",0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,프로젝트H_인천광역시부평구청천동***-*승진빌딩
128,대중문화예술기획업,03_08_02_P,3010000,CDFF3241092026000006,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중구 신당동 ***-** 로즈앤라임빌딩(RNL),"서울특별시 중구 다산로 ***, 로즈앤라임빌딩(RNL) *층 (신당동)",4590.0,주식회사 트위스트1971공연제작소,2026-02-25 16:25:28,I,2026-02-27 00:20:02,,200957.561612896,450419.355696277,대중문화예술기획업,유통관련업,0,,"영화, 연극",0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,주식회사트위스트1971공연제작소_서울특별시중구신당동***-**로즈앤라임빌딩(RNL)
129,대중문화예술기획업,03_08_02_P,6540000,M04022026000001,2026-02-25,,1,영업/정상,1,영업,,,,,,,,전북특별자치도 남원시 조산동 ***번지 *호 남원수창해뜨레아파트 상가동,"전북특별자치도 남원시 농원길 **-*, 상가동 *층 (조산동,남원수창해뜨레아파트)",,케이스토리 협동조합,2026-02-25 09:18:12,I,2026-02-27 00:20:02,,233311.634059886,210777.878435169,대중문화예술기획업,,0,,,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,케이스토리협동조합_전북특별자치도남원시조산동***번지*호남원수창해뜨레아파트상가동
130,대중문화예술기획업,03_08_02_P,3230000,CDFF3241092026000004,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,서울특별시 송파구 문정동 *** 송파 테라타워*,"서울특별시 송파구 송파대로 ***, 송파 테라타워* 에이동 **층 ****호 (문정동)",5854.0,(주)에이치오이엔티,2026-02-25 08:11:13,I,2026-02-27 00:20:02,,,,대중문화예술기획업,유통관련업,0,,엔터테인먼트,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,(주)에이치오이엔티_서울특별시송파구문정동***송파테라타워*
131,대중문화예술기획업,03_08_02_P,3230000,CDFF3241092026000005,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,서울특별시 송파구 가락동 **-* 대명빌딩,"서울특별시 송파구 중대로 ***, 대명빌딩 *층 ***-제이***호 (가락동)",5702.0,주식회사 에이치오씨앤씨,2026-02-25 08:11:39,I,2026-02-27 00:20:02,,211108.961741651,444263.057029239,대중문화예술기획업,유통관련업,0,,전시 및 행사 대행,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,주식회사에이치오씨앤씨_서울특별시송파구가락동**-*대명빌딩
134,대중문화예술기획업,03_08_02_P,3860000,CDFF3241092026000002,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,경기도 부천시 원미구 심곡동 **-* 아이원팰리스,"경기도 부천시 원미구 부천로 ***, ***호 (심곡동, 아이원팰리스)",14576.0,토마토아트테인먼트,2026-02-25 17:23:21,I,2026-02-28 00:20:02,,180922.202759854,443776.458439148,대중문화예술기획업,유통관련업,0,,"공연기획, 매니지먼트",68.91,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,토마토아트테인먼트_경기도부천시원미구심곡동**-*아이원팰리스
121,대중문화예술기획업,03_08_02_P,3220000,CDFF3241092026000034,2026-02-24,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 논현동 **-*,"서울특별시 강남구 도산대로**길 **, *층 (논현동)",6055.0,주식회사 어플레이스뮤직컴퍼니,2026-02-24 13:33:26,I,2026-02-26 00:20:08,,203328.852707596,446639.095949366,대중문화예술기획업,유통관련업,0,,엔터테인먼트,0.0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,,,,주식회사어플레이스뮤직컴퍼니_서울특별시강남구논현동**-*
