번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),용도지역,건물형태구분명,객실수,주택면적,방면적비율,소화기개수,단독경보형감지기개수,자동확산소화기대수,휴대용비상조명등대수,피난구유도등개수,유도표지개수,완강기대수,가스누설경보기대수,일산화탄소감지기대수,조식제공여부,오수처리시설용량,화장실수,화장실종류명,Unnamed: 46,record_key
541,농어촌민박업,03_11_08_P,3570000,AGCV035700002026000017,2026-02-26,,1,영업/정상,1,정상,,,,,,563.0,417-803,인천광역시 강화군 강화읍 관청리 954-2,인천광역시 강화군 강화읍 향교길33번길 10,23029.0,달그락,2026-02-26 17:54:15,I,2026-02-28 00:20:02,,153866.874521722,472339.22055761,성장관리계획구역,,1,46.64,0.0,2,2,2,2,0,2,0,2,2,,0.0,1,,,달그락_인천광역시강화군강화읍관청리954-2
537,농어촌민박업,03_11_08_P,4201000,AGCV042010002026000007,2026-02-26,,1,영업/정상,1,정상,,,,,,262.0,,강원특별자치도 강릉시 구정면 덕현리 348-11,강원특별자치도 강릉시 구정면 누일길 89-17,25625.0,누일,2026-02-26 18:07:24,I,2026-02-28 00:20:02,,,,계획관리지역,,1,64.22,64.22,2,3,0,3,0,1,0,1,1,,0.0,1,,,누일_강원특별자치도강릉시구정면덕현리348-11
538,농어촌민박업,03_11_08_P,5050000,AGCV050500002026000032,2026-02-26,,1,영업/정상,1,정상,,,,,,463.0,780-410,경상북도 경주시 마동 561-1,경상북도 경주시 정자2길 55 (마동),38127.0,알지 펜션,2026-02-26 11:34:11,I,2026-02-28 00:20:02,,409070.196647869,256077.277801379,자연녹지,,1,97.92,97.92,3,5,2,4,0,3,0,1,1,,0.0,2,,,알지펜션_경상북도경주시마동561-1
516,농어촌민박업,03_11_08_P,4751000,AGCV047510002026000001,2026-02-25,,1,영업/정상,1,정상,,,,,,218.4,,,전북특별자치도 장수군 장수읍 노하2길 9-4,55631.0,트레일하우스,2026-02-25 11:05:35,I,2026-02-27 00:20:02,,246644.060084627,239092.160976657,,,1,70.06,0.0,3,3,1,4,1,1,0,4,4,,0.0,1,,,트레일하우스_
517,농어촌민박업,03_11_08_P,5050000,AGCV050500002026000030,2026-02-25,,1,영업/정상,1,정상,,,,,,396.0,780-410,경상북도 경주시 마동 76-11,경상북도 경주시 갓거랑길 61 (마동),38126.0,스테이 이로,2026-02-25 15:01:06,I,2026-02-27 00:20:02,,409859.524970063,257082.341206925,자연녹지,,1,62.55,62.55,2,2,1,2,0,1,0,1,1,,0.0,1,,,스테이이로_경상북도경주시마동76-11
518,농어촌민박업,03_11_08_P,5050000,AGCV050500002026000031,2026-02-25,,1,영업/정상,1,정상,,,,,,710.0,780-280,경상북도 경주시 북군동 475-3,경상북도 경주시 북군길 137-10 (북군동),38116.0,블루노트펜션,2026-02-25 14:23:13,I,2026-02-27 00:20:02,,403951.861625134,264554.444206918,자연녹지,,3,229.02,229.02,5,4,0,4,0,4,0,0,0,,0.0,4,,,블루노트펜션_경상북도경주시북군동475-3
519,농어촌민박업,03_11_08_P,4620000,AGCV046200002026000011,2026-02-25,,1,영업/정상,1,정상,,,,,,919.0,357-954,충청남도 태안군 남면 진산리 252,충청남도 태안군 남면 진산2길 373-17,32151.0,노을별 하우스,2026-02-25 22:08:52,I,2026-02-27 00:20:02,,135914.596355333,355943.713935487,계획관리지역,,2,134.55,0.0,5,3,1,3,0,3,0,1,1,,0.0,2,,,노을별하우스_충청남도태안군남면진산리252
520,농어촌민박업,03_11_08_P,4160000,AGCV041600002026000009,2026-02-25,,1,영업/정상,1,정상,,,,,,591.0,477-803,경기도 가평군 가평읍 복장리 250-1,경기도 가평군 가평읍 복장포길 79-6,12430.0,숲속의 공주,2026-02-25 11:23:07,I,2026-02-27 00:20:02,,244438.021003745,470887.753880767,계획관리지역,,4,155.2,155.2,9,5,2,5,0,5,0,2,2,,5.46,5,,,숲속의공주_경기도가평군가평읍복장리250-1
515,농어촌민박업,03_11_08_P,5100000,AGCV051000002026000003,2026-02-25,,1,영업/정상,1,정상,,,,,,815.0,,,경상북도 영천시 화남면 온천길 20,38809.0,스케치스테이,2026-02-25 13:36:52,I,2026-02-27 00:20:02,,,,보전관리지역,,1,43.44,0.0,2,2,0,2,0,3,0,0,0,,0.0,1,,,스케치스테이_
543,농어촌민박업,03_11_08_P,5020000,AGCV050200002026000015,2026-02-25,,1,영업/정상,1,정상,,,,,,,,,"경상북도 포항시 남구 장기면 동해안로3940번길 24-11, 장기한옥마을",37943.0,장기한옥마을,2026-02-25 17:48:28,I,2026-02-28 00:20:02,,,,,,3,202.08,0.0,6,3,3,3,0,3,0,3,3,,0.0,3,,,장기한옥마을_
