"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","종합여행업","03_12_03_P","3650000","CDFI2260042025000006","2025-10-29","","01","영업/정상","13","영업중","","","","","","","","대전광역시 중구 은행동 65-7","대전광역시 중구 중앙로170번길 25, 2층 (은행동)","34922","(주)룸비니","2026-02-01 19:51:12","U","2026-02-03 02:40:00","","238463.265548677","314279.625753618","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0","",
"2","종합여행업","03_12_03_P","3020000","CDFI2260042026000002","2025-11-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 용산구 한강로3가 98","서울특별시 용산구 서빙고로 17, 4층 7호 (한강로3가)","04387","디스커버코리아","2026-02-02 18:04:19","I","2026-02-04 00:20:02","","197056.728931087","447077.126289262","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20251209","20261208","","0","",
"3","종합여행업","03_12_03_P","3240000","CDFI2260042026000003","2023-11-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강동구 고덕동 187-3 103호","서울특별시 강동구 고덕로83길 52, 103호 (고덕동)","05222","모두트립 주식회사","2026-02-02 16:22:15","I","2026-02-04 00:20:02","","214840.232961853","450798.645497299","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250926","20260925","","0","",
"4","종합여행업","03_12_03_P","3910000","CDFI2260042026000001","2026-02-02","","01","영업/정상","13","영업중","","","","","031-658-5522","","","경기도 평택시 죽백동 31-1","경기도 평택시 죽백1길 50 (죽백동)","17865","(주)뉴제로쿨투어","2026-02-02 16:42:21","I","2026-02-04 00:20:02","","212201.486401144","390078.924383781","종합여행업","","자연녹지지역","0","기타","","","사무실","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","","","","0","",
"5","종합여행업","03_12_03_P","3220000","CDFI2260042023000057","2023-06-12","","01","영업/정상","13","영업중","","","","","02-567-8115","","","서울특별시 강남구 논현동 1-5","서울특별시 강남구 강남대로150길 11, 2층 (논현동)","06038","주식회사 유니티에듀","2026-02-02 17:41:45","U","2026-02-04 02:40:00","","201769.620605394","445980.648560019","종합여행업","","","0","","","서울보증보험(8천5백만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20250626","20260625","","0","",
"6","종합여행업","03_12_03_P","4231000","CDFI2260042019000002","2019-08-23","","01","영업/정상","13","영업중","","","","","033-631-7764","","","강원특별자치도 속초시 조양동 1514-17","강원특별자치도 속초시 조양로 112, 1층 (조양동)","24890","주식회사 혜인(골드벨투어)","2026-02-02 10:47:05","U","2026-02-04 02:40:00","","339088.402824986","521676.964429587","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0","",
"7","종합여행업","03_12_03_P","3010000","CDFI2260042024000099","2024-10-14","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 소공동 28 태양빌딩","서울특별시 중구 남대문로7길 11, 태양빌딩 403호 (소공동)","04532","주식회사 성일국제","2026-02-02 13:14:51","U","2026-02-04 02:40:00","","198274.209368138","451268.05553169","종합여행업","","","0","","","관광공제회(5천만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20241029","20251029","","0","",
"8","종합여행업","03_12_03_P","4810000","CDFI2260042016000001","2016-08-14","","01","영업/정상","13","영업중","","","","","061-691-9933","","","전라남도 여수시 신기동 135-4","전라남도 여수시 망마로 104-1, 1층 (신기동)","59690","주식회사 스타투어","2026-02-02 16:17:09","U","2026-02-04 02:40:00","","261588.649124657","140028.041189734","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","100","","0","","","","","","","0","20251101","20261031","","100","",
"9","종합여행업","03_12_03_P","3220000","CDFI2260042024000055","2024-02-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 671-18 문학빌딩","서울특별시 강남구 논현로94길 29-3, 문학빌딩 3층 (역삼동)","06140","렛츠 골프 앤 트립","2026-02-02 17:02:40","U","2026-02-04 02:40:00","","203336.755444435","444552.911481449","종합여행업","","","0","","","서울보증보험(5천만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","51646000","20260220","20270219","","0","",
"10","종합여행업","03_12_03_P","3210000","CDFI2260042026000003","2026-01-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 방배동 764-19 팜젠사이언스빌딩","서울특별시 서초구 동작대로 216, 3층 (방배동)","06554","주식회사 온유투어","2026-02-02 17:13:02","U","2026-02-04 02:40:00","","198449.127736372","443737.613945832","종합여행업","","","0","","","한국관광협회(5천만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20260310","20270310","","0","",
