"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","점포구분명",
"1","대규모점포","08_25_01_P","3050000","2014305014007500003","2014-09-25","","03","폐업","3","폐업처리","2026-01-31","","","","029598545","141","","","서울특별시 동대문구 경희대로 20 (회기동)","130-872","홈플러스 익스프레스 서울회기점","2026-02-02 21:19:01","U","2026-02-04 02:40:00","구분없음","204599.373004139","454552.779662883","준대규모점포",
"2","대규모점포","08_25_01_P","3160000","2020316015907500001","2020-06-26","","01","영업/정상","1","정상영업","","","","","02-323-0456","49220.79","","서울특별시 구로구 구로동 573","서울특별시 구로구 구로중앙로 152 (구로동)","08292","이랜드리테일 NC구로점","2026-02-02 14:04:50","U","2026-02-04 02:40:00","복합쇼핑몰","189570.360930049","444336.051330144","대규모점포",
"3","대규모점포","08_25_01_P","4191000","2011419020307500001","2011-12-27","","01","영업/정상","1","정상영업","","","","","033-749-2500","12044.4","220-100","강원특별자치도 원주시 단계동 1123번지","강원특별자치도 원주시 봉화로 1 (단계동)","220-100","롯데쇼핑(주)롯데마트 원주점","2026-01-30 10:02:44","U","2026-02-04 11:04:37","대형마트","282120.73395865","427477.545400161","대규모점포",
"4","대규모점포","08_25_01_P","3930000","2002393011407500003","2002-07-24","","02","휴업","2","휴업처리","","2026-02-01","2027-01-31","","031-445-2080","15909.39","425-807","경기도 안산시 단원구 고잔동 707번지 2호","경기도 안산시 단원구 광덕대로 175 (고잔동)","425-807","홈플러스(주)안산고잔점","2026-01-30 16:30:52","U","2026-02-04 11:04:37","대형마트","184766.070784522","423338.223688148","대규모점포",
"5","대규모점포","08_25_01_P","3290000","2000329000107500030","1995-06-07","","03","폐업","3","폐업처리","2026-01-30","","","","051 8162400","3563.39","","부산광역시 부산진구 부전동 155-3호","부산광역시 부산진구 서전로 4 (부전동)","614-845","서면전자랜드","2026-01-30 10:33:43","U","2026-02-04 11:04:37","전문점","387649.553090689","186199.745562927","대규모점포",
"6","대규모점포","08_25_01_P","3700000","2007370005307500001","2007-07-05","","01","영업/정상","1","정상영업","","","","","052 228 5005","12526","","울산광역시 남구 달동 1360-3","울산광역시 남구 삼산로 217 (달동)","44703","뉴코아아울렛울산점","2026-02-04 18:06:36","U","2026-02-06 02:40:00","쇼핑센터","411305.368983537","229038.602247804","대규모점포",
"7","대규모점포","08_25_01_P","3540000","2014354011907500005","2014-12-26","","01","영업/정상","1","정상영업","","","","","032-573-2001","21470.56","","인천광역시 부평구 산곡동 311번지 151호","인천광역시 부평구 경원대로 1277 (산곡동)","21384","이천일아울렛부평점","2026-02-03 16:45:58","U","2026-02-06 02:40:00","복합쇼핑몰","174296.583284585","443196.9838165","대규모점포",
"8","대규모점포","08_25_01_P","3940000","2016394029807500003","2016-10-28","","01","영업/정상","1","정상영업","","","","","031-8035-2612","16529.11","","경기도 고양시 덕양구 도내동 1003 이케아 고양점","경기도 고양시 덕양구 권율대로 420(도내동)","10551","롯데아울렛 고양점","2026-02-04 11:22:05","U","2026-02-06 02:40:00","쇼핑센터","187849.01957446","458589.280565554","대규모점포",
"9","대규모점포","08_25_01_P","3240000","2006324011907500002","2006-05-25","","01","영업/정상","1","정상영업","","","","","02-2224-6600","17600","134-873","서울특별시 강동구 천호동 563번지","서울특별시 강동구 구천면로 189 (천호동)","134-873","이천일아울렛 천호점","2026-02-04 11:05:04","U","2026-02-06 02:40:00","그 밖의 대규모점포","211055.486155787","448786.697371515","대규모점포",
"10","대규모점포","08_25_01_P","3310000","2006331001607500001","2006-07-13","","02","휴업","2","휴업처리","","2026-02-12","2027-02-10","","0516098124","9882","","부산광역시 남구 감만동 8호","부산광역시 남구 우암로 124 (감만동)","608-800","홈플러스(주) 부산감만점","2026-02-05 09:39:06","U","2026-02-07 02:40:00","대형마트","389751.844562041","182245.608330959","대규모점포",
"11","대규모점포","08_25_01_P","3420000","2008342009007500001","2008-10-28","","02","휴업","2","휴업처리","","2026-02-01","2027-01-31","","053-559-2080","11787.54","701-860","대구광역시 동구 검사동 908번지 5호","대구광역시 동구 동촌로 127 (검사동)","701-860","홈플러스 주식회사 동촌점","2026-02-06 14:13:21","U","2026-02-08 02:40:00","대형마트","349426.805402323","266377.854783573","대규모점포",
"12","대규모점포","08_25_01_P","3060000","2021306017507500001","2021-11-25","","01","영업/정상","1","정상영업","","","","","02-2290-5704","1150.47","","서울특별시 중랑구 신내동 646 금강리빙스텔","서울특별시 중랑구 신내로 211, 금강리빙스텔 비01호 (신내동)","02024","롯데프레시앤델리 봉화산역점","2026-02-06 13:11:52","U","2026-02-08 02:40:00","그 밖의 대규모점포","208112.860200669","457113.638411288","준대규모점포",
"13","대규모점포","08_25_01_P","5380000","2026538032007500001","2026-02-09","","01","영업/정상","5","영업개시전","","","","","","257.4","","경상남도 양산시 물금읍 가촌리 836-8","경상남도 양산시 물금읍 황산로 527, 외 5필지 1층 102호","50603","노브랜드 양산가촌점","2026-02-09 10:15:52","I","2026-02-11 00:20:41","구분없음","381423.484538491","204238.792533089","준대규모점포",
"14","대규모점포","08_25_01_P","3460000","2025346019707500001","2025-02-06","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","","185.2","","대구광역시 수성구 신매동 566-3 시지 코오롱하늘채 스카이뷰","대구광역시 수성구 고산로 101, 시지 코오롱하늘채 스카이뷰 1-14,15.16호 (신매동)","42257","롯데슈퍼 대구신매 가맹점","2026-02-09 09:07:24","U","2026-02-11 02:40:00","구분없음","353893.90529968","261327.132869664","준대규모점포",
"15","대규모점포","08_25_01_P","3650000","2002365007907500001","2002-10-15","","02","휴업","2","휴업처리","","2026-02-12","2027-02-11","","042 226 2080","11745.57","","대전광역시 중구 문화동 1번지 17  호","대전광역시 중구 계백로 1690 (문화동)","","홈플러스(주) 문화점","2026-02-10 22:11:28","U","2026-02-12 02:40:00","대형마트","236541.282086201","313349.96682002","대규모점포",
"16","대규모점포","08_25_01_P","4140000","2012414004807500001","2012-04-27","","01","영업/정상","1","정상영업","","","","","031-832-6981","1526.95","","","경기도 연천군 전곡읍 전곡로 187-1","486-903","롯데슈퍼전곡점","2026-02-10 15:56:19","U","2026-02-12 02:40:00","그 밖의 대규모점포","205749.023512098","502827.430494496","준대규모점포",
"17","대규모점포","08_25_01_P","5710000","2006436000907500001","2006-04-10","","01","영업/정상","1","정상영업","","","","","043-290-1000","48731","360-817","충청북도 청주시 청원구 율량동 500-3번지","충청북도 청주시 청원구 충청대로 114  (율량동)","","엔포드","2026-02-10 11:06:32","U","2026-02-12 02:40:00","복합쇼핑몰","244184.944567344","351834.595747257","대규모점포",
"18","대규모점포","08_25_01_P","5670000","2011567024107500005","2011-08-09","","01","영업/정상","1","정상영업","","","","","","1795","631-872","경상남도 창원시 마산합포구 해운동 34번지","경상남도 창원시 마산합포구 월영동서로 20 (해운동)","","(주)서원유통 탑마트 마산해운점","2026-02-11 17:26:48","U","2026-02-13 02:40:00","그 밖의 대규모점포","342105.127165045","187860.660953508","준대규모점포",
"19","대규모점포","08_25_01_P","4641000","2005464016207500002","2005-08-05","","02","휴업","2","휴업처리","","2026-02-12","2027-02-11","","063-263-2080","12591","","전북특별자치도 전주시완산구 중노송동 495번지 6호","전북특별자치도 전주시 완산구 기린대로 170 (중노송동)","","홈플러스 주식회사 전주완산점","2026-02-12 17:16:27","U","2026-02-14 02:40:00","대형마트","213487.497985724","258187.996076138","대규모점포",
"20","대규모점포","08_25_01_P","3130000","2009313011807500002","1970-07-29","","01","영업/정상","1","정상영업","","","","","334-2425","0","121-897","서울특별시 마포구 합정동 375번지 1호","서울특별시 마포구 양화진길 5 (합정동)","","합정시장","2026-02-12 09:53:44","U","2026-02-14 02:40:00","시장","192257.393762526","449554.484192321","대규모점포",
