번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수,Unnamed: 36,record_key
25,개인하수처리시설관리업(사업장),09_30_03_P,6510000,651000053202600001,2026-02-27,,1,영업/정상,11,영업,,,,,,,,제주특별자치도 제주시 노형동 3692,제주특별자치도 제주시 오광로 156 (노형동),63106,백록수질환경,2026-02-26 14:36:27,I,2026-02-28 00:20:02,,149958.656041846,-1397.12155253347,분뇨등관련영업관리,,,,,0,,0,,백록수질환경_제주특별자치도제주시노형동3692
23,개인하수처리시설관리업(사업장),09_30_03_P,4261000,426100053202600001,2026-02-04,,1,영업/정상,11,영업,,,,,,,,강원특별자치도 횡성군 우천면 양적리 37-11,강원특별자치도 횡성군 우천면 수남로266번길 56,25249,주식회사 이앤에이,2026-02-04 10:51:24,I,2026-02-06 00:20:02,축산 관련 서비스업,293716.374704997,439710.421022806,분뇨등관련영업관리,축산 관련 서비스업,,,,0,,0,,주식회사이앤에이_강원특별자치도횡성군우천면양적리37-11
22,개인하수처리시설관리업(사업장),09_30_03_P,4490000,449000053202600001,2026-02-03,,1,영업/정상,11,영업,,,,,041-537-8121,,,충청남도 천안시 서북구 성성동 1001,"충청남도 천안시 서북구 2공단4로 40-11, G1캠퍼스 1028호 (성성동)",31074,탑에코에너지(주),2026-02-03 15:56:47,I,2026-02-06 00:20:02,하수 및 폐수 처리업,,,분뇨등관련영업관리,하수 및 폐수 처리업,,,,0,,0,,탑에코에너지(주)_충청남도천안시서북구성성동1001
14,개인하수처리시설관리업(사업장),09_30_03_P,4221000,422100053202600001,2026-01-30,,1,영업/정상,11,영업,,,,,,,,강원특별자치도 태백시 황지동 662 태백황지청솔아파트,"강원특별자치도 태백시 청솔길 8, 108동 9층 7호 (황지동, 태백황지청솔아파트)",26032,백두환경,2026-02-05 15:28:57,U,2026-02-07 02:40:00,,376026.920538997,408769.773874892,분뇨등관련영업관리,,,,,0,,0,,백두환경_강원특별자치도태백시황지동662태백황지청솔아파트
13,개인하수처리시설관리업(사업장),09_30_03_P,4170000,417000053202600002,2026-01-23,,1,영업/정상,11,영업,,,,,0317714500,,,경기도 양평군 양평읍 오빈리 359-2,경기도 양평군 양평읍 경강로 1677-1,12545,한강종합환경,2026-02-03 08:36:55,U,2026-02-06 02:40:00,폐기물처리 및 오염방지시설 건설업,241291.499286844,444726.41580402,분뇨등관련영업관리,폐기물처리 및 오염방지시설 건설업,,,,0,,0,,한강종합환경_경기도양평군양평읍오빈리359-2
29,개인하수처리시설관리업(사업장),09_30_03_P,4050000,405000053202400001,2024-11-25,,1,영업/정상,11,영업,,,,,,,,경기도 용인시 처인구 이동읍 송전리 671-2,"경기도 용인시 처인구 이동읍 경기동로 672, 2층",17136,태봉환경 주식회사,2026-02-24 09:53:13,U,2026-02-26 02:40:00,환경 관련 엔지니어링 서비스업,217297.964101729,404349.72893368,분뇨등관련영업관리,환경 관련 엔지니어링 서비스업,,,,0,,0,,태봉환경주식회사_경기도용인시처인구이동읍송전리671-2
19,개인하수처리시설관리업(사업장),09_30_03_P,4910000,491000053202400001,2024-03-11,,1,영업/정상,11,영업,,,,,070-4247-3085,,,"전라남도 장흥군 장흥읍 건산리 720-69 , 2층","전라남도 장흥군 장흥읍 중앙로 47-2, 2층",59327,주식회사 서영기술,2026-02-03 16:12:04,U,2026-02-06 02:40:00,,191423.491406802,131307.620519989,분뇨등관련영업관리,,,,,0,,0,,"주식회사서영기술_전라남도장흥군장흥읍건산리720-69,2층"
30,개인하수처리시설관리업(사업장),09_30_03_P,6510000,651000053202400003,2024-02-21,,1,영업/정상,11,영업,,,,,0647969492,,,제주특별자치도 제주시 한림읍 대림리 326-1,제주특별자치도 제주시 한림읍 대림로 101-4,63026,(주)유민기업,2026-02-19 17:57:20,U,2026-02-21 02:40:00,,133332.003442054,-8588.57101081809,분뇨등관련영업관리,,,,,0,,0,,(주)유민기업_제주특별자치도제주시한림읍대림리326-1
20,개인하수처리시설관리업(사업장),09_30_03_P,4671000,467100053202400001,2024-01-23,,1,영업/정상,11,영업,,,,,063-471-9599,,,전북특별자치도 군산시 오식도동 515-5 전북대학교 창업보육센터,"전북특별자치도 군산시 산단남북로 193, 전북대학교 창업보육센터 2층 201호 (오식도동)",54001,주식회사 웨니테크,2026-02-20 10:16:58,U,2026-02-22 02:40:00,"기타 전문, 과학 및 기술 서비스업",160290.561884082,273723.13031418,분뇨등관련영업관리,"기타 전문, 과학 및 기술 서비스업",,,,0,,0,,주식회사웨니테크_전북특별자치도군산시오식도동515-5전북대학교창업보육센터
15,개인하수처리시설관리업(사업장),09_30_03_P,5670000,567020653202300001,2023-04-26,,1,영업/정상,11,영업,,,,,,,,경상남도 창원시 진해구 원포동 100 (주)케이조선,경상남도 창원시 진해구 명제로 60 (주)케이조선 (원포동),51624,정수엔텍,2026-02-04 11:34:06,U,2026-02-06 02:40:00,하수 및 폐수 처리업,356384.281778708,180292.023069971,분뇨등관련영업관리,하수 및 폐수 처리업,,,,0,,0,,정수엔텍_경상남도창원시진해구원포동100(주)케이조선
28,개인하수처리시설관리업(사업장),09_30_03_P,4641000,466100053202300001,2023-03-06,,1,영업/정상,11,영업,,,,,063-243-9744,,,전북특별자치도 전주시 덕진구 인후동1가 948-4,"전북특별자치도 전주시 덕진구 한배미1길 59, 1층 (인후동1가)",55030,성화환경건설(주),2026-02-12 10:20:01,U,2026-02-14 02:40:00,,215081.550055062,258081.874550469,분뇨등관련영업관리,,,,,0,,0,,성화환경건설(주)_전북특별자치도전주시덕진구인후동1가948-4
10,개인하수처리시설관리업(사업장),09_30_03_P,4930000,493000053201900001,2019-12-24,,1,영업/정상,11,영업,,,,,061-536-8758,,,전라남도 해남군 해남읍 남외리 361-1,전라남도 해남군 해남읍 남외1길 124-1,59033,(유)명인환경,2026-02-02 15:35:32,U,2026-02-04 02:40:00,,162449.673519478,119220.724434332,분뇨등관련영업관리,,,,,0,,0,,(유)명인환경_전라남도해남군해남읍남외리361-1
18,개인하수처리시설관리업(사업장),09_30_03_P,5220000,522000053201700001,2017-04-10,,1,영업/정상,11,영업,,,,,054-977-7109,,,경상북도 칠곡군 지천면 신리 623-27,경상북도 칠곡군 지천면 신동로 95-25,39864,서우E&P,2026-02-12 09:49:40,U,2026-02-14 02:40:00,,333581.254115862,274254.39409537,분뇨등관련영업관리,,,,,0,,0,,서우E&P_경상북도칠곡군지천면신리623-27
2,개인하수처리시설관리업(사업장),09_30_03_P,4090000,409000053201600001,2016-02-29,,1,영업/정상,11,영업,,,,,031-984-2273,,,경기도 김포시 고촌읍 태리 582-6,"경기도 김포시 고촌읍 이화남로 141-1, 1층",10127,가나환경,2026-02-04 11:16:18,U,2026-02-06 02:40:00,,176666.232627143,454460.556841133,분뇨등관련영업관리,,,,,0,,0,,가나환경_경기도김포시고촌읍태리582-6
5,개인하수처리시설관리업(사업장),09_30_03_P,4050000,405000053201400003,2014-04-14,,1,영업/정상,11,영업,,,,,0312343234,,446-876,경기도 용인시 기흥구 영덕동 1005,"경기도 용인시 기흥구 흥덕1로 13 (영덕동, 흥덕아이티밸리 제컴플렉스동 707호, 708호, 709호)",446-876,해성엔지니어링(주),2026-02-24 10:13:05,U,2026-02-26 02:40:00,,205798.576914775,418776.397921083,분뇨등관련영업관리,,,,,0,,0,,해성엔지니어링(주)_경기도용인시기흥구영덕동1005
24,개인하수처리시설관리업(사업장),09_30_03_P,5670000,567020653201400001,2014-03-21,,1,영업/정상,11,영업,,,,,5477030,,,경상남도 창원시 진해구 이동 634-14,경상남도 창원시 진해구 충장로446번길 14 (이동),51655,동부환경산업(주),2026-02-04 11:27:59,U,2026-02-06 02:40:00,,354571.89162442,184637.284939204,분뇨등관련영업관리,,,,,0,,0,,동부환경산업(주)_경상남도창원시진해구이동634-14
9,개인하수처리시설관리업(사업장),09_30_03_P,4520000,452000053201300001,2013-06-25,,1,영업/정상,11,영업,,,,,0415347040,,,충청남도 아산시 권곡동 549-16,충청남도 아산시 청운로116번길 23-1 (권곡동),31520,태민엔지니어링(주),2026-02-04 13:59:27,U,2026-02-06 02:40:00,,200875.542073973,364728.400091648,분뇨등관련영업관리,,,,,0,,0,,태민엔지니어링(주)_충청남도아산시권곡동549-16
31,개인하수처리시설관리업(사업장),09_30_03_P,4910000,491000053201200003,2012-08-27,,3,폐업,2,폐업,2026-02-04,,2014-04-23,2014-04-23,061-862-4666,,,전라남도 장흥군 장흥읍 상리 650-2,전라남도 장흥군 장흥읍 산단1로 32-33,59315,(주)코엔텍,2026-02-10 21:30:00,U,2026-02-12 02:40:00,,,,분뇨등관련영업관리,,,,,0,,0,,(주)코엔텍_전라남도장흥군장흥읍상리650-2
12,개인하수처리시설관리업(사업장),09_30_03_P,5070000,507000053201100001,2011-03-24,,1,영업/정상,11,영업,,,,,054-822-9100,,,경상북도 안동시 용상동 1466-18,경상북도 안동시 용상시장6길 17 (용상동),36716,제로시스템,2026-02-03 17:20:57,U,2026-02-06 02:40:00,,356528.843839255,341143.424331784,분뇨등관련영업관리,,,,,0,,0,,제로시스템_경상북도안동시용상동1466-18
16,개인하수처리시설관리업(사업장),09_30_03_P,5370000,537000053200900001,2009-06-19,,1,영업/정상,11,영업,,,,,6301162,,656-710,경상남도 거제시 장평동 530 (주)삼성중공업내,"경상남도 거제시 장평3로 80 (장평동,(주)삼성중공업내)",,에코그린(주),2026-02-23 13:20:58,U,2026-02-25 02:40:00,,346399.237199992,156840.927799368,분뇨등관련영업관리,,,,,0,,0,,에코그린(주)_경상남도거제시장평동530(주)삼성중공업내
27,개인하수처리시설관리업(사업장),09_30_03_P,4641000,466100053200600001,2006-12-14,,1,영업/정상,11,영업,,,,,0632774838,,561-312,전북특별자치도 전주시 덕진구 전미동2가 104-5,전북특별자치도 전주시 덕진구 전미월평1길 45-4 (전미동2가),561-312,(유)청정개발,2026-02-12 10:40:02,U,2026-02-14 02:40:00,,209377.324777457,264560.823400054,분뇨등관련영업관리,,,,,0,,0,,(유)청정개발_전북특별자치도전주시덕진구전미동2가104-5
32,개인하수처리시설관리업(사업장),09_30_03_P,4241000,424100053200500002,2005-08-22,,3,폐업,2,폐업,2026-01-28,,,,,,,강원특별자치도 삼척시 갈천동 49-7,강원특별자치도 삼척시 새천년도로 601-59 (갈천동),25909,백두환경,2026-01-30 09:59:25,U,2026-02-04 11:04:37,,391471.875909727,442560.754048063,분뇨등관련영업관리,,,,,0,,0,,백두환경_강원특별자치도삼척시갈천동49-7
21,개인하수처리시설관리업(사업장),09_30_03_P,5540000,554000053200400010,2004-12-17,,1,영업/정상,11,영업,,,,,0317974491,,,경기도 광주시 삼동 261-7,"경기도 광주시 순암로 496, 2층 (삼동)",12767,보람환경개발(주),2026-02-04 09:12:15,U,2026-02-06 02:40:00,,217673.457183674,434364.173674119,분뇨등관련영업관리,,,,,0,,0,,보람환경개발(주)_경기도광주시삼동261-7
6,개인하수처리시설관리업(사업장),09_30_03_P,4050000,405000053200300001,2003-12-30,,1,영업/정상,11,영업,,,,,0312841393,,446-909,경기도 용인시 기흥구 지곡동 463-4,경기도 용인시 기흥구 사은로 207 (지곡동),446-909,(주)보라환경기술,2026-02-24 10:09:25,U,2026-02-26 02:40:00,,211261.697011119,417023.210784068,분뇨등관련영업관리,,,,,0,,0,,(주)보라환경기술_경기도용인시기흥구지곡동463-4
3,개인하수처리시설관리업(사업장),09_30_03_P,4520000,452000053200300006,2003-03-05,,1,영업/정상,11,영업,,,,,0415335055,,,충청남도 아산시 온천동 1486,충청남도 아산시 시민로457번길 13 (온천동),31508,대한엔지니어링(주),2026-02-03 10:27:05,U,2026-02-06 02:40:00,,199937.646939415,365307.765288784,분뇨등관련영업관리,,,,,0,,0,,대한엔지니어링(주)_충청남도아산시온천동1486
1,개인하수처리시설관리업(사업장),09_30_03_P,4301000,430100053200100003,2001-11-12,,1,영업/정상,11,영업,,,,,0334528472,,269-802,강원특별자치도 철원군 갈말읍 군탄리 779-3,강원특별자치도 철원군 갈말읍 풍전길 44 (갈말농공단지),269-802,(주)에코이에스,2026-02-19 16:22:56,U,2026-02-21 02:40:00,,226835.565989817,517739.00304739,분뇨등관련영업관리,,,,,0,,0,,(주)에코이에스_강원특별자치도철원군갈말읍군탄리779-3
26,개인하수처리시설관리업(사업장),09_30_03_P,4641000,466100053200000022,2000-12-05,,1,영업/정상,11,영업,,,,,063-254-8150,,561-192,전북특별자치도 전주시 덕진구 덕진동2가 167-198,전북특별자치도 전주시 덕진구 호반3길 7 (덕진동2가),561-851,광진환경(주),2026-02-20 09:16:20,U,2026-02-22 02:40:00,,210559.063214205,260968.89193749,분뇨등관련영업관리,,,,,0,,0,,광진환경(주)_전북특별자치도전주시덕진구덕진동2가167-198
33,개인하수처리시설관리업(사업장),09_30_03_P,4050000,405000053200000001,2000-09-08,,1,영업/정상,3,재개업,,,2013-03-15,2013-03-15,031)321-4001,,449-931,경기도 용인시 처인구 역북동 436-9 5층,"경기도 용인시 처인구 중부대로 1329, 5층 (역북동)",449-931,보성환경기술,2026-02-24 09:59:09,U,2026-02-26 02:40:00,,217022.662333504,414881.715445381,분뇨등관련영업관리,,,,,0,,0,,보성환경기술_경기도용인시처인구역북동436-95층
4,개인하수처리시설관리업(사업장),09_30_03_P,4520000,452000053200000003,2000-09-01,,1,영업/정상,11,영업,,,,,0415410111,,,충청남도 아산시 용화동 1583,"충청남도 아산시 용화고길79번길 25, 3층 (용화동)",31578,(주)청해이그린,2026-02-04 13:58:23,U,2026-02-06 02:40:00,,200994.659731653,363676.362878205,분뇨등관련영업관리,,,,,0,,0,,(주)청해이그린_충청남도아산시용화동1583
7,개인하수처리시설관리업(사업장),09_30_03_P,3910000,391000053200030010,2000-08-05,,1,영업/정상,11,영업,,,,,0316626748,,,경기도 평택시 서탄면 수월암리 129,경기도 평택시 서탄면 사리길 208,17704,우리환경건설(주),2026-02-20 09:35:25,U,2026-02-22 02:40:00,,204120.539140974,402285.4943282,분뇨등관련영업관리,,,,,0,,0,,우리환경건설(주)_경기도평택시서탄면수월암리129
11,개인하수처리시설관리업(사업장),09_30_03_P,3390000,339000053200000002,2000-07-28,,1,영업/정상,11,영업,,,,,051-316-9212,,,부산광역시 사상구 모라동 389,"부산광역시 사상구 백양대로907번길 25, 2층 (모라동)",46929,(주)영동엔지니어링,2026-02-03 09:22:02,U,2026-02-06 02:40:00,,381156.283863194,189459.97095584,분뇨등관련영업관리,,,,,0,,0,,(주)영동엔지니어링_부산광역시사상구모라동389
17,개인하수처리시설관리업(사업장),09_30_03_P,4170000,417000053199900001,1999-10-11,,1,영업/정상,11,영업,,,,,0317724532,,,경기도 양평군 양평읍 오빈리 411-2,경기도 양평군 양평읍 경강로 1612,12545,중부엔마텍(주),2026-02-23 16:48:22,U,2026-02-25 02:40:00,,240705.665284575,444801.907120578,분뇨등관련영업관리,,,,,0,,0,,중부엔마텍(주)_경기도양평군양평읍오빈리411-2
8,개인하수처리시설관리업(사업장),09_30_03_P,4490000,449000053199900002,1999-09-02,,1,영업/정상,11,영업,,,,,041-621-4600,,331-200,충청남도 천안시 서북구 차암동 5-2,"충청남도 천안시 서북구 2공단2로 95 (차암동, 천안테크노타운 407호)",331-200,금강엔지니어링(주),2026-02-03 14:17:55,U,2026-02-06 02:40:00,,210646.828903587,372990.587733578,분뇨등관련영업관리,,,,,0,,0,,금강엔지니어링(주)_충청남도천안시서북구차암동5-2
