"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","골프장","10_31_02_P","6530000","302012026000001","2026-02-02","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 부론면 법천리 32번지 0호","","","남한강에스파크 컨트리클럽","2026-02-02 15:56:56","I","2026-02-04 00:20:02","","269420.344906774","411338.777875501","골프장","","","0","77","7587.43","0","","",
"2","골프장","10_31_02_P","6470000","302012015000004","2015-02-27","","01","영업/정상","1","영업","","","","","","","","경상북도 김천시 어모면 능치리 산 37번지","","","애플밸리 cc","2026-02-19 16:11:15","U","2026-02-21 02:40:00","","295756.709776669","303630.101131762","골프장","","","0","3","2309.76","0","정규대중","",
"3","골프장","10_31_02_P","6470000","302012008000054","2008-04-29","","01","영업/정상","1","영업","","","","","","","","경상북도 상주시 모서면 화현리 산 46번지 1호","경상북도 상주시 모서면 화현3길 127","","블루원상주골프리조트","2026-02-11 13:29:33","U","2026-02-13 02:40:00","","283278.117645965","315740.126032504","골프장","","","0","0","6303.75","0","없음","",
"4","골프장","10_31_02_P","6500000","302012010000001","2010-02-19","","01","영업/정상","1","영업","","","","","","0","","제주특별자치도 서귀포시 남원읍 신흥리 산 30번지","제주특별자치도 서귀포시 남원읍 원님로399번길 319","","해비치호텔앤드리조트(주) 해비치컨트리클럽(대중형 18홀)","2026-02-24 18:19:33","U","2026-02-26 02:40:00","","174273.705276555","-15208.8980104577","골프장","","","0","0","253.92","0","비회원제","",
"5","골프장","10_31_02_P","6500000","302012010000002","2010-02-19","","01","영업/정상","1","영업","","","","","","0","","제주특별자치도 서귀포시 남원읍 신흥리 산 30번지","제주특별자치도 서귀포시 남원읍 원님로399번길 319","","해비치호텔앤드리조트(주) 해비치컨트리클럽(회원제)","2026-02-24 18:15:44","U","2026-02-26 02:40:00","","174273.705276555","-15208.8980104577","골프장","","","0","10","2439","0","회원제","",
"6","골프장","10_31_02_P","6500000","302012008000011","2008-09-24","","01","영업/정상","1","영업","","","","","","0","","제주특별자치도 제주시 회천동 3번지 16호","제주특별자치도 제주시 명림로 575-107 (회천동,한화리조트)","","플라자CC(대중형9홀)","2026-02-03 20:06:46","U","2026-02-06 02:40:00","","166285.365458268","-5257.14441273754","골프장","","","0","0","2112.4","0","비회원제","",
"7","골프장","10_31_02_P","6530000","302012015000001","2015-03-11","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 동산면 조양리 산 199번지","강원특별자치도 춘천시 동산면 종자리로 436-0, 1동 1층 1호 (라비에벨컨트리클럽)","","라비에벨CC","2026-02-11 13:59:41","U","2026-02-13 02:40:00","","266801.723069835","471255.505860593","골프장","","","0","1","13913.7","0","없음","",
"8","골프장","10_31_02_P","4080000","CDFH2302012011000001","2011-01-29","","01","영업/정상","13","영업중","","","","","","","","","경기도 안성시 죽산면 녹배길 175","17521","에덴블루 컨트리클럽","2026-02-04 14:28:09","U","2026-02-06 02:40:00","","234208.371240116","395199.462753061","골프장","사립","","1","0","18305.49","0","","",
"9","골프장","10_31_02_P","3990000","CDFH2302012007000001","2007-03-19","","01","영업/정상","13","영업중","","","","","","","472-847","경기도 남양주시 화도읍 차산리 산 111-1","경기도 남양주시 화도읍 재재기로190번길 26","472-847","해비치 컨트리클럽","2026-02-13 15:18:13","U","2026-02-15 02:40:00","","226225.675155735","456804.753362742","골프장","사립","0","0","0","19278","0","","",
"10","골프장","10_31_02_P","4160000","CDFH2302012002000001","2002-04-10","","01","영업/정상","13","영업중","","","","","031-589-9000","","","경기도 가평군 설악면 이천리 산 2-1","경기도 가평군 설악면 다락재로 73-111 (청평마이다스골프클럽)","12459","마이다스밸리 청평 골프 클럽","2026-02-24 09:44:04","U","2026-02-26 02:40:00","","240189.66203176","462459.267263591","골프장","사립","0","0","0","7862.04","310","","",
