번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명,Unnamed: 37,record_key
223,당구장업,10_32_01_P,5430000,CDFH3301082026000001,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경상남도 남해군 미조면 미조리 168-8,경상남도 남해군 미조면 미조로 234,52442,삼현당구장,2026-02-26 13:40:10,I,2026-02-28 00:20:02,,295869.086010501,135198.397918316,당구장업,사립,,0.0,0.0,0.0,0.0,,,,삼현당구장_경상남도남해군미조면미조리168-8
225,당구장업,10_32_01_P,3230000,CDFH3301082026000001,2026-02-26,,1,영업/정상,13,영업중,,,,,02-6052-1199,,,서울특별시 송파구 방이동 111,"서울특별시 송파구 백제고분로48길 6, 2층 (방이동)",05641,챔프당구클럽,2026-02-26 08:48:54,I,2026-02-28 00:20:02,,209996.978132358,445483.819995873,당구장업,사립,,0.0,1.0,902.68,0.0,,,,챔프당구클럽_서울특별시송파구방이동111
224,당구장업,10_32_01_P,5370000,CDFH3301082026000004,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경상남도 거제시 능포동 650-18,경상남도 거제시 옥수로2길 50 (능포동),53316,Q 당구장,2026-02-26 19:34:57,I,2026-02-28 00:20:02,,358240.115196526,154514.291760298,당구장업,사립,,0.0,0.0,232.68,0.0,,,,Q당구장_경상남도거제시능포동650-18
212,당구장업,10_32_01_P,4070000,CDFH3301082026000001,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,경기도 이천시 부발읍 아미리 736-1,"경기도 이천시 부발읍 경충대로2110번길 14, 3층",17332,아미 프라이빗 큐룸,2026-02-25 17:12:27,I,2026-02-27 00:20:02,,243355.14502312,416953.853942393,당구장업,사립,,0.0,0.0,0.0,0.0,,,,아미프라이빗큐룸_경기도이천시부발읍아미리736-1
211,당구장업,10_32_01_P,3680000,CDFH3301082026000001,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,대전광역시 대덕구 오정동 223-272,"대전광역시 대덕구 한남로 26, 2층 (오정동)",34431,포켓볼당구장,2026-02-25 15:14:44,I,2026-02-27 00:20:02,,238109.053204379,316806.180681521,당구장업,사립,,0.0,0.0,0.0,0.0,,,,포켓볼당구장_대전광역시대덕구오정동223-272
198,당구장업,10_32_01_P,4870000,CDFH3301082026000002,2026-02-24,,1,영업/정상,13,영업중,,,,,,,,전라남도 구례군 구례읍 봉남리 1-21,"전라남도 구례군 구례읍 구례로 500, 2층",57636,KBA당구클럽,2026-02-24 16:16:50,I,2026-02-26 00:20:08,,242629.561829247,189739.152490108,당구장업,사립,,0.0,1.0,0.0,0.0,,,,KBA당구클럽_전라남도구례군구례읍봉남리1-21
199,당구장업,10_32_01_P,3980000,CDFH3301082026000001,2026-02-24,,1,영업/정상,13,영업중,,,,,,,,경기도 구리시 수택동 424-28 현주Ifriend빌딩,"경기도 구리시 검배로 36, 현주Ifriend빌딩 11층 1호 (수택동)",11928,스팟큐,2026-02-24 17:59:51,I,2026-02-26 00:20:08,,212566.74122775,455080.399126274,당구장업,사립,,0.0,0.0,0.0,0.0,,,,스팟큐_경기도구리시수택동424-28현주Ifriend빌딩
200,당구장업,10_32_01_P,3480000,CDFH3301082026000001,2026-02-24,,1,영업/정상,13,영업중,,,,,,,,대구광역시 달성군 다사읍 매곡리 719-2 강창1차삼산타운,대구광역시 달성군 다사읍 달구벌대로 790 (강창1차삼산타운),42915,지에스(GS) 스포츠센터,2026-02-24 15:53:36,I,2026-02-26 00:20:08,,331685.390022772,263366.296869414,당구장업,사립,,0.0,0.0,0.0,0.0,,,,지에스(GS)스포츠센터_대구광역시달성군다사읍매곡리719-2강창1차삼산타운
189,당구장업,10_32_01_P,3820000,CDFH3301082026000002,2026-02-23,,1,영업/정상,13,영업중,,,,,,,,경기도 의정부시 의정부동 26-4 경복빌딩,"경기도 의정부시 태평로 104, 경복빌딩 3층 (의정부동)",11693,티아레나,2026-02-23 13:58:54,I,2026-02-25 00:20:01,,204517.021304823,471036.398899154,당구장업,사립,,0.0,0.0,0.0,0.0,,,,티아레나_경기도의정부시의정부동26-4경복빌딩
181,당구장업,10_32_01_P,3910000,CDFH3301082026000001,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,경기도 평택시 독곡동 487 한성빌딩,"경기도 평택시 지산로 83, 한성빌딩 3층 (독곡동)",17720,당구존,2026-02-20 09:39:07,I,2026-02-22 00:20:02,,205621.025208422,397651.622312819,당구장업,사립,,0.0,0.0,1078.94,0.0,,,,당구존_경기도평택시독곡동487한성빌딩
182,당구장업,10_32_01_P,3700000,CDFH3301082026000002,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,울산광역시 남구 달동 1357-8,"울산광역시 남구 번영로144번길 9, 2, 3, 4층 (달동)",44703,한별 당구장,2026-02-20 11:10:38,I,2026-02-22 00:20:02,,411225.154726363,229052.374877454,당구장업,사립,,0.0,0.0,0.0,0.0,,,,한별당구장_울산광역시남구달동1357-8
