번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명,Unnamed: 37,record_key
442,체육도장업,10_41_01_P,3230000,CDFH3301022026000006,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,서울특별시 송파구 잠실동 176-4,"서울특별시 송파구 백제고분로7길 3, 지하1층 (잠실동)",05556,퍼센트복싱,2026-02-26 13:26:51,I,2026-02-28 00:20:02,권투,206949.842815831,445370.245992523,체육도장업,사립,,1.0,1.0,1053.3,0.0,,,,퍼센트복싱_서울특별시송파구잠실동176-4
441,체육도장업,10_41_01_P,3470000,CDFH3301022026000001,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,대구광역시 달서구 감삼동 549,"대구광역시 달서구 달구벌대로304길 63, 9층 (감삼동)",42688,서린10 태권도장,2026-02-26 18:05:59,I,2026-02-28 00:20:02,태권도,338399.099283592,261814.568949982,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,서린10태권도장_대구광역시달서구감삼동549
440,체육도장업,10_41_01_P,3660000,CDFH3301022026000004,2026-02-26,,1,영업/정상,13,영업중,,,,,042-483-7335,,,대전광역시 서구 월평동 266 백합아파트,"대전광역시 서구 청사서로 41, 3층 (월평동, 백합아파트)",35215,아이사랑 태권도,2026-02-26 15:44:25,I,2026-02-28 00:20:02,태권도,233630.685897105,317917.689539579,체육도장업,사립,,1.0,0.0,3554.52,0.0,,,,아이사랑태권도_대전광역시서구월평동266백합아파트
421,체육도장업,10_41_01_P,5350000,CDFH3301022026000006,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,경상남도 김해시 장유동 839-1,"경상남도 김해시 율하6로 61, 4층 401,402호 (장유동)",51022,뻔치업복싱,2026-02-25 14:17:18,I,2026-02-27 00:20:02,권투,366035.005485688,187324.595179417,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,뻔치업복싱_경상남도김해시장유동839-1
418,체육도장업,10_41_01_P,3100000,CDFH3301022026000002,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,서울특별시 노원구 상계동 95-199 정진빌딩,"서울특별시 노원구 덕릉로 740, 정진빌딩 7층 (상계동)",01648,리메인 복싱,2026-02-25 13:06:35,I,2026-02-27 00:20:02,권투,206671.948438285,462362.549885823,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,리메인복싱_서울특별시노원구상계동95-199정진빌딩
419,체육도장업,10_41_01_P,5020000,CDFH3301022026000004,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,경상북도 포항시 북구 흥해읍 이인리 0 3층,"경상북도 포항시 북구 흥해읍 포항역로 51, 3층",37566,PBL 복싱센터,2026-02-25 18:45:47,I,2026-02-27 00:20:02,권투,,,체육도장업,사립,,1.0,0.0,980.48,0.0,,,,PBL복싱센터_경상북도포항시북구흥해읍이인리03층
420,체육도장업,10_41_01_P,5020000,CDFH3301022026000005,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,경상북도 포항시 북구 두호동 1096-2 2층,"경상북도 포항시 북구 대곡로 55, 2층 (두호동)",37618,웨이 유도,2026-02-25 18:49:08,I,2026-02-27 00:20:02,유도,413714.96989428,287875.210210122,체육도장업,사립,,1.0,0.0,782.91,0.0,,,,웨이유도_경상북도포항시북구두호동1096-22층
422,체육도장업,10_41_01_P,4040000,CDFH3301022026000003,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,경기도 하남시 망월동 1186-5,"경기도 하남시 미사강변한강로334번길 28, 1층 (망월동)",12923,용인대마스터태권도,2026-02-25 14:50:47,I,2026-02-27 00:20:02,태권도,217538.860138645,450916.301636788,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,용인대마스터태권도_경기도하남시망월동1186-5
391,체육도장업,10_41_01_P,3600000,CDFH3301022026000001,2026-02-24,,1,영업/정상,13,영업중,,,,,,,,광주광역시 서구 금호동 1117 위파크마륵공원아파트,"광주광역시 서구 서광주로106번길 39, 2층 201~203호 (금호동, 위파크마륵공원아파트)",62004,한솔태권도예절관,2026-02-24 17:55:38,I,2026-02-26 00:20:08,태권도,,,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,한솔태권도예절관_광주광역시서구금호동1117위파크마륵공원아파트
393,체육도장업,10_41_01_P,5530000,CDFH3301022026000005,2026-02-24,,1,영업/정상,13,영업중,,,,,,,,경기도 화성시 동탄구 신동 740 동탄 파크릭스 A51-1BL 아파트,"경기도 화성시 동탄구 동탄신리천로5길 130, 1층 101,102,103,104,105호 (신동, 동탄 파크릭스 A51-1BL 아파트)",18492,경희대 MTA 태권도장 & JMC 줄넘기,2026-02-24 10:47:33,I,2026-02-26 00:20:08,태권도,,,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,경희대MTA태권도장&JMC줄넘기_경기도화성시동탄구신동740동탄파크릭스A51-1BL아파트
394,체육도장업,10_41_01_P,5530000,CDFH3301022026000006,2026-02-24,,1,영업/정상,13,영업중,,,,,031-234-8707,,,경기도 화성시 효행구 기안동 897 기안마을 풍성신미주아파트,"경기도 화성시 효행구 융건로 91, 기안마을 풍성신미주쇼핑타운 206호 (기안동)",18341,헤리티지 태권도장,2026-02-24 17:55:58,I,2026-02-26 00:20:08,태권도,198911.780968343,413071.146531686,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,헤리티지태권도장_경기도화성시효행구기안동897기안마을풍성신미주아파트
392,체육도장업,10_41_01_P,4201000,CDFH3301022026000002,2026-02-24,,1,영업/정상,13,영업중,,,,,033-643-6403,,,강원특별자치도 강릉시 교동 1890-3,"강원특별자치도 강릉시 솔올로5번길 9, 형제빌딩 5층 501호 (교동)",25515,미동무관,2026-02-24 08:30:44,I,2026-02-26 00:20:08,우슈,365265.410576555,475004.260120555,체육도장업,사립,,1.0,0.0,2524.75,0.0,,,,미동무관_강원특별자치도강릉시교동1890-3
390,체육도장업,10_41_01_P,3900000,CDFH3301022026000004,2026-02-24,,1,영업/정상,13,영업중,,,,,,,,경기도 광명시 철산동 105 철산자이브리에르,"경기도 광명시 시청로 100, 2층 214~216호 (철산동, 철산자이브리에르)",14229,중앙태권도장,2026-02-24 13:38:26,I,2026-02-26 00:20:08,태권도,188317.384005436,442603.984651742,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,중앙태권도장_경기도광명시철산동105철산자이브리에르
376,체육도장업,10_41_01_P,5220000,CDFH3301022026000001,2026-02-23,,1,영업/정상,13,영업중,,,,,,,,경상북도 칠곡군 왜관읍 왜관리 785-66,"경상북도 칠곡군 왜관읍 구상길 201, 1층",39897,바람소리 해담태권도,2026-02-23 17:11:41,I,2026-02-25 00:20:01,태권도,325715.346730602,276942.78935719,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,바람소리해담태권도_경상북도칠곡군왜관읍왜관리785-66
375,체육도장업,10_41_01_P,3090000,CDFH3301022026000001,2026-02-23,,1,영업/정상,13,영업중,,,,,,,,서울특별시 도봉구 도봉동 625-21,"서울특별시 도봉구 마들로 721, 2층 (도봉동)",01326,MMA STORY (엠엠에이 스토리),2026-02-23 13:51:40,I,2026-02-25 00:20:01,레슬링,204062.895297318,463585.041752236,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,MMASTORY(엠엠에이스토리)_서울특별시도봉구도봉동625-21
354,체육도장업,10_41_01_P,3560000,CDFH3301022026000007,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,인천광역시 서구 백석동 0,"인천광역시 서구 한중로 12, 백석동 한들지구1217 1동 3층 301,302호 (백석동)",22687,용인대 태빛 태권도장,2026-02-20 16:58:38,I,2026-02-22 00:20:02,태권도,,,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,용인대태빛태권도장_인천광역시서구백석동0
353,체육도장업,10_41_01_P,4090000,CDFH3301022026000004,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,경기도 김포시 풍무동 707-2,"경기도 김포시 풍무로57번길 81, 1층 (풍무동)",10119,어쎈드 합기도,2026-02-20 17:26:29,I,2026-02-22 00:20:02,합기도,174937.324697947,455286.076909542,체육도장업,사립,,0.0,0.0,359.0,0.0,,,,어쎈드합기도_경기도김포시풍무동707-2
352,체육도장업,10_41_01_P,4000000,CDFH3301022026000003,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,경기도 오산시 탑동 318-4,"경기도 오산시 초평중앙로 22, 401, 402호 (탑동)",18127,세교 한울태권도장,2026-02-20 14:53:07,I,2026-02-22 00:20:02,태권도,,,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,세교한울태권도장_경기도오산시탑동318-4
351,체육도장업,10_41_01_P,4000000,CDFH3301022026000004,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,경기도 오산시 오산동 859-5 한영문구,"경기도 오산시 오산로 264, 한영문구 2층 (오산동)",18136,미킥 복싱,2026-02-20 17:24:10,I,2026-02-22 00:20:02,권투,206037.506150026,405401.589426768,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,미킥복싱_경기도오산시오산동859-5한영문구
350,체육도장업,10_41_01_P,3910000,CDFH3301022026000005,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,경기도 평택시 현덕면 화양리 0 한화포레나 평택화양,"경기도 평택시 현덕면 화양용비로 38, 1층 103호 (한화포레나 평택화양)",17930,화양 챔피언 태권스쿨,2026-02-20 16:45:49,I,2026-02-22 00:20:02,태권도,,,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,화양챔피언태권스쿨_경기도평택시현덕면화양리0한화포레나평택화양
349,체육도장업,10_41_01_P,3910000,CDFH3301022026000004,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,경기도 평택시 고덕동 2613-2 505호,"경기도 평택시 고덕중앙2로 41, 5층 505호 (고덕동)",18013,고덕검도관,2026-02-20 09:17:32,I,2026-02-22 00:20:02,검도,203552.483575284,393722.870324679,체육도장업,사립,,1.0,505.0,0.0,0.0,,,,고덕검도관_경기도평택시고덕동2613-2505호
348,체육도장업,10_41_01_P,4830000,CDFH3301022026000001,2026-02-20,,1,영업/정상,13,영업중,,,,,,,,전라남도 나주시 빛가람동 692-2,"전라남도 나주시 그린로 193, 301호 (빛가람동)",58328,SKY 영어 태권도,2026-02-20 09:00:13,I,2026-02-22 00:20:02,태권도,180532.437296857,167889.525521037,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,SKY영어태권도_전라남도나주시빛가람동692-2
333,체육도장업,10_41_01_P,4070000,CDFH3301022026000001,2026-02-19,,1,영업/정상,13,영업중,,,,,031-631-0758,,,경기도 이천시 창전동 166-11,"경기도 이천시 이섭대천로1217번길 8, 3층 (창전동)",17369,코리안탑팀 이천점,2026-02-19 09:42:07,I,2026-02-21 00:20:05,권투,239528.727781954,419794.133609913,체육도장업,사립,,1.0,1.0,0.0,0.0,,,,코리안탑팀이천점_경기도이천시창전동166-11
334,체육도장업,10_41_01_P,5410000,CDFH3301022026000001,2026-02-19,,1,영업/정상,13,영업중,,,,,,,,경상남도 창녕군 창녕읍 교상리 40,"경상남도 창녕군 창녕읍 종로 44-1, 3층",50328,최우수무혼 태권도장,2026-02-19 16:37:49,I,2026-02-21 00:20:05,태권도,335934.787028834,227877.870740841,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,최우수무혼태권도장_경상남도창녕군창녕읍교상리40
