번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,휴게실면적,사무실면적,탈의실면적,회원모집총인원,세부업종명,법인명,Unnamed: 40,record_key
814,체력단련장업,10_42_01_P,5710000,CDFH3301062026000006,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,충청북도 청주시 청원구 율량동 2026,"충청북도 청주시 청원구 율량로190번길 53, 비 4층 404호 (율량동)",28320.0,24시 코코피트니스 헬스 PT 율량점,2026-02-26 11:09:30,I,2026-02-28 00:20:02,,244257.058775899,351725.614063029,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,24시코코피트니스헬스PT율량점_충청북도청주시청원구율량동2026
816,체력단련장업,10_42_01_P,3020000,CDFH3301062026000004,2026-02-26,,1,영업/정상,13,영업중,,,,,02089346738,110.04,,서울특별시 용산구 용문동 27-2,"서울특별시 용산구 새창로14길 49, 4층 (용문동)",4356.0,비고핏,2026-02-26 10:09:59,I,2026-02-28 00:20:02,,196367.632927208,448357.966576058,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,비고핏_서울특별시용산구용문동27-2
820,체력단련장업,10_42_01_P,3460000,CDFH3301062026000002,2026-02-26,,1,영업/정상,13,영업중,,,,,,230.0,,대구광역시 수성구 만촌동 1448,"대구광역시 수성구 동원로 93, 5층 (만촌동)",42040.0,로즈햅트레이닝,2026-02-26 08:56:45,I,2026-02-28 00:20:02,,347900.019182827,264282.579254688,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,로즈햅트레이닝_대구광역시수성구만촌동1448
819,체력단련장업,10_42_01_P,4000000,CDFH3301062026000001,2026-02-26,,1,영업/정상,13,영업중,,,,,031-377-9488,859.36,,경기도 오산시 오산동 925-5 월드타워,"경기도 오산시 성호대로 121, 월드타워 7층 702~704호 (오산동)",18133.0,리본짐,2026-02-26 19:48:30,I,2026-02-28 00:20:02,,206578.368693369,405251.511184751,체력단련장업,사립,,2,0,0.0,0,0.0,0.0,0,,,,리본짐_경기도오산시오산동925-5월드타워
815,체력단련장업,10_42_01_P,3860000,CDFH3301062026000003,2026-02-26,,1,영업/정상,13,영업중,,,,,,,,경기도 부천시 오정구 고강동 385,"경기도 부천시 오정구 역곡로482번길 62, 지하1층 (고강동)",14408.0,스마일휘트니스,2026-02-26 09:57:01,I,2026-02-28 00:20:02,,183941.166055351,447149.60628784,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,스마일휘트니스_경기도부천시오정구고강동385
817,체력단련장업,10_42_01_P,3230000,CDFH3301062026000006,2026-02-26,,1,영업/정상,13,영업중,,,,,,61.81,,서울특별시 송파구 잠실동 19-9 잠실파인애플상가,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 4층 11호 (잠실동)",5501.0,바디튜터,2026-02-26 17:30:07,I,2026-02-28 00:20:02,,207373.50021477,445545.656024061,체력단련장업,사립,Y,1,1,30645.75,0,0.0,0.0,0,,,,바디튜터_서울특별시송파구잠실동19-9잠실파인애플상가
795,체력단련장업,10_42_01_P,4641000,CDFH3301062026000008,2026-02-25,,1,영업/정상,13,영업중,,,,,,227.54,,전북특별자치도 전주시 덕진구 송천동1가 802-2,"전북특별자치도 전주시 덕진구 두간로 7, 2층 (송천동1가)",54830.0,더 다짐,2026-02-25 14:19:27,I,2026-02-27 00:20:02,,210339.304852338,262823.309732143,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,더다짐_전북특별자치도전주시덕진구송천동1가802-2
796,체력단련장업,10_42_01_P,5670000,CDFH3301062026000002,2026-02-25,,1,영업/정상,13,영업중,,,,,055-271-3900,495.52,,경상남도 창원시 마산합포구 진동면 진동리 748-1 1층,"경상남도 창원시 마산합포구 진동면 진북산업로 78, 1층",51793.0,한일사우나헬스,2026-02-25 14:33:00,I,2026-02-27 00:20:02,,335579.366613193,181491.19508664,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,한일사우나헬스_경상남도창원시마산합포구진동면진동리748-11층
798,체력단련장업,10_42_01_P,3220000,CDFH3301062026000007,2026-02-25,,1,영업/정상,13,영업중,,,,,,31.07,,서울특별시 강남구 대치동 945-20 대치3차아이파크 오피스텔,"서울특별시 강남구 영동대로85길 20, 대치3차아이파크 오피스텔 지하1층 (대치동)",6181.0,플랜비(Plan B) 골프 아카데미,2026-02-25 09:31:04,I,2026-02-27 00:20:02,,205396.486468555,444983.028567001,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,플랜비(PlanB)골프아카데미_서울특별시강남구대치동945-20대치3차아이파크오피스텔
799,체력단련장업,10_42_01_P,3220000,CDFH3301062026000008,2026-02-25,,1,영업/정상,13,영업중,,,,,,242.42,,서울특별시 강남구 대치동 651 여천빌딩,"서울특별시 강남구 남부순환로 2909, 여천빌딩 제지하1층 제비101호 (대치동)",6280.0,주식회사 7세븐스튜디오도곡역,2026-02-25 09:47:04,I,2026-02-27 00:20:02,,205004.779724314,443335.51820183,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,주식회사7세븐스튜디오도곡역_서울특별시강남구대치동651여천빌딩
800,체력단련장업,10_42_01_P,5710000,CDFH3301062026000005,2026-02-25,,1,영업/정상,13,영업중,,,,,,,,충청북도 청주시 청원구 율량동 2026,"충청북도 청주시 청원구 율량로190번길 53, 비 4층 402, 403호 (율량동)",28320.0,팀코코피엠제이,2026-02-25 17:46:35,I,2026-02-27 00:20:02,,244257.058775899,351725.614063029,체력단련장업,사립,,2,0,0.0,0,0.0,0.0,0,,,,팀코코피엠제이_충청북도청주시청원구율량동2026
797,체력단련장업,10_42_01_P,5670000,CDFH3301062026000003,2026-02-25,,1,영업/정상,13,영업중,,,,,055-221-8282,,,"경상남도 창원시 마산합포구 현동 370 , 4층","경상남도 창원시 마산합포구 현동4길 5, 4층 (현동)",51778.0,폼짐 현동점,2026-02-25 15:45:34,I,2026-02-27 00:20:02,,341460.980772406,184631.39495958,체력단련장업,사립,,2,0,0.0,0,0.0,0.0,0,,,,"폼짐현동점_경상남도창원시마산합포구현동370,4층"
818,체력단련장업,10_42_01_P,4070000,CDFH3301062026000001,2026-02-25,,1,영업/정상,13,영업중,,,,,,1706.0,,경기도 이천시 마장면 해월리 33,"경기도 이천시 마장면 청강가창로 389-94, 에듀플렉스 지하1층",17390.0,청강문화산업대학교 피트니스센터,2026-02-26 14:12:11,I,2026-02-28 00:20:02,,231427.421034987,411494.842016241,체력단련장업,사립,,2,1,0.0,0,0.0,0.0,0,,,,청강문화산업대학교피트니스센터_경기도이천시마장면해월리33
760,체력단련장업,10_42_01_P,3620000,CDFH3301062026000005,2026-02-24,,1,영업/정상,13,영업중,,,,,,418.36,,광주광역시 북구 신용동 730 (주)어울림,광주광역시 북구 첨단연신로91번길 14 (주)어울림 6층 (신용동),61087.0,바이브피트니스,2026-02-24 17:22:13,I,2026-02-26 00:20:08,,187440.95,189712.4,체력단련장업,사립,,2,0,0.0,0,0.0,0.0,0,,,,바이브피트니스_광주광역시북구신용동730(주)어울림
758,체력단련장업,10_42_01_P,3240000,CDFH3301062026000005,2026-02-24,,1,영업/정상,13,영업중,,,,,,114.95,,서울특별시 강동구 길동 252-100 광암빌딩,"서울특별시 강동구 명일로 197, 광암빌딩 지층 (길동)",5350.0,프리원핏 길동점,2026-02-24 16:11:40,I,2026-02-26 00:20:08,,212788.310393194,448256.090550017,체력단련장업,사립,,0,0,643.97,0,0.0,0.0,0,,,,프리원핏길동점_서울특별시강동구길동252-100광암빌딩
