"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물병원","02_03_01_P","6510000","651000001020010003","2001-07-09","","03","폐업","0002","폐업","2026-02-27","","","","064-759-8275","60.18","","제주특별자치도 제주시 화북일동 1984-9","제주특별자치도 제주시 일주동로 185 (화북일동)","63292","송동물병원","2026-03-02 15:48:56","U","2026-03-04 02:40:00","","159537.787036341","2594.86541668747","동물병원","","000","0",
"2","동물병원","02_03_01_P","4950000","495000001020260001","2026-03-03","","01","영업/정상","0000","정상","","","","","","69.75","","전라남도 무안군 무안읍 성남리 319-1","전라남도 무안군 무안읍 하마로 16","58529","뿌리동물병원","2026-03-03 18:02:09","I","2026-03-05 00:20:02","","151759.860766815","165198.002157405","동물병원","","000","0",
"3","동물병원","02_03_01_P","3910000","391000001020230004","2023-08-30","","01","영업/정상","0000","정상","","","","","","0","","경기도 평택시 청북읍 어연리 732-30","경기도 평택시 청북읍 청원로 386, B동 104호","17793","세림동물병원(출장진료 전문)","2026-03-03 12:58:29","U","2026-03-05 02:40:00","","197515.337464998","394008.966228586","동물병원","","000","0",
"4","동물병원","02_03_01_P","5680000","568000001020190001","2019-04-09","","01","영업/정상","0000","정상","","","","","","16.67","","충청남도 당진시 우강면 창리 246-5","충청남도 당진시 우강면 면천로 1783, 1층 3호","31754","당찬우리동물병원","2026-03-03 17:18:42","U","2026-03-05 02:40:00","","180494.276893131","367854.992512576","동물병원","","000","0",
"5","동물병원","02_03_01_P","5230000","523000001020030012","1996-09-05","","01","영업/정상","0000","정상","","","","","054-652-8515","109.2","","경상북도 예천군 예천읍 청복리 842","경상북도 예천군 예천읍 구남골길 9","36829","예천축산농협 동물병원","2026-03-03 17:19:32","U","2026-03-05 02:40:00","","330769.775907284","350498.820577638","동물병원","","L00","0",
"6","동물병원","02_03_01_P","5530000","574000001020150002","2015-03-16","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 만세구 양감면 신왕리 800-25","경기도 화성시 만세구 양감면 은행나무로 224, 1층","18633","아시아동물병원","2026-03-03 14:02:23","U","2026-03-05 02:40:00","","194786.630752562","397497.060861561","동물병원","","000","0",
"7","동물병원","02_03_01_P","5080000","508000001020210002","2021-04-29","","01","영업/정상","0000","정상","","","","","054-443-7582","0","","경상북도 구미시 도량동 269-1","경상북도 구미시 야은로 387 (도량동)","39196","구미TOP동물의료센터","2026-03-03 09:25:05","U","2026-03-05 02:40:00","","319230.856707711","293835.441320114","동물병원","","000","0",
"8","동물병원","02_03_01_P","4910000","491000001020250001","2025-06-26","","03","폐업","0002","폐업","2026-03-03","","","","","63.79","","전라남도 장흥군 장흥읍 건산리 720-162","전라남도 장흥군 장흥읍 건산로 52, 2층 202호","59324","세움동물병원(출장진료전문병원)","2026-03-03 17:32:05","U","2026-03-05 02:40:00","","191462.744850576","131409.932170663","동물병원","","000","0",
"9","동물병원","02_03_01_P","4450000","445000001020130003","2013-11-11","","01","영업/정상","0000","정상","","","","","","64","","충청북도 진천군 진천읍 성석리 644-6","충청북도 진천군 진천읍 원덕로 375, 1층 3,4호","27849","그린벨 이콰인 동물병원","2026-03-03 15:44:02","U","2026-03-05 02:40:00","","240020.863466769","373252.364744542","동물병원","","000","0",
"10","동물병원","02_03_01_P","3830000","383000001020170003","2017-08-03","","01","영업/정상","0000","정상","","","","","031-465-7582","721.23","","경기도 안양시 동안구 비산동 1052-3 1,2층","경기도 안양시 동안구 관악대로 267, 1,2층 (비산동)","13941","24시비타민동물메디컬센터","2026-03-04 10:43:28","U","2026-03-06 02:40:00","","195733.881296931","433399.943545934","동물병원","","000","0",
"11","동물병원","02_03_01_P","5090000","509000001020150002","2015-10-14","","01","영업/정상","0000","정상","","","","","054-637-9120","180","","","경상북도 영주시 순흥면 소백로2481번길 33","36015","국립공원야생생물보전원 중부보전센터","2026-03-04 16:50:58","U","2026-03-06 02:40:00","","338638.867729232","380295.704083057","동물병원","","L00","0",
"12","동물병원","02_03_01_P","5470000","547000001020230002","2023-05-10","","01","영업/정상","0000","정상","","","","","","77","","경상남도 거창군 거창읍 대평리 444-2","경상남도 거창군 거창읍 강남로 258","50146","아림동물병원","2026-03-04 13:57:10","U","2026-03-06 02:40:00","","283639.955932332","243454.787704859","동물병원","","000","0",
"13","동물병원","02_03_01_P","3430000","343000001020210002","2021-06-02","","01","영업/정상","0000","정상","","","","","0535727585","643.1","","대구광역시 서구 내당동 469-1","대구광역시 서구 서대구로 15 (내당동)","41857","24시알파동물메디컬센터","2026-03-04 11:23:09","U","2026-03-06 02:40:00","","340544.483095547","263237.546757423","동물병원","","000","0",
