"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","사료제조업","02_04_05_P","6270000","627000050220250009","2025-05-29","","01","영업/정상","0000","정상","","","","","","","","대구광역시 달서구 파호동  93번지 11호","대구광역시 달서구 성서공단북로 45, 1층 (파호동)","","에너라인","2026-03-02 09:52:17","U","2026-03-04 02:40:00","사료제조업(수입)","333408.567124239","261494.981132245","사료제조업","","0","000","0",
"2","사료제조업","02_04_05_P","6260000","626000050220260005","2026-03-03","","01","영업/정상","0000","정상","","","","","0515318276","","","부산광역시 동래구 안락동  167번지 12호","부산광역시 동래구 연안로58번길 7, 3층 (안락동)","47905","씨.에스에프(주)","2026-03-03 10:00:46","I","2026-03-05 00:20:02","사료제조업(수입)","392191.749029334","190130.280474715","사료제조업","","0","L00","0",
"3","사료제조업","02_04_05_P","6430000","643000050220260013","2026-03-03","","01","영업/정상","0000","정상","","","","","0438728875","","","충청북도 음성군 원남면 상당리 718번지 0호","충청북도 음성군 원남면 원남산단1길 80","27721","(주)에코리아","2026-03-03 20:11:11","I","2026-03-05 00:20:02","사료제조업(보조)","259942.115630717","376782.451834866","사료제조업","","0","000","0",
"4","사료제조업","02_04_05_P","6530000","642000050220160024","2016-12-09","","01","영업/정상","0000","정상","","","","","0336803931","0","","강원특별자치도 고성군 간성읍 신안리 390번지","강원특별자치도 고성군 간성읍 간성북로 87","","고성군농업기술센터","2026-03-03 13:31:11","U","2026-03-05 02:40:00","사료제조업(보조)","328727.311861388","543542.437333788","사료제조업","","0","000","0",
"5","사료제조업","02_04_05_P","6530000","642000050220040001","2004-07-21","","01","영업/정상","0000","정상","","","","","0337308910","0","","강원특별자치도 원주시 우산동  400번지 3호","강원특별자치도 원주시 우산로 208 (우산동)","","(주)농협사료 원주배합사료공장","2026-03-03 13:29:39","U","2026-03-05 02:40:00","사료제조업(배합)","283146.306863365","431065.856749094","사료제조업","","0","000","0",
"6","사료제조업","02_04_05_P","3740000","374000003420220004","2022-03-16","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","경기도 수원시 팔달구 인계동 1170 인계한양수자인 3동 38호","경기도 수원시 팔달구 중부대로 80, 3동 38호 (인계동, 인계한양수자인)","16471","오구랜드","2026-03-03 17:56:03","U","2026-03-05 02:40:00","단미","202186.261920848","419332.96613575","사료제조업","단미","0","000","0",
"7","사료제조업","02_04_05_P","3740000","374000003420240012","2024-05-27","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","경기도 수원시 장안구 천천동 366-8","경기도 수원시 장안구 일월로66번길 19, 2층 (천천동)","16421","펫테이블","2026-03-03 17:56:22","U","2026-03-05 02:40:00","단미","198021.774444647","420788.723265855","사료제조업","단미","0","000","0",
"8","사료제조업","02_04_05_P","3740000","374000003420190002","2019-05-24","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","경기도 수원시 장안구 송죽동 277-3","경기도 수원시 장안구 만석로159번길 32, 1층 (송죽동)","16301","견생맛집 야미야미","2026-03-03 17:55:47","U","2026-03-05 02:40:00","단미","199693.406611646","422340.976499759","사료제조업","단미","0","000","0",
"9","사료제조업","02_04_05_P","6270000","627000050220210015","2021-04-07","","03","폐업","0002","폐업","2026-03-03","","","","","0","","대구광역시 달성군 유가읍 봉리 613번지 0호 104호","대구광역시 달성군 유가읍 테크노공원로 51, 104호","","마이리틀차차(my little chacha)","2026-03-03 15:42:47","U","2026-03-05 02:40:00","사료제조업(단미)","331838.761722146","244537.750024761","사료제조업","","0","000","0",
"10","사료제조업","02_04_05_P","6300000","630000050220260003","2026-03-04","","01","영업/정상","0000","정상","","","","","","","","대전광역시 유성구 용산동  533번지 1호 미건테크노월드 C동 421호","대전광역시 유성구 테크노2로 187, 미건테크노월드 C동 421호 (용산동)","34025","(주)에이씨씨바이오","2026-03-04 14:02:43","I","2026-03-06 00:20:02","사료제조업(수입)","236354.204034123","324857.758709961","사료제조업","","0","000","0",
