"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명","기타내역2",
"1","인터넷컴퓨터게임시설제공업","03_05_05_P","5440000","CDFF2241022026000001","2026-03-01","","01","영업/정상","13","영업중","","","","","","","","경상남도 하동군 진교면 진교리 302-34","경상남도 하동군 진교면 민다리길 54","52344","진교PC방","2026-03-01 13:17:52","I","2026-03-04 00:20:37","","282409.625016155","170118.129414474","인터넷컴퓨터게임시설제공업","유통관련업","0","기타","","49.38","1","0","근린생활시설","0","0","0","0","","","","","","","","","","","","8","","청소년이용불가","","","","일반상업지역","",
"2","인터넷컴퓨터게임시설제공업","03_05_05_P","3390000","CDFF2241022007000012","2007-10-29","","03","폐업","03","폐업","2011-12-30","","","","326-2357","","","부산광역시 사상구 주례동 166-152 (지하1층)","부산광역시 사상구 주례로 60-1 (주례동)","47008","동서신기 PC방","2026-03-02 15:02:31","U","2026-03-04 02:40:00","","383087.888262452","184921.391123026","인터넷컴퓨터게임시설제공업","유통관련업","6","기타","","147.12","5","1","근린생활시설","0","0","0","0","","","","","","","","","","","","44","","","","","","일반주거지역","",
"3","인터넷컴퓨터게임시설제공업","03_05_05_P","5540000","CDFF2241022024000018","2024-08-06","","01","영업/정상","13","영업중","","","","","","","","경기도 광주시 곤지암읍 곤지암리 200-6","경기도 광주시 곤지암읍 경충대로 497-2, 썬타운 102호","12812","맥스PC","2026-03-01 09:42:34","U","2026-03-04 02:40:00","","230994.207481776","426985.979062839","인터넷컴퓨터게임시설제공업","유통관련업","0","","","30.06","1","0","","0","0","0","0","","","","","","","","","","","","7","","","","","","","성인PC방",
"4","인터넷컴퓨터게임시설제공업","03_05_05_P","5080000","CDFF2241022026000011","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 봉곡동 406-11","경상북도 구미시 봉곡남로16길 11-6, 1층 (봉곡동)","39210","황금PC","2026-03-03 16:26:37","I","2026-03-05 00:20:02","","318138.441832324","295032.675441427","인터넷컴퓨터게임시설제공업","유통관련업","0","","","35.79","0","0","","0","0","0","0","","","","","","","","","","","","5","","","","","","","",
"5","인터넷컴퓨터게임시설제공업","03_05_05_P","5080000","CDFF2241022026000012","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 사곡동 603-179","경상북도 구미시 상사서로 223, 1층 (사곡동)","39325","여왕PC","2026-03-03 17:03:59","I","2026-03-05 00:20:02","","322136.607330736","289872.58688464","인터넷컴퓨터게임시설제공업","유통관련업","0","","","73.11","0","0","","0","0","0","0","","","","","","","","","","","","5","","","","","","","",
"6","인터넷컴퓨터게임시설제공업","03_05_05_P","4191000","CDFF2241022026000007","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 개운동 445-17","강원특별자치도 원주시 송림길 34-21, 1층 (개운동)","26448","대운PC","2026-03-03 13:46:00","I","2026-03-05 00:20:02","","284234.056316678","425944.988127457","인터넷컴퓨터게임시설제공업","유통관련업","0","","","39.26","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","","",
"7","인터넷컴퓨터게임시설제공업","03_05_05_P","5710000","CDFF2241022026000013","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 흥덕구 비하동 312-1 청주공인중개사","충청북도 청주시 흥덕구 2순환로1050번길 8-2, 청주공인중개사 103호 (비하동)","28361","ONE PC","2026-03-03 08:40:01","I","2026-03-05 00:20:02","","237660.478734853","348980.918035744","인터넷컴퓨터게임시설제공업","유통관련업","0","","","38","0","0","","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","","",
"8","인터넷컴퓨터게임시설제공업","03_05_05_P","5710000","CDFF2241022026000014","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 서원구 성화동 450 새마을금고","충청북도 청주시 서원구 신화로 42, 112호 (성화동)","28637","위너PC","2026-03-03 14:44:36","I","2026-03-05 00:20:02","","240672.64877119","346473.014830135","인터넷컴퓨터게임시설제공업","유통관련업","0","","","48","1","0","근린생활시설","0","0","0","0","","","","","","","","","","","","5","","전체이용가","","","","","",
"9","인터넷컴퓨터게임시설제공업","03_05_05_P","4000000","CDFF2241022026000003","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경기도 오산시 오산동 924-2 운암프라자2차","경기도 오산시 운천로 80-11, 운암프라자2차 103호 (오산동)","18133","마담PC","2026-03-03 17:49:27","I","2026-03-05 00:20:02","","206605.915744846","405289.520619132","인터넷컴퓨터게임시설제공업","유통관련업","0","","","25.9","0","0","","0","0","0","0","","","","","","","","","","","","7","","청소년이용불가","","","","","",
"10","인터넷컴퓨터게임시설제공업","03_05_05_P","5530000","CDFF2241022026000023","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 효행구 정남면 용수리 77-1 101호","","","승부PC","2026-03-03 13:38:54","I","2026-03-05 00:20:02","","200013.829277787","407276.663749759","인터넷컴퓨터게임시설제공업","유통관련업","0","","포커 등","27.5","0","0","근린생활시설","0","0","0","0","","","","","","","","","","","","7","","청소년이용불가","","","","","",
