"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","테마파크업(기타)","03_07_08_P","3040000","CDFI5272002024000007","2024-10-23","","01","영업/정상","13","영업중","","","","","02-6424-1235","","","서울특별시 광진구 자양동 2-2 건대입구역자이엘라","서울특별시 광진구 능동로 87, 건대입구역자이엘라 3층 302호 (자양동)","05073","서울형 키즈카페 자양4동 1호점","2026-03-03 15:27:14","U","2026-03-05 02:40:00","","206088.987159287","448543.338110957","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","428.5","","0","","","","","","","0","","","","429",
"2","테마파크업(기타)","03_07_08_P","3040000","CDFI5272002024000001","2024-02-14","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 중곡동 30-80 보건복지행정타운","서울특별시 광진구 능동로 400, 보건복지행정타운 별관동 3층 (중곡동)","04933","서울형 키즈카페(중곡3동점)","2026-03-03 15:27:43","U","2026-03-05 02:40:00","","207403.621286448","451409.474221102","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","442.8","","1","","","","","","","0","","","","443",
"3","테마파크업(기타)","03_07_08_P","6520000","CDFI5272002020000004","2020-08-04","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 서귀포시 안덕면 상창리 2065-4 세계자동차 제주박물관","제주특별자치도 서귀포시 안덕면 중산간서로 1610, 세계자동차 제주박물관","63526","세계자동차＆피아노박물관","2026-03-03 09:47:43","U","2026-03-05 02:40:00","","139365.333603058","-23458.5516051867","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","테마파크업(기타)","03_07_08_P","4030000","CDFI5272002021000001","2019-05-03","","01","영업/정상","13","영업중","","","","","031-329-0697","","","경기도 의왕시 학의동 1039 롯데프리미엄아울렛 타임빌라스","경기도 의왕시 바라산로 1, 롯데프리미엄아울렛 타임빌라스 2층 (학의동)","16016","(주)바운스 의왕","2026-03-03 09:29:54","U","2026-03-05 02:40:00","","200775.6096513","430435.021970577","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","테마파크업(기타)","03_07_08_P","3740000","CDFI5272002026000001","2026-02-10","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 영통구 이의동 1336 힐스테이트광교중앙역  B1층 BC103,104,105호","경기도 수원시 영통구 도청로18번길 26, 힐스테이트광교중앙역 B1층 BC103,104,105호 (이의동)","16508","점핑몬스터 광교점","2026-03-03 14:25:06","U","2026-03-05 02:40:00","","204977.175329834","420627.234160383","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","903.58","","4","","","","","","","0","","","","904",
"6","테마파크업(기타)","03_07_08_P","3060000","CDFI5272002017000002","2017-09-27","","03","폐업","03","폐업","2026-03-03","","","","","","","서울특별시 중랑구 신내동 645 홈플러스 1층","서울특별시 중랑구 신내로 201, 1층 (신내동, 홈플러스서울신내점)","02024","맥스라이더 신내점","2026-03-03 20:49:33","U","2026-03-05 02:40:00","","208208.786684767","457054.793655589","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"7","테마파크업(기타)","03_07_08_P","5710000","CDFI5272002025000008","2025-12-30","","03","폐업","03","폐업","2026-02-21","","","","","","","충청북도 청주시 청원구 주중동 1122","충청북도 청주시 청원구 밀레니엄1로 18 (주중동)","28353","에스와이엔진콘텐츠(청주시 눈썰매장)","2026-03-04 13:55:02","U","2026-03-06 02:40:00","","242714.134159176","353460.135858311","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"8","테마파크업(기타)","03_07_08_P","3900000","CDFI5272002025000001","2025-11-18","","01","영업/정상","13","영업중","","","","","","","","경기도 광명시 일직동 513 광명역 써밋플레이스","경기도 광명시 양지로 16, 제판매시설동 지하2층 제비2-85,86,88,89호 (일직동, 광명역 써밋플레이스)","14346","브레드이발소키즈카페 광명점","2026-03-04 16:17:30","U","2026-03-06 02:40:00","","189353.72220814","434931.453645216","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","2","","","","","","","0","","","","0",
"9","테마파크업(기타)","03_07_08_P","3820000","CDFI5272002026000002","2026-02-04","","01","영업/정상","13","영업중","","","","","02-333-8334","","","경기도 의정부시 의정부동 196-1","경기도 의정부시 호국로1298번길 72 (의정부동)","11695","짱오락실 의정부점","2026-03-04 13:37:42","U","2026-03-06 02:40:00","","204184.590014759","470871.13951162","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"10","테마파크업(기타)","03_07_08_P","5710000","CDFI5272002025000005","2025-07-22","","03","폐업","03","폐업","2025-08-25","","","","","","","충청북도 청주시 상당구 남일면 효촌리 297","충청북도 청주시 상당구 남일면 단재로 480-2, 유기농복합단지 물놀이장","28806","주식회사 지에이치(2025 유기농복합단지 물놀이장)","2026-03-04 13:49:40","U","2026-03-06 02:40:00","","245021.25696547","343213.255220255","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","2","","","","","","","0","","","","0",
