"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","노래연습장업","03_09_01_P","3530000","CDFF3242052026000001","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","인천광역시 남동구 만수동 39 만수프라자","인천광역시 남동구 백범로 132, 만수프라자 지층 102호 (만수동)","21525","RG 코인노래연습장","2026-03-03 17:32:01","I","2026-03-05 00:20:02","","176285.866268177","439312.667832693","노래연습장업","유통관련업","0","기타","","185.76","0","0","근린생활시설","0","0","9","9","Y","Y","Y","Y","","Y","","","","","","0","","","","","","근린상업지역",
"2","노래연습장업","03_09_01_P","3000000","CDFF3242052026000001","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 관철동 18-1 종로우리빌딩","서울특별시 종로구 종로12길 10, 종로우리빌딩 3층 (관철동)","03189","핫플 노래연습장","2026-03-03 09:51:18","I","2026-03-05 00:20:02","","198661.205715306","451931.761151028","노래연습장업","유통관련업","0","","","99.34","0","0","","0","0","4","0","","","","Y","","","","","","","","0","","","","","","",
"3","노래연습장업","03_09_01_P","3590000","CDFF3242051994000004","1994-03-19","","03","폐업","03","폐업","2026-03-03","","","","062)226-3039","","","광주광역시 동구 대인동 27-27 (지하)","광주광역시 동구 독립로264번길 21 (대인동,(지하))","","반도","2026-03-03 16:29:38","U","2026-03-05 02:40:00","","192016.61113492","183827.969075262","노래연습장업","유통관련업","0","","","83.05","0","1","","0","0","6","0","N","N","N","","N","N","","","","","","0","","","","","","",
"4","노래연습장업","03_09_01_P","4201000","CDFF3242052002000035","2002-01-25","","03","폐업","03","폐업","2026-02-27","","","","","","","강원특별자치도 강릉시 포남동 1005-315","강원특별자치도 강릉시 경강로 2262, 지하 1층 (포남동)","25547","환상노래연습장","2026-03-03 09:03:47","U","2026-03-05 02:40:00","","368186.534602609","475351.440762478","노래연습장업","유통관련업","0","","","87.72","0","0","","0","0","1","0","N","N","N","","N","N","","","","","","0","","","","","","",
"5","노래연습장업","03_09_01_P","5670000","CDFF3242051999000055","1999-02-22","","03","폐업","03","폐업","2026-03-03","","","","281-5639","","","경상남도 창원시 의창구 봉곡동 35-7","경상남도 창원시 의창구 원이대로279번길 5 (봉곡동)","51176","쎄씨노래연습장","2026-03-03 09:56:21","U","2026-03-05 02:40:00","","350191.337277798","195021.215740575","노래연습장업","유통관련업","0","기타","","148.5","0","0","근린생활시설","0","0","5","0","Y","Y","Y","Y","Y","Y","","","","","","0","","","","","","준주거지역",
"6","노래연습장업","03_09_01_P","3540000","CDFF3242052005000002","2005-01-10","","01","영업/정상","13","영업중","","","","","","","","인천광역시 부평구 청천동 399-3 (3층)","인천광역시 부평구 평천로 145, 3층 (청천동, 에프앤피 빌딩)","21310","뮤즈 노래연습장","2026-03-03 14:00:14","U","2026-03-05 02:40:00","","174102.060736136","446402.686530171","노래연습장업","유통관련업","5","주택가주변","","167","4","1","근린생활시설","0","0","7","1","N","N","N","Y","N","N","","","","","","0","","","","","","일반주거지역",
"7","노래연습장업","03_09_01_P","3670000","CDFF3242052019000007","2019-11-08","","01","영업/정상","13","영업중","","","","","","","","대전광역시 유성구 봉명동 633-1 GT타워 209호","대전광역시 유성구 온천북로33번길 21-21, GT타워 209호 (봉명동)","34185","콜 노래연습장","2026-03-03 18:01:20","U","2026-03-05 02:40:00","","230954.279117371","317481.112401602","노래연습장업","유통관련업","0","","","98.8","0","0","","0","0","4","0","","","","","","","","","","","","0","","","","","","",
"8","노래연습장업","03_09_01_P","3660000","CDFF3242052014000003","2014-05-30","","01","영업/정상","13","영업중","","","","","","","","대전광역시 서구 괴정동 84-49 2층","대전광역시 서구 가장로 83, 2층 (괴정동)","35295","락 노래연습장","2026-03-03 21:11:24","U","2026-03-05 02:40:00","","234398.67809118","315037.266790508","노래연습장업","유통관련업","0","","","105.64","0","0","","0","0","4","0","","","","","","","","","","","","0","","","","","","",
"9","노래연습장업","03_09_01_P","3640000","CDFF3242051992000003","1992-09-08","","01","영업/정상","13","영업중","","","","","","","","대전광역시 동구 자양동 140-4 2층","대전광역시 동구 동대전로 134, 2층 (자양동)","34644","가보자Asia노래연습장","2026-03-03 11:06:22","U","2026-03-05 02:40:00","","239978.48871672","314894.989249428","노래연습장업","유통관련업","0","주택가주변","","99.45","2","0","문화시설","0","0","5","1","Y","Y","Y","Y","Y","Y","","","","","","0","","","","","","일반주거지역",
"10","노래연습장업","03_09_01_P","3740000","CDFF3242052001000016","2001-12-24","","01","영업/정상","13","영업중","","","","","251-3996","","","경기도 수원시 팔달구 화서동 206-8 2층","경기도 수원시 팔달구 화양로 34, 2층 (화서동)","16439","SONY 노래연습장","2026-03-03 11:27:42","U","2026-03-05 02:40:00","","199673.558088769","419913.907391126","노래연습장업","유통관련업","0","","","130.26","0","0","","1.3","52","6","2","Y","Y","Y","Y","Y","Y","","","","","","0","","","","","","",
