"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","비디오물제작업","03_10_05_P","3150000","CDFF1241072026000021","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 마곡동 ***-* 보타닉파크타워* ***-**호","서울특별시 강서구 공항대로 ***, 보타닉파크타워* ***-**호 (마곡동)","07802","픽(PIIQ)미디어","2026-03-03 13:12:36","I","2026-03-05 00:20:02","","185032.421148111","450836.071292455","비디오물제작업","","0","","방송프로그램 및 유튜브 영상제작 등","3.3","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","비디오물제작업","03_10_05_P","3210000","CDFF1241072026000022","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 반포동 ***-* 스테이칸(반포)","서울특별시 서초구 주흥**길 **, 스테이칸(반포) *층 일부 (반포동)","06534","껀수제작소","2026-03-03 10:31:15","I","2026-03-05 00:20:02","","201642.714381983","445245.903440257","비디오물제작업","","0","","부동산 촬영 홍보","90","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","비디오물제작업","03_10_05_P","3670000","CDFF1241072026000008","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","대전광역시 유성구 지족동 ***-* 양지빌딩","대전광역시 유성구 은구비남로**번길 **-*, 양지빌딩 *층 ****호 (지족동)","34086","모티브 스튜디오","2026-03-03 16:42:28","I","2026-03-05 00:20:02","","228544.008863506","319177.997217091","비디오물제작업","","0","","홍보동영상 및 광고영상","3.3","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","비디오물제작업","03_10_05_P","3120000","CDFF1241072026000006","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서대문구 홍제동 ***-* 서울맨숀아파트 ***호","서울특별시 서대문구 통일로**길 **, ***호 (홍제동, 서울맨숀아파트)","03645","원디자인스튜디오(One Design Studio)","2026-03-03 13:49:19","I","2026-03-05 00:20:02","","194953.728865563","453836.542773657","비디오물제작업","","0","","사진, 동영상","47.67","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","비디오물제작업","03_10_05_P","5360000","CDFF1241072026000001","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경상남도 밀양시 가곡동 ***-**","경상남도 밀양시 가곡중앙길 **, *층 (가곡동)","50444","이루다 스튜디오","2026-03-03 15:23:19","I","2026-03-05 00:20:02","","360054.712749753","221158.641063254","비디오물제작업","","0","","비디오물제작업","237.77","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","비디오물제작업","03_10_05_P","3020000","CDFF1241072026000010","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 용산구 한강로*가 **-** 삼구빌딩","서울특별시 용산구 청파로 **, 삼구빌딩 ****호 (한강로*가)","04373","주식회사 데이에듀","2026-03-03 10:21:54","I","2026-03-05 00:20:02","","196060.559012563","447732.807254308","비디오물제작업","","0","","콘텐츠영상","61","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","비디오물제작업","03_10_05_P","3080000","CDFF1241072026000005","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강북구 번동 ***-* 북한산스카이빌딩 알***호","서울특별시 강북구 도봉로 ***, 북한산스카이빌딩 *층 알***호 (번동)","01062","주식회사 구름코퍼레이션","2026-03-03 14:35:01","I","2026-03-05 00:20:02","","202032.757631932","459259.443978524","비디오물제작업","","0","","유튜브","7.87","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","비디오물제작업","03_10_05_P","5670000","CDFF1241072007000002","2007-11-16","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 성산구 성산동 **-* SK테크노파크 넥스존 ****호","경상남도 창원시 성산구 완암로 **  (성산동,SK테크노파크 넥스존 ****호)","51573","(주)디스","2026-03-03 16:18:37","U","2026-03-05 02:40:00","","351434.354649109","190869.641679339","비디오물제작업","","","","비디오물","","","","","","","","","","","","","","","","","","","","","","","","","","",
"9","비디오물제작업","03_10_05_P","3250000","CDFF1241072000000002","2000-11-06","","04","취소/말소/만료/정지/중지","35","직권말소","2026-03-03","","","","","","","부산광역시 중구 중앙동*가 ** 선박빌딩*층","","","(주)엠엘미디어","2026-03-03 16:05:46","U","2026-03-05 02:40:00","","","","비디오물제작업","","0","","비디오물","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","비디오물제작업","03_10_05_P","3250000","CDFF1241072004000001","2004-04-22","","04","취소/말소/만료/정지/중지","35","직권말소","2026-03-03","","","","","","","부산광역시 중구 중앙동*가 부산우체국 **층","부산광역시 중구 중앙대로 ** (중앙동*가)","48931","(주)피케이티","2026-03-03 16:06:09","U","2026-03-05 02:40:00","","385561.650139456","180152.738082365","비디오물제작업","","0","","비디오물","0","12","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"11","비디오물제작업","03_10_05_P","3250000","CDFF1241072008000001","2008-10-02","","04","취소/말소/만료/정지/중지","35","직권말소","2026-03-03","","","","","","","부산광역시 중구 대창동*가 **-* *층","부산광역시 중구 중앙대로 *** (대창동*가,*층)","","(주)월드시티 네트워크","2026-03-03 16:06:37","U","2026-03-05 02:40:00","","385671.145033222","180930.113505289","비디오물제작업","","0","","비디오물","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"12","비디오물제작업","03_10_05_P","3250000","CDFF1241072013000001","2013-03-26","","04","취소/말소/만료/정지/중지","35","직권말소","2026-03-03","","","","","","","부산광역시 중구 신창동*가 **-* *층","부산광역시 중구 중구로**번길 *-* (신창동*가)","48946","뉴끄레망","2026-03-03 16:02:25","U","2026-03-05 02:40:00","","384902.910578883","179998.834784417","비디오물제작업","","5","기타","비디오물 제작","89.26","4","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반상업지역",
"13","비디오물제작업","03_10_05_P","3220000","CDFF1241072022000002","2022-01-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 ***-** 양지빌딩","서울특별시 강남구 논현로 ***, 양지빌딩 *층 ***호 (논현동)","06122","(주)가리온컴퍼니","2026-03-03 10:27:41","U","2026-03-05 02:40:00","","202831.098947425","445188.95690191","비디오물제작업","","0","","영상 콘텐츠","115.7","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"14","비디오물제작업","03_10_05_P","3630000","CDFF1241072025000004","2025-12-18","","01","영업/정상","13","영업중","","","","","070-4141-7097","","","광주광역시 광산구 지죽동 ***-**","광주광역시 광산구 평동매화길 **-* (지죽동)","62409","주식회사 우리들이야기","2026-03-03 10:14:11","U","2026-03-05 02:40:00","","178307.538518222","182589.045658129","비디오물제작업","","0","","비디오물제작업","153","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"15","비디오물제작업","03_10_05_P","3110000","CDFF1241072023000007","2022-01-11","","01","영업/정상","13","영업중","","","","","","","","서울특별시 은평구 대조동 ***-**","서울특별시 은평구 연서로**길 *, ***호 (대조동)","03387","(주)메이크앤무브","2026-03-03 15:13:29","U","2026-03-05 02:40:00","","192738.984468352","456997.83587307","비디오물제작업","","0","","행사 및 전시영상물, 미디어 아트, 다큐멘터리","44.54","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"16","비디오물제작업","03_10_05_P","3550000","CDFF1241072017000001","2016-03-18","","03","폐업","03","폐업","2026-03-03","","","","","","","인천광역시 계양구 계산동 ****-*","인천광역시 계양구 계양문화로**번길 **, ***호 (계산동)","21068","도래커뮤니케이션","2026-03-03 17:07:05","U","2026-03-05 02:40:00","","176501.300785411","448262.1123587","비디오물제작업","","17","주택가주변","TV-CF, 홍보영상, 온라인 영상물제작","22.57","15","2","아파트","0","0","0","0","","","","","","","","","","","","0","","","","","","일반상업지역",
"17","비디오물제작업","03_10_05_P","4820000","CDFF1241072020000005","2020-06-30","","01","영업/정상","13","영업중","","","","","","","","전라남도 순천시 연향동 ****-* *층","전라남도 순천시 율산공원길 **, *층 (연향동)","58003","제이에스커뮤니케이션즈","2026-03-03 09:44:05","U","2026-03-05 02:40:00","","247886.474514115","160239.238797301","비디오물제작업","","0","기타","방송프로그램, 광고홍보 영상물 제작","41.85","1","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
