"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","외국인관광도시민박업","03_11_04_P","3180000","CDFI2262212026000013","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 당산동1가 256-99","서울특별시 영등포구 당산로16길 24-12, 702호 (당산동1가)","07266","스테이 나우","2026-03-03 10:21:24","I","2026-03-05 00:20:02","","190925.575024117","446642.003613395","외국인관광 도시민박업","","","7","","","","아파트","7","1","0","0","","","0","0","","0","0","","0","25.91","","0","","","","","","","20000000","","","","26",
"2","외국인관광도시민박업","03_11_04_P","3070000","CDFI2262212026000014","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성북구 동소문동7가 91","서울특별시 성북구 아리랑로5길 20, 3층 (동소문동7가)","02826","희스테이","2026-03-03 16:23:38","I","2026-03-05 00:20:02","","201187.189172556","454942.403130287","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","64.16","","0","","","","","","","0","","","","64",
"3","외국인관광도시민박업","03_11_04_P","3370000","CDFI2262212026000004","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","부산광역시 연제구 연산동 615-134","부산광역시 연제구 쌍미천로161번길 6, 2층 (연산동)","47551","스테이 이음","2026-03-03 13:29:35","I","2026-03-05 00:20:02","","390021.063673823","189542.483545734","외국인관광 도시민박업","","일반주거지역","0","","","","","2","0","0","0","","","0","0","","0","0","","0","71.82","","0","","","","","","","0","","","","72",
"4","외국인관광도시민박업","03_11_04_P","3110000","CDFI2262212026000017","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 은평구 갈현동 452-27","서울특별시 은평구 연서로29길 25-7, 2층 (갈현동)","03331","다올","2026-03-03 14:20:17","I","2026-03-05 00:20:02","","192641.413830605","457428.935726377","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","외국인관광도시민박업","03_11_04_P","3110000","CDFI2262212026000018","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 은평구 대조동 202-20","서울특별시 은평구 통일로77길 26-4, 지층 (대조동)","03386","하하스테이","2026-03-03 14:21:28","I","2026-03-05 00:20:02","","192906.887500478","457071.961637361","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","외국인관광도시민박업","03_11_04_P","3200000","CDFI2262212026000053","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 관악구 신림동 1432-118","서울특별시 관악구 신림로67길 23, 3층 301호 (신림동)","08760","신림 스테이","2026-03-03 14:07:43","I","2026-03-05 00:20:02","","193561.702075309","442628.694788358","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"7","외국인관광도시민박업","03_11_04_P","3130000","CDFI2262212026000115","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 334-27","서울특별시 마포구 와우산로29다길 10-3, 201호 (서교동)","04053","정원스테이 1","2026-03-03 19:20:35","I","2026-03-05 00:20:02","","193517.498916019","450312.037342571","외국인관광 도시민박업","","","0","","","4","다가구용 주택(공동주택적용)","0","0","1","0","STAY Garden1","URBAN HOMESTAY FOR FOREIGN TOURISTS","0","0","","0","0","","0","42","","0","","","","","","","0","","","","42",
"8","외국인관광도시민박업","03_11_04_P","3130000","CDFI2262212026000116","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 동교동 150-8","서울특별시 마포구 동교로30길 12, 2층 (동교동)","03985","이든하우스","2026-03-03 19:20:01","I","2026-03-05 00:20:02","","193280.835887706","450895.84738622","외국인관광 도시민박업","","","0","","","6","다가구용 주택(공동주택적용)","0","0","2","0","Eden House","URBAN HOMESTAY FOR FOREIGN TOURISTS","0","0","","0","0","","0","72.36","","0","","","","","","","0","","","","72",
"9","외국인관광도시민박업","03_11_04_P","3210000","CDFI2262212026000011","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 방배동 954-24","서울특별시 서초구 도구로 81, 지하1층 지하2호 (방배동)","06675","몰리앤코","2026-03-03 09:22:40","I","2026-03-05 00:20:02","","198731.919415024","442408.657609829","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"10","외국인관광도시민박업","03_11_04_P","3600000","CDFI2262212026000005","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","광주광역시 서구 내방동 842-30","광주광역시 서구 월드컵4강로 188, 2층 (내방동)","61976","스테이21","2026-03-03 13:50:46","I","2026-03-05 00:20:02","","188051.987522281","183758.797243738","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"11","외국인관광도시민박업","03_11_04_P","3130000","CDFI2262212026000117","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 334-27","서울특별시 마포구 와우산로29다길 10-3, 202호 (서교동)","04053","홍대 서교 스테이","2026-03-03 19:08:28","I","2026-03-05 00:20:02","","193517.498916019","450312.037342571","외국인관광 도시민박업","","","0","","","6","다가구용 주택(공동주택적용)","0","0","2","0","STAY SEOKYO","URBAN HOMESTAY FOR FOREIGN TOURISTS","0","0","","0","0","","0","52.95","","0","","","","","","","0","","","","53",
"12","외국인관광도시민박업","03_11_04_P","3170000","CDFI2262212026000002","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 시흥동 985-18","서울특별시 금천구 시흥대로 133-4, 203호 (시흥동)","08638","인헤일러스","2026-03-03 20:17:09","I","2026-03-05 00:20:02","","191346.902858268","438222.215044441","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"13","외국인관광도시민박업","03_11_04_P","3130000","CDFI2262212024000276","2024-09-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 335-17 서교동다세대주택","서울특별시 마포구 와우산로27길 18, 301호 (서교동, 서교동다세대주택)","04053","더퍼스트홍대스테이301","2026-03-03 19:15:36","U","2026-03-05 02:40:00","","193520.638814908","450218.20358213","외국인관광 도시민박업","","","0","","","2실(8명)","다세대주택","0","0","2","0","The first hongdae stay 301","URBAN HOMESTAY FOR FOREIGN TOURISTS","0","0","","0","0","","0","111.25","","0","","","","","","","0","","","","111",
"14","외국인관광도시민박업","03_11_04_P","3650000","CDFI2262212024000008","2024-05-23","","01","영업/정상","13","영업중","","","","","","","","대전광역시 중구 선화동 426-3","대전광역시 중구 선화서로23번길 32, 101호 (선화동)","34860","스테이선화","2026-03-03 09:22:06","U","2026-03-05 02:40:00","","237397.588061893","313985.396178135","외국인관광 도시민박업","","주거지역","0","","","","단독주택","0","0","1","0","","","0","0","","0","0","","0","135.64","","0","","","","","","","0","","","","136",
"15","외국인관광도시민박업","03_11_04_P","3380000","CDFI2262212025000163","2025-12-10","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 133-27","부산광역시 수영구 광안로49번길 87, 2층 (광안동)","48295","하우스 안단테","2026-03-03 09:47:05","U","2026-03-05 02:40:00","","393097.159103266","186441.659714267","외국인관광 도시민박업","","일반주거지역","0","","","","","2","0","1","0","","","0","0","","0","0","","0","40.99","","0","","","","","","","0","","","","41",
"16","외국인관광도시민박업","03_11_04_P","3130000","CDFI2262212026000110","2026-02-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 용강동 149-19","서울특별시 마포구 대흥로6길 18-7, 202호 (용강동)","04162","스테이 노을","2026-03-03 19:19:25","U","2026-03-05 02:40:00","","194558.12587981","448863.791120117","외국인관광 도시민박업","","","0","","","4","다가구용 주택(공동주택적용)","0","0","1","0","STAY NohEul","URBAN HOMESTAY FOR FOREIGN TOURISTS","0","0","","0","0","","0","52","","0","","","","","","","0","","","","52",
"17","외국인관광도시민박업","03_11_04_P","3130000","CDFI2262212026000111","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 신공덕동 139-116","서울특별시 마포구 임정로15길 8, 1~2층 (신공덕동)","04190","더모먼트 공덕","2026-03-03 19:17:23","U","2026-03-05 02:40:00","","196162.135961285","449042.939836983","외국인관광 도시민박업","","","0","","","4","단독주택","0","0","1","0","The Moment Gongdeok","URBAN HOMESTAY FOR FOREIGN TOURISTS","0","0","","0","0","","0","79.2","","0","","","","","","","0","","","","79",
"18","외국인관광도시민박업","03_11_04_P","3130000","CDFI2262212026000112","2026-02-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 동교동 181-1","서울특별시 마포구 신촌로8길 14, 202호 (동교동)","04056","지또스테이","2026-03-03 18:40:57","U","2026-03-05 02:40:00","","193795.178351887","450473.646526543","외국인관광 도시민박업","","","0","","","4","다세대주택","0","0","1","0","Jitto Stay","URBAN HOMESTAY FOR FOREIGN TOURISTS","0","0","","0","0","","0","29.73","","0","","","","","","","0","","","","30",
"19","외국인관광도시민박업","03_11_04_P","3130000","CDFI2262212026000113","2026-02-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 서교동 446-30","서울특별시 마포구 동교로17안길 42-8, 1층 (서교동)","04001","코지하우스 인 홍대","2026-03-03 19:12:12","U","2026-03-05 02:40:00","","192734.776946999","450416.415460632","외국인관광 도시민박업","","","0","","","8","다가구용 주택(공동주택적용)","0","0","2","0","Cozy house in hongdae","URBAN HOMESTAY FOR FOREIGN TOURISTS","0","0","","0","0","","0","93.22","","0","","","","","","","0","","","","93",
"20","외국인관광도시민박업","03_11_04_P","3130000","CDFI2262212026000114","2026-02-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 상수동 94-10","서울특별시 마포구 독막로19길 8-7, 201호 (상수동)","04067","상수 아뜰리에","2026-03-03 18:43:15","U","2026-03-05 02:40:00","","193329.918000548","449574.813163883","외국인관광 도시민박업","","","0","","","4","단독주택","0","0","1","0","Sangsu Atelier","URBAN HOMESTAY FOR FOREIGN TOURISTS","0","0","","0","0","","0","59.65","","0","","","","","","","0","","","","60",
