"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","국내여행업","03_12_01_P","3780000","CDFI2260012024000001","2024-01-12","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 분당구 구미동 25-1 엘레강스프라자","경기도 성남시 분당구 돌마로 86, 엘레강스프라자 802호 (구미동)","13627","우리","2026-03-01 15:41:36","U","2026-03-04 02:40:00","","209790.643476024","427524.548213768","국내여행업","","","0","","","서울보증보험(주)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20260115","20270114","","0","",
"2","국내여행업","03_12_01_P","3780000","CDFI2260012023000002","2004-02-12","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 수정구 시흥동 340 A동 901호","경기도 성남시 수정구 창업로 43, A동 901호 (시흥동)","13449","(주)명소아이엠씨","2026-03-01 15:34:54","U","2026-03-04 02:40:00","","","","국내여행업","관광사업","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20251210","20261210","","0","",
"3","국내여행업","03_12_01_P","5400000","CDFI2260012026000001","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경상남도 함안군 함안면 북촌리 913-3","경상남도 함안군 함안면 북촌3길 101","52051","아라가야여행","2026-03-03 17:18:31","I","2026-03-05 00:20:02","","329574.771586765","194626.603010375","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","10000000","","","","0","",
"4","국내여행업","03_12_01_P","4490000","CDFI2260012006000003","1995-09-19","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 직산읍 양당리 133","충청남도 천안시 서북구 직산읍 부송로 206","31029","(합)산들여행사","2026-03-03 08:07:50","U","2026-03-05 02:40:00","","210060.363546881","375599.179166322","국내여행업","관광사업","주거지역","2","주택가주변","","관광공제회","기타","2","0","0","0","","","0","0","","0","0","","0","332.94","","0","","","","","","","150000000","20260131","20270131","","333","",
"5","국내여행업","03_12_01_P","3290000","CDFI2260012019000003","2019-02-14","","01","영업/정상","13","영업중","","","","","051-852-3009","","","부산광역시 부산진구 전포동 631-15 서면동원오피스텔","부산광역시 부산진구 동성로 137, 서면동원오피스텔 1005호 (전포동)","47243","센텀여행사","2026-03-03 13:56:32","U","2026-03-05 02:40:00","","387986.435139283","186565.130567942","국내여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250512","20260512","","0","",
"6","국내여행업","03_12_01_P","5690000","CDFI2260012019000001","2019-04-03","","03","폐업","03","폐업","2026-03-03","","","","044-865-0590","","","세종특별자치시 소담동 572 아이콤스타시티타워 1동 305호","세종특별자치시 소담로 93, 아이콤스타시티타워 1동 3층 305호 (소담동)","30150","주식회사 월드여행사","2026-03-03 17:37:18","U","2026-03-05 02:40:00","","226939.32750729","331677.529919566","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","8.74","","0","","","","","","","15000000","","","","9","",
"7","국내여행업","03_12_01_P","6510000","CDFI2260012004000017","2004-03-12","","01","영업/정상","13","영업중","","","","","064-748-6454","","","제주특별자치도 제주시 연동 446","제주특별자치도 제주시 연북로 161, 2층 (연동)","63135","(유)글로벌여행사","2026-03-03 19:20:08","U","2026-03-05 02:40:00","","153337.121345411","-1485.49410877585","국내여행업","관광사업","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","49","","0","","","","","","","50000000","20260312","20270311","","49","",
"8","국내여행업","03_12_01_P","4201000","CDFI2260012013000004","2013-10-24","","03","폐업","03","폐업","2026-02-27","","","","033-643-4334","","210-924","강원특별자치도 강릉시 교동 949-20","강원특별자치도 강릉시 강릉대로 103-3 (교동)","25506","(합)명품항공여행","2026-03-03 10:13:18","U","2026-03-05 02:40:00","","365812.174562067","474197.62592804","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","","","","0","",
"9","국내여행업","03_12_01_P","3620000","CDFI2260012000000003","2000-03-17","","01","영업/정상","13","영업중","","","","","062-251-9001","","500-846","광주광역시 북구 용봉동 1390-1","광주광역시 북구 설죽로 207 (용봉동)","61110","(유)로얄관광","2026-03-03 14:20:59","U","2026-03-05 02:40:00","","190562.050580585","186559.18628426","국내여행업","관광사업","일반주거지역","3","","","SGI서울보증보험","사무실","3","0","0","0","","","0","0","","0","0","","0","114.4","","0","","","","","","","0","20260317","20270316","","114","",
"10","국내여행업","03_12_01_P","5530000","CDFI2260012026000001","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 만세구 향남읍 하길리 1467","경기도 화성시 만세구 향남읍 상신하길로328번길 26, 5층 505-9호","18606","오르다홀딩스","2026-03-04 09:06:19","I","2026-03-06 00:20:02","","192241.098077486","401622.319466536","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","15495600","","","","0","6511002955",
"11","국내여행업","03_12_01_P","5530000","CDFI2260012026000002","2024-09-26","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 동탄구 영천동 831-2","경기도 화성시 동탄구 동탄첨단산업1로 18, 706호 (영천동)","18469","주식회사 그라운드","2026-03-04 16:23:23","I","2026-03-06 00:20:02","","","","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","20000000","","","","0","",
"12","국내여행업","03_12_01_P","3650000","CDFI2260012026000001","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","대전광역시 중구 은행동 9-13","대전광역시 중구 목척8길 11, 202호 (은행동)","34832","(주)아리랑동동","2026-03-04 12:45:13","I","2026-03-06 00:20:02","","238334.153709722","314408.142469664","국내여행업","","일반상업지역","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","33.05","","0","","","","","","","7500000","","","","33","",
"13","국내여행업","03_12_01_P","6510000","CDFI2260012018000067","2018-11-13","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 오등동 591-5 1층","제주특별자치도 제주시 아연로 471, 1층 (오등동)","63240","두근두근제주투어","2026-03-04 18:46:40","U","2026-03-06 02:40:00","","156301.600907029","-2246.38645270457","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20251205","20261205","","0","",
