"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조기수","다중이용업소여부",
"1","세탁업","06_20_01_P","4490000","5650000-205-2026-00001","2026-03-03","","01","영업/정상","01","영업","","","","","","44.00","330-260","충청남도 천안시 동남구 신방동 1893 근린생활시설동 1층 105,106호","충청남도 천안시 동남구 통정9로 75, 근린생활시설동 1층 105,106호 (신방동, 신방한라비발디아파트)","31207","한라세탁소","2026-03-03 13:39:05","I","2026-03-05 00:20:02","일반세탁업","211864.618776428","363306.660143643","일반세탁업","0","0","1","1","0","0","","","","","0","0","0","0","N",
"2","세탁업","06_20_01_P","3110000","3110000-205-1987-02060","1987-05-12","","03","폐업","02","폐업","2026-03-03","","","","02 3044260","18.22","122-888","서울특별시 은평구 신사동 229-21","서울특별시 은평구 가좌로11길 3 (신사동)","03440","온양사","2026-03-03 10:51:19","U","2026-03-05 02:40:00","일반세탁업","191797.121096207","454918.24209296","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","0","N",
"3","세탁업","06_20_01_P","4040000","4040000-205-1993-00003","1993-06-15","","03","폐업","02","폐업","2026-03-03","","","","031 7910873","0.00","465-820","경기도 하남시 신장동 427-68","경기도 하남시 하남대로801번길 40 (신장동)","12957","미조사","2026-03-03 14:26:10","U","2026-03-05 02:40:00","일반세탁업","218242.321179114","448572.814045604","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"4","세탁업","06_20_01_P","4010000","4010000-205-2024-00003","2024-10-29","","01","영업/정상","01","영업","","","","","","119.70","429-450","경기도 시흥시 정왕동 2164-8","경기도 시흥시 산기대학로 29, 117-118호 (정왕동)","15080","빛나워시","2026-03-03 15:35:45","U","2026-03-05 02:40:00","일반세탁업","174671.836199636","427701.348477276","일반세탁업","0","0","0","0","0","0","","","","","3","0","0","8","N",
"5","세탁업","06_20_01_P","3320000","3320000-205-2026-00001","2026-01-15","","01","영업/정상","01","영업","","","","","","33.00","616-801","부산광역시 북구 구포동 1060-331","부산광역시 북구 구포만세길 134, 1층 (구포동)","46501","봉화세탁소","2026-03-03 10:05:52","U","2026-03-05 02:40:00","일반세탁업","381972.523363483","191584.771930776","일반세탁업","0","0","1","1","0","0","","","","","1","0","0","1","N",
"6","세탁업","06_20_01_P","3680000","3680000-205-1999-00013","1999-12-03","","01","영업/정상","01","영업","","","","","042 6378686","27.00","306-813","대전광역시 대덕구 송촌동 461-1 선비마을아파트 360동 110호","대전광역시 대덕구 동춘당로114번길 60, 360동 110호 (송촌동, 선비마을아파트)","34401","선비마을3단지세탁소","2026-03-03 14:18:08","U","2026-03-05 02:40:00","일반세탁업","239514.705156251","318646.317356486","일반세탁업","0","0","1","1","0","0","","","","","2","0","0","1","N",
"7","세탁업","06_20_01_P","3550000","3550000-205-1995-00043","1995-05-25","","01","영업/정상","01","영업","","","","","032 5438719","18.10","407-805","인천광역시 계양구 계산동 924-2","인천광역시 계양구 하느재로20번길 13 (계산동)","21040","경북사","2026-03-03 14:44:20","U","2026-03-05 02:40:00","일반세탁업","175772.382","449268.762999999","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"8","세탁업","06_20_01_P","3980000","3980000-205-2013-00003","2013-08-30","","01","영업/정상","01","영업","","","","","","33.00","471-815","경기도 구리시 수택동 425-34 1층","경기도 구리시 안골로97번길 4 (수택동, 1층)","11928","미래종합세탁소","2026-03-03 13:39:40","U","2026-03-05 02:40:00","일반세탁업","212474.119057413","455052.883959343","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","1","N",
"9","세탁업","06_20_01_P","3660000","3660000-205-2004-00036","2004-12-02","","03","폐업","02","폐업","2026-03-03","","","","042 5332536","32.40","302-318","대전광역시 서구 도안동 1364 도안신도시 수목토 APT","대전광역시 서구 도안동로 177, 수목토상가115호 (도안동, 도안신도시 수목토 APT)","35355","수목토 세탁소","2026-03-03 10:49:45","U","2026-03-05 02:40:00","일반세탁업","230989.365551549","313262.411180522","일반세탁업","2","0","1","1","0","0","","","","","2","0","0","1","N",
"10","세탁업","06_20_01_P","4490000","5650000-205-2021-00001","2021-01-14","","03","폐업","02","폐업","2026-03-03","","","","041 579 1311","43.40","330-260","충청남도 천안시 동남구 신방동 1893","충청남도 천안시 동남구 통정9로 75, 1층 (신방동, 신방한라비발디아파트)","31207","한라세탁","2026-03-03 11:55:29","U","2026-03-05 02:40:00","일반세탁업","211864.618776428","363306.660143643","일반세탁업","0","0","1","1","0","0","","","","","0","0","0","0","N",
