"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","집단급식소식품판매업","07_22_01_P","5130000","5130000-122-2026-00003","2026-01-26","","01","영업/정상","01","영업","","","","","","28.29","712-120","경상북도 경산시 계양동 677-2 106호","경상북도 경산시 원효로26길 26-1, 106호 (계양동, 일광주택)","38590","대건","2026-03-02 13:29:30","U","2026-03-04 02:40:00","집단급식소 식품판매업","358032.100358757","259214.025945054","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"2","집단급식소식품판매업","07_22_01_P","5130000","5130000-122-2026-00001","2026-01-13","","01","영업/정상","01","영업","","","","","","17.39","712-120","경상북도 경산시 계양동 666-21","경상북도 경산시 원효로 144, 5층 (계양동)","38580","주식회사 이찬푸드","2026-03-02 13:17:08","U","2026-03-04 02:40:00","집단급식소 식품판매업","358317.6913549","259309.592198556","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"3","집단급식소식품판매업","07_22_01_P","3530000","3530000-122-2026-00004","2026-03-03","","01","영업/정상","01","영업","","","","","","4.00","405-835","인천광역시 남동구 구월동 1136-11 뉴센타빌딩 3층 19호","인천광역시 남동구 정각로 18, 뉴센타빌딩 3층 일부(19)호 (구월동)","21557","주안에유통","2026-03-03 14:07:20","I","2026-03-05 00:20:02","집단급식소 식품판매업","173727.316026224","439218.000052084","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"4","집단급식소식품판매업","07_22_01_P","3360000","3360000-122-2026-00038","2026-03-03","","01","영업/정상","01","영업","","","","","","47.38","618-805","부산광역시 강서구 대저1동 803-51 1층 일부","부산광역시 강서구 대저중앙로 195, 1층 일부 (대저1동)","","다운유통","2026-03-03 15:29:05","I","2026-03-05 00:20:02","집단급식소 식품판매업","379156.382381223","193020.322184179","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","47.38","","","",
"5","집단급식소식품판매업","07_22_01_P","3700000","3700000-122-2026-00001","2026-03-03","","01","영업/정상","01","영업","","","","","052 2278580","0.00","680-815","울산광역시 남구 삼산동 1630-13","울산광역시 남구 삼산로346번길 12, 1층 (삼산동)","44715","동방","2026-03-03 13:44:05","I","2026-03-05 00:20:02","집단급식소 식품판매업","412567.836477106","229024.054006816","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"6","집단급식소식품판매업","07_22_01_P","3360000","3360000-122-2026-00034","2026-03-03","","01","영업/정상","01","영업","","","","","","","618-800","부산광역시 강서구 강동동 18-134","부산광역시 강서구 낙동북로125번길 108-1, 1층 일부호 (강동동)","46705","그린웨이유통","2026-03-03 13:45:06","I","2026-03-05 00:20:02","집단급식소 식품판매업","376744.763195286","192945.055020766","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"7","집단급식소식품판매업","07_22_01_P","3360000","3360000-122-2026-00035","2026-03-03","","01","영업/정상","01","영업","","","","","051 791 1138","","618-800","부산광역시 강서구 강동동 18-134","부산광역시 강서구 낙동북로125번길 108-1, 1층 일부호 (강동동)","46705","청림유통","2026-03-03 13:26:53","I","2026-03-05 00:20:02","집단급식소 식품판매업","376744.763195286","192945.055020766","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","집단급식소식품판매업","07_22_01_P","3360000","3360000-122-2026-00036","2026-03-03","","01","영업/정상","01","영업","","","","","051 715 5956","","618-800","부산광역시 강서구 강동동 18-134","부산광역시 강서구 낙동북로125번길 108-1, 1층 일부호 (강동동)","46705","태성유통","2026-03-03 13:31:13","I","2026-03-05 00:20:02","집단급식소 식품판매업","376744.763195286","192945.055020766","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"9","집단급식소식품판매업","07_22_01_P","3360000","3360000-122-2026-00037","2026-03-03","","01","영업/정상","01","영업","","","","","","47.38","618-805","부산광역시 강서구 대저1동 803-51 1층 일부","부산광역시 강서구 대저중앙로 195, 1층 일부 (대저1동)","","대영푸드","2026-03-03 15:22:17","I","2026-03-05 00:20:02","집단급식소 식품판매업","379156.382381223","193020.322184179","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","47.38","","","",
"10","집단급식소식품판매업","07_22_01_P","3150000","3150000-122-2026-00006","2026-03-03","","01","영업/정상","01","영업","","","","","","27.44","157-816","서울특별시 강서구 공항동 1347-3 1층 102호","서울특별시 강서구 방화대로6바길 15-19, 1층 102호 (공항동)","07645","현이푸드","2026-03-03 13:50:07","I","2026-03-05 00:20:02","집단급식소 식품판매업","183971.676443653","450430.529935392","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
