번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지,Unnamed: 47,record_key
501,건강기능식품일반판매업,07_22_03_P,3940000,3940000-134-2026-00111,2026-03-05,,1,영업/정상,1,영업,,,,,,,412-070,경기도 고양시 덕양구 신원동 ***,"경기도 고양시 덕양구 신원로 ***, ****동 *호 (신원동)",10567.0,알로하 스토어(ALOHA STORE),2026-03-05 09:06:54,I,2026-03-07 00:20:02,,189579.479721478,463099.774429381,전자상거래(통신판매업),0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,알로하스토어(ALOHASTORE)_경기도고양시덕양구신원동***
499,건강기능식품일반판매업,07_22_03_P,4090000,4090000-134-2026-00108,2026-03-05,,1,영업/정상,1,영업,,,,,,3.3,415-714,경기도 김포시 북변동 *** 북변산호아파트 ***동 ***호,"경기도 김포시 북변*로**번길 **, ***동 ***호 (북변동, 북변산호아파트)",10101.0,베러데이365,2026-03-05 14:25:12,I,2026-03-07 00:20:02,,173872.74137809,458523.964224771,전자상거래(통신판매업),0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,자가,0.0,0.0,N,0.0,,,,,베러데이365_경기도김포시북변동***북변산호아파트***동***호
516,건강기능식품일반판매업,07_22_03_P,3240000,3240000-134-2026-00045,2026-03-05,,1,영업/정상,1,영업,,,,,15770711,,134-872,서울특별시 강동구 천호동 ***-*,"서울특별시 강동구 올림픽로**길 **, *층 (천호동)",5329.0,세븐일레븐 뉴천호현대점,2026-03-05 15:35:36,I,2026-03-07 00:20:02,,211059.425278766,448590.211563433,영업장판매,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,세븐일레븐뉴천호현대점_서울특별시강동구천호동***-*
517,건강기능식품일반판매업,07_22_03_P,4010000,4010000-134-2026-00049,2026-03-05,,1,영업/정상,1,영업,,,,,,3.3,429-420,경기도 시흥시 장현동 *** 신유베라트,"경기도 시흥시 장현천안길 *, 신유베라트 ***호 (장현동, 신유베라트)",14998.0,엔군무역,2026-03-05 15:44:03,I,2026-03-07 00:20:02,,182650.940744872,430684.038653349,전자상거래(통신판매업),0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,자가,0.0,0.0,N,3.3,,,,,엔군무역_경기도시흥시장현동***신유베라트
519,건강기능식품일반판매업,07_22_03_P,3240000,3240000-134-2026-00046,2026-03-05,,1,영업/정상,1,영업,,,,,,,134-841,서울특별시 강동구 성내동 ***-*,"서울특별시 강동구 천호옛길 **, ***호 (성내동)",5386.0,허브나라,2026-03-05 17:08:13,I,2026-03-07 00:20:02,,210866.114241488,447961.779627937,전자상거래(통신판매업),0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,허브나라_서울특별시강동구성내동***-*
539,건강기능식품일반판매업,07_22_03_P,3220000,3220000-134-2026-00098,2026-03-05,,1,영업/정상,1,영업,,,,,,3.3,135-190,서울특별시 강남구 세곡동 *** 강남투엠캐슬,"서울특별시 강남구 헌릉로***길 *, 강남투엠캐슬 ***호 (세곡동)",6376.0,더비채,2026-03-05 11:06:55,I,2026-03-07 00:20:02,,208894.833656679,440517.958320304,전자상거래(통신판매업),0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,자가,0.0,0.0,N,0.0,,,,,더비채_서울특별시강남구세곡동***강남투엠캐슬
520,건강기능식품일반판매업,07_22_03_P,5350000,5350000-134-2026-00024,2026-03-05,,1,영업/정상,1,영업,,,,,,3.3,621-250,경상남도 김해시 부곡동 ***-* 센텀프라자 *층 일부로,"경상남도 김해시 장유로 ***, 센텀프라자 *층 일부호 (부곡동)",50976.0,아네시스,2026-03-05 09:22:11,I,2026-03-07 00:20:02,,364358.914251491,191235.499525552,영업장판매,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,자가,0.0,0.0,N,3.3,,,,,아네시스_경상남도김해시부곡동***-*센텀프라자*층일부로
537,건강기능식품일반판매업,07_22_03_P,3220000,3220000-134-2026-00101,2026-03-05,,1,영업/정상,1,영업,,,,,,225.94,135-888,서울특별시 강남구 신사동 ***-* M-SPACE,"서울특별시 강남구 강남대로***길 **, M-SPACE *층 (신사동)",6034.0,(주)동아메디컬,2026-03-05 15:48:09,I,2026-03-07 00:20:02,,201778.372432402,446336.905555687,전자상거래(통신판매업),0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,자가,0.0,0.0,N,225.94,,,,,(주)동아메디컬_서울특별시강남구신사동***-*M-SPACE
536,건강기능식품일반판매업,07_22_03_P,5590000,5590000-134-2026-00100,2026-03-05,,1,영업/정상,1,영업,,,,,,,482-130,경기도 양주시 옥정동 *** ***동 ****호,"경기도 양주시 옥정서로 ***, ***동 ****호 (옥정동, 옥정 센트럴파크 푸르지오)",11472.0,이은컴퍼니,2026-03-05 10:26:43,I,2026-03-07 00:20:02,,207805.986815998,480250.235501533,전자상거래(통신판매업),0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,이은컴퍼니_경기도양주시옥정동******동****호
535,건강기능식품일반판매업,07_22_03_P,4641000,4651000-134-2026-00019,2026-03-05,,1,영업/정상,1,영업,,,,,,,,전북특별자치도 전주시 완산구 효자동*가 ****-*,"전북특별자치도 전주시 완산구 홍산북로 **-**, *층 ***호일부호 (효자동*가)",54969.0,부귀집,2026-03-05 17:50:25,I,2026-03-07 00:20:02,,209928.25,257409.734999999,전자상거래(통신판매업),0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,0.0,,,,,부귀집_전북특별자치도전주시완산구효자동*가****-*
