"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","축산가공업","07_22_05_P","6480000","648000000420190002","2019-07-23","","01","영업/정상","0000","정상","","","","2026-03-01","0559441231","811","","경상남도 거창군 거창읍 정장리 86번지 1호 파파푸드 1호","경상남도 거창군 거창읍 수남로 2035-13, 파파푸드 1동","","파파푸드 농업회사법인","2026-03-01 00:00:10","U","2026-03-04 02:40:00","알가공업","282510.446298649","240446.279613685","축산물가공업","알가공업","0","L00","4",
"2","축산가공업","07_22_05_P","6540000","654000000420190004","2019-02-26","","01","영업/정상","0000","정상","","","","2026-03-01","0638421131","926.59","","전북특별자치도 익산시 함라면 함열리 26번지 4호","전북특별자치도 익산시 함라면 용산로 446","","(주) 포듀미트","2026-03-01 00:00:04","U","2026-03-04 02:40:00","식육가공업","192652.056836317","283765.519174337","축산물가공업","식육가공업","0","L00","28",
"3","축산가공업","07_22_05_P","6460000","646000000420240001","2024-02-21","","01","영업/정상","0000","정상","","","","2026-03-02","0613329131","414.9","","전라남도 나주시 봉황면 황용리 214번지 17호","전라남도 나주시 봉황면 봉황로 632","","농업회사법인주식회사착한푸드","2026-03-02 23:59:22","U","2026-03-04 02:40:00","식육가공업","179136.442266218","161801.448058478","축산물가공업","식육가공업","0","L00","0",
"4","축산가공업","07_22_05_P","6260000","626000000420200024","2020-08-12","","01","영업/정상","0000","정상","","","","","0515253990","160","","부산광역시 금정구 회동동  517번지 30호","부산광역시 금정구 동천로 33, 1층 (회동동)","","주식회사 나라상사","2026-03-03 10:23:27","U","2026-03-05 02:40:00","식육가공업","393216.340000464","194131.846376618","축산물가공업","식육가공업","0","L00","0",
"5","축산가공업","07_22_05_P","6260000","626000000420040006","2004-06-15","","01","영업/정상","0000","정상","","","","","0518320707","540","618-270","부산광역시 강서구 송정동  1666번지 2호","부산광역시 강서구 녹산화전로 23, 2호 (송정동)","618-270","우촌식품","2026-03-03 10:29:15","U","2026-03-05 02:40:00","식육가공업","369981.263320566","178473.733823442","축산물가공업","식육가공업","0","000","0",
"6","축산가공업","07_22_05_P","6410000","641000000420100057","2010-08-31","","01","영업/정상","0000","정상","","","","","0313341511","1219.12","449-814","경기도 용인시 처인구 포곡읍 금어리 637번지 0호","경기도 용인시 처인구 포곡읍 포곡로118번길 84","449-814","(주)더고기","2026-03-03 11:51:27","U","2026-03-05 02:40:00","식육가공업","","","축산물가공업","식육가공업","0","L00","15",
"7","축산가공업","07_22_05_P","6270000","627000000420160016","2016-08-10","","01","영업/정상","0000","정상","","","","","0533822475","306","","대구광역시 동구 검사동  756번지 409호","대구광역시 동구 동촌역사로3길 10 (검사동)","","DY클린푸드","2026-03-03 18:17:53","U","2026-03-05 02:40:00","식육가공업","349153.09008806","266711.518417011","축산물가공업","식육가공업","0","000","0",
"8","축산가공업","07_22_05_P","6410000","641000000420130123","2013-09-06","","01","영업/정상","0000","정상","","","","","0319636401","72","","경기도 고양시 덕양구 벽제동  316번지 6호","경기도 고양시 덕양구 혜음로107번길 85(벽제동)","412-510","우현푸드","2026-03-03 17:25:32","U","2026-03-05 02:40:00","식육가공업","191084.329556104","467871.413549719","축산물가공업","식육가공업","0","000","2",
"9","축산가공업","07_22_05_P","6430000","643000000420110007","2011-03-08","","03","폐업","0002","폐업","2026-02-27","","","","0432255017","19.8","360-819","953번지","충청북도 청주시 상당구 율천북로 153 (율량동)","","농업회사법인(주)청풍명월클러스터","2026-03-03 10:45:12","U","2026-03-05 02:40:00","식육가공업","","","축산물가공업","식육가공업","0","L00","3",
"10","축산가공업","07_22_05_P","6430000","643000000420020004","2002-11-12","","03","폐업","0002","폐업","2026-02-27","","","","","198","365-821","충청북도 진천군 이월면 내촌리 169번지 1호","충청북도 진천군 이월면 근어길 189","365-821","미텍코리아","2026-03-03 10:45:00","U","2026-03-05 02:40:00","식육가공업","239809.479735927","382905.595853332","축산물가공업","식육가공업","0","000","4",
"11","축산가공업","07_22_05_P","6430000","643000000420230025","2023-12-19","","03","폐업","0002","폐업","2026-02-27","2025-01-31","","","","74","","충청북도 증평군 도안면 송정리 804번지 0호","충청북도 증평군 도안면 인삼로 743","","농업회사법인 주식회사 예지목장","2026-03-03 10:45:22","U","2026-03-05 02:40:00","유가공업","","","축산물가공업","유가공업","0","L00","0",
"12","축산가공업","07_22_05_P","6270000","627000000420240013","2024-08-29","","01","영업/정상","0000","정상","","","","","","221.69","","대구광역시 달성군 옥포읍 기세리 109번지 2호","대구광역시 달성군 옥포읍 비슬로 2312-16","","주식회사 널미트 제1공장 지점","2026-03-04 20:30:35","U","2026-03-06 02:40:00","식육가공업","333175.275610619","255448.046809793","축산물가공업","식육가공업","0","L00","4",
"13","축산가공업","07_22_05_P","6500000","650000000420190011","2019-12-03","","02","휴업","0001","휴업","","2026-03-03","","","","66","","제주특별자치도 제주시 애월읍 광령리 2535번지 0호 제주관광대학 312호","제주특별자치도 제주시 애월읍 평화로 2715, 제주관광대학창업보육센터 3층 312호","","주식회사 제주씨앤에프","2026-03-04 13:31:06","U","2026-03-06 02:40:00","식육가공업","147336.714653566","-5157.89475124236","축산물가공업","식육가공업","0","L00","0",
"14","축산가공업","07_22_05_P","6410000","641000000420220034","2022-03-23","","01","영업/정상","0000","정상","","","","","","479.16","","경기도 남양주시 진접읍 진벌리 144번지 3호","경기도 남양주시 진접읍 진벌로223번길 15","","세경에프에스","2026-03-04 10:17:11","U","2026-03-06 02:40:00","식육가공업","220014.420596961","470719.165369544","축산물가공업","식육가공업","0","000","4",
"15","축산가공업","07_22_05_P","6410000","641000000420100066","2010-09-15","","01","영업/정상","0000","정상","","","","","0315350974","2749.2","487-874","경기도 포천시 군내면 용정리 2번지 1호","경기도 포천시 군내면 용두로 91-1","487-874","(주)햇살푸드시스템","2026-03-04 09:20:04","U","2026-03-06 02:40:00","식육가공업","219507.884424213","485669.228321074","축산물가공업","식육가공업","0","L00","41",
"16","축산가공업","07_22_05_P","6280000","628000000420090017","2009-06-16","","03","폐업","0002","폐업","2026-03-04","","","","","66.24","407-400","인천광역시 동구 송현동  129번지 0호 인천산업용품유통단지편익상가 B동 B09호","인천광역시 동구 방축로83번길 23, 인천산업용품유통단지편익상가 B동 B09호 (송림동)","","본향","2026-03-04 17:53:20","U","2026-03-06 02:40:00","식육가공업","169424.109924844","442692.722669138","축산물가공업","식육가공업","0","000","6",
"17","축산가공업","07_22_05_P","6410000","641000000420170125","2017-09-12","","03","폐업","0002","폐업","2026-02-27","","","","0319469692","250.32","","경기도 파주시 상지석동  733번지 8호","경기도 파주시 운정역길 43-3 (상지석동)","","출추래","2026-03-04 09:19:29","U","2026-03-06 02:40:00","식육가공업","180263.446867195","470472.460041144","축산물가공업","식육가공업","0","000","3",
"18","축산가공업","07_22_05_P","6440000","644000000420090016","2009-12-11","","01","영업/정상","0000","정상","","","","","0415582006","202.4","331-090","충청남도 천안시 서북구 성거읍 소우리 167번지 3호","충청남도 천안시 서북구 성거읍 봉주로 208","331-949","오렌지푸드","2026-03-04 13:01:43","U","2026-03-06 02:40:00","식육가공업","215111.60274606","375119.927601318","축산물가공업","식육가공업","0","000","4",
