"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","단란주점영업","07_23_01_P","4060000","4060000-103-1994-00052","1994-08-16","","01","영업/정상","01","영업","","","","","031 9443851","36.37","413-814","경기도 파주시 금촌동 72-15","경기도 파주시 금정16길 21-7 (금촌동)","10929","디바(DIVA)","2026-03-03 11:43:50","U","2026-03-05 02:40:00","단란주점","180107.242707072","473137.017637542","단란주점","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","36.37","","","",
"2","단란주점영업","07_23_01_P","5370000","5370000-103-1995-00035","1995-12-05","","01","영업/정상","01","영업","","","","","055 6820232","65.46","656-894","경상남도 거제시 일운면 지세포리 936-3 (2층)","경상남도 거제시 일운면 지세포해안로 90-15 ((2층))","53328","태평양단란주점","2026-03-03 17:11:46","U","2026-03-05 02:40:00","단란주점","355851.20838669","149179.657608149","단란주점","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","65.46","","","",
"3","단란주점영업","07_23_01_P","5310000","5310000-103-2018-00001","2018-02-13","","01","영업/정상","01","영업","","","","","","90.96","660-803","경상남도 진주시 상대동 196-12 3층","경상남도 진주시 대신로 283, 3층 (상대동)","52774","79노래방","2026-03-03 16:25:05","U","2026-03-05 02:40:00","단란주점","301643.945289769","187972.762197833","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","90.96","","","",
"4","단란주점영업","07_23_01_P","3740000","3750000-103-2010-00002","2010-09-27","","01","영업/정상","01","영업","","","","","031 241 8078","110.63","440-818","경기도 수원시 장안구 영화동 279-13","경기도 수원시 장안구 정조로922번길 14, 2층 (영화동)","16269","벅스","2026-03-03 09:48:43","U","2026-03-05 02:40:00","단란주점","201188.477905902","420926.023499845","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","110.63","","","",
"5","단란주점영업","07_23_01_P","3740000","3760000-103-1993-00001","1993-09-02","","01","영업/정상","01","영업","","","","","031 2344272","109.96","441-881","경기도 수원시 권선구 세류동 1158-16","경기도 수원시 권선구 정조로388번길 17 (세류동)","16660","스타일라이브","2026-03-03 15:08:49","U","2026-03-05 02:40:00","단란주점","201325.53176928","415830.520948765","단란주점","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","Y","109.96","","","",
"6","단란주점영업","07_23_01_P","3060000","3060000-103-1993-06713","1993-12-23","","01","영업/정상","01","영업","","","","","","77.55","131-803","서울특별시 중랑구 망우동 340-19","서울특별시 중랑구 망우로 445, 지층 (망우동)","02059","단짝노래방","2026-03-03 10:33:45","U","2026-03-05 02:40:00","단란주점","208885.083281145","455339.822177182","단란주점","0","0","","","","0","0","0","0","0","","0","0","N","77.55","","","",
"7","단란주점영업","07_23_01_P","3060000","3060000-103-1996-06882","1996-03-14","","01","영업/정상","01","영업","","","","","02 9740734","110.75","131-851","서울특별시 중랑구 묵동 237-48","서울특별시 중랑구 중랑역로 207 (묵동)","02004","썸노래","2026-03-03 10:35:12","U","2026-03-05 02:40:00","단란주점","206603.62663472","456627.069040305","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","110.75","","","",
"8","단란주점영업","07_23_01_P","5180000","5180000-103-2019-00002","2019-08-08","","01","영업/정상","01","영업","","","","","054 732 1412","124.10","766-814","경상북도 영덕군 영해면 성내리 470-4","경상북도 영덕군 영해면 318만세길 167, 2층","36411","인싸노래클럽","2026-03-03 13:08:54","U","2026-03-05 02:40:00","단란주점","415620.998342448","340434.797425294","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","124.1","","","",
"9","단란주점영업","07_23_01_P","4990000","4990000-103-1998-00001","1998-06-17","","01","영업/정상","01","영업","","","","","061 8440101","148.92","548-991","전라남도 완도군 금당면 차우리 42","전라남도 완도군 금당면 울포길 29","59137","코리아나","2026-03-03 11:33:12","U","2026-03-05 02:40:00","단란주점","206561.440190488","103427.649797856","단란주점","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","Y","148.92","","","",
"10","단란주점영업","07_23_01_P","4810000","4810000-103-2018-00005","2018-06-18","","01","영업/정상","01","영업","","","","","","218.95","555-809","전라남도 여수시 학동 178-7","전라남도 여수시 시청동3길 28 (학동)","59689","나도야간다","2026-03-03 08:37:55","U","2026-03-05 02:40:00","단란주점","260772.464907977","140127.344207137","단란주점","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","218.95","","","",
"11","단란주점영업","07_23_01_P","6510000","6510000-103-2016-00001","2016-12-09","","01","영업/정상","01","영업","","","","","064 7120802","132.30","690-121","제주특별자치도 제주시 아라일동 6092-11","제주특별자치도 제주시 아란7길 3-3, 3층 301호 (아라일동)","63237","바운스펍","2026-03-03 10:20:56","U","2026-03-05 02:40:00","단란주점","157643.907850144","-2388.50377402087","단란주점","0","0","","","","0","0","0","0","0","","0","0","N","132.3","","","",
"12","단란주점영업","07_23_01_P","3670000","3670000-103-2019-00005","2019-11-07","","01","영업/정상","01","영업","","","","","","59.16","305-301","대전광역시 유성구 봉명동 633-1 GT타워 210호","대전광역시 유성구 온천북로33번길 21-21, GT타워 2층 210호 (봉명동)","34185","콜","2026-03-03 12:10:15","U","2026-03-05 02:40:00","단란주점","230954.279117371","317481.112401602","단란주점","0","0","유흥업소밀집지역","","상수도전용","0","0","0","0","0","","0","0","Y","59.16","","","",
"13","단란주점영업","07_23_01_P","5110000","5110000-103-2022-00001","2022-03-04","","01","영업/정상","01","영업","","","","","","123.90","742-905","경상북도 상주시 무양동 55-22","경상북도 상주시 삼백로 105, 2층 (무양동)","37181","세시봉","2026-03-03 11:03:14","U","2026-03-05 02:40:00","단란주점","303530.258857824","324811.769952199","단란주점","1","0","학교정화(상대)","","상수도전용","0","0","0","0","0","","0","0","Y","123.9","","","",
"14","단란주점영업","07_23_01_P","3050000","3050000-103-1995-08700","1995-07-07","","01","영업/정상","01","영업","","","","","0222142624","122.44","130-847","서울특별시 동대문구 장안동 543 (한천로 142)","서울특별시 동대문구 한천로 142, 지하1층 (장안동)","02529","명자","2026-03-03 13:11:34","U","2026-03-05 02:40:00","단란주점","205848.001836433","452357.757891458","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","122.44","","","",
"15","단란주점영업","07_23_01_P","3100000","3100000-103-1993-04994","1993-11-26","","01","영업/정상","01","영업","","","","","02 9302627","64.98","139-818","서울특별시 노원구 상계동 389-361","서울특별시 노원구 상계로27길 15 (상계동)","01684","블랙홀","2026-03-03 17:07:42","U","2026-03-05 02:40:00","단란주점","206124.258625167","461871.46289465","단란주점","0","0","주택가주변","갑","상수도전용","0","0","0","0","0","","0","0","Y","64.98","","","",
"16","단란주점영업","07_23_01_P","3420000","3420000-103-2021-00002","2021-04-22","","01","영업/정상","01","영업","","","","","053 959 3001","134.67","701-843","대구광역시 동구 효목동 1117","대구광역시 동구 효동로2길 57-11, 3층 (효목동)","41179","마키하우스","2026-03-03 11:40:49","U","2026-03-05 02:40:00","단란주점","349268.843305358","265661.907845391","단란주점","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","134.67","","","",
"17","단란주점영업","07_23_01_P","3940000","3950000-103-1997-00011","1997-09-11","","03","폐업","02","폐업","2026-03-04","","","","031 9741191","136.26","412-820","경기도 고양시 덕양구 토당동 832-22 지하1층","경기도 고양시 덕양구 토당로 168 (토당동,지하1층)","10507","럭셔리","2026-03-04 17:44:18","U","2026-03-06 02:40:00","단란주점","184157.145172477","458454.652998945","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","136.26","","","",
"18","단란주점영업","07_23_01_P","5360000","5360000-103-2001-00006","2001-12-21","","03","폐업","02","폐업","2026-03-04","","","","055 3521404","102.93","627-802","경상남도 밀양시 내이동 1191-2","경상남도 밀양시 북성로 22 (내이동)","50423","레드문","2026-03-04 10:50:20","U","2026-03-06 02:40:00","단란주점","358283.741687604","223476.157373981","단란주점","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","Y","102.93","","","",
"19","단란주점영업","07_23_01_P","4520000","4520000-103-2010-00003","2010-12-09","","01","영업/정상","01","영업","","","","","041 5332748","113.80","336-831","충청남도 아산시 인주면 밀두리 130-13","충청남도 아산시 인주면 현대로 1311","31434","루비단란주점","2026-03-04 13:22:02","U","2026-03-06 02:40:00","단란주점","189730.876392339","374327.515095344","단란주점","0","1","기타","","상수도전용","0","0","0","0","0","","0","0","Y","113.8","","","",
"20","단란주점영업","07_23_01_P","3020000","3020000-103-1994-03350","1994-03-22","","03","폐업","02","폐업","2026-03-04","","","","02 7136865","103.60","140-133","서울특별시 용산구 청파동3가 21-15 (지층)","서울특별시 용산구 청파로47길 9 (청파동3가,(지층))","04313","궁","2026-03-04 10:27:55","U","2026-03-06 02:40:00","단란주점","197271.536594566","449162.414647636","단란주점","0","0","","","","0","0","0","0","0","","0","0","N","103.6","","","",
"21","단란주점영업","07_23_01_P","3110000","3110000-103-1996-04514","1996-07-09","","01","영업/정상","01","영업","","","","","02 3896282","137.09","122-896","서울특별시 은평구 역촌동 20-49 (지층)","서울특별시 은평구 역말로 54 (역촌동,(지층))","03402","아리조나메들리","2026-03-04 10:13:01","U","2026-03-06 02:40:00","단란주점","192555.254305767","455943.377640928","단란주점","0","0","주택가주변","자율","상수도전용","0","0","0","0","0","","0","0","N","137.09","","","",
"22","단란주점영업","07_23_01_P","6520000","6520000-103-1999-00009","1999-08-18","","01","영업/정상","01","영업","","","","","064 733 0966","113.61","697-841","제주특별자치도 서귀포시 서귀동 410-6 1층","제주특별자치도 서귀포시 명동로 34, 1층 (서귀동)","63595","리멤버","2026-03-04 17:04:57","U","2026-03-06 02:40:00","단란주점","159438.546794691","-27536.563906448","단란주점","0","0","유흥업소밀집지역","","상수도전용","0","0","0","0","0","","0","0","Y","113.61","","","",
"23","단란주점영업","07_23_01_P","6510000","6510000-103-1994-00103","1994-07-08","","03","폐업","02","폐업","2026-03-04","","","","064 7577767","96.34","690-846","제주특별자치도 제주시 삼도일동 572-1","제주특별자치도 제주시 서광로 228, 지하층 (삼도일동)","63186","버드","2026-03-04 17:15:41","U","2026-03-06 02:40:00","단란주점","155390.51144768","455.28207523187","단란주점","0","0","","","","0","0","0","0","0","","0","0","N","96.34","","","",
"24","단란주점영업","07_23_01_P","3700000","3700000-103-1994-00031","1994-09-26","","03","폐업","02","폐업","2026-03-04","","","","052 2714698","28.87","680-822","울산광역시 남구 신정동 184-14 (지상1층)","울산광역시 남구 돋질로69번길 30-1 (신정동,(지상1층))","44690","우연","2026-03-04 13:48:29","U","2026-03-06 02:40:00","단란주점","409656.102628559","229271.127193793","단란주점","0","0","","","","0","0","0","0","0","","0","0","N","28.87","","","",
"25","단란주점영업","07_23_01_P","5020000","5040000-103-1994-00011","1994-08-31","","01","영업/정상","01","영업","","","","","","71.00","791-819","경상북도 포항시 북구 죽도동 39-21","경상북도 포항시 북구 중앙로243번길 6-16 (죽도동)","37739","청춘아7080라이브","2026-03-04 14:46:00","U","2026-03-06 02:40:00","단란주점","413023.377368109","284143.360265239","단란주점","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","71","","","",
"26","단란주점영업","07_23_01_P","3420000","3420000-103-1997-00012","1997-04-25","","01","영업/정상","01","영업","","","","","053 9851204","174.48","701-866","대구광역시 동구 입석동 955-2","대구광역시 동구 동촌로 28 (입석동)","41153","르네상스","2026-03-04 10:04:44","U","2026-03-06 02:40:00","단란주점","348539.377791816","266802.075928576","단란주점","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","Y","174.48","","","",
"27","단란주점영업","07_23_01_P","4641000","4651000-103-1995-00010","1995-04-07","","01","영업/정상","01","영업","","","","","063 2259111","148.50","","전북특별자치도 전주시 완산구 중화산동2가 467-1","전북특별자치도 전주시 완산구 중화산로 29 (중화산동2가)","54979","고인돌","2026-03-04 13:58:16","U","2026-03-06 02:40:00","단란주점","210594.022301245","257004.011907094","단란주점","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","Y","148.5","","","",
"28","단란주점영업","07_23_01_P","5360000","5360000-103-2026-00001","2026-03-05","","01","영업/정상","01","영업","","","","","","133.70","627-802","경상남도 밀양시 내이동 1191-2","경상남도 밀양시 북성로 22, 지하1층 (내이동)","50423","즐거운캄보디아단란주점","2026-03-05 16:52:09","I","2026-03-07 00:20:02","단란주점","358283.741687604","223476.157373981","단란주점","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","133.7","","","",
"29","단란주점영업","07_23_01_P","4060000","4060000-103-2026-00001","2026-03-05","","01","영업/정상","01","영업","","","","","","149.97","413-814","경기도 파주시 금촌동 327-23","경기도 파주시 금정로 100, 2층 (금촌동)","10929","하이","2026-03-05 16:40:56","I","2026-03-07 00:20:02","단란주점","179864.822812949","473458.600986148","단란주점","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","149.97","","","",
"30","단란주점영업","07_23_01_P","4530000","4530000-103-1996-00015","1996-05-31","","01","영업/정상","01","영업","","","","","041 6670954","70.95","356-801","충청남도 서산시 동문동 312-6","충청남도 서산시 시장2로 33 (동문동)","31981","필","2026-03-05 14:49:31","U","2026-03-07 02:40:00","단란주점","151608.395621876","364773.719038011","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","70.95","","","",
"31","단란주점영업","07_23_01_P","5340000","5340000-103-2000-00002","2000-08-07","","01","영업/정상","01","영업","","","","","055 8354320","85.81","664-240","경상남도 사천시 서금동 141-4","경상남도 사천시 팔포3길 10, 2층 (서금동)","52568","와가라오케","2026-03-05 16:47:46","U","2026-03-07 02:40:00","단란주점","298192.827394344","159156.379968765","단란주점","0","0","유흥업소밀집지역","","상수도전용","0","0","0","0","0","","0","0","Y","85.81","","","",
"32","단란주점영업","07_23_01_P","4520000","4520000-103-2001-00006","2000-03-14","","03","폐업","02","폐업","2026-02-10","","","","041 5484833","76.20","336-802","충청남도 아산시 모종동 568-11","충청남도 아산시 번영로230번길 5 (모종동)","31526","뉴월드단란주점","2026-03-05 13:57:57","U","2026-03-07 02:40:00","단란주점","201363.161310702","364686.652070866","단란주점","0","0","기타","자율","상수도전용","0","0","0","0","0","","0","0","Y","76.2","","","",
