"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","방문판매업","08_26_02_P","3420000","2024342020723200012","2024-10-08","","03","폐업","03","폐업처리","2026-02-27","","","","","","","대구광역시 동구 효목동 ***-*","대구광역시 동구 효목로 **-*, *층 (효목동)","41239","에스케이(SK)건강","2026-02-27 16:35:24","U","2026-03-04 02:40:00","","348026.885011985","265128.734304299","0","0","0","",
"2","방문판매업","08_26_02_P","3180000","2026318025423200003","2026-03-03","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 영등포구 영등포동*가 ** KnK디지털타워","서울특별시 영등포구 영신로 ***, KnK디지털타워 *층 ***호 (영등포동*가)","07228","제노솔루션 주식회사","2026-03-03 14:49:18","I","2026-03-05 00:20:02","","191457.663413167","447179.850506981","7778503200","3866298880","2100000000","",
"3","방문판매업","08_26_02_P","3200000","2026320022523200001","2026-03-03","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 관악구 신림동 ****-**","서울특별시 관악구 신림로 ***, 지하*층 (신림동)","08753","국민힐링 365","2026-03-03 17:05:38","I","2026-03-05 00:20:02","","193636.325447342","442867.665973694","0","0","0","",
"4","방문판매업","08_26_02_P","3040000","2026304019023200003","2026-03-03","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 광진구 중곡동 ***-*","서울특별시 광진구 능동로**길 **, *층 ***호 (중곡동)","04910","웰니스케어365 중곡센터","2026-03-03 14:33:50","I","2026-03-05 00:20:02","","207061.629581403","451269.291522727","0","0","0","",
"5","방문판매업","08_26_02_P","3180000","2026318025423200004","2026-03-03","","01","영업/정상","01","정상영업","","","","","02-2068-3579","","","서울특별시 영등포구 당산동*가 *** 삼일빌딩","서울특별시 영등포구 당산로**길 *-*, 삼일빌딩 *층 ***호 (당산동*가)","07261","주식회사 골드아쿠아","2026-03-03 14:51:15","I","2026-03-05 00:20:02","","190610.682585036","447068.876437542","0","0","2000000","",
"6","방문판매업","08_26_02_P","3320000","2026332014223200003","2026-03-03","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 북구 만덕동 ***-* *층","부산광역시 북구 덕천로 ***, *층 (만덕동)","46613","밀양우리농산물유통조합","2026-03-03 11:16:52","I","2026-03-05 00:20:02","","385818.600384818","191871.686505251","0","0","0","",
"7","방문판매업","08_26_02_P","3190000","2026319027123200001","2026-03-03","","01","영업/정상","01","정상영업","","","","","02- 834- 3594","","","서울특별시 동작구 상도동 ***-***","서울특별시 동작구 상도로**길 **, *층 ***호 (상도동)","06965","연세우유 동작대리점","2026-03-03 10:32:01","I","2026-03-05 00:20:02","","195093.00115542","444493.201772182","0","0","0","",
"8","방문판매업","08_26_02_P","3190000","2026319027123200002","2026-03-03","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 동작구 사당동 ***-**","서울특별시 동작구 사당로**길 **, *층(좌측칸) (사당동)","07016","밀크팜","2026-03-03 11:38:48","I","2026-03-05 00:20:02","","197782.45678316","442057.682181989","0","0","0","",
"9","방문판매업","08_26_02_P","3990000","2026399051223200004","2019-11-18","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 성북구 보문동*가 ***-*","서울특별시 성북구 보문로 ***, 지하*층 (보문동*가)","02871","좋은날들","2026-03-03 17:30:32","I","2026-03-05 00:20:02","","201579.448859928","453757.538640357","0","0","0","",
"10","방문판매업","08_26_02_P","4550000","2026455012823200003","2026-03-03","","01","영업/정상","01","정상영업","","","","","","","","충청남도 금산군 복수면 목소리 ***-*","충청남도 금산군 복수면 용천로 ****, *동 ***호","32702","건행녹용","2026-03-03 14:02:10","I","2026-03-05 00:20:02","","237584.891036909","297149.198149498","0","0","0","",
"11","방문판매업","08_26_02_P","4550000","2026455012823200004","2026-03-03","","01","영업/정상","01","정상영업","","","","","","","","충청남도 금산군 복수면 목소리 ***-*","충청남도 금산군 복수면 용천로 ****, *동 ***호","32702","우리농축산","2026-03-03 14:02:27","I","2026-03-05 00:20:02","","237584.891036909","297149.198149498","0","0","0","",
"12","방문판매업","08_26_02_P","5060000","2026506032423200001","2016-05-20","","01","영업/정상","01","정상영업","","","","","","","","경상북도 김천시 어모면 중왕리 ***-*","경상북도 김천시 어모면 어모문화*길 **, ***호","39504","이레유통","2026-03-03 14:53:50","I","2026-03-05 00:20:02","","300531.145884819","298401.710003845","0","0","0","",
