번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업종구분명,자본금의규모,사업자등록번호,Unnamed: 31,record_key
1,후원방문판매업체,08_26_05_P,6110000,20266110000301000002,2026-03-01,,1,영업/정상,1,영업,,,,,28784504.0,,8513.0,서울특별시 금천구 가산동  **번지 **호 비동 ***호,"서울특별시 금천구 디지털로 ***, 비동 ***호 (가산동)",,주식회사 케드마코리아,2026-03-01 00:00:00,I,2026-03-04 00:20:37,,,,후원방문판매업,0,5158154759.0,,주식회사케드마코리아_서울특별시금천구가산동**번지**호비동***호
26,후원방문판매업체,08_26_05_P,6110000,20246110000301000065,2024-07-26,,1,영업/정상,BBBB,영업,,,,,,,1414.0,서울특별시 도봉구 창동  **번지 *호 EQ빌딩,"서울특별시 도봉구 마들로**길 **, EQ빌딩 ***호 (창동)",,라비다샵 창동,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,204357.382835077,461235.763310872,후원방문판매업,0,2991201844.0,,라비다샵창동_서울특별시도봉구창동**번지*호EQ빌딩
25,후원방문판매업체,08_26_05_P,6110000,20246110000301000052,2024-07-05,,1,영업/정상,BBBB,영업,,,,,,,1414.0,서울특별시 도봉구 창동  **번지 *호 EQ빌딩,"서울특별시 도봉구 마들로**길 **, EQ빌딩 ***호 (창동)",,주식회사 럭셔리뷰티창동점,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,204357.382835077,461235.763310872,후원방문판매업,0,8958603525.0,,주식회사럭셔리뷰티창동점_서울특별시도봉구창동**번지*호EQ빌딩
43,후원방문판매업체,08_26_05_P,6110000,20246110000301000033,2024-05-10,,3,폐업,4,폐업,2026-03-03,,,,,,7013.0,서울특별시 동작구 사당동  ****번지 *호 이수그린빌딩,"서울특별시 동작구 사당로**길 **-*, 이수그린빌딩 *동 *층 ***호 (사당동)",,푸라비다(puravida),2026-03-03 00:00:00,U,2026-03-05 02:40:00,,198285.012610312,442435.708863837,후원방문판매업,0,1533701217.0,,푸라비다(puravida)_서울특별시동작구사당동****번지*호이수그린빌딩
42,후원방문판매업체,08_26_05_P,6110000,20246110000301000023,2024-04-08,,1,영업/정상,2,영업,,,,,,,7220.0,서울특별시 영등포구 당산동*가  **번지 ***호,"서울특별시 영등포구 당산로**길 *-*, *층 (당산동*가)",,엘지럭셔리뷰티 강서제일점,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,190932.398875683,447361.966988603,후원방문판매업,0,8491602350.0,,엘지럭셔리뷰티강서제일점_서울특별시영등포구당산동*가**번지***호
44,후원방문판매업체,08_26_05_P,6110000,20246110000301000021,2024-03-26,,1,영업/정상,BBBB,영업,,,,,,,3630.0,서울특별시 서대문구 홍제동  ***번지 **호 목련빌라 ***호,"서울특별시 서대문구 홍제원길 **-*, ***호 (홍제동, 목련빌라)",,라비다샵 서대문 홍제,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,195305.999422884,453870.384229413,후원방문판매업,0,,,라비다샵서대문홍제_서울특별시서대문구홍제동***번지**호목련빌라***호
65,후원방문판매업체,08_26_05_P,6110000,20246110000301000020,2024-03-21,,1,영업/정상,2,영업,,,,,,,8376.0,서울특별시 구로구 구로동  ***번지 **호 에이스테크노타워*차 ***호,"서울특별시 구로구 디지털로**길 **-*, 에이스테크노타워*차 ***호 (구로동)",,주식회사 럭셔리뷰티신구로,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,190496.447846852,442645.330573628,후원방문판매업,0,7268802748.0,,주식회사럭셔리뷰티신구로_서울특별시구로구구로동***번지**호에이스테크노타워*차***호
134,후원방문판매업체,08_26_05_P,6110000,20246110000301000001,2024-01-03,,1,영업/정상,2,영업,,,,,222310381.0,,4598.0,서울특별시 중구 신당동  ***번지 **호 충현빌딩,"서울특별시 중구 동호로**길 **, 충현빌딩 ***호 (신당동)",,주식회사 럭셔리뷰티신당점,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,200772.403192583,450182.882309738,후원방문판매업,0,6018703155.0,,주식회사럭셔리뷰티신당점_서울특별시중구신당동***번지**호충현빌딩
221,후원방문판매업체,08_26_05_P,6110000,20236110000301000250,2023-12-11,,3,폐업,4,폐업,2026-03-03,,,,,,7013.0,서울특별시 동작구 사당동  ****번지 *호 이수그린빌딩,"서울특별시 동작구 사당로**길 **-*, 이수그린빌딩 ***호 (사당동)",,래디언스(Radiance),2026-03-03 00:00:00,U,2026-03-05 02:40:00,,198285.012610312,442435.708863837,후원방문판매업,0,4836500539.0,,래디언스(Radiance)_서울특별시동작구사당동****번지*호이수그린빌딩
244,후원방문판매업체,08_26_05_P,6110000,20236110000301000237,2023-10-25,,1,영업/정상,2,영업,,,,,,,3766.0,서울특별시 서대문구 대현동  **번지 **호 연세아리움,"서울특별시 서대문구 이화여대*길 **, 연세아리움 ***호 (대현동)",,아모레퍼시픽 이대점,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,194984.626440041,450620.45616063,후원방문판매업,0,1181018867.0,,아모레퍼시픽이대점_서울특별시서대문구대현동**번지**호연세아리움
