번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),자본금,거래처,Unnamed: 30,record_key
43,석유판매업,09_28_08_P,5130000,2026513018001500012,2026-03-05,,1,영업/정상,1,신규등록,,,,,053 857 7188,,,경상북도 경산시 남산면 경리 530-6 (주)부건이엔씨,경상북도 경산시 남산면 대왕로 25 (주)부건이엔씨,38572.0,(주)부건이엔씨,2026-03-05 17:33:07,I,2026-03-07 00:20:02,용제판매소,366209.308435196,255996.408079078,,,,(주)부건이엔씨_경상북도경산시남산면경리530-6(주)부건이엔씨
24,석유판매업,09_28_08_P,3940000,2026394041801500002,2026-03-03,,1,영업/정상,1,신규등록,,,,,,870.4,,경기도 고양시 덕양구 덕은동 720,"경기도 고양시 덕양구 으뜸로 142, 상암DMC에너지주유소 (덕은동)",10544.0,상암DMC에너지주유소,2026-03-04 09:11:49,I,2026-03-06 00:20:02,주유소,,,,,,상암DMC에너지주유소_경기도고양시덕양구덕은동720
4,석유판매업,09_28_08_P,4090000,2026409048501500001,2026-03-03,,1,영업/정상,1,신규등록,,,,,,730.0,,경기도 김포시 대곶면 송마리 3-24,경기도 김포시 대곶면 대곶북로 210,10038.0,HD현대오일뱅크(주) 직영 김포주유소,2026-03-03 16:48:11,I,2026-03-05 00:20:02,주유소,162921.766578133,462584.096748368,,,,HD현대오일뱅크(주)직영김포주유소_경기도김포시대곶면송마리3-24
18,석유판매업,09_28_08_P,4830000,2026483019501200001,2026-02-18,,1,영업/정상,1,신규등록,,,,,0613398382,100.0,,전라남도 나주시 송월동 1100 나주시청,"전라남도 나주시 시청길 22, 나주시청 (송월동)",58263.0,기타(영업용화물 이동탱크저장소),2026-03-03 09:06:52,U,2026-03-05 02:40:00,일반판매소,173557.07537457,168597.578814505,,,,기타(영업용화물이동탱크저장소)_전라남도나주시송월동1100나주시청
37,석유판매업,09_28_08_P,5150000,2021515017301200001,2021-03-11,,1,영업/정상,7,영업개시,,,,,,196.0,,경상북도 의성군 봉양면 화전리 1137-22,경상북도 의성군 봉양면 경북대로 4437,37362.0,미래에너지,2026-03-04 11:24:45,U,2026-03-06 02:40:00,일반판매소,341206.403244172,311787.414004444,,,,미래에너지_경상북도의성군봉양면화전리1137-22
51,석유판매업,09_28_08_P,4080000,2021408023801200001,2021-03-08,,1,영업/정상,6,휴지사업재개,,,,2026-03-05,,,,경기도 안성시 일죽면 당촌리 133-5,경기도 안성시 일죽면 일죽당촌길 126,17527.0,서해에너지,2026-03-05 10:53:59,U,2026-03-07 02:40:00,일반판매소,245223.636760296,399998.676604041,,,,서해에너지_경기도안성시일죽면당촌리133-5
26,석유판매업,09_28_08_P,5690000,2019569020001500001,2019-01-09,,1,영업/정상,7,영업개시,,,,,044-862-0935,1634.0,,세종특별자치시 다정동 905,세종특별자치시 다정북로 40 (다정동),30125.0,아주알뜰주유소,2026-03-04 17:57:02,U,2026-03-06 02:40:00,주유소,220990.840627045,332959.379223403,,,,아주알뜰주유소_세종특별자치시다정동905
20,석유판매업,09_28_08_P,5710000,2017573500501200001,2017-11-29,,1,영업/정상,7,영업개시,,,,,,,,충청북도 청주시 청원구 내수읍 비상리 253,충청북도 청주시 청원구 내수읍 비상길 33-22,28147.0,형제석유,2026-03-03 09:23:23,U,2026-03-05 02:40:00,일반판매소,251899.551363995,356673.464899952,,,,형제석유_충청북도청주시청원구내수읍비상리253
52,석유판매업,09_28_08_P,4420000,2015442007601500001,2015-01-21,,2,휴업,5,사업휴지,,2025-03-31,2026-03-31,,043 544 5180,1733.0,,충청북도 보은군 보은읍 학림리 334-8,충청북도 보은군 보은읍 남부로 5084,,천봉주유소,2026-03-05 13:14:40,U,2026-03-07 02:40:00,주유소,264315.201495094,337202.54784407,,,,천봉주유소_충청북도보은군보은읍학림리334-8
38,석유판매업,09_28_08_P,3330000,2012333010301500001,2012-11-28,,1,영업/정상,7,영업개시,,,,,051 717 3070,441.6,,부산광역시 해운대구 송정동 109-3,부산광역시 해운대구 해운대로 1217 (송정동),,송정역주유소,2026-03-04 10:34:57,U,2026-03-06 02:40:00,주유소,400745.778147171,190487.208973785,,,,송정역주유소_부산광역시해운대구송정동109-3
