"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","전문인력총수","자본금","시설장비","타기관이전여부",
"1","지하수시공업체","09_29_01_P","5310000","C001954110017456L00","2009-04-02","","01","영업/정상","1","영업","","","","","","","","경상남도 진주시 문산읍 상문리 202-2","경상남도 진주시 문산읍 문산로 957","","대성이엔씨(주)","2026-03-03 21:10:13","U","2026-03-05 02:40:00","","308818.412760039","185921.984243726","2","200000000","천공기(DS-0485), 공기압축기(XHP900WCAT)","1",
"2","지하수시공업체","09_29_01_P","4860000","C002001140053618L00","2015-06-25","","01","영업/정상","1","영업","","","","","","","","전라남도 곡성군 오곡면 오지리 1238-2","전라남도 곡성군 옥과면 리문5길 16, 1층 103호","57504","성도건설유한회사","2026-03-03 08:56:15","U","2026-03-05 02:40:00","","228176.180273224","197405.607710637","2","400000000","","0",
"3","지하수시공업체","09_29_01_P","3780000","C001311110042471L00","1999-10-04","","01","영업/정상","1","영업","","","","","","","","경기도 성남시 분당구 수내동 16-5 오너스타워 601호","경기도 성남시 분당구 황새울로200번길 28, 601호 (수내동, 오너스타워)","","도성엔지니어링(주)","2026-03-03 17:51:35","U","2026-03-05 02:40:00","","","","2","200000000","","0",
"4","지하수시공업체","09_29_01_P","4510000","C001645110019671L00","2026-03-04","","01","영업/정상","1","영업","","","","","","","","충청남도 보령시 명천동 14-8","충청남도 보령시 성주산로 166, 에이동 104호 (명천동)","33482","한빛포장건설(주)","2026-03-04 14:31:51","I","2026-03-06 00:20:02","","165953.188515812","314912.523134147","2","545000000","착정장비(천공기 충남22고1379)-산수개발(주)와 장비임대차계약서","0",
"5","지하수시공업체","09_29_01_P","5600000","C007823101667000000","2025-08-13","","01","영업/정상","1","영업","","","","","","","","경기도 포천시 가산면 마산리 431","경기도 포천시 가산면 가산로 303","11164","가산지하수","2026-03-04 17:50:27","I","2026-03-06 00:20:02","","216065.372925041","482530.576719087","2","30347000","","0",
"6","지하수시공업체","09_29_01_P","3780000","C001353110001924L00","1998-01-24","","01","영업/정상","1","영업","","","","","","","","경기도 성남시 중원구 성남동 3779 세종빌딩 402호","경기도 성남시 중원구 제일로 43, 세종빌딩 402호 (성남동)","","(주)강동엔지니어링","2026-03-04 09:45:02","U","2026-03-06 02:40:00","","211994.121990286","436527.367495717","6","310000000","","0",
"7","지하수시공업체","09_29_01_P","5050000","C002301110121879L00","2022-11-09","","01","영업/정상","1","영업","","","","","","","","경상북도 경주시 외동읍 괘릉리 697-2","경상북도 경주시 외동읍 산업로 2765","","주식회사 동서지하수개발","2026-03-04 09:21:54","U","2026-03-06 02:40:00","","409208.601179481","253262.250781693","2","50000000","","0",
"8","지하수시공업체","09_29_01_P","4540000","C001615110043540L00","2018-03-15","2026-03-04","03","폐업","2","취소정지업체","","","","","","","","","충청남도 논산시 상월면 백일헌로 1046-1","32904","국도건설(주)","2026-03-04 16:26:54","U","2026-03-06 02:40:00","","212669.569171114","310517.672579818","2","410000000","","0",
"9","지하수시공업체","09_29_01_P","3230000","C001101114529305L00","2020-06-04","2026-03-04","03","폐업","2","취소정지업체","","","","","","","","서울특별시 송파구 문정동 651-6 문정헤리움써밋타워 1303호","서울특별시 송파구 법원로8길 13, 문정헤리움써밋타워 1303호 (문정동)","05855","지우이앤이(주)","2026-03-05 13:11:55","U","2026-03-07 02:40:00","","","","2","800000000","유압식시추기 임대(SUPPERPOWER 4500SD)(80모5212)","0",
"10","지하수시공업체","09_29_01_P","4781000","C002146140002461L00","2015-01-16","2026-03-05","03","폐업","2","취소정지업체","","","","","","","","","전북특별자치도 고창군 고창읍 월곡로 55","","유한회사 부광건설","2026-03-05 14:16:19","U","2026-03-07 02:40:00","","173668.642452475","215265.858889133","3","652000000","착정기 : YJ-0852 (임대)
공기압축기 : XRVS455MD","0",
"11","지하수시공업체","09_29_01_P","4781000","C002146140000902L00","2015-01-16","2026-03-05","03","폐업","2","취소정지업체","","","","","","","","","전북특별자치도 고창군 고창읍 월곡로 55","","(유)유진건설","2026-03-05 14:15:53","U","2026-03-07 02:40:00","","173668.642452475","215265.858889133","4","610000000","천공기 : YJ-0852(임대)
공기압축기 : XP825WCU","0",
"12","지하수시공업체","09_29_01_P","4711000","C002101110127178L00","2023-04-17","","01","영업/정상","1","영업","","","","","","","","전북특별자치도 김제시 서암동 447-4","전북특별자치도 김제시 남북로 177-1, 2층 (요촌동)","54389","주식회사 온길","2026-03-05 10:59:51","U","2026-03-07 02:40:00","","189005.219438017","256023.12724586","2","500000000","1. 천공기(시추기) SJ-0659
2. 공기압축기 XRVS487CD","0",
