번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),환경업무구분명,폐기물처리업구분명,폐기물처리업별처리구분명,폐기물구분명,허용보관량,허용보관량내용,Unnamed: 34,record_key
76,건설폐기물처리업,09_30_05_P,3920000,392000092199600001,2026-03-05,,1,영업/정상,BBBB,영업,,,,,031-866-0557,,483-120,경기도 동두천시 상패동 641 외,경기도 동두천시 삼육사로652번길 35 (상패동),11341,(주)두성기업,2026-03-05 13:24:28,U,2026-03-07 02:40:00,,202253.601650469,489495.941549355,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,0.0,,,(주)두성기업_경기도동두천시상패동641외
57,건설폐기물처리업,09_30_05_P,4570000,457000092202600001,2026-03-05,,1,영업/정상,BBBB,영업,,,,,,,,충청남도 부여군 부여읍 군수리 48,"충청남도 부여군 부여읍 신기정로 72-25, 3동 2호",33170,주식회사 명원산업,2026-03-05 09:08:57,I,2026-03-07 00:20:02,,191530.382904392,307260.307009157,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,주식회사명원산업_충청남도부여군부여읍군수리48
22,건설폐기물처리업,09_30_05_P,4060000,406000092199800012,2026-03-03,,1,영업/정상,BBBB,영업,,,,,0319419425,,413-821,경기도 파주시 조리읍 뇌조리 517,경기도 파주시 조리읍 정문로 70-33,,문화기업(주),2026-03-03 10:40:57,U,2026-03-05 02:40:00,,183790.496452958,474283.618832913,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,48629.0,,,문화기업(주)_경기도파주시조리읍뇌조리517
73,건설폐기물처리업,09_30_05_P,5120000,512000092202400001,2026-02-11,,1,영업/정상,BBBB,영업,,,,,054-552-3931,,,경상북도 문경시 마성면 하내리 95-4,,,주식회사 대지,2026-03-05 17:33:47,U,2026-03-07 02:40:00,,,,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,12000.0,,,주식회사대지_경상북도문경시마성면하내리95-4
61,건설폐기물처리업,09_30_05_P,4910000,491000092200600002,2026-01-23,,1,영업/정상,BBBB,영업,,,,,0618648101,,529-805,전라남도 장흥군 장흥읍 금산리 841-6,전라남도 장흥군 장흥읍 흥성로 453-5,529-805,주식회사 일등,2026-03-05 15:10:57,U,2026-03-07 02:40:00,,192866.585134936,134122.460586175,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,8000.0,,,주식회사일등_전라남도장흥군장흥읍금산리841-6
42,건설폐기물처리업,09_30_05_P,3590000,359000092202500001,2025-10-23,,1,영업/정상,BBBB,영업,,,,,0622340974,,,광주광역시 동구 내남동 332-5,광주광역시 동구 남문로 285 (내남동),61514,유한회사 청연에코,2026-03-04 14:58:01,U,2026-03-06 02:40:00,,,,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,유한회사청연에코_광주광역시동구내남동332-5
82,건설폐기물처리업,09_30_05_P,4390000,439000092200800002,2025-10-20,,1,영업/정상,BBBB,영업,,,,,8460369,,380-956,충청북도 충주시 안림동 477-2,충청북도 충주시 안림로 26 (안림동),380-110,(주)문화환경개발,2026-03-05 11:44:29,U,2026-03-07 02:40:00,,284513.473942106,385737.254767187,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)문화환경개발_충청북도충주시안림동477-2
5,건설폐기물처리업,09_30_05_P,5070000,507000092200900004,2025-10-20,,1,영업/정상,BBBB,영업,,,,,0548586377,,,경상북도 안동시 수하동 797-68,경상북도 안동시 앙실2길 83 (수하동),760-420,대성골재(주),2026-03-03 15:09:45,U,2026-03-05 02:40:00,,350156.983983475,341311.225440358,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,대성골재(주)_경상북도안동시수하동797-68
32,건설폐기물처리업,09_30_05_P,4181000,418100092200800001,2025-10-20,,1,영업/정상,BBBB,영업,,,,,0332611234,,,강원특별자치도 춘천시 신동면 혈동리 607-1,강원특별자치도 춘천시 신동면 한치로 495,24411,주식회사 강토개발,2026-03-04 11:16:39,U,2026-03-06 02:40:00,,259809.044603012,475857.84367573,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,19900.0,,,주식회사강토개발_강원특별자치도춘천시신동면혈동리607-1
1,건설폐기물처리업,09_30_05_P,4810000,481000092202000002,2025-10-10,,1,영업/정상,BBBB,영업,,,,,0616847066,,,"전라남도 여수시 소라면 대포리 809-1 , 801, 803",,,(주)바나,2026-03-02 08:27:42,U,2026-03-04 02:40:00,,256355.424731247,145229.807627791,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,0.0,,,"(주)바나_전라남도여수시소라면대포리809-1,801,803"
