"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무실면적","소독차량차고면적","초미립자살포기수","휴대용소독기수","동력분무기수","수동식분무기수","방독면수","보호안경수","보호용의복수","진공청소기수",
"1","소독업","09_30_11_P","5680000","PHMB520265680060042500001","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","","충청남도 당진시 합덕읍 덕평로 523","31812","보트드론병원","2026-03-03 14:11:15","I","2026-03-05 00:20:02","","180042.188912303","367194.367004739","32.04","87648","1","2","0","3","2","2","2","1",
"2","소독업","09_30_11_P","3740000","PHMB520263740106042500001","2026-02-20","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 영통구 영통동 1010-1 월드프라자","경기도 수원시 영통구 청명남로 32, 월드프라자 5층 5115호 (영통동)","16705","프라임 빌딩 케어 영통점","2026-03-03 15:01:22","I","2026-03-05 00:20:02","","206645.947346781","416731.254688214","0","0","1","2","0","3","5","5","5","1",
"3","소독업","09_30_11_P","3480000","PHMB520263480012042500003","2026-02-27","","01","영업/정상","13","영업중","","","","","","","","대구광역시 달성군 화원읍 성산리 105","대구광역시 달성군 화원읍 사문진로 319-6, 1층","42941","워시","2026-03-03 14:35:43","I","2026-03-05 00:20:02","","334140.503962851","257540.250920146","0","0","1","2","0","3","5","5","5","1",
"4","소독업","09_30_11_P","4191000","PHMB520264191050042500005","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 소초면 흥양리 206-2","강원특별자치도 원주시 소초면 황골로 388-4","26310","유진환경","2026-03-03 15:27:14","I","2026-03-05 00:20:02","","288734.297037417","429685.252364107","18","57","1","2","0","3","2","2","2","1",
"5","소독업","09_30_11_P","5710000","PHMB520265710108042500002","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 흥덕구 봉명동 465-2","충청북도 청주시 흥덕구 직지대로635번길 92, 2층 202호 (봉명동)","28475","브리지컴퍼니","2026-03-03 17:59:44","I","2026-03-05 00:20:02","","241609.1","349638.73","22.1","5.2","1","2","0","3","5","5","5","1",
"6","소독업","09_30_11_P","3600000","PHMB520043600020042500006","2004-09-16","","01","영업/정상","13","영업중","","","","","062-383-1482","","","광주광역시 서구 덕흥동 29번지 8호","광주광역시 서구 무진대로 567 (덕흥동)","61900","목송산업개발(주)","2026-03-03 17:03:03","U","2026-03-05 02:40:00","","185567.679118206","184910.952834682","0","0","1","2","1","5","5","5","5","1",
"7","소독업","09_30_11_P","4191000","PHMB520104190023042500002","2010-02-16","","01","영업/정상","13","영업중","","","","","033-766-4607","","","강원특별자치도 원주시 반곡동 1380번지 2호","강원특별자치도 원주시 반곡길 168-2, 2층 (반곡동)","26457","(주)녹색","2026-03-03 15:23:40","U","2026-03-05 02:40:00","","286027.189988439","425687.950617617","138.22","14.73","1","2","1","5","5","5","5","1",
"8","소독업","09_30_11_P","5050000","PHMB520095050041042500006","2009-05-20","","03","폐업","03","폐업","2026-03-03","","","","","","","경상북도 경주시 성건동 55번지 52호","경상북도 경주시 북문로55번길 52 (성건동)","38132","대경","2026-03-03 13:03:54","U","2026-03-05 02:40:00","","399459.326208147","263857.003262342","0","0","1","2","0","3","5","5","5","1",
"9","소독업","09_30_11_P","3600000","PHMB520193600020042500004","2019-09-05","","01","영업/정상","13","영업중","","","","","","","","광주광역시 서구 덕흥동 29-6","광주광역시 서구 무진대로 565(덕흥동)","61900","이조은주식회사","2026-03-03 17:06:26","U","2026-03-05 02:40:00","","185536.082380335","184910.801253235","166","25.16","1","2","0","3","5","5","5","1",
"10","소독업","09_30_11_P","3580000","PHMB520183580013042500001","2018-06-08","","02","휴업","02","휴업","","2026-01-15","2026-07-14","","","","","인천광역시 옹진군 영흥면 외리 470번지 1호 고향숯불갈비","인천광역시 옹진군 영흥면 영흥남로 187, 고향숯불갈비","23121","외리 소장골 발전위원회 협동조합","2026-03-03 17:58:47","U","2026-03-05 02:40:00","","152232.725686491","415556.536340245","0","0","1","2","0","3","5","5","5","1",
"11","소독업","09_30_11_P","3400000","PHMB520203400099042500002","2020-03-24","","01","영업/정상","13","영업중","","","","","051-724-3457","","","부산광역시 기장군 기장읍 대라리 147번지 20호","부산광역시 기장군 기장읍 차성로 236, 1층","46070","더해드림","2026-03-03 16:35:58","U","2026-03-05 02:40:00","","401432.94531036","195477.728007257","43.2","19.72","1","2","0","3","5","5","5","1",
