번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),법인구분명,구분명,Unnamed: 30,record_key
120,유료직업소개소,11_50_02_P,3910000,2026391041814500003,2026-03-05,,1,영업/정상,20,영업중,,,,,,,,경기도 평택시 평택동 68-41,경기도 평택시 중앙로 28-1 (평택동),17911,대원국제인력직업소개소,2026-03-05 15:29:22,I,2026-03-07 00:20:02,,207609.23430835,388138.433873371,개인,유료,,대원국제인력직업소개소_경기도평택시평택동68-41
118,유료직업소개소,11_50_02_P,3740000,2026377004114500003,2026-03-05,,1,영업/정상,20,영업중,,,,,,,,경기도 수원시 팔달구 인계동 158-15 전원빌딩,"경기도 수원시 팔달구 중부대로206번길 10, 전원빌딩 203호 (인계동)",16530,사임당 홈케어 수원지사,2026-03-05 13:06:25,I,2026-03-07 00:20:02,,203312.359246203,419338.754166564,개인,유료,,사임당홈케어수원지사_경기도수원시팔달구인계동158-15전원빌딩
117,유료직업소개소,11_50_02_P,5710000,2026573502414500002,2026-03-05,,1,영업/정상,20,영업중,,,,,,,,충청북도 청주시 청원구 우암동 380-6,"충청북도 청주시 청원구 향군로74번길 3, 1층 101호 (우암동)",28488,워크몰,2026-03-05 15:18:16,I,2026-03-07 00:20:02,,243239.734072963,350207.71774082,개인,유료,,워크몰_충청북도청주시청원구우암동380-6
54,유료직업소개소,11_50_02_P,3070000,2026307029814500004,2026-03-04,,1,영업/정상,20,영업중,,,,,,,,서울특별시 성북구 동선동4가 130 한스바움 지하1층,"서울특별시 성북구 동소문로23길 8-16, 한스바움 지하1층 (동선동4가)",02829,주식회사 피에스씨시큐리티,2026-03-04 11:17:13,I,2026-03-06 00:20:02,,201531.986011434,454691.163561268,법인,유료,,주식회사피에스씨시큐리티_서울특별시성북구동선동4가130한스바움지하1층
49,유료직업소개소,11_50_02_P,5080000,2026508034814500003,2026-03-04,,1,영업/정상,20,영업중,,,,,,,,경상북도 구미시 도량동 608-23,경상북도 구미시 문장로 68-6 (도량동),39198,새벽을 여는 사람들,2026-03-04 14:33:25,I,2026-03-06 00:20:02,,319862.786132781,294020.226971422,개인,유료,,새벽을여는사람들_경상북도구미시도량동608-23
59,유료직업소개소,11_50_02_P,3110000,2026311028114500003,2026-03-04,,1,영업/정상,20,영업중,,,,,,,,서울특별시 은평구 응암동 749-60 1층,"서울특별시 은평구 응암로12길 19, 1층 (응암동)",03479,(A+)에스엠천사,2026-03-04 20:26:23,I,2026-03-06 00:20:02,,192773.388383062,453918.691831018,개인,유료,,(A+)에스엠천사_서울특별시은평구응암동749-601층
57,유료직업소개소,11_50_02_P,3560000,2026356028614500003,2026-03-04,,1,영업/정상,20,영업중,,,,,,,,인천광역시 서구 신현동 140-105,"인천광역시 서구 염곡로 343-5, 103호 (신현동)",22781,트러스톤,2026-03-04 11:33:21,I,2026-03-06 00:20:02,,170592.464488588,445942.377642374,개인,유료,,트러스톤_인천광역시서구신현동140-105
48,유료직업소개소,11_50_02_P,3780000,2026378038514500004,2026-03-04,,1,영업/정상,20,영업중,,,,,,,,경기도 성남시 중원구 성남동 4936 성남 모란드림시티,"경기도 성남시 중원구 둔촌대로80번길 3-15, 성남 모란드림시티 108호 (성남동)",13383,악어인력 성남지점,2026-03-04 15:57:50,I,2026-03-06 00:20:02,,211288.118982424,436296.386487629,개인,유료,,악어인력성남지점_경기도성남시중원구성남동4936성남모란드림시티
53,유료직업소개소,11_50_02_P,3340000,2026334018214500001,2026-03-04,,1,영업/정상,20,영업중,,,,,,,,부산광역시 사하구 하단동 497-12 19-1호,"부산광역시 사하구 낙동대로 534, 4층 19-1호 (하단동)",49324,부산강서사하베스트맘,2026-03-04 16:55:38,I,2026-03-06 00:20:02,,379091.980766967,180953.660491294,개인,유료,,부산강서사하베스트맘_부산광역시사하구하단동497-1219-1호
51,유료직업소개소,11_50_02_P,3720000,2026372021014500001,2026-03-04,,1,영업/정상,20,영업중,,,,,,,,울산광역시 북구 호계동 260-1,울산광역시 북구 동대16길 6 (호계동),44227,1004간병사센터,2026-03-04 13:24:10,I,2026-03-06 00:20:02,,412976.724945731,239080.499025511,개인,유료,,1004간병사센터_울산광역시북구호계동260-1
50,유료직업소개소,11_50_02_P,5080000,2026508034814500004,2026-03-04,,1,영업/정상,20,영업중,,,,,,,,경상북도 구미시 송정동 464-2,"경상북도 구미시 신시로10길 7-5, 201호 (송정동)",39287,동행간병인력지원센터,2026-03-04 14:34:33,I,2026-03-06 00:20:02,,320562.428971955,291361.574273391,개인,유료,,동행간병인력지원센터_경상북도구미시송정동464-2
56,유료직업소개소,11_50_02_P,3550000,2026355012814500003,2026-03-04,,1,영업/정상,20,영업중,,,,,,,,인천광역시 계양구 계산동 1062 하이베라스,"인천광역시 계양구 계산새로 71, 하이베라스 C동 9층 912-1호 (계산동)",21060,하나로전기,2026-03-04 15:43:10,I,2026-03-06 00:20:02,,176607.326609066,448516.12033842,개인,유료,,하나로전기_인천광역시계양구계산동1062하이베라스
9,유료직업소개소,11_50_02_P,5410000,2026541011214500002,2026-03-03,,1,영업/정상,20,영업중,,,,,,,,경상남도 창녕군 창녕읍 술정리 321,"경상남도 창녕군 창녕읍 당산길 10, 3층",50324,가람인력,2026-03-03 10:56:37,I,2026-03-05 00:20:02,,335325.463083226,227763.215459944,개인,유료,,가람인력_경상남도창녕군창녕읍술정리321
10,유료직업소개소,11_50_02_P,4080000,2026408026214500003,2026-03-03,,1,영업/정상,20,영업중,,,,,,,,경기도 안성시 고삼면 쌍지리 865-1,경기도 안성시 고삼면 산문길 65,17504,굿모닝솔루션,2026-03-03 08:55:31,I,2026-03-05 00:20:02,,226288.420628316,399534.30826037,개인,유료,,굿모닝솔루션_경기도안성시고삼면쌍지리865-1
8,유료직업소개소,11_50_02_P,3460000,2026346019714500004,2026-03-03,,1,영업/정상,20,영업중,,,,,,,,대구광역시 수성구 황금동 675-8 2층,"대구광역시 수성구 범어천로 38, 2층 (황금동)",42140,지앤수 인사노무컨설팅,2026-03-03 14:01:09,I,2026-03-05 00:20:02,,346608.103690823,262346.546436134,개인,유료,,지앤수인사노무컨설팅_대구광역시수성구황금동675-82층
