"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1","의원","01_01_02_P","3930000","PHMA120263930154041100003","2026-03-05","","01","영업/정상","13","영업중","","","","","0310000000","","","경기도 안산시 단원구 고잔동 528 블루빌타운","경기도 안산시 단원구 화랑로 408, 블루빌타운 201~203,205~206호 (고잔동)","15352","톤즈의원","2026-04-01 15:27:42","I","2026-04-03 00:20:02","의원","185136.553130884","424322.619514634","의원","1","0","0","598.02","114 108","성형외과, 피부과","","","","0","0","","","0","",
"2","의원","01_01_02_P","5530000","PHMA120265530659041100002","2026-03-23","","01","영업/정상","13","영업중","","","","","031-890-2828","","","경기도 화성시 효행구 기안동 357-1","경기도 화성시 효행구 효행로 271, 1층 (기안동)","18337","365편한일층치과의원","2026-04-01 13:07:24","I","2026-04-03 00:20:02","치과의원","197559.026417521","413534.259689286","치과의원","1","0","0","356.63","412 411 410 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"3","의원","01_01_02_P","5050000","PHMA120265050041041100002","2026-04-01","","01","영업/정상","13","영업중","","","","","0540000000","","","경상북도 경주시 내남면 이조리 1008-119","경상북도 경주시 내남면 이조중앙길 13-1, 1층","38193","내남명가한의원","2026-04-01 17:40:33","I","2026-04-03 00:20:02","한의원","398789.86644451","252334.991594883","한의원","1","0","0","50","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"4","의원","01_01_02_P","3110000","PHMA120263110032041100005","2026-03-31","","01","영업/정상","13","영업중","","","","","02-6380-1234","","","서울특별시 은평구 응암동 602-45","서울특별시 은평구 응암로 180, 1층 (응암동)","03478","은평마디튼튼365의원","2026-04-01 08:57:34","I","2026-04-03 00:20:02","의원","192602.666171895","453975.544066201","의원","0","0","0","220.05","120 109 106 105","정형외과, 신경외과, 마취통증의학과, 재활의학과","","","","0","0","","","0","",
"5","의원","01_01_02_P","5710000","PHMA120134360069041100006","2013-12-23","","01","영업/정상","13","영업중","","","","","043-250-2080","","","충청북도 청주시 상당구 문화동 93-1 107호 108호","충청북도 청주시 상당구 상당로 66, 나보나스퀘어 107, 108호 (문화동)","28516","고치과의원","2026-04-01 09:08:17","U","2026-04-03 02:40:00","치과의원","243846.777824207","348232.004553801","치과의원","1","0","0","186.84","412 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 통합치의학과","","","","0","0","","","0","",
"6","의원","01_01_02_P","5380000","PHMA120235380021041100017","2023-09-12","","03","폐업","03","폐업","2026-04-01","","","","055-362-2500","","","경상남도 양산시 물금읍 증산리 1734-2 나래클래스","경상남도 양산시 물금읍 증산역로 136, 나래클래스 4,5,6층 101,105,106호","50614","양산힐링의원","2026-04-01 13:25:12","U","2026-04-03 02:40:00","의원","382253.204110225","203026.918091472","의원","3","21","29","181944","114 113 122 116 104 105 106 101 102 120","내과, 신경과, 외과, 정형외과, 신경외과, 이비인후과, 피부과, 영상의학과, 재활의학과, 가정의학과","","","","0","0","","","0","",
"7","의원","01_01_02_P","3470000","PHMA120163470022041100020","2016-04-22","","03","폐업","03","폐업","2026-03-31","","","","053-719-2882","","","대구광역시 달서구 월성동 1811번지","대구광역시 달서구 조암로 4, 4층 (월성동, 그루메디컬빌딩)","42752","다니엘소아청소년과의원","2026-04-01 09:13:45","U","2026-04-03 02:40:00","의원","338114.29527645","259533.492160652","의원","1","0","0","99.2","114 113 112 111","소아청소년과, 안과, 이비인후과, 피부과","","","","0","0","","","0","",
"8","의원","01_01_02_P","4600000","PHMA120164600019041100003","2016-05-04","","03","폐업","03","폐업","2018-03-08","","","","041-631-7900","","","","충청남도 홍성군 홍성읍 문화로 97 (새누리병원)","32237","새누리 정형외과의원","2026-04-01 11:11:48","U","2026-04-03 02:40:00","의원","169678.461329821","343945.457427993","의원","2","8","29","1998.84","105","정형외과","","","","0","0","","","0","",
"9","의원","01_01_02_P","4191000","PHMA120214190023041100012","2021-06-08","","01","영업/정상","13","영업중","","","","","033-904-2828","","","강원특별자치도 원주시 판부면 서곡리 521-1","강원특별자치도 원주시 판부면 남원로 349, 102호","26398","유진치과의원","2026-04-01 17:50:19","U","2026-04-03 02:40:00","치과의원","283086.944024237","424399.392864136","치과의원","1","0","0","417.31","412 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 통합치의학과","","","","0","0","","","0","",
"10","의원","01_01_02_P","3530000","PHMA120133530019041100033","2013-12-09","","02","휴업","02","휴업","","2026-04-01","2026-05-19","","032-1544-0247","","","인천광역시 남동구 구월동 1474-1 3층","인천광역시 남동구 인하로507번길 22, 3층 (구월동)","21574","닥터디자이너의원","2026-04-01 10:09:46","U","2026-04-03 02:40:00","의원","173672.678809344","438048.10182199","의원","2","0","0","273.67","114","피부과","","","","0","0","","","0","",
