"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물위탁관리업","02_03_10_P","5350000","535000004820260005","2026-04-01","","01","영업/정상","0000","정상","","","","","","0","","경상남도 김해시 주촌면 천곡리 ****-*","경상남도 김해시 주촌면 선천남로 **","51025","놀러오개 애견유치원 애견호텔 김해점","2026-04-01 10:05:10","I","2026-04-03 00:20:02","","367583.189627407","193901.310637869","동물위탁관리업","동물위탁관리업","000","0",
"2","동물위탁관리업","02_03_10_P","3070000","307000004820260002","2026-04-01","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 성북구 동소문동*가 ***-*","서울특별시 성북구 보문로**길 **, *~*층 (동소문동*가)","02846","헬로우버디 애견유치원 애견호텔 성북점","2026-04-01 15:52:00","I","2026-04-03 00:20:02","","201385.294160137","454281.674590183","동물위탁관리업","동물위탁관리업","L00","0",
"3","동물위탁관리업","02_03_10_P","4490000","566000004820260001","2026-04-01","","01","영업/정상","0000","정상","","","","","","0","","충청남도 천안시 서북구 성성동 *** ***호","충청남도 천안시 서북구 성성*로 *, *층 ***호 (성성동)","31078","메이드인댕","2026-04-01 11:10:20","I","2026-04-03 00:20:02","","211412.651836465","370929.80080022","동물위탁관리업","동물위탁관리업","000","0",
"4","동물위탁관리업","02_03_10_P","5530000","574000004820230008","2023-06-21","","01","영업/정상","0000","정상","","","","","","0","","경기도 화성시 만세구 팔탄면 해창리 ***-*","경기도 화성시 만세구 팔탄면 *.*만세로 ***","18578","동물보육원 화성 향남지부","2026-04-01 10:42:59","U","2026-04-03 02:40:00","","188498.076215878","400755.384223142","동물위탁관리업","동물위탁관리업","000","0",
"5","동물위탁관리업","02_03_10_P","4620000","462000004820250001","2025-07-30","","01","영업/정상","0000","정상","","","","","","0","","충청남도 태안군 태안읍 동문리 ***-**","충청남도 태안군 태안읍 독샘로 **","32141","똥강아지","2026-04-01 15:58:25","U","2026-04-03 02:40:00","","137321.845994148","361569.16896639","동물위탁관리업","동물위탁관리업","000","0",
"6","동물위탁관리업","02_03_10_P","6520000","652000004820220002","2022-03-10","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 서귀포시 대정읍 구억리 ***-**","제주특별자치도 서귀포시 대정읍 중산간서로 ****","63519","왈 도그 케어 플레이스(WAL Dog Care Place Ltd)","2026-04-01 15:48:49","U","2026-04-03 02:40:00","","134064.49978276","-23840.2500998795","동물위탁관리업","동물위탁관리업","000","0",
"7","동물위탁관리업","02_03_10_P","3410000","341000004820180009","2018-05-01","","03","폐업","0002","폐업","2026-04-01","","","","","0","","대구광역시 중구 봉산동 *-*","대구광역시 중구 동성로*길 **-** (봉산동)","41942","디캣","2026-04-01 15:29:05","U","2026-04-03 02:40:00","","344023.037152877","264157.313057385","동물위탁관리업","동물위탁관리업","000","0",
"8","동물위탁관리업","02_03_10_P","3230000","323000004820220002","2022-02-07","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 송파구 잠실동 ***-*","서울특별시 송파구 백제고분로 ***, *층 (잠실동)","05568","MM애견공간","2026-04-01 17:02:21","U","2026-04-03 02:40:00","","207470.712728226","444798.50278186","동물위탁관리업","동물위탁관리업","000","0",
"9","동물위탁관리업","02_03_10_P","3130000","313000004820230006","2023-10-27","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 마포구 망원동 ***-*","서울특별시 마포구 월드컵로 ***, B*층 (망원동)","04011","개소리애견유치원","2026-04-01 15:10:28","U","2026-04-03 02:40:00","","191831.352522289","450600.01554229","동물위탁관리업","동물위탁관리업","000","0",
"10","동물위탁관리업","02_03_10_P","3940000","396010004820260003","2026-04-02","","01","영업/정상","0000","정상","","","","","","0","","경기도 고양시 일산동구 백석동 ****-* *층","경기도 고양시 일산동구 강촌로**번길 **, *층 (백석동)","10424","올라도그","2026-04-02 09:36:52","I","2026-04-04 00:20:02","","180545.015","460391.95","동물위탁관리업","동물위탁관리업","000","0",
