"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","게임물제작업","03_05_02_P","3050000","CDFF2241082026000002","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 용두동 ***-** 두산베어스타워","서울특별시 동대문구 왕산로 **, ***호 (용두동, 두산베어스타워)","02577","주식회사 플로릭스","2026-04-01 19:10:30","I","2026-04-03 00:20:02","","202792.678699836","452915.127892459","게임물제작업","유통관련업","0","","모바일 게임","12","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","게임물제작업","03_05_02_P","5710000","CDFF2241082026000014","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 서원구 성화동 *** 성화호반베르디움","충청북도 청주시 서원구 구룡산로 **, ***동 ****호 (성화동, 성화호반베르디움)","28616","주식회사 파이널블로우","2026-04-01 11:42:13","I","2026-04-03 00:20:02","","240008.022212738","345973.258054064","게임물제작업","유통관련업","0","","온라인 게임 소프트웨어","12","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","게임물제작업","03_05_02_P","5710000","CDFF2241082026000015","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 상당구 용암동 ****","충청북도 청주시 상당구 동남로**번길 **, ***호 (용암동)","28785","더블유소프트 주식회사","2026-04-01 17:34:35","I","2026-04-03 00:20:02","","245740.072247661","345047.469612047","게임물제작업","유통관련업","0","","모바일 및 PC게임","96.58","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","게임물제작업","03_05_02_P","5710000","CDFF2241082026000012","2024-04-02","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 청원구 내덕동 ***-* 문화제조창 청주시청제*임시청사","충청북도 청주시 청원구 상당로 ***, 문화제조창 청주시청제*임시청사 G**호 (내덕동)","28501","스튜디오 불완전연소","2026-04-01 13:09:15","I","2026-04-03 00:20:02","","243762.803672115","350640.306254882","게임물제작업","유통관련업","0","","게임 SW","34.59","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","게임물제작업","03_05_02_P","3920000","CDFF2241082026000001","2018-09-11","","01","영업/정상","13","영업중","","","","","","","","경기도 동두천시 상패동 ***-* *동","경기도 동두천시 벌마들로 **, *동 (상패동)","11340","네오파니","2026-04-01 08:35:47","I","2026-04-03 00:20:02","","203408.961177787","488855.510331088","게임물제작업","유통관련업","1","기타","아케이드게임기","395.75","1","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반공업지역",
"6","게임물제작업","03_05_02_P","4520000","CDFF2241082026000006","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 배방읍 장재리 **** 창조빌딩","충청남도 아산시 배방읍 희망로**번길 **-*, 창조빌딩 ***호","31470","묵게임즈","2026-04-01 09:18:04","I","2026-04-03 00:20:02","","209515.532158833","365351.765587593","게임물제작업","유통관련업","0","","pc게임","50","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","게임물제작업","03_05_02_P","4520000","CDFF2241082026000007","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 배방읍 장재리 **** 요진 와이시티","충청남도 아산시 배방읍 광장로 ***, C동 ***호 (요진 와이시티)","31471","몬케이지","2026-04-01 13:03:17","I","2026-04-03 00:20:02","","209607.678241892","366057.870585316","게임물제작업","유통관련업","0","","게임소프트웨어","94.12","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","게임물제작업","03_05_02_P","4520000","CDFF2241082026000008","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 배방읍 장재리 **** 창조빌딩","충청남도 아산시 배방읍 희망로**번길 **-*, 창조빌딩 ***호","31470","블라썸게임즈(BlossomGames)","2026-04-01 13:04:58","I","2026-04-03 00:20:02","","209515.532158833","365351.765587593","게임물제작업","유통관련업","0","","게임","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","게임물제작업","03_05_02_P","4520000","CDFF2241082026000009","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 배방읍 장재리 **** 요진 와이시티","충청남도 아산시 배방읍 광장로 ***, C동 *층 ***호 (요진 와이시티)","31471","하드 코더스","2026-04-01 16:38:31","I","2026-04-03 00:20:02","","209607.678241892","366057.870585316","게임물제작업","유통관련업","0","","게임","81.14","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","게임물제작업","03_05_02_P","3110000","CDFF2241082026000005","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","서울특별시 은평구 신사동 *-* 신아굿모닝아파트 B동 ***호","서울특별시 은평구 갈현로*가길 *-*, B동 ***호 (신사동, 신아굿모닝아파트)","03423","프레브 스톤","2026-04-01 10:43:47","I","2026-04-03 00:20:02","","192104.732835443","455321.763320111","게임물제작업","유통관련업","0","","모바일,PC게임","61.02","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"11","게임물제작업","03_05_02_P","3990000","CDFF2241082026000004","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 퇴계원읍 퇴계원리 **-* 염광빌딩","경기도 남양주시 퇴계원읍 퇴계원로 ***, 염광빌딩 *층 ***-s**호","12120","말랑프렌즈","2026-04-01 17:52:36","I","2026-04-03 00:20:02","","212602.991777873","461591.55298432","게임물제작업","유통관련업","6","기타","온라인 및 모바일 게임","1.65","5","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"12","게임물제작업","03_05_02_P","3210000","CDFF2241082026000010","2026-02-26","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 방배동 ***-**","서울특별시 서초구 서초대로 ***, *층 ***호 (방배동)","06588","브이아이씨테크","2026-04-01 10:02:07","I","2026-04-04 00:20:02","","199709.10949192","442989.927625163","게임물제작업","유통관련업","0","","pc용 게임","24.8","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"13","게임물제작업","03_05_02_P","3210000","CDFF2241082026000011","2022-12-05","","01","영업/정상","13","영업중","","","","","02-6934-2281","","","서울특별시 서초구 서초동 ****-* 지젤시그니티 서초 **호","서울특별시 서초구 효령로**길 **, 지젤시그니티 서초 **호 (서초동)","06651","주식회사 쉐어링소프트","2026-04-02 14:01:01","I","2026-04-04 00:20:02","","201096.166530262","442769.552530239","게임물제작업","유통관련업","0","","모바일게임, pc게임","167.18","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"14","게임물제작업","03_05_02_P","5540000","CDFF2241082026000004","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경기도 광주시 역동 *** 이편한세상 광주역 *단지","경기도 광주시 순암로**번길 **, ***동 ***호 (역동, 이편한세상 광주역 *단지)","12777","코스믹두부","2026-04-02 09:30:38","I","2026-04-04 00:20:02","","221660.599471428","433001.837361593","게임물제작업","유통관련업","0","","PC(Steam)게임개발","59.74","2","0","아파트","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"15","게임물제작업","03_05_02_P","4090000","CDFF2241082026000003","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","경기도 김포시 구래동 ****-*","경기도 김포시 김포한강**로***번길 ***, ***-F***호 (구래동)","10071","디엠파이어","2026-04-02 18:14:47","I","2026-04-04 00:20:02","","166214.893825482","460298.273733436","게임물제작업","유통관련업","0","","모바일게임,온라인게임,pc게임","1.44","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"16","게임물제작업","03_05_02_P","4090000","CDFF2241082026000004","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","경기도 김포시 구래동 ****-**","경기도 김포시 김포한강*로**번길 **, ***-***호 (구래동)","10071","연게임즈","2026-04-02 18:17:10","I","2026-04-04 00:20:02","","166841.167900611","460220.059447846","게임물제작업","유통관련업","0","","모바일,pc,콘솔 등 게임소프트웨어","4.1","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"17","게임물제작업","03_05_02_P","3180000","CDFF2241082026000010","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 당산동*가 ***-**","서울특별시 영등포구 국회대로**길 **, *층 ***-*호 (당산동*가)","07256","주식회사 반짝이는","2026-04-02 09:40:25","I","2026-04-04 00:20:02","","190586.062540107","447216.925498911","게임물제작업","유통관련업","0","","모바일 게임","6.6","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"18","게임물제작업","03_05_02_P","3660000","CDFF2241082026000004","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","대전광역시 서구 괴정동 **-* *층","대전광역시 서구 가장로 **, *층 (괴정동)","35295","주식회사 터치플레이","2026-04-02 16:05:26","I","2026-04-04 00:20:02","","234374.800535696","315077.740306505","게임물제작업","유통관련업","0","","모바일게임","33.06","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
