"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","일반게임제공업","03_05_06_P","4191000","CDFF2241132026000003","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 우산동 90-3","강원특별자치도 원주시 우산초교길 9, 2층 (우산동)","26343","레전드 게임랜드","2026-04-01 10:16:25","I","2026-04-03 00:20:02","","283141.826701045","429844.683788665","일반게임제공업","유통관련업","0","","","184.7","0","0","","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","",
"2","일반게임제공업","03_05_06_P","3550000","CDFF2241132024000001","2024-10-04","","01","영업/정상","13","영업중","","","","","","","","인천광역시 계양구 계산동 961","인천광역시 계양구 계산천동로19번길 8-4, 2층 (계산동)","21052","땡큐 게임랜드","2026-04-01 17:54:40","U","2026-04-03 02:40:00","","175649.535718708","448533.040029742","일반게임제공업","유통관련업","0","","불타는불새8 20대, 학원전설2 60대, 불타는붉은용 20대, 물반고기반Poker 20대","209.71","0","0","","0","0","0","0","","","","","","","","","","","","131","","청소년이용불가","","","","",
"3","일반게임제공업","03_05_06_P","3190000","CDFF2241132014000003","2014-04-09","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동작구 사당동 134-2","서울특별시 동작구 동작대로 127, 지하1층 (사당동)","07008","대박 게임장","2026-04-01 08:58:55","U","2026-04-03 02:40:00","","198332.497687081","442863.050171779","일반게임제공업","유통관련업","0","","정글런(35대), 조이조이포카(30대)","91.6","0","0","판매시설","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","",
"4","일반게임제공업","03_05_06_P","4201000","CDFF2241132025000001","2025-01-02","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 교동 149-17 2층","강원특별자치도 강릉시 강릉대로 254, 2층 (교동)","25551","짱게임장","2026-04-01 08:47:04","U","2026-04-03 02:40:00","","367143.936015325","474778.502943029","일반게임제공업","유통관련업","0","","황금시리즈짱, 천해, 일포커, 999, 불새스토리","228.56","0","0","","0","0","0","0","","","","","","","","","","","","100","","청소년이용불가","","","","",
"5","일반게임제공업","03_05_06_P","5360000","CDFF2241132025000001","2025-01-23","2026-04-01","04","취소/말소/만료/정지/중지","31","등록취소","","","","","","","","경상남도 밀양시 내이동 877","경상남도 밀양시 해천길 20-3, 2층 (내이동)","50427","P.C게임방","2026-04-01 09:46:54","U","2026-04-03 02:40:00","","358792.312371979","223011.805999867","일반게임제공업","유통관련업","0","","메가스타","188.13","0","0","","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","",
"6","일반게임제공업","03_05_06_P","5080000","CDFF2241132026000003","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","경상북도 구미시 원평동 1069-7","경상북도 구미시 송원서로6길 53-4, 1층 (원평동)","39232","그린게임장","2026-04-02 10:44:25","I","2026-04-04 00:20:02","","321423.808873153","292250.107198245","일반게임제공업","유통관련업","0","","삼국지 30, 뉴미스터손 30, 서유기전 20, 로스트킹덤 10","299.52","0","0","","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","",
"7","일반게임제공업","03_05_06_P","5020000","CDFF2241132026000001","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 오천읍 문덕리 313-2","경상북도 포항시 남구 오천읍 문덕로 24, 3층","37887","베스트 게임랜드","2026-04-02 09:36:38","I","2026-04-04 00:20:02","","416694.771434222","276032.485151806","일반게임제공업","유통관련업","3","","뉴닌자포커V2,삼국지V2.0","222.42","3","0","판매시설","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","",
"8","일반게임제공업","03_05_06_P","3420000","CDFF2241132024000001","2024-08-20","","01","영업/정상","13","영업중","","","","","","","","대구광역시 동구 신암동 603-453","대구광역시 동구 아양로 55, 3층 (신암동)","41198","평화성인게임랜드","2026-04-02 15:26:29","U","2026-04-04 02:40:00","","346219.740823503","265916.564969139","일반게임제공업","유통관련업","0","기타","로얄 고도리2 Ver. 2.04(2대), 렛츠고 훌(2대), 파이럿스토리2(20대), 뉴닌자포커(20대), 남해용왕(20대), 천궁21(20대), 불새스토리(20대)","223.8","0","0","","0","0","0","0","","","","","","","","","","","","104","","청소년이용불가","","","","중심상업지역",
"9","일반게임제공업","03_05_06_P","3860000","CDFF2241132021000006","2021-08-19","","01","영업/정상","13","영업중","","","","","","","","경기도 부천시 소사구 괴안동 114-5","경기도 부천시 소사구 경인로 506, 지하1층 (괴안동)","14676","낙원게임장","2026-04-02 11:30:41","U","2026-04-04 02:40:00","","183273.55820427","442430.204360234","일반게임제공업","유통관련업","0","","판도라 FREE, PARAO 신과함께 모세, 섯다 프리, 고스톱 프리, 하모니 프리, 조커프리","215","0","0","","0","0","0","0","","","","","","","","","","","","102","","청소년이용불가","","","","",
"10","일반게임제공업","03_05_06_P","3820000","CDFF2241132023000002","2023-02-03","","01","영업/정상","13","영업중","","","","","","","","경기도 의정부시 의정부동 185-2","경기도 의정부시 호국로 1320, 3층 (의정부동)","11692","아지트 게임장","2026-04-02 14:59:53","U","2026-04-04 02:40:00","","204416.104986737","471226.445744498","일반게임제공업","유통관련업","0","","로얄 고도리2, 슈퍼강태공, 불새이야기, 해적","148.98","0","0","","0","0","0","0","","","","","","","","","","","","90","","청소년이용불가","","","","",
"11","일반게임제공업","03_05_06_P","3510500","CDFF2241132021000005","2021-03-16","","01","영업/정상","13","영업중","","","","","","","","인천광역시 미추홀구 주안동 1000-12 선영메디칼","인천광역시 미추홀구 경원대로851번길 10, 선영메디칼 3층 (주안동)","22141","세븐게임랜드","2026-04-02 10:51:53","U","2026-04-04 02:40:00","","172397.73909841","439685.350881312","일반게임제공업","유통관련업","0","","서브썬(30),대포파라다이스(30)","195.17","0","0","","0","0","0","0","","","","","","","","","","","","60","","청소년이용불가","","","","",
"12","일반게임제공업","03_05_06_P","5710000","CDFF2241132025000001","2025-03-20","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 흥덕구 가경동 1451-8","충청북도 청주시 흥덕구 풍년로142번길 9-1, 2층 (가경동)","28399","대박 게임랜드","2026-04-02 11:03:45","U","2026-04-04 02:40:00","","238752.21981039","347233.404297287","일반게임제공업","유통관련업","0","","수호지 30대, 양산박 30대, 뉴미스터손 40대","270.5","0","0","","0","0","0","0","","","","","","","","","","","","100","","청소년이용불가","","","","",
"13","일반게임제공업","03_05_06_P","3730000","CDFF2241132018000002","2018-12-21","","01","영업/정상","13","영업중","","","","","","","","울산광역시 울주군 언양읍 동부리 151-2","울산광역시 울주군 언양읍 동부7길 8-1, 1층","44941","제우스성인게임랜드","2026-04-02 17:14:57","U","2026-04-04 02:40:00","","392601.063719483","231646.193968945","일반게임제공업","유통관련업","1","","뉴미스터손, 마스터포카, 유니월드, 우주전함","153.36","1","0","","0","0","0","0","","","","","","","","","","","","70","","청소년이용불가","","","","",
"14","일반게임제공업","03_05_06_P","3910000","CDFF2241132024000006","2024-12-27","","01","영업/정상","13","영업중","","","","","","","","경기도 평택시 서정동 847-1","경기도 평택시 관광특구로 30, 3층 305~306호 (서정동)","17774","비바게임랜드","2026-04-02 15:27:43","U","2026-04-04 02:40:00","","205443.499481685","396095.687686389","일반게임제공업","유통관련업","0","","신, 불바다, 베스트넘버원","123.51","0","0","","0","0","0","0","","","","","","","","","","","","70","","청소년이용불가","","","","",
"15","일반게임제공업","03_05_06_P","3230000","CDFF2241132015000006","2015-07-15","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 가락동 98-2 훼밀리오피스텔","서울특별시 송파구 송파대로30길 8, 훼밀리오피스텔 301호 (가락동)","05719","럭키게임장","2026-04-03 15:55:39","U","2026-04-05 02:40:00","","210403.825298326","443562.753075246","일반게임제공업","유통관련업","0","","황금포커성(20대), 로얄 고도리2(10대), 불타는 불새(30대), 슈퍼드래곤3(60대), 천지연(30대), 조이1투신(30대)","350.67","0","0","판매시설","0","0","0","0","","","","","","","","","","","","170","","청소년이용불가","","","","일반상업지역",
