"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","공연장","03_06_01_P","4641000","CDFE1230002017000001","2017-01-02","","02","휴업","02","휴업","","2026-03-31","2027-02-28","","","","","전북특별자치도 전주시 완산구 중화산동2가 256 우성근영타운 상가 2동 B층102호","전북특별자치도 전주시 완산구 영경1길 17, 2동 B층 102호 (중화산동2가, 우성근영타운 상가)","54984","울림문화공간","2026-04-01 16:36:07","U","2026-04-03 02:40:00","","211317.547577506","257613.251914021","공연장","공연장","주거지역","3","아파트지역","","","","2","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"2","공연장","03_06_01_P","5530000","CDFE1230002011000001","2011-05-06","","01","영업/정상","13","영업중","","","","","031-8015-8100","","445-160","경기도 화성시 동탄구 반송동 108","경기도 화성시 동탄구 노작로 134 (반송동)","445-160","반석아트홀","2026-04-02 11:33:37","U","2026-04-04 02:40:00","","206803.194832185","410914.932125735","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","공연장","03_06_01_P","3470000","CDFE1230002002000001","2002-11-22","","01","영업/정상","13","영업중","","","","","053-430-7613","","704-915","대구광역시 달서구 성당동 187","대구광역시 달서구 공원순환로 201 (성당동)","704-915","대구문화예술회관 팔공홀","2026-04-02 09:29:12","U","2026-04-04 02:40:00","","340795.977161494","261627.701492359","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"4","공연장","03_06_01_P","3470000","CDFE1230002002000002","2002-11-22","","01","영업/정상","13","영업중","","","","","053-430-7613","","704-915","대구광역시 달서구 성당동 187","대구광역시 달서구 공원순환로 201 (성당동, 대구광역시 문화예술회관)","704-915","대구문화예술회관 비슬홀","2026-04-02 09:21:20","U","2026-04-04 02:40:00","","340795.977161494","261627.701492359","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","공연장","03_06_01_P","3660000","CDFE1230002011000001","2011-11-25","","01","영업/정상","13","영업중","","","","","1644-4325","","302-859","대전광역시 서구 탄방동 748 지하","대전광역시 서구 문정로 78 (탄방동)","302-859","이수아트홀","2026-04-03 17:44:02","U","2026-04-05 02:40:00","","234747.883540982","316247.587507066","공연장","공연장","","0","","","","근린생활시설","0","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","공연장","03_06_01_P","3130000","CDFE1230002014000002","2014-08-06","","01","영업/정상","13","영업중","","","","","02-323-7798","","","서울특별시 마포구 서교동 372-6 서교동스튜디오 지하1층","서울특별시 마포구 잔다리로 46, 지하1층 (서교동, 서교동 스튜디오)","04038","벨르(Vel.R)","2026-04-01 10:18:46","U","2026-04-03 02:40:00","","192756.637759348","450021.03252035","공연장","공연장","","9","","","","근린생활시설","8","1","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"7","공연장","03_06_01_P","3860000","CDFE1230002002000001","2002-12-30","","01","영업/정상","13","영업중","","","","","652-5848","","420-845","경기도 부천시 원미구 중동 788","경기도 부천시 원미구 부일로 365 (중동)","","부천시민회관대공연장","2026-04-01 10:06:32","U","2026-04-03 02:40:00","","179653.946853008","442966.363508441","공연장","공연장","일반주거지역","0","아파트지역","","","문화시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"8","공연장","03_06_01_P","3860000","CDFE1230002002000002","2002-12-30","","01","영업/정상","13","영업중","","","","","652-5848","","420-845","경기도 부천시 원미구 중동 788","경기도 부천시 원미구 부일로 365 (중동)","","부천시민회관소공연장","2026-04-01 10:07:19","U","2026-04-03 02:40:00","","179653.946853008","442966.363508441","공연장","공연장","일반주거지역","0","아파트지역","","","문화시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"9","공연장","03_06_01_P","3860000","CDFE1230002002000003","2002-12-30","","01","영업/정상","13","영업중","","","","","320-6300","","420-812","경기도 부천시 원미구 상동 394-2","경기도 부천시 원미구 장말로 107 (상동)","","복사골문화센터아트홀","2026-04-01 10:08:51","U","2026-04-03 02:40:00","","178200.698566138","443639.87710721","공연장","공연장","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"10","공연장","03_06_01_P","3860000","CDFE1230002002000004","2002-12-30","","01","영업/정상","13","영업중","","","","","320-6300","","","경기도 부천시 원미구 상동 394-2","경기도 부천시 원미구 장말로 107, 1층 (상동, 복사골문화센터)","14596","복사골문화센터판타지아극장","2026-04-01 10:05:21","U","2026-04-03 02:40:00","","178200.698566138","443639.87710721","공연장","공연장","","0","","","","문화시설","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
