"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","대중문화예술기획업","03_08_02_P","3180000","CDFF3241092026000012","2015-07-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 여의도동 ** 미성아파트","서울특별시 영등포구 의사당대로 ***, E동 ***호 (여의도동, 미성아파트)","07322","모던보이엔터테인먼트(주)","2026-04-01 16:13:18","I","2026-04-03 00:20:02","","193209.283508484","446474.956573488","대중문화예술기획업","유통관련업","0","","연예 매니지먼트업","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","대중문화예술기획업","03_08_02_P","3940000","CDFF3241092026000026","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산동구 백석동 ****-**","경기도 고양시 일산동구 호수로***번길 **-*, 지하 스튜디오 (백석동)","10424","주식회사 아삼육에스엔씨","2026-04-01 10:57:11","I","2026-04-03 00:20:02","","180677.179304495","460318.5927679","대중문화예술기획업","유통관련업","0","","대중음악기획","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","대중문화예술기획업","03_08_02_P","3940000","CDFF3241092026000027","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 덕양구 향동동 ***","경기도 고양시 덕양구 꽃마을로 **, 디엠씨스타팰리스 ***호 (향동동)","10545","주식회사 에이튠즈","2026-04-01 14:14:41","I","2026-04-03 00:20:02","","190325.54614375","455322.613474246","대중문화예술기획업","유통관련업","0","","매니지먼트 기획업, 서비스업, 정보통신업, 도매 및 소매업","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","대중문화예술기획업","03_08_02_P","3220000","CDFF3241092026000055","2015-05-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 *-**","서울특별시 강남구 도산대로**길 **, *층 (논현동)","06040","주식회사 원엔터테인먼트","2026-04-01 14:31:26","U","2026-04-03 02:40:00","","202387.972657724","446194.243633437","대중문화예술기획업","유통관련업","0","","매니지먼트, 대행업","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","대중문화예술기획업","03_08_02_P","3040000","CDFF3241092018000001","2015-03-26","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 자양동 ***-* 성수빌딩","서울특별시 광진구 자양강변길 **, 성수빌딩 *층 (자양동)","05088","주식회사 디렉터스엑스","2026-04-01 15:55:02","U","2026-04-03 02:40:00","","205333.847644836","447971.956469242","대중문화예술기획업","유통관련업","0","","모델매니지먼트","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","대중문화예술기획업","03_08_02_P","3220000","CDFF3241092024000215","2024-12-03","","03","폐업","03","폐업","2026-04-01","","","","","","","서울특별시 강남구 삼성동 *** 삼성동 미켈란 ***","서울특별시 강남구 영동대로 ***, *층 티***호 (삼성동, 삼성동 미켈란 ***)","06083","(주)전파상사","2026-04-01 15:43:41","U","2026-04-03 02:40:00","","205271.275273064","445852.638814088","대중문화예술기획업","유통관련업","0","","매니지먼트","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","대중문화예술기획업","03_08_02_P","3220000","CDFF3241092026000059","2026-04-02","","01","영업/정상","13","영업중","","","","","02-6246-7775","","","서울특별시 강남구 청담동 ***-* 아름다운빌딩","서울특별시 강남구 압구정로**길 **, 아름다운빌딩 *층 (청담동)","06013","주식회사 에이탑유니버스","2026-04-02 09:19:42","I","2026-04-04 00:20:02","","204507.822591528","447018.511472039","대중문화예술기획업","유통관련업","0","","가수, 연기자, 인플로언서","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","대중문화예술기획업","03_08_02_P","3030000","CDFF3241092026000014","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성동구 성수동*가 ***-*","서울특별시 성동구 성덕정길 **, *층 (성수동*가)","04775","여운기획","2026-04-02 16:26:21","I","2026-04-04 00:20:02","","204607.101708873","448414.615557602","대중문화예술기획업","유통관련업","0","","매니지먼트업,공연기획","16.5","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","대중문화예술기획업","03_08_02_P","3220000","CDFF3241092019000093","2019-06-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 ***-**","서울특별시 강남구 테헤란로*길 **-**, *층 ****호 (역삼동)","06129","(주)제이에이치팩토리","2026-04-02 15:57:09","U","2026-04-04 02:40:00","","202429.553277511","444261.087449333","대중문화예술기획업","유통관련업","0","","매니지먼트 등","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","대중문화예술기획업","03_08_02_P","3120000","CDFF3241092024000007","2024-06-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서대문구 창천동 ***-*","서울특별시 서대문구 신촌로 **, *층 ****호 (창천동)","03785","주식회사 고아트컴퍼니","2026-04-02 11:15:02","U","2026-04-04 02:40:00","","193712.476983727","450637.010875398","대중문화예술기획업","유통관련업","0","","매니지먼트","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"11","대중문화예술기획업","03_08_02_P","3230000","CDFF3241092023000003","2021-04-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 문정동 *** 가든파이브툴","서울특별시 송파구 충민로 **, 가든파이브툴 *층 에스**-엠**호 (문정동)","05840","주식회사 에이전시32","2026-04-02 09:07:03","U","2026-04-04 02:40:00","","210480.282018702","441833.16323518","대중문화예술기획업","유통관련업","0","","에이전시업","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
