"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","노래연습장업","03_09_01_P","3230000","CDFF3242052010000023","2010-08-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 가락동 97-2","서울특별시 송파구 중대로9길 23 (가락동)","05711","앵글노래연습장","2026-04-01 13:47:46","U","2026-04-03 02:40:00","","210430.87267666","443675.93588311","노래연습장업","유통관련업","0","주택가주변","","140.2","3","1","근린생활시설","0","0","5","0","","","","Y","","","","","","","","0","","","","","","주거지역",
"2","노래연습장업","03_09_01_P","3140000","CDFF3242051993000023","1993-11-11","","01","영업/정상","13","영업중","","","","","","","","서울특별시 양천구 신정동 1031-5 지하1층","서울특별시 양천구 중앙로 268-1 (신정동)","08082","소양강노래연습장","2026-04-01 18:09:44","U","2026-04-03 02:40:00","","186950.021615568","446466.348792584","노래연습장업","유통관련업","0","","","82.64","0","0","","0","0","6","2","N","N","N","Y","N","N","","","","","","0","","","","","","",
"3","노래연습장업","03_09_01_P","3230000","CDFF3242052004000014","2004-04-23","","01","영업/정상","13","영업중","","","","","421-6878","","","서울특별시 송파구 잠실동 186-12 지층","서울특별시 송파구 백제고분로15길 55, 지층 (잠실동)","05559","럭키 노래연습장","2026-04-01 13:47:18","U","2026-04-03 02:40:00","","207390.709353552","445349.614668302","노래연습장업","유통관련업","0","기타","","149.69","4","1","근린생활시설","0","0","5","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"4","노래연습장업","03_09_01_P","3830000","CDFF3242052002000071","2002-10-17","","01","영업/정상","13","영업중","","","","","","","","경기도 안양시 만안구 박달동 56-30","경기도 안양시 만안구 양화로136번길 23, 지하1층 (박달동)","13986","K노래연습장","2026-04-01 09:07:34","U","2026-04-03 02:40:00","","","","노래연습장업","유통관련업","4","","","130.2","3","1","근린생활시설","0","0","5","1","N","N","N","Y","N","N","","","","","","0","","","","","","일반주거지역",
"5","노래연습장업","03_09_01_P","3830000","CDFF3242052002000138","2002-12-18","","01","영업/정상","13","영업중","","","","","","","","경기도 안양시 동안구 관양동 1604-1 신세대상가","경기도 안양시 동안구 관평로182번길 48, 신세대상가 308호 (관양동)","14066","드림노래연습장","2026-04-01 11:03:44","U","2026-04-03 02:40:00","","196636.62","432400.6","노래연습장업","유통관련업","0","","","133.44","0","0","","0","0","7","3","N","N","N","Y","N","N","","","","","","0","","","","","","",
"6","노래연습장업","03_09_01_P","5090000","CDFF3242052012000001","2012-03-23","","01","영업/정상","13","영업중","","","","","","","","경상북도 영주시 휴천동 642-537 (지상2층)","경상북도 영주시 대동로 169 (휴천동)","36109","M 노래연습장","2026-04-01 11:08:18","U","2026-04-03 02:40:00","","344583.938019294","369340.385727093","노래연습장업","유통관련업","3","기타","","137.28","2","0","근린생활시설","1.15","40","5","0","Y","Y","Y","","","Y","","","","","","0","","","","","","일반주거지역",
"7","노래연습장업","03_09_01_P","3510500","CDFF3242051999000023","1999-07-12","","01","영업/정상","13","영업중","","","","","","","","인천광역시 미추홀구 학익동 663-3","인천광역시 미추홀구 소성로 251 (학익동)","22223","스카이 노래연습장","2026-04-01 10:47:14","U","2026-04-03 02:40:00","","171229.958329598","437431.822879299","노래연습장업","유통관련업","0","","","115.11","0","0","","0","0","6","2","N","N","N","Y","N","N","","","","","","0","","","","","","",
"8","노래연습장업","03_09_01_P","4070000","CDFF3242052004000003","2004-01-17","","01","영업/정상","13","영업중","","","","","","","","경기도 이천시 부발읍 아미리 670-2","경기도 이천시 부발읍 경충대로2092번길 20","","오케이노래연습장","2026-04-01 13:26:09","U","2026-04-03 02:40:00","","243522.95466455","416803.56691826","노래연습장업","유통관련업","3","기타","","172.8","0","1","근린생활시설","0","0","7","1","N","N","N","Y","N","N","","","","","","0","","","","","","준주거지역",
"9","노래연습장업","03_09_01_P","4060000","CDFF3242052004000009","2004-07-20","","03","폐업","03","폐업","2026-03-31","","","","943-4657","","","경기도 파주시 금촌동 784-1","경기도 파주시 금정4길 34 (금촌동)","10923","골드노래연습장","2026-04-01 15:14:41","U","2026-04-03 02:40:00","","180378.468100818","472744.139718784","노래연습장업","유통관련업","4","기타","","121.82","3","1","근린생활시설","1.2","35","5","1","Y","Y","Y","Y","Y","Y","","","","","","0","","","","","","근린상업지역",
"10","노래연습장업","03_09_01_P","3390000","CDFF3242051992000015","1992-10-13","","04","취소/말소/만료/정지/중지","35","직권말소","2026-04-01","","","","326-8371","","","부산광역시 사상구 엄궁동 463-1","부산광역시 사상구 엄궁북로4번길 7 (엄궁동)","47040","팡팡노래연습장","2026-04-01 17:51:58","U","2026-04-03 02:40:00","","379584.455955728","182821.67748091","노래연습장업","유통관련업","0","","","98.6","0","0","","0","0","5","2","N","N","N","Y","N","N","","","","","","0","","","","","","",
