"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","숙박업","03_11_03_P","6520000","6520000-214-2002-00004","2002-06-27","","01","영업/정상","01","영업","","","","","064 7330888","3363.51","697-844","제주특별자치도 서귀포시 서귀동 316-4","제주특별자치도 서귀포시 중정로 16 (서귀동)","63592","더그랑호텔서귀포","2026-04-01 15:47:48","I","2026-04-03 00:20:02","숙박업(생활)","158745.797292402","-27539.2047357285","숙박업(생활)","0","0","0","0","0","0","16","39","","","","","0","0","N",
"2","숙박업","03_11_03_P","3010000","3010000-201-2026-00015","2026-04-01","","01","영업/정상","01","영업","","","","","027522300","467.58","100-053","서울특별시 중구 회현동3가 8-4","서울특별시 중구 퇴계로16길 37 (회현동3가)","04631","호텔 블리스Ⅱ","2026-04-01 14:08:16","I","2026-04-03 00:20:02","관광호텔","198513.004471552","450790.358157938","관광호텔","5","2","1","5","1","2","0","14","","","","자가","0","0","N",
"3","숙박업","03_11_03_P","3010000","3010000-214-2026-00015","2026-04-01","","01","영업/정상","01","영업","","","","","","79.34","100-412","서울특별시 중구 광희동2가 12-1","서울특별시 중구 장충단로 224, 지상3,4층 (광희동2가)","04565","STAY ON","2026-04-01 17:05:16","I","2026-04-03 00:20:02","숙박업(생활)","200596.599009783","451364.467609826","숙박업(생활)","6","0","3","4","0","0","0","2","","","","","0","0","N",
"4","숙박업","03_11_03_P","6520000","6520000-201-2002-00011","2002-06-27","","01","영업/정상","01","영업","","","","","064 7330888","3363.51","697-844","제주특별자치도 서귀포시 서귀동 316-4","제주특별자치도 서귀포시 중정로 16 (서귀동)","63592","더그랑호텔서귀포","2026-04-01 00:00:00","D","2026-04-03 02:30:00","관광호텔","158745.797292402","-27539.2047357285","관광호텔","0","0","0","0","0","0","16","39","","","","","0","0","N",
"5","숙박업","03_11_03_P","5220000","5220000-201-2015-00003","2015-09-23","","01","영업/정상","01","영업","","","","","054 972 7890","458.34","718-833","경상북도 칠곡군 석적읍 중리 115-1","경상북도 칠곡군 석적읍 북중리1길 24","39839","라온모텔","2026-04-01 11:39:24","U","2026-04-03 02:40:00","여관업","326792.962367377","287326.17349073","여관업","3","0","1","3","0","0","0","11","","","","자가","0","0","N",
"6","숙박업","03_11_03_P","5220000","5220000-201-2014-00001","2014-01-14","","01","영업/정상","01","영업","","","","","054 975 3788","648.90","718-912","경상북도 칠곡군 가산면 학산리 643-3","경상북도 칠곡군 가산면 호국로 1280-17","39851","애플모텔","2026-04-01 10:28:19","U","2026-04-03 02:40:00","여관업","334936.128743082","284427.205839288","여관업","2","0","1","2","0","0","0","16","","","","","0","0","N",
"7","숙박업","03_11_03_P","5220000","5220000-201-2004-00001","2004-05-07","","01","영업/정상","01","영업","","","","","054 9743366","1982.19","718-841","경상북도 칠곡군 북삼읍 어로리 631-1","경상북도 칠곡군 북삼읍 어로4길 74-11","39804","홀리데이모텔","2026-04-01 13:38:38","U","2026-04-03 02:40:00","여관업","319405.548114634","283752.609537002","여관업","3","1","1","3","0","0","0","31","","","","자가","0","0","N",
"8","숙박업","03_11_03_P","4490000","5650000-201-1990-00013","1990-03-27","","01","영업/정상","01","영업","","","","","041 5726677","341.00","330-931","충청남도 천안시 동남구 봉명동 54-86","충청남도 천안시 동남구 양지11길 7 (봉명동)","31150","이끌림호텔아모르별관","2026-04-01 14:50:02","U","2026-04-03 02:40:00","여관업","212365.764215259","367340.616755608","여관업","0","0","0","0","0","0","10","18","","","","","0","0","N",
"9","숙박업","03_11_03_P","3030000","3030000-201-2002-00001","2002-01-04","","01","영업/정상","01","영업","","","","","0222912876","526.00","133-882","서울특별시 성동구 도선동 92","서울특별시 성동구 왕십리로22길 12-1 (도선동)","04709","저스트 스테이 호텔","2026-04-01 10:24:42","U","2026-04-03 02:40:00","일반호텔","203022.766796271","451196.323937953","일반호텔","6","1","1","6","0","0","0","24","","","","자가","0","0","N",
"10","숙박업","03_11_03_P","4890000","4890000-214-2019-00001","2019-01-18","","01","영업/정상","01","영업","","","","","061 8571700","634.08","546-907","전라남도 보성군 벌교읍 장양리 산 4-4","전라남도 보성군 벌교읍 장호길 366-65","59419","빠끔살이 펜션","2026-04-01 11:17:16","U","2026-04-03 02:40:00","숙박업(생활)","236161.219300327","147498.950253378","숙박업(생활)","3","0","2","3","","","0","6","","","","자가","0","0","N",
"11","숙박업","03_11_03_P","3330000","3330000-201-2022-00006","2022-04-21","","01","영업/정상","01","영업","","","","","","10151.48","612-821","부산광역시 해운대구 우동 645-8","부산광역시 해운대구 해운대해변로221번길 22 (우동)","48093","광수호텔","2026-04-01 11:38:43","U","2026-04-03 02:40:00","일반호텔","396426.605380862","186699.843857456","일반호텔","24","5","2","24","0","0","0","171","","","","","0","0","N",
"12","숙박업","03_11_03_P","5530000","5740000-201-2025-00004","2025-10-29","","01","영업/정상","01","영업","","","","","","1333.68","","경기도 화성시 만세구 우정읍 한각리 94-7","경기도 화성시 만세구 우정읍 한뿌리1길 157-25","18561","주식회사 로얄롯지","2026-04-01 11:07:26","U","2026-04-03 02:40:00","관광호텔","182342.334492846","399445.217128777","관광호텔","5","0","1","5","0","0","0","38","","","","","0","0","N",
"13","숙박업","03_11_03_P","5530000","5740000-201-2011-00006","2011-12-07","","01","영업/정상","01","영업","","","","","031 80598830","1986.14","","경기도 화성시 만세구 팔탄면 월문리 235-36","경기도 화성시 만세구 팔탄면 버들로1597번길 14-13","18577","호텔더메이","2026-04-01 13:28:05","U","2026-04-03 02:40:00","숙박업 기타","188971.791968184","401570.528375606","숙박업 기타","4","1","1","4","1","1","35","0","","","","자가","0","0","N",
"14","숙박업","03_11_03_P","5530000","5740000-214-2025-00010","2025-10-01","","01","영업/정상","01","영업","","","","","","493.32","","경기도 화성시 만세구 서신면 제부리 20-9 1동, 1층 일부, 2층, 3층","경기도 화성시 만세구 서신면 해안길 34, 1동, 1층 일부, 2층, 3층","18553","더제부하와이","2026-04-01 17:56:34","U","2026-04-03 02:40:00","숙박업(생활)","167060.257343736","407926.379718154","숙박업(생활)","0","0","1","3","0","0","18","0","","","","","0","0","N",
"15","숙박업","03_11_03_P","3420000","3420000-201-1996-00006","1996-12-17","","03","폐업","02","폐업","2026-04-01","","","","053 7437996","686.94","701-829","대구광역시 동구 신천동 332-2","대구광역시 동구 동부로26길 11 (신천동)","41243","알프스","2026-04-01 13:29:41","U","2026-04-03 02:40:00","여관업","346959.220256684","265069.071008244","여관업","4","1","1","4","1","1","3","21","","","","자가","0","0","N",
"16","숙박업","03_11_03_P","3440000","3440000-201-1988-00001","1988-05-26","","01","영업/정상","01","영업","","","","","053 6214009","628.38","705-802","대구광역시 남구 대명동 542-2","대구광역시 남구 현충로 156 (대명동)","42419","야크모텔","2026-04-01 16:11:21","U","2026-04-03 02:40:00","여관업","342699.241012349","261893.501435175","여관업","4","1","2","4","0","0","0","17","","","","","0","0","N",
"17","숙박업","03_11_03_P","3460000","3460000-201-2003-00019","2003-11-25","","01","영업/정상","01","영업","","","","","053 765 0600","843.00","706-837","대구광역시 수성구 중동 188-3","대구광역시 수성구 청수로 67 (중동)","42155","2월호텔(대구수성점)","2026-04-01 15:15:22","U","2026-04-03 02:40:00","일반호텔","345900.36502643","261293.672137887","일반호텔","4","1","0","0","0","0","3","27","","","","","0","0","N",
"18","숙박업","03_11_03_P","3470000","3470000-201-2003-00025","2003-06-02","","01","영업/정상","01","영업","","","","","053 5886882","2426.90","704-240","대구광역시 달서구 호림동 11-14","대구광역시 달서구 성서공단로11길 38-7 (호림동)","42714","디오(DO)모텔","2026-04-01 11:16:30","U","2026-04-03 02:40:00","여관업","334473.203751745","260836.520734763","여관업","0","0","0","0","0","0","0","36","","","","","0","0","N",
"19","숙박업","03_11_03_P","5210000","5210000-201-1995-00003","1995-04-21","","01","영업/정상","01","영업","","","","","054 9339090","624.80","719-801","경상북도 성주군 성주읍 성산리 542-9","경상북도 성주군 성주읍 성주로 3286","40031","대원모텔","2026-04-01 09:51:53","U","2026-04-03 02:40:00","여관업","316666.16709366","269354.525217585","여관업","4","1","2","4","0","0","0","27","","","","","0","0","N",
"20","숙박업","03_11_03_P","4520000","4520000-201-1996-00019","1996-12-04","","01","영업/정상","01","영업","","","","","041 5422449","666.50","336-885","충청남도 아산시 신창면 읍내리 174-12","충청남도 아산시 신창면 서부남로 835-23","31536","황금 비","2026-04-01 13:34:17","U","2026-04-03 02:40:00","여관업","194339.158841218","364487.014032068","여관업","0","0","0","0","0","0","5","29","","","","","0","0","N",
"21","숙박업","03_11_03_P","4540000","4540000-201-1982-00007","1982-09-17","","01","영업/정상","01","영업","","","","","041 7453216","39.65","320-902","충청남도 논산시 강경읍 대흥리 10-63 10-62","충청남도 논산시 강경읍 계백로133번길 9-4","32936","이브여인숙","2026-04-01 13:48:00","U","2026-04-03 02:40:00","여인숙업","201218.890943572","295123.184966972","여인숙업","0","0","0","0","0","0","6","0","","","","","","","N",
"22","숙박업","03_11_03_P","3060000","3060000-201-1983-00035","1983-06-29","","01","영업/정상","01","영업","","","","","02 4955577","232.75","131-811","서울특별시 중랑구 면목동 17-33","서울특별시 중랑구 용마산로 428 (면목동)","02189","동화 고급 하우스","2026-04-01 10:23:53","U","2026-04-03 02:40:00","여관업","208514.063189354","454141.810512176","여관업","0","0","0","0","0","0","4","13","","","","","0","0","N",
"23","숙박업","03_11_03_P","3520000","3520000-201-2015-00001","2015-05-01","","01","영업/정상","01","영업","","","","","032 729 1101","6551.11","406-081","인천광역시 연수구 송도동 24-9","인천광역시 연수구 테크노파크로 200 (송도동)","22004","경원재 바이 워커힐","2026-04-01 15:14:23","U","2026-04-03 02:40:00","관광호텔","167845.161962676","432228.823441679","관광호텔","0","0","0","0","0","0","2","28","","","","","0","0","N",
"24","숙박업","03_11_03_P","4160000","4160000-214-2019-00028","2019-09-30","","01","영업/정상","01","영업","","","","","","435.61","477-803","경기도 가평군 가평읍 이화리 392-16 392-15 각 1~2층, 391 제1~2동 각1.2층","경기도 가평군 가평읍 호반로 2329-47, 2329-49 각 1~2층 ,2329-60 제1~2동, 각 1층~2층","12427","가평까사노블풀빌라펜션","2026-04-01 10:05:59","U","2026-04-03 02:40:00","숙박업(생활)","244809.078351248","477326.521550528","숙박업(생활)","2","0","1","2","0","0","0","8","","","","자가","0","1","N",
"25","숙박업","03_11_03_P","4231000","4231000-214-2023-00005","2023-04-21","","01","영업/정상","01","영업","","","","","","33366.47","","강원특별자치도 속초시 동명동 62 속초아이파크스위트","강원특별자치도 속초시 중앙로 266, 속초아이파크스위트 512객실 (동명동)","24811","속초아이파크스위트호텔","2026-04-01 17:47:59","U","2026-04-03 02:40:00","숙박업(생활)","339750.036838169","524573.81786821","숙박업(생활)","27","2","1","27","1","2","0","512","","","","","0","0","N",
